"Date","RBCABIS"
2022-07-01,105.72
2022-08-01,105.55
2022-09-01,103.2
2022-10-01,101.14
2022-11-01,102.38
2022-12-01,99.7
2023-01-01,99.73
2023-02-01,99.81
2023-03-01,98.43
2023-04-01,99.74
2023-05-01,100.08
2023-06-01,101.91
2023-07-01,102.52
2023-08-01,101.04
2023-09-01,100.85
2023-10-01,100.51
