"Date","LFUN64FECAM647S"
1994-05-01,662200
1994-06-01,640600
1994-07-01,614600
1994-08-01,635800
1994-09-01,622200
1994-10-01,627800
1994-11-01,599100
1994-12-01,598600
1995-01-01,613100
1995-02-01,617700
1995-03-01,623100
1995-04-01,595600
1995-05-01,589600
1995-06-01,603500
1995-07-01,607800
1995-08-01,608400
1995-09-01,586300
1995-10-01,586600
1995-11-01,599800
1995-12-01,595600
1996-01-01,597700
1996-02-01,604700
1996-03-01,605300
1996-04-01,591100
1996-05-01,576900
1996-06-01,639600
1996-07-01,644000
1996-08-01,633000
1996-09-01,656100
1996-10-01,648200
1996-11-01,637600
1996-12-01,624100
1997-01-01,618000
1997-02-01,613300
1997-03-01,606100
1997-04-01,616400
1997-05-01,622800
1997-06-01,642600
1997-07-01,605900
1997-08-01,602100
1997-09-01,590500
1997-10-01,606700
1997-11-01,608600
1997-12-01,559600
1998-01-01,600300
1998-02-01,584600
1998-03-01,567900
1998-04-01,560700
1998-05-01,567400
1998-06-01,566800
1998-07-01,542200
1998-08-01,541800
1998-09-01,548100
1998-10-01,523200
1998-11-01,530300
1998-12-01,541300
1999-01-01,538900
1999-02-01,534300
1999-03-01,530300
1999-04-01,574800
1999-05-01,560700
1999-06-01,529900
1999-07-01,522600
1999-08-01,497700
1999-09-01,492500
1999-10-01,485600
1999-11-01,476100
1999-12-01,471900
2000-01-01,465800
2000-02-01,484600
2000-03-01,487200
2000-04-01,482400
2000-05-01,469200
2000-06-01,462600
2000-07-01,484300
2000-08-01,495400
2000-09-01,495300
2000-10-01,511000
2000-11-01,498900
2000-12-01,492100
2001-01-01,497700
2001-02-01,493500
2001-03-01,491700
2001-04-01,497500
2001-05-01,482200
2001-06-01,500800
2001-07-01,503000
2001-08-01,511300
2001-09-01,508700
2001-10-01,508600
2001-11-01,520100
2001-12-01,538600
2002-01-01,530200
2002-02-01,537000
2002-03-01,548700
2002-04-01,544100
2002-05-01,550900
2002-06-01,556200
2002-07-01,556300
2002-08-01,540600
2002-09-01,544200
2002-10-01,545900
2002-11-01,542800
2002-12-01,543900
2003-01-01,549800
2003-02-01,540600
2003-03-01,547500
2003-04-01,574300
2003-05-01,580600
2003-06-01,558500
2003-07-01,565200
2003-08-01,578600
2003-09-01,590700
2003-10-01,556100
2003-11-01,550200
2003-12-01,547400
2004-01-01,551500
2004-02-01,545200
2004-03-01,542300
2004-04-01,542200
2004-05-01,530700
2004-06-01,541100
2004-07-01,545500
2004-08-01,545600
2004-09-01,528300
2004-10-01,547700
2004-11-01,563100
2004-12-01,539800
2005-01-01,523200
2005-02-01,535600
2005-03-01,521900
2005-04-01,501700
2005-05-01,530900
2005-06-01,520600
2005-07-01,489500
2005-08-01,505700
2005-09-01,522100
2005-10-01,532400
2005-11-01,480200
2005-12-01,520600
2006-01-01,525300
2006-02-01,515100
2006-03-01,514800
2006-04-01,521300
2006-05-01,493100
2006-06-01,501300
2006-07-01,517100
2006-08-01,497300
2006-09-01,483000
2006-10-01,487200
2006-11-01,493700
2006-12-01,484500
2007-01-01,494400
2007-02-01,487200
2007-03-01,490700
2007-04-01,486700
2007-05-01,483200
2007-06-01,485500
2007-07-01,478300
2007-08-01,458500
2007-09-01,492700
2007-10-01,463200
2007-11-01,481700
2007-12-01,476400
2008-01-01,477400
2008-02-01,488400
2008-03-01,486200
2008-04-01,477400
2008-05-01,485600
2008-06-01,465000
2008-07-01,467700
2008-08-01,477200
2008-09-01,479900
2008-10-01,492100
2008-11-01,504200
2008-12-01,551900
2009-01-01,551500
2009-02-01,573400
2009-03-01,594000
2009-04-01,594600
2009-05-01,621700
2009-06-01,632500
2009-07-01,652500
2009-08-01,659500
2009-09-01,607600
2009-10-01,618200
2009-11-01,628200
2009-12-01,621500
2010-01-01,622000
2010-02-01,626900
2010-03-01,624100
2010-04-01,630500
2010-05-01,616800
2010-06-01,625800
2010-07-01,640200
2010-08-01,659300
2010-09-01,661100
2010-10-01,656400
2010-11-01,622300
2010-12-01,620700
2011-01-01,633400
2011-02-01,631500
2011-03-01,629900
2011-04-01,635000
2011-05-01,622000
2011-06-01,619300
2011-07-01,606100
2011-08-01,607600
2011-09-01,618800
2011-10-01,627200
2011-11-01,637000
2011-12-01,601100
2012-01-01,629200
2012-02-01,621900
2012-03-01,601600
2012-04-01,614200
2012-05-01,625300
2012-06-01,616100
2012-07-01,593200
2012-08-01,599600
2012-09-01,601800
2012-10-01,595800
2012-11-01,601900
2012-12-01,603200
2013-01-01,591300
2013-02-01,607400
2013-03-01,620300
2013-04-01,597900
2013-05-01,577500
2013-06-01,596600
2013-07-01,611700
2013-08-01,591200
2013-09-01,588800
2013-10-01,588800
2013-11-01,574200
2013-12-01,602200
2014-01-01,596300
2014-02-01,591900
2014-03-01,581300
2014-04-01,589800
2014-05-01,606600
2014-06-01,584600
2014-07-01,573900
2014-08-01,573900
2014-09-01,561100
2014-10-01,557400
2014-11-01,569700
2014-12-01,559000
2015-01-01,556500
2015-02-01,554700
2015-03-01,564400
2015-04-01,561200
2015-05-01,553400
2015-06-01,554100
2015-07-01,552700
2015-08-01,567300
2015-09-01,566800
2015-10-01,562600
2015-11-01,564400
2015-12-01,566900
2016-01-01,572300
2016-02-01,570500
2016-03-01,571400
2016-04-01,577400
2016-05-01,564100
2016-06-01,551100
2016-07-01,567100
2016-08-01,541100
2016-09-01,559100
2016-10-01,554600
2016-11-01,544500
2016-12-01,567700
2017-01-01,549400
2017-02-01,542400
2017-03-01,538700
2017-04-01,531600
2017-05-01,536300
2017-06-01,542600
2017-07-01,538600
2017-08-01,531500
2017-09-01,515000
2017-10-01,539000
2017-11-01,526700
2017-12-01,509900
2018-01-01,511300
2018-02-01,515000
2018-03-01,495100
2018-04-01,495900
2018-05-01,523300
2018-06-01,528500
2018-07-01,499900
2018-08-01,524800
2018-09-01,516500
2018-10-01,495200
2018-11-01,491800
2018-12-01,496200
2019-01-01,490900
2019-02-01,482500
2019-03-01,505200
2019-04-01,503300
2019-05-01,472000
2019-06-01,478100
2019-07-01,494900
2019-08-01,474300
2019-09-01,496900
2019-10-01,497900
2019-11-01,514200
2019-12-01,497200
2020-01-01,501100
2020-02-01,503900
2020-03-01,821500
2020-04-01,1166600
2020-05-01,1267800
2020-06-01,1133600
2020-07-01,999400
2020-08-01,943700
2020-09-01,768500
2020-10-01,764000
2020-11-01,739600
2020-12-01,774100
2021-01-01,874900
2021-02-01,795300
2021-03-01,700400
2021-04-01,753700
2021-05-01,795900
2021-06-01,679800
2021-07-01,666500
2021-08-01,644700
2021-09-01,605700
2021-10-01,584100
2021-11-01,517100
2021-12-01,542800
2022-01-01,623700
2022-02-01,482500
2022-03-01,513300
2022-04-01,491300
2022-05-01,471800
2022-06-01,452100
2022-07-01,446200
2022-08-01,467400
2022-09-01,464700
2022-10-01,504000
2022-11-01,462600
2022-12-01,464500
2023-01-01,465800
2023-02-01,471300
2023-03-01,472300
2023-04-01,474500
2023-05-01,486800
2023-06-01,505500
2023-07-01,554800
2023-08-01,525600
2023-09-01,519000
2023-10-01,539200
2023-11-01,545700
