"Date","XTEXVA01CAM664S"
1981-04-01,6951437186.46785
1981-05-01,7042022368.22305
1981-06-01,7349637832.54785
1981-07-01,7036697477.30993
1981-08-01,6811255724.81625
1981-09-01,6856949525.22912
1981-10-01,6931592991.95187
1981-11-01,7314714766.27646
1981-12-01,6982805408.24888
1982-01-01,6485800163.57193
1982-02-01,7192078010.80208
1982-03-01,7162608556.83598
1982-04-01,7073986771.01016
1982-05-01,7158309153.69046
1982-06-01,7242321263.84218
1982-07-01,7330735486.10508
1982-08-01,7173531223.5045
1982-09-01,7573025263.28132
1982-10-01,6544795591.86796
1982-11-01,6548558207.14558
1982-12-01,7065576934.95689
1983-01-01,6877929465.35236
1983-02-01,7248889450.23673
1983-03-01,7013858621.95681
1983-04-01,7459691406.29097
1983-05-01,7393197931.60709
1983-06-01,7516475291.26576
1983-07-01,7397071841.35491
1983-08-01,7619424221.61689
1983-09-01,7624494425.22428
1983-10-01,7999740938.73125
1983-11-01,8195870637.98741
1983-12-01,8391001512.81108
1984-01-01,8732904959.97884
1984-02-01,8517717618.20712
1984-03-01,9000054345.82009
1984-04-01,9007840162.37737
1984-05-01,9349444664.46392
1984-06-01,9432841879.13734
1984-07-01,9851109661.11152
1984-08-01,9748974093.41128
1984-09-01,9845924836.17562
1984-10-01,9466847952.96503
1984-11-01,9614126646.45416
1984-12-01,9592711585.82526
1985-01-01,9422258695.17079
1985-02-01,9656027326.19262
1985-03-01,10442686398.3242
1985-04-01,9988364401.78784
1985-05-01,9922427078.76237
1985-06-01,9977418480.35568
1985-07-01,8897397338.96777
1985-08-01,9989168177.07327
1985-09-01,10392081754.0633
1985-10-01,10335090145.2466
1985-11-01,10122840346.1282
1985-12-01,10210021764.6203
1986-01-01,10548600000
1986-02-01,9786100000
1986-03-01,9436500000
1986-04-01,10225100000
1986-05-01,9780100000
1986-06-01,9.75e+09
1986-07-01,10510900000
1986-08-01,9.596e+09
1986-09-01,1.0208e+10
1986-10-01,10423600000
1986-11-01,10250900000
1986-12-01,1.0154e+10
1987-01-01,9655800000
1987-02-01,10353300000
1987-03-01,10166100000
1987-04-01,9989400000
1987-05-01,1.0225e+10
1987-06-01,10036300000
1987-07-01,10680200000
1987-08-01,10193800000
1987-09-01,10488800000
1987-10-01,10754700000
1987-11-01,1.1121e+10
1987-12-01,11422200000
1988-01-01,11232400000
1988-02-01,11497800000
1988-03-01,11673500000
1988-04-01,1.1432e+10
1988-05-01,11523700000
1988-06-01,12000900000
1988-07-01,1.1197e+10
1988-08-01,1.1219e+10
1988-09-01,11559200000
1988-10-01,1.1542e+10
1988-11-01,11894100000
1988-12-01,11726900000
1989-01-01,12163300000
1989-02-01,11812700000
1989-03-01,11294200000
1989-04-01,1.1513e+10
1989-05-01,11663200000
1989-06-01,11212600000
1989-07-01,11387900000
1989-08-01,11119200000
1989-09-01,11578100000
1989-10-01,11430800000
1989-11-01,11871100000
1989-12-01,11655300000
1990-01-01,1.188e+10
1990-02-01,12103500000
1990-03-01,12478700000
1990-04-01,12295200000
1990-05-01,12921700000
1990-06-01,1.2398e+10
1990-07-01,12936300000
1990-08-01,12114700000
1990-09-01,12422500000
1990-10-01,13014500000
1990-11-01,1.2298e+10
1990-12-01,12116200000
1991-01-01,12047300000
1991-02-01,11882300000
1991-03-01,11638600000
1991-04-01,12232900000
1991-05-01,12330200000
1991-06-01,12007400000
1991-07-01,12819200000
1991-08-01,12509600000
1991-09-01,11935700000
1991-10-01,12238300000
1991-11-01,12073800000
1991-12-01,12291100000
1992-01-01,12498200000
1992-02-01,1.2911e+10
1992-03-01,13018700000
1992-04-01,13341400000
1992-05-01,13641100000
1992-06-01,1.315e+10
1992-07-01,13771900000
1992-08-01,13528200000
1992-09-01,13903200000
1992-10-01,14372800000
1992-11-01,14223100000
1992-12-01,14467700000
1993-01-01,14783900000
1993-02-01,14610100000
1993-03-01,15028400000
1993-04-01,15250400000
1993-05-01,15671400000
1993-06-01,15757400000
1993-07-01,15579200000
1993-08-01,15453800000
1993-09-01,16126700000
1993-10-01,16637600000
1993-11-01,16494300000
1993-12-01,16122400000
1994-01-01,15855300000
1994-02-01,16099500000
1994-03-01,17586200000
1994-04-01,17788700000
1994-05-01,17828300000
1994-06-01,19296200000
1994-07-01,19587500000
1994-08-01,19451900000
1994-09-01,19471400000
1994-10-01,20152300000
1994-11-01,20955800000
1994-12-01,21606100000
1995-01-01,22474900000
1995-02-01,21784300000
1995-03-01,21287600000
1995-04-01,21616200000
1995-05-01,2.1551e+10
1995-06-01,22012100000
1995-07-01,20333700000
1995-08-01,22087200000
1995-09-01,22107300000
1995-10-01,2.2045e+10
1995-11-01,22228900000
1995-12-01,22738900000
1996-01-01,22158700000
1996-02-01,22290700000
1996-03-01,22002500000
1996-04-01,22954400000
1996-05-01,2.3219e+10
1996-06-01,23338400000
1996-07-01,23508700000
1996-08-01,23489200000
1996-09-01,23837200000
