"Date","LFWA25MACAM647N"
1993-02-01,6294700
1993-03-01,6301000
1993-04-01,6307000
1993-05-01,6312900
1993-06-01,6320800
1993-07-01,6327500
1993-08-01,6335000
1993-09-01,6341600
1993-10-01,6347700
1993-11-01,6353200
1993-12-01,6359100
1994-01-01,6366000
1994-02-01,6373400
1994-03-01,6380500
1994-04-01,6387700
1994-05-01,6396800
1994-06-01,6403600
1994-07-01,6411000
1994-08-01,6420100
1994-09-01,6427000
1994-10-01,6434200
1994-11-01,6441400
1994-12-01,6448000
1995-01-01,6457700
1995-02-01,6465200
1995-03-01,6473200
1995-04-01,6481300
1995-05-01,6491400
1995-06-01,6499000
1995-07-01,6506300
1995-08-01,6515400
1995-09-01,6522100
1995-10-01,6529700
1995-11-01,6536500
1995-12-01,6542900
1996-01-01,6555700
1996-02-01,6561900
1996-03-01,6568300
1996-04-01,6574500
1996-05-01,6582400
1996-06-01,6588700
1996-07-01,6596600
1996-08-01,6602900
1996-09-01,6610600
1996-10-01,6616400
1996-11-01,6622600
1996-12-01,6628000
1997-01-01,6634200
1997-02-01,6639700
1997-03-01,6645700
1997-04-01,6653100
1997-05-01,6659100
1997-06-01,6665700
1997-07-01,6671100
1997-08-01,6676700
1997-09-01,6683400
1997-10-01,6688800
1997-11-01,6693600
1997-12-01,6697800
1998-01-01,6702500
1998-02-01,6707700
1998-03-01,6712400
1998-04-01,6717300
1998-05-01,6722200
1998-06-01,6727700
1998-07-01,6730000
1998-08-01,6732000
1998-09-01,6734900
1998-10-01,6737600
1998-11-01,6740000
1998-12-01,6742300
1999-01-01,6744800
1999-02-01,6748300
1999-03-01,6752400
1999-04-01,6756300
1999-05-01,6760600
1999-06-01,6765800
1999-07-01,6769900
1999-08-01,6774500
1999-09-01,6779100
1999-10-01,6784000
1999-11-01,6788800
1999-12-01,6793500
2000-01-01,6798100
2000-02-01,6803900
2000-03-01,6809700
2000-04-01,6815800
2000-05-01,6823600
2000-06-01,6829900
2000-07-01,6835400
2000-08-01,6841400
2000-09-01,6847100
2000-10-01,6852800
2000-11-01,6858500
2000-12-01,6863800
2001-01-01,6860600
2001-02-01,6865800
2001-03-01,6871400
2001-04-01,6878600
2001-05-01,6884500
2001-06-01,6889900
2001-07-01,6895600
2001-08-01,6900000
2001-09-01,6903800
2001-10-01,6907000
2001-11-01,6910000
2001-12-01,6912200
2002-01-01,6914200
2002-02-01,6917100
2002-03-01,6921200
2002-04-01,6926400
2002-05-01,6930800
2002-06-01,6935400
2002-07-01,6938900
2002-08-01,6940100
2002-09-01,6941000
2002-10-01,6941800
2002-11-01,6942800
2002-12-01,6943400
2003-01-01,6943600
2003-02-01,6944700
2003-03-01,6947200
2003-04-01,6950000
2003-05-01,6952400
2003-06-01,6955800
2003-07-01,6958300
2003-08-01,6960500
2003-09-01,6963100
2003-10-01,6965300
2003-11-01,6967100
2003-12-01,6968400
2004-01-01,6969200
2004-02-01,6970700
2004-03-01,6973400
2004-04-01,6976300
2004-05-01,6979500
2004-06-01,6983500
2004-07-01,6986800
2004-08-01,6990300
2004-09-01,6992500
2004-10-01,6994600
2004-11-01,6995800
2004-12-01,6997000
2005-01-01,6997800
2005-02-01,6999700
2005-03-01,7002900
2005-04-01,7006100
2005-05-01,7010700
2005-06-01,7014900
2005-07-01,7019200
2005-08-01,7023300
2005-09-01,7026200
2005-10-01,7028500
2005-11-01,7030600
2005-12-01,7032100
2006-01-01,7032900
2006-02-01,7034700
2006-03-01,7037400
2006-04-01,7040300
2006-05-01,7044400
2006-06-01,7048000
2006-07-01,7052300
2006-08-01,7057600
2006-09-01,7061100
2006-10-01,7064200
2006-11-01,7067000
2006-12-01,7069500
2007-01-01,7070100
2007-02-01,7071600
2007-03-01,7074400
2007-04-01,7077600
2007-05-01,7080800
2007-06-01,7084700
2007-07-01,7089600
2007-08-01,7093600
2007-09-01,7097100
2007-10-01,7100500
2007-11-01,7103600
2007-12-01,7106200
2008-01-01,7107100
2008-02-01,7109300
2008-03-01,7112900
2008-04-01,7117100
2008-05-01,7121300
2008-06-01,7126800
2008-07-01,7131900
2008-08-01,7136000
2008-09-01,7140000
2008-10-01,7143700
2008-11-01,7146900
2008-12-01,7149400
2009-01-01,7150500
2009-02-01,7153000
2009-03-01,7156500
2009-04-01,7160200
2009-05-01,7164100
2009-06-01,7169200
2009-07-01,7173700
2009-08-01,7177300
2009-09-01,7180500
2009-10-01,7182800
2009-11-01,7184300
2009-12-01,7185000
2010-01-01,7184000
2010-02-01,7184100
2010-03-01,7186400
2010-04-01,7188900
2010-05-01,7191800
2010-06-01,7195700
2010-07-01,7199200
2010-08-01,7201700
2010-09-01,7202900
2010-10-01,7203700
2010-11-01,7203800
2010-12-01,7203000
2011-01-01,7200100
2011-02-01,7197700
2011-03-01,7197500
2011-04-01,7197800
2011-05-01,7198200
2011-06-01,7199200
2011-07-01,7201200
2011-08-01,7202600
2011-09-01,7203500
2011-10-01,7204100
2011-11-01,7204300
2011-12-01,7205100
2012-01-01,7203300
2012-02-01,7202100
2012-03-01,7202500
2012-04-01,7204500
2012-05-01,7206200
2012-06-01,7208500
2012-07-01,7211000
2012-08-01,7211300
2012-09-01,7211400
2012-10-01,7211700
2012-11-01,7212000
2012-12-01,7211900
2013-01-01,7208500
2013-02-01,7207400
2013-03-01,7208500
2013-04-01,7210000
2013-05-01,7212200
2013-06-01,7214600
2013-07-01,7217300
2013-08-01,7218800
2013-09-01,7219900
2013-10-01,7221200
2013-11-01,7222200
2013-12-01,7222600
2014-01-01,7221200
2014-02-01,7221200
2014-03-01,7223200
2014-04-01,7226000
2014-05-01,7229000
2014-06-01,7232100
2014-07-01,7234200
2014-08-01,7234800
2014-09-01,7234300
2014-10-01,7233200
2014-11-01,7232100
2014-12-01,7230900
2015-01-01,7226700
2015-02-01,7223700
2015-03-01,7222700
2015-04-01,7222000
2015-05-01,7221800
2015-06-01,7222600
2015-07-01,7223500
2015-08-01,7223300
2015-09-01,7223400
2015-10-01,7223400
2015-11-01,7223000
2015-12-01,7222800
2016-01-01,7222800
2016-02-01,7225500
2016-03-01,7228500
2016-04-01,7231600
2016-05-01,7235800
2016-06-01,7240600
2016-07-01,7242200
2016-08-01,7242900
2016-09-01,7243100
2016-10-01,7242800
2016-11-01,7241900
2016-12-01,7241100
2017-01-01,7239600
2017-02-01,7240100
2017-03-01,7242100
2017-04-01,7244200
2017-05-01,7246500
2017-06-01,7248900
2017-07-01,7253100
2017-08-01,7257500
2017-09-01,7260700
2017-10-01,7263600
2017-11-01,7266500
2017-12-01,7269600
2018-01-01,7273900
2018-02-01,7277800
2018-03-01,7283400
2018-04-01,7290600
2018-05-01,7296200
2018-06-01,7302100
2018-07-01,7309800
2018-08-01,7315200
2018-09-01,7320600
2018-10-01,7326100
2018-11-01,7331200
2018-12-01,7335600
2019-01-01,7339800
2019-02-01,7343000
2019-03-01,7348100
2019-04-01,7355600
2019-05-01,7362700
2019-06-01,7370700
2019-07-01,7380100
2019-08-01,7386500
2019-09-01,7394600
2019-10-01,7400700
2019-11-01,7405700
2019-12-01,7408900
2020-01-01,7411800
2020-02-01,7415800
2020-03-01,7419600
2020-04-01,7419400
2020-05-01,7418600
2020-06-01,7421000
2020-07-01,7423400
2020-08-01,7425000
2020-09-01,7427300
2020-10-01,7429800
2020-11-01,7432100
2020-12-01,7432600
2021-01-01,7431800
2021-02-01,7436000
2021-03-01,7438300
2021-04-01,7440700
2021-05-01,7442500
2021-06-01,7443500
2021-07-01,7450800
2021-08-01,7460300
2021-09-01,7468800
2021-10-01,7479000
2021-11-01,7488700
2021-12-01,7500700
2022-01-01,7509100
2022-02-01,7519600
2022-03-01,7528800
2022-04-01,7537000
2022-05-01,7546500
2022-06-01,7557300
2022-07-01,7566500
2022-08-01,7578300
2022-09-01,7588800
2022-10-01,7603000
2022-11-01,7612000
2022-12-01,7622300
2023-01-01,7638300
2023-02-01,7656400
2023-03-01,7680600
2023-04-01,7701300
2023-05-01,7724100
2023-06-01,7747500
2023-07-01,7769900
2023-08-01,7797900
2023-09-01,7820200
2023-10-01,7841700
2023-11-01,7864900
