"Date","LFUN55TTCAM647S"
1989-09-01,94599.9999999999
1989-10-01,106300
1989-11-01,76300
1989-12-01,74800
1990-01-01,65600
1990-02-01,56600
1990-03-01,49000
1990-04-01,55400
1990-05-01,59900
1990-06-01,68000
1990-07-01,62000
1990-08-01,65100
1990-09-01,68300
1990-10-01,89400
1990-11-01,84100
1990-12-01,87800
1991-01-01,101600
1991-02-01,111900
1991-03-01,130500
1991-04-01,103300
1991-05-01,95300
1991-06-01,91600
1991-07-01,94000
1991-08-01,86200
1991-09-01,77300
1991-10-01,93400
1991-11-01,92300
1991-12-01,91800
1992-01-01,107800
1992-02-01,109300
1992-03-01,136300
1992-04-01,106900
1992-05-01,96300
1992-06-01,90800
1992-07-01,103500
1992-08-01,88100
1992-09-01,78300
1992-10-01,102800
1992-11-01,121000
1992-12-01,110400
1993-01-01,118900
1993-02-01,122800
1993-03-01,134900
1993-04-01,115300
1993-05-01,120400
1993-06-01,105300
1993-07-01,113900
1993-08-01,116500
1993-09-01,91600
1993-10-01,108300
1993-11-01,112600
1993-12-01,112900
1994-01-01,117500
1994-02-01,127200
1994-03-01,130700
1994-04-01,129200
1994-05-01,123000
1994-06-01,107900
1994-07-01,102600
1994-08-01,105600
1994-09-01,85400
1994-10-01,94900
1994-11-01,95000
1994-12-01,94600
1995-01-01,113400
1995-02-01,94500
1995-03-01,97100
1995-04-01,98600
1995-05-01,94400
1995-06-01,103200
1995-07-01,101000
1995-08-01,96700
1995-09-01,84700
1995-10-01,94300
1995-11-01,98700
1995-12-01,89600
1996-01-01,92800
1996-02-01,88000
1996-03-01,86900
1996-04-01,88800
1996-05-01,83900
1996-06-01,96300
1996-07-01,89800
1996-08-01,90200
1996-09-01,91700
1996-10-01,95900
1996-11-01,95500
1996-12-01,91400
1997-01-01,101600
1997-02-01,101700
1997-03-01,92100
1997-04-01,95100
1997-05-01,107000
1997-06-01,103800
1997-07-01,110200
1997-08-01,89600
1997-09-01,92400
1997-10-01,89700
1997-11-01,90900
1997-12-01,72400
1998-01-01,83800
1998-02-01,80100
1998-03-01,76100
1998-04-01,93200
1998-05-01,86100
1998-06-01,92400
1998-07-01,94300
1998-08-01,91400
1998-09-01,77200
1998-10-01,85600
1998-11-01,85100
1998-12-01,84700
1999-01-01,81100
1999-02-01,77000
1999-03-01,80200
1999-04-01,96600
1999-05-01,93200
1999-06-01,81500
1999-07-01,84900
1999-08-01,85100
1999-09-01,69500
1999-10-01,73000
1999-11-01,72800
1999-12-01,70500
2000-01-01,61600
2000-02-01,58900
2000-03-01,51100
2000-04-01,76300
2000-05-01,79799.9999999999
2000-06-01,91200
2000-07-01,75000
2000-08-01,88200
2000-09-01,88900
2000-10-01,93400
2000-11-01,81700
2000-12-01,72200
2001-01-01,84500
2001-02-01,75600
2001-03-01,81700
2001-04-01,85800
2001-05-01,75100
2001-06-01,81100
2001-07-01,87800
2001-08-01,78600
2001-09-01,78000
2001-10-01,79400
2001-11-01,95700
2001-12-01,99400
2002-01-01,122100
2002-02-01,101300
2002-03-01,103500
2002-04-01,99000
2002-05-01,97700
2002-06-01,87400
2002-07-01,97300
2002-08-01,101000
2002-09-01,100600
2002-10-01,101500
2002-11-01,109000
2002-12-01,112800
2003-01-01,113100
2003-02-01,115100
2003-03-01,119600
2003-04-01,130900
2003-05-01,114200
2003-06-01,116800
2003-07-01,107400
2003-08-01,119700
2003-09-01,106900
2003-10-01,107300
2003-11-01,107600
2003-12-01,102600
2004-01-01,113800
2004-02-01,117600
2004-03-01,118600
2004-04-01,118500
2004-05-01,120800
2004-06-01,124100
2004-07-01,114400
2004-08-01,108700
2004-09-01,105100
2004-10-01,107900
2004-11-01,109100
2004-12-01,117200
2005-01-01,109200
2005-02-01,116700
2005-03-01,106100
2005-04-01,109700
2005-05-01,106100
2005-06-01,108000
2005-07-01,103400
2005-08-01,100200
2005-09-01,117000
2005-10-01,113700
2005-11-01,114800
2005-12-01,102000
2006-01-01,104100
2006-02-01,106300
2006-03-01,112500
2006-04-01,110300
2006-05-01,112900
2006-06-01,111100
2006-07-01,129500
2006-08-01,119100
2006-09-01,114400
2006-10-01,112800
2006-11-01,113600
2006-12-01,120600
2007-01-01,112000
2007-02-01,116000
2007-03-01,110800
2007-04-01,113100
2007-05-01,110400
2007-06-01,125700
2007-07-01,119900
2007-08-01,108700
2007-09-01,123200
2007-10-01,127000
2007-11-01,114500
2007-12-01,120000
2008-01-01,111600
2008-02-01,111400
2008-03-01,119500
2008-04-01,109800
2008-05-01,138200
2008-06-01,145100
2008-07-01,119800
2008-08-01,127900
2008-09-01,147900
2008-10-01,149400
2008-11-01,146300
2008-12-01,144800
2009-01-01,168700
2009-02-01,197200
2009-03-01,199500
2009-04-01,193800
2009-05-01,176100
2009-06-01,160300
2009-07-01,185100
2009-08-01,198000
2009-09-01,162600
2009-10-01,163900
2009-11-01,169400
2009-12-01,171100
2010-01-01,190400
2010-02-01,186300
2010-03-01,184700
2010-04-01,177700
2010-05-01,178400
2010-06-01,170300
2010-07-01,188500
2010-08-01,197400
2010-09-01,184300
2010-10-01,179400
2010-11-01,177000
2010-12-01,175000
2011-01-01,182100
2011-02-01,198800
2011-03-01,201800
2011-04-01,211500
2011-05-01,189400
2011-06-01,182500
2011-07-01,176100
2011-08-01,181200
2011-09-01,179300
2011-10-01,167300
2011-11-01,175100
2011-12-01,190100
2012-01-01,196500
2012-02-01,174900
2012-03-01,172600
2012-04-01,174700
2012-05-01,172100
2012-06-01,186800
2012-07-01,175000
2012-08-01,170400
2012-09-01,182500
2012-10-01,189200
2012-11-01,184400
2012-12-01,182400
2013-01-01,180400
2013-02-01,182000
2013-03-01,178600
2013-04-01,182500
2013-05-01,181600
2013-06-01,191900
2013-07-01,204500
2013-08-01,193600
2013-09-01,195000
2013-10-01,199200
2013-11-01,202100
2013-12-01,188200
2014-01-01,193700
2014-02-01,189800
2014-03-01,198800
2014-04-01,189600
2014-05-01,205600
2014-06-01,190100
2014-07-01,191400
2014-08-01,186800
2014-09-01,187200
2014-10-01,206100
2014-11-01,194400
2014-12-01,178200
2015-01-01,190500
2015-02-01,198300
2015-03-01,188700
2015-04-01,186800
2015-05-01,205400
2015-06-01,203600
2015-07-01,200700
2015-08-01,206400
2015-09-01,187500
2015-10-01,179400
2015-11-01,202200
2015-12-01,197000
2016-01-01,218100
2016-02-01,224700
2016-03-01,221500
2016-04-01,225300
2016-05-01,194400
2016-06-01,206000
2016-07-01,213600
2016-08-01,204700
2016-09-01,199000
2016-10-01,205800
2016-11-01,194200
2016-12-01,221000
2017-01-01,210300
2017-02-01,200700
2017-03-01,204900
2017-04-01,199100
2017-05-01,210500
2017-06-01,202800
2017-07-01,188900
2017-08-01,189000
2017-09-01,181200
2017-10-01,189600
2017-11-01,183900
2017-12-01,186800
2018-01-01,189700
2018-02-01,164400
2018-03-01,166300
2018-04-01,174500
2018-05-01,184800
2018-06-01,185800
2018-07-01,181600
2018-08-01,188100
2018-09-01,188500
2018-10-01,180700
2018-11-01,204200
2018-12-01,184800
2019-01-01,200200
2019-02-01,187900
2019-03-01,189600
2019-04-01,191900
2019-05-01,201000
2019-06-01,182100
2019-07-01,174800
2019-08-01,163700
2019-09-01,191400
2019-10-01,182100
2019-11-01,173200
2019-12-01,178700
2020-01-01,190800
2020-02-01,185000
2020-03-01,230700
2020-04-01,428400
2020-05-01,421300
2020-06-01,335700
2020-07-01,363800
2020-08-01,372900
2020-09-01,219500
2020-10-01,217200
2020-11-01,208600
2020-12-01,235800
2021-01-01,344300
2021-02-01,272800
2021-03-01,246300
2021-04-01,279300
2021-05-01,325400
2021-06-01,280300
2021-07-01,280600
2021-08-01,260100
2021-09-01,222800
2021-10-01,239800
2021-11-01,225200
2021-12-01,216300
2022-01-01,259600
2022-02-01,191000
2022-03-01,166700
2022-04-01,180600
2022-05-01,172700
2022-06-01,168500
2022-07-01,160400
2022-08-01,138000
2022-09-01,157200
2022-10-01,164700
2022-11-01,151500
2022-12-01,158800
2023-01-01,181400
2023-02-01,128300
2023-03-01,146300
2023-04-01,145300
2023-05-01,142600
2023-06-01,151600
2023-07-01,163000
2023-08-01,152100
2023-09-01,166700
2023-10-01,171700
2023-11-01,158600
