"Date","CANLOCODWORMLSAM"
1990-11-01,11958.75
1990-12-01,11867.5
1991-01-01,9907.25
1991-02-01,9827.16666666667
1991-03-01,9838.83333333333
1991-04-01,11158.1666666667
1991-05-01,12655.9166666667
1991-06-01,13201.1666666667
1991-07-01,14993.0833333333
1991-08-01,14798.25
1991-09-01,14316.9166666667
1991-10-01,15987.5833333333
1991-11-01,14432.3333333333
1991-12-01,13806.4166666667
1992-01-01,14462.3333333333
1992-02-01,14484.8333333333
1992-03-01,14756
1992-04-01,13992.4166666667
1992-05-01,14117
1992-06-01,14189.4166666667
1992-07-01,15228.1666666667
1992-08-01,13501.25
1992-09-01,14521.5833333333
1992-10-01,13695.25
1992-11-01,14205.4166666667
1992-12-01,14014.4166666667
1993-01-01,11958.4166666667
1993-02-01,12440.75
1993-03-01,12880.5833333333
1993-04-01,13711
1993-05-01,12225.3333333333
1993-06-01,12409
1993-07-01,14471.25
1993-08-01,13437.8333333333
1993-09-01,12961.0833333333
1993-10-01,13515.5
1993-11-01,13645.0833333333
1993-12-01,13466.4166666667
1994-01-01,12501.6666666667
1994-02-01,11965.75
1994-03-01,12653.4166666667
1994-04-01,13375
1994-05-01,13452.75
1994-06-01,14086.5833333333
1994-07-01,13670.25
1994-08-01,12596.5833333333
1994-09-01,12908.3333333333
1994-10-01,12489.0833333333
1994-11-01,12002.4166666667
1994-12-01,10420.0833333333
1995-01-01,11395.5833333333
1995-02-01,10248
1995-03-01,8243.25
1995-04-01,9559.58333333334
1995-05-01,8125.16666666667
1995-06-01,9335.75
1995-07-01,8750.41666666666
1995-08-01,9062.5
1995-09-01,9345.25
1995-10-01,9220.66666666666
1995-11-01,9547.75
1995-12-01,9949.58333333334
1996-01-01,8576.5
1996-02-01,8613.5
1996-03-01,9226.41666666666
1996-04-01,8835.33333333334
1996-05-01,10701
1996-06-01,11591.8333333333
1996-07-01,10902.75
1996-08-01,10815
1996-09-01,11377.5
1996-10-01,9841.5
1996-11-01,11683.3333333333
1996-12-01,11443.75
1997-01-01,11215.4166666667
1997-02-01,12387.5
1997-03-01,11906.25
1997-04-01,11935.5
1997-05-01,12515.8333333333
1997-06-01,12041.1666666667
1997-07-01,12892.3333333333
1997-08-01,12869.25
1997-09-01,12731.6666666667
1997-10-01,12208.75
1997-11-01,12345.8333333333
1997-12-01,12373.25
1998-01-01,10939.0833333333
1998-02-01,11856.5833333333
1998-03-01,12042.75
1998-04-01,12098.0833333333
1998-05-01,11696.5
1998-06-01,10933.5
1998-07-01,10385.9166666667
1998-08-01,11835.3333333333
1998-09-01,11613.75
1998-10-01,11501.8333333333
1998-11-01,10940.5833333333
1998-12-01,11829.75
1999-01-01,10937.4166666667
1999-02-01,11623.3333333333
1999-03-01,11821.5
1999-04-01,12171.3333333333
1999-05-01,12647.0833333333
1999-06-01,12756.3333333333
1999-07-01,12127.25
1999-08-01,12671.0833333333
1999-09-01,13049.6666666667
1999-10-01,12748.6666666667
1999-11-01,13791.6666666667
1999-12-01,13460.5
2000-01-01,11432.8333333333
2000-02-01,12492
2000-03-01,12866.75
2000-04-01,13063.5
2000-05-01,12029.5
2000-06-01,11022.0833333333
2000-07-01,13887.3333333333
2000-08-01,12480
2000-09-01,13749.6666666667
2000-10-01,13829.8333333333
2000-11-01,13076.4166666667
2000-12-01,12040.25
2001-01-01,13479.8333333333
2001-02-01,12152.9166666667
2001-03-01,12574.6666666667
2001-04-01,13812.25
2001-05-01,13300.25
2001-06-01,14702
2001-07-01,12408.8333333333
2001-08-01,13936.0833333333
2001-09-01,13187.4166666667
2001-10-01,14147.25
2001-11-01,14509.1666666667
2001-12-01,14787
2002-01-01,17866.5
2002-02-01,15312.5833333333
2002-03-01,16997.1666666667
2002-04-01,16003.1666666667
2002-05-01,17589.4166666667
2002-06-01,17086.9166666667
2002-07-01,16545.25
2002-08-01,18026.5
2002-09-01,16583.4166666667
2002-10-01,18743.8333333333
2002-11-01,18185.6666666667
2002-12-01,16463.6666666667
2003-01-01,15762.5833333333
2003-02-01,20035
2003-03-01,16472.3333333333
2003-04-01,17510.4166666667
2003-05-01,16298.8333333333
2003-06-01,17371.4166666667
2003-07-01,18821.1666666667
2003-08-01,19998.1666666667
2003-09-01,19494
2003-10-01,21137
2003-11-01,18049.25
2003-12-01,18028.1666666667
2004-01-01,16153.4166666667
2004-02-01,18113.3333333333
2004-03-01,20374.5833333333
2004-04-01,20156.0833333333
2004-05-01,19395.0833333333
2004-06-01,19456.4166666667
2004-07-01,18690.25
2004-08-01,22286
2004-09-01,19926.8333333333
2004-10-01,19942.6666666667
2004-11-01,20535.9166666667
2004-12-01,19091.8333333333
2005-01-01,15439.8333333333
2005-02-01,17692.5833333333
2005-03-01,17761.6666666667
2005-04-01,20934.4166666667
2005-05-01,18617.4166666667
2005-06-01,19754.4166666667
2005-07-01,20819.8333333333
2005-08-01,17450.9166666667
2005-09-01,19346.9166666667
2005-10-01,18251.9166666667
2005-11-01,19649.1666666667
2005-12-01,19448
2006-01-01,18635.1666666667
2006-02-01,19841.25
2006-03-01,20772.5
2006-04-01,19469.6666666667
2006-05-01,18410.8333333333
2006-06-01,20149.1666666667
2006-07-01,20165.5
2006-08-01,17595.25
2006-09-01,17011.4166666667
2006-10-01,19258.25
2006-11-01,19561.75
2006-12-01,17581.4166666667
2007-01-01,20405.5833333333
2007-02-01,16456.5
2007-03-01,18395.1666666667
2007-04-01,18843.9166666667
2007-05-01,19729.5833333333
2007-06-01,19077.8333333333
2007-07-01,18607.6666666667
2007-08-01,19300.5833333333
2007-09-01,24053.6666666667
2007-10-01,19444.6666666667
2007-11-01,19448.5833333333
2007-12-01,14614
2008-01-01,16887.4166666667
2008-02-01,19528.5
2008-03-01,19780
2008-04-01,18608.5833333333
2008-05-01,19086.1666666667
2008-06-01,18657.0833333333
2008-07-01,16230.5
2008-08-01,18261
2008-09-01,19118.4166666667
2008-10-01,18314.6666666667
2008-11-01,14132.3333333333
2008-12-01,12525.4166666667
2009-01-01,11026.1666666667
2009-02-01,9643.5
2009-03-01,11761.5
2009-04-01,9315.08333333334
2009-05-01,10654.75
2009-06-01,11894.0833333333
2009-07-01,11463.9166666667
2009-08-01,13782
2009-09-01,13884
2009-10-01,15644
2009-11-01,14469.6666666667
2009-12-01,14429.3333333333
2010-01-01,15927.75
2010-02-01,16894.5
2010-03-01,16354.0833333333
2010-04-01,17245.5
2010-05-01,16697.1666666667
2010-06-01,15925.3333333333
2010-07-01,16341.5833333333
2010-08-01,16036
2010-09-01,15556.4166666667
2010-10-01,14508.5
2010-11-01,16175.3333333333
2010-12-01,13901.9166666667
2011-01-01,14179.75
2011-02-01,14953.1666666667
2011-03-01,15423.3333333333
2011-04-01,15658.4166666667
2011-05-01,16051.6666666667
2011-06-01,16363.1666666667
2011-07-01,17495.25
2011-08-01,15985
2011-09-01,17447.5833333333
2011-10-01,17720
2011-11-01,15427.5
2011-12-01,16682.4166666667
2012-01-01,16919.0833333333
2012-02-01,17251.9166666667
2012-03-01,17821.75
2012-04-01,21104.5
2012-05-01,17749.6666666667
2012-06-01,18454.9166666667
2012-07-01,17703.75
2012-08-01,19309.3333333333
2012-09-01,18654.6666666667
2012-10-01,17159.6666666667
2012-11-01,16614.6666666667
2012-12-01,16667.0833333333
2013-01-01,13703.5833333333
2013-02-01,15401.5
2013-03-01,15165.8333333333
2013-04-01,14942.5833333333
2013-05-01,16262.0833333333
2013-06-01,15968.3333333333
2013-07-01,16440.8333333333
2013-08-01,15636.1666666667
2013-09-01,16235.0833333333
2013-10-01,16662
2013-11-01,16153.3333333333
2013-12-01,15460.0833333333
2014-01-01,15432.5
2014-02-01,15979.6666666667
2014-03-01,13562.1666666667
2014-04-01,16526.6666666667
2014-05-01,16304.75
2014-06-01,16251.1666666667
2014-07-01,16882.5833333333
2014-08-01,16322.4166666667
2014-09-01,15977
2014-10-01,14978.25
2014-11-01,16115.8333333333
2014-12-01,14774.6666666667
2015-01-01,15592.9166666667
2015-02-01,12266.4166666667
2015-03-01,16049.75
2015-04-01,15151.25
2015-05-01,16631.3333333333
2015-06-01,16822.5833333333
2015-07-01,16016.9166666667
2015-08-01,18041.3333333333
2015-09-01,18704.5833333333
2015-10-01,16319.5833333333
2015-11-01,17730.1666666667
2015-12-01,14270.6666666667
2016-01-01,14580.9166666667
2016-02-01,17759
2016-03-01,16749.1666666667
2016-04-01,15906.1666666667
2016-05-01,15633.5
2016-06-01,18308.4166666667
2016-07-01,16407.3333333333
2016-08-01,15481.8333333333
2016-09-01,18059.8333333333
2016-10-01,16226.4166666667
2016-11-01,15651.4166666667
2016-12-01,17145.25
2017-01-01,17128.1666666667
2017-02-01,17414.4166666667
2017-03-01,20900.9166666667
2017-04-01,17787.6666666667
2017-05-01,16146.75
2017-06-01,17778.1666666667
2017-07-01,18757.6666666667
2017-08-01,18792.8333333333
2017-09-01,18248.5
2017-10-01,18488.0833333333
2017-11-01,20860.5833333333
2017-12-01,18008.0833333333
2018-01-01,18067.6666666667
2018-02-01,19277.8333333333
2018-03-01,18822.5833333333
2018-04-01,17924.4166666667
2018-05-01,16226.4166666667
2018-06-01,20430.75
2018-07-01,17145.9166666667
2018-08-01,16748.8333333333
