"Date","LFEASETTCAM647S"
1978-10-01,6899910.74968353
1978-11-01,6917309.0070493
1978-12-01,6922559.33894314
1979-01-01,6954169.35980833
1979-02-01,6966090.31092631
1979-03-01,6996278.85857503
1979-04-01,7029889.65580798
1979-05-01,7057224.40303263
1979-06-01,7075587.56310661
1979-07-01,7111202.02787916
1979-08-01,7131133.97406737
1979-09-01,7142679.84724528
1979-10-01,7170078.78243827
1979-11-01,7207508.76774328
1979-12-01,7225081.41470555
1980-01-01,7252430.94994265
1980-02-01,7260167.63059732
1980-03-01,7273921.52980539
1980-04-01,7286207.88662162
1980-05-01,7263569.10706472
1980-06-01,7322049.76146807
1980-07-01,7324275.05513994
1980-08-01,7362732.57031765
1980-09-01,7399824.83772973
1980-10-01,7428600.44826471
1980-11-01,7470866.13800702
1980-12-01,7471699.85771367
1981-01-01,7533388.44143143
1981-02-01,7551201.77374747
1981-03-01,7542589.18300299
1981-04-01,7573631.57679468
1981-05-01,7606619.97739031
1981-06-01,7648702.6657075
1981-07-01,7603875.73809418
1981-08-01,7638541.7171252
1981-09-01,7636895.62732487
1981-10-01,7634645.62788342
1981-11-01,7632955.74492201
1981-12-01,7630262.0182541
1982-01-01,7632969.59975538
1982-02-01,7634538.11986583
1982-03-01,7619858.44704362
1982-04-01,7608667.43121401
1982-05-01,7584516.17591902
1982-06-01,7569510.79935845
1982-07-01,7540604.94989514
1982-08-01,7510287.70276648
1982-09-01,7514833.51223866
1982-10-01,7519026.77427398
1982-11-01,7515687.71630922
1982-12-01,7524752.06602726
1983-01-01,7536544.02028449
1983-02-01,7558160.29883085
1983-03-01,7609397.35429264
1983-04-01,7628957.30800068
1983-05-01,7654380.6892292
1983-06-01,7698277.79454274
1983-07-01,7725004.55224956
1983-08-01,7746332.49586027
1983-09-01,7782072.10659685
1983-10-01,7792934.79634789
1983-11-01,7785572.49893127
1983-12-01,7830176.53368402
1984-01-01,7816953.50047262
1984-02-01,7846735.15923842
1984-03-01,7852859.48098764
1984-04-01,7823732.98687787
1984-05-01,7873489.15180406
1984-06-01,7888270.99916153
1984-07-01,7957814.23398934
1984-08-01,7953516.32530816
1984-09-01,7951267.94562606
1984-10-01,7958806.8549578
1984-11-01,7999560.73277749
1984-12-01,8028967.77061167
1985-01-01,7920527.65315869
1985-02-01,7963036.9394877
1985-03-01,7986711.81049816
1985-04-01,8021330.00913268
1985-05-01,8057140.54570841
1985-06-01,8072078.63083811
1985-07-01,8129941.44621846
1985-08-01,8126230.87887682
1985-09-01,8157829.86849672
1985-10-01,8189195.81383802
1985-11-01,8232651.99291606
1985-12-01,8251763.01741292
1986-01-01,8299524.51097589
1986-02-01,8305396.83502934
1986-03-01,8327979.02096347
1986-04-01,8358450.46925348
1986-05-01,8386106.54195862
1986-06-01,8462675.38546933
1986-07-01,8470774.27689614
1986-08-01,8476902.35690319
1986-09-01,8484051.5131856
1986-10-01,8499287.7773788
1986-11-01,8513647.83546128
1986-12-01,8533728.47128596
1987-01-01,8550700
1987-02-01,8574400
1987-03-01,8600600
1987-04-01,8636200
1987-05-01,8655000
1987-06-01,8675200
1987-07-01,8693500
1987-08-01,8726400
1987-09-01,8764600
1987-10-01,8810600
1987-11-01,8831700
1987-12-01,8875100
1988-01-01,8899900
1988-02-01,8914900
1988-03-01,8942600
1988-04-01,8947900
1988-05-01,8953800
1988-06-01,8966200
1988-07-01,8962500
1988-08-01,8961600
1988-09-01,8965500
1988-10-01,8998700
1988-11-01,9018100
1988-12-01,9051200
1989-01-01,9104200
1989-02-01,9122800
1989-03-01,9164700
1989-04-01,9136500
1989-05-01,9139100
1989-06-01,9155500
1989-07-01,9152900
1989-08-01,9185600
1989-09-01,9210300
1989-10-01,9222200
1989-11-01,9240400
1989-12-01,9258700
1990-01-01,9293400
1990-02-01,9311600
1990-03-01,9314700
1990-04-01,9336900
1990-05-01,9337600
1990-06-01,9359400
1990-07-01,9355300
1990-08-01,9339700
1990-09-01,9358200
1990-10-01,9347200
1990-11-01,9342900
1990-12-01,9315700
1991-01-01,9300400
1991-02-01,9299700
1991-03-01,9290800
1991-04-01,9328900
1991-05-01,9332100
1991-06-01,9346500
1991-07-01,9359000
1991-08-01,9376000
1991-09-01,9346200
1991-10-01,9365800
1991-11-01,9350800
1991-12-01,9350000
1992-01-01,9338600
1992-02-01,9333300
1992-03-01,9333800
1992-04-01,9324400
1992-05-01,9340300
1992-06-01,9324000
1992-07-01,9337000
1992-08-01,9317100
1992-09-01,9330600
1992-10-01,9359900
1992-11-01,9356900
1992-12-01,9379800
1993-01-01,9402800
1993-02-01,9412800
1993-03-01,9433400
1993-04-01,9429400
1993-05-01,9437000
1993-06-01,9457200
1993-07-01,9460700
1993-08-01,9490500
1993-09-01,9535700
1993-10-01,9511500
1993-11-01,9532900
1993-12-01,9538200
1994-01-01,9558900
1994-02-01,9586200
1994-03-01,9589000
1994-04-01,9576100
1994-05-01,9627100
1994-06-01,9639300
1994-07-01,9682500
1994-08-01,9699800
1994-09-01,9727500
1994-10-01,9721300
1994-11-01,9779400
1994-12-01,9768600
1995-01-01,9783000
1995-02-01,9781300
1995-03-01,9804600
1995-04-01,9799300
1995-05-01,9782800
1995-06-01,9807800
1995-07-01,9829300
1995-08-01,9843600
1995-09-01,9858500
1995-10-01,9883500
1995-11-01,9865500
1995-12-01,9900600
1996-01-01,9927000
1996-02-01,9948600
1996-03-01,9934200
1996-04-01,9952000
1996-05-01,9979300
1996-06-01,9961200
1996-07-01,9968800
1996-08-01,9955500
1996-09-01,9920000
1996-10-01,9927400
1996-11-01,9943000
1996-12-01,9960200
1997-01-01,9999800
1997-02-01,10003300
1997-03-01,10032300
1997-04-01,10043300
1997-05-01,10100800
1997-06-01,10133100
1997-07-01,10161300
1997-08-01,10205000
1997-09-01,10208000
1997-10-01,10229500
1997-11-01,10240700
1997-12-01,10237400
1998-01-01,10234800
1998-02-01,10265300
1998-03-01,10293400
1998-04-01,10314300
1998-05-01,10333400
1998-06-01,10362800
1998-07-01,10398800
1998-08-01,10408900
1998-09-01,10465000
1998-10-01,10474000
1998-11-01,10507400
1998-12-01,10504300
1999-01-01,10576600
1999-02-01,10562500
1999-03-01,10578800
1999-04-01,10619600
1999-05-01,10638900
1999-06-01,10654000
1999-07-01,10690300
1999-08-01,10713400
1999-09-01,10722200
1999-10-01,10737600
1999-11-01,10759600
1999-12-01,10797800
2000-01-01,10824200
2000-02-01,10852400
2000-03-01,10878000
2000-04-01,10900800
2000-05-01,10910000
2000-06-01,10940800
2000-07-01,10954400
2000-08-01,10984000
2000-09-01,11009200
2000-10-01,11039800
2000-11-01,11067000
2000-12-01,11089700
2001-01-01,11075700
2001-02-01,11087900
2001-03-01,11085900
2001-04-01,11114600
2001-05-01,11160100
2001-06-01,11154000
2001-07-01,11187300
2001-08-01,11189500
2001-09-01,11201900
2001-10-01,11215100
2001-11-01,11259700
2001-12-01,11232600
2002-01-01,11276200
2002-02-01,11264200
2002-03-01,11305800
2002-04-01,11351400
2002-05-01,11374300
2002-06-01,11402700
2002-07-01,11424700
2002-08-01,11481500
2002-09-01,11470900
2002-10-01,11485200
2002-11-01,11520700
2002-12-01,11575200
2003-01-01,11603400
2003-02-01,11651600
2003-03-01,11687700
2003-04-01,11685100
2003-05-01,11668700
2003-06-01,11722800
2003-07-01,11719800
2003-08-01,11715900
2003-09-01,11762500
2003-10-01,11813500
2003-11-01,11835900
2003-12-01,11875100
2004-01-01,11876400
2004-02-01,11868500
2004-03-01,11860300
2004-04-01,11889500
2004-05-01,11895200
2004-06-01,11922800
2004-07-01,11928400
2004-08-01,11935100
2004-09-01,11981600
2004-10-01,11972200
2004-11-01,12007900
2004-12-01,12012400
2005-01-01,12008500
2005-02-01,12056100
2005-03-01,12041500
2005-04-01,12066300
2005-05-01,12099600
2005-06-01,12070500
2005-07-01,12159500
2005-08-01,12163700
2005-09-01,12171800
2005-10-01,12219600
2005-11-01,12246200
2005-12-01,12242300
2006-01-01,12329800
2006-02-01,12289400
2006-03-01,12333600
2006-04-01,12364400
2006-05-01,12439500
2006-06-01,12456100
2006-07-01,12480900
2006-08-01,12475700
2006-09-01,12479600
2006-10-01,12504900
2006-11-01,12491200
2006-12-01,12534900
2007-01-01,12597500
2007-02-01,12638700
2007-03-01,12701600
2007-04-01,12694800
2007-05-01,12715700
2007-06-01,12759600
2007-07-01,12798400
2007-08-01,12824600
2007-09-01,12871200
2007-10-01,12919400
2007-11-01,12940200
2007-12-01,12964800
2008-01-01,12968600
2008-02-01,13005500
2008-03-01,12989700
2008-04-01,12986600
2008-05-01,12978800
2008-06-01,12987000
2008-07-01,12993700
2008-08-01,12991000
2008-09-01,13031300
2008-10-01,13090900
2008-11-01,13026100
2008-12-01,13027100
2009-01-01,13000100
2009-02-01,12993700
2009-03-01,12982000
2009-04-01,12992300
2009-05-01,13027800
2009-06-01,12996100
2009-07-01,12989600
2009-08-01,12994900
2009-09-01,13011000
2009-10-01,13022400
2009-11-01,13088100
2009-12-01,13066800
2010-01-01,13109900
2010-02-01,13097100
2010-03-01,13149500
2010-04-01,13186700
2010-05-01,13215200
2010-06-01,13276100
2010-07-01,13283200
2010-08-01,13308200
2010-09-01,13306100
2010-10-01,13298500
2010-11-01,13314800
2010-12-01,13336300
2011-01-01,13375900
2011-02-01,13356100
2011-03-01,13354900
2011-04-01,13393300
2011-05-01,13354800
2011-06-01,13415000
2011-07-01,13453300
2011-08-01,13460400
2011-09-01,13446600
2011-10-01,13446700
2011-11-01,13440800
2011-12-01,13453700
2012-01-01,13454300
2012-02-01,13433700
2012-03-01,13496900
2012-04-01,13555100
2012-05-01,13536500
2012-06-01,13528300
2012-07-01,13531200
2012-08-01,13580400
2012-09-01,13630600
2012-10-01,13649500
2012-11-01,13681100
2012-12-01,13714000
2013-01-01,13719700
2013-02-01,13780500
2013-03-01,13721000
2013-04-01,13726600
2013-05-01,13783600
2013-06-01,13782000
2013-07-01,13756500
2013-08-01,13805200
2013-09-01,13808000
2013-10-01,13789600
2013-11-01,13811900
2013-12-01,13801300
2014-01-01,13816000
2014-02-01,13816500
2014-03-01,13824900
2014-04-01,13842200
2014-05-01,13860000
2014-06-01,13859200
2014-07-01,13915900
2014-08-01,13874800
2014-09-01,13880800
2014-10-01,13911600
2014-11-01,13917600
2014-12-01,13940300
2015-01-01,13955600
2015-02-01,13993900
2015-03-01,14038000
2015-04-01,13997200
2015-05-01,14012500
2015-06-01,14006900
2015-07-01,14018200
2015-08-01,14043000
2015-09-01,14044100
2015-10-01,14094000
2015-11-01,14027400
2015-12-01,14026300
2016-01-01,14028600
2016-02-01,14038500
2016-03-01,14078200
2016-04-01,14124600
2016-05-01,14142900
2016-06-01,14178800
2016-07-01,14152400
2016-08-01,14185100
2016-09-01,14210700
2016-10-01,14236300
2016-11-01,14279100
2016-12-01,14314700
2017-01-01,14362800
2017-02-01,14381300
2017-03-01,14408400
2017-04-01,14413300
2017-05-01,14442700
2017-06-01,14484800
2017-07-01,14505000
2017-08-01,14533900
2017-09-01,14538800
2017-10-01,14530000
2017-11-01,14598700
2017-12-01,14641600
2018-01-01,14618200
2018-02-01,14619100
2018-03-01,14644900
2018-04-01,14668500
2018-05-01,14685600
2018-06-01,14710900
2018-07-01,14820400
2018-08-01,14779600
2018-09-01,14821000
2018-10-01,14836900
2018-11-01,14891800
2018-12-01,14929600
2019-01-01,15005100
2019-02-01,15064900
2019-03-01,15045000
2019-04-01,15127800
2019-05-01,15138700
2019-06-01,15154100
2019-07-01,15129100
2019-08-01,15167800
2019-09-01,15166400
2019-10-01,15184500
2019-11-01,15159900
2019-12-01,15221500
2020-01-01,15226300
2020-02-01,15218300
2020-03-01,14162100
2020-04-01,12758100
2020-05-01,12882200
2020-06-01,13738800
2020-07-01,14099800
2020-08-01,14280300
2020-09-01,14630400
2020-10-01,14671000
2020-11-01,14697900
2020-12-01,14617000
2021-01-01,14419800
2021-02-01,14680500
2021-03-01,14924300
2021-04-01,14734500
2021-05-01,14711300
2021-06-01,14987200
2021-07-01,15085300
2021-08-01,15156900
2021-09-01,15294600
2021-10-01,15331400
2021-11-01,15459300
2021-12-01,15509800
2022-01-01,15282600
2022-02-01,15584500
2022-03-01,15604200
2022-04-01,15647900
2022-05-01,15693600
2022-06-01,15633600
2022-07-01,15639600
2022-08-01,15608300
2022-09-01,15650100
2022-10-01,15678900
2022-11-01,15720800
2022-12-01,15766800
2023-01-01,15891500
2023-02-01,15895700
2023-03-01,15971200
2023-04-01,16006400
2023-05-01,15966300
2023-06-01,16016300
2023-07-01,16037500
2023-08-01,16079900
2023-09-01,16154200
2023-10-01,16164200
2023-11-01,16150800
