"Date","CANPRCNTO01MLSAM"
1998-11-01,6906750000
1998-12-01,6930833333.33333
1999-01-01,7064833333.33333
1999-02-01,7080333333.33333
1999-03-01,6985500000
1999-04-01,7119916666.66667
1999-05-01,7187583333.33333
1999-06-01,7200833333.33333
1999-07-01,7286833333.33333
1999-08-01,7262666666.66667
1999-09-01,7324750000
1999-10-01,7.398e+09
1999-11-01,7537833333.33333
1999-12-01,7641833333.33333
2000-01-01,7.624e+09
2000-02-01,7612333333.33333
2000-03-01,7573666666.66667
2000-04-01,7579416666.66667
2000-05-01,7517750000
2000-06-01,7482916666.66667
2000-07-01,7531083333.33333
2000-08-01,7550083333.33333
2000-09-01,7.592e+09
2000-10-01,7633083333.33333
2000-11-01,7628416666.66667
2000-12-01,7648500000
2001-01-01,7801666666.66667
2001-02-01,7854333333.33333
2001-03-01,8011833333.33333
2001-04-01,7975083333.33333
2001-05-01,7969333333.33333
2001-06-01,7998083333.33333
2001-07-01,8081833333.33333
2001-08-01,8.14e+09
2001-09-01,8.206e+09
2001-10-01,8256833333.33333
2001-11-01,8306750000
2001-12-01,8328583333.33333
2002-01-01,8364833333.33333
2002-02-01,8361416666.66667
2002-03-01,8364750000
2002-04-01,8461250000
2002-05-01,8447750000
2002-06-01,8598750000
2002-07-01,8551083333.33333
2002-08-01,8552250000
2002-09-01,8558833333.33333
2002-10-01,8676833333.33334
2002-11-01,8627666666.66666
2002-12-01,8568500000
2003-01-01,8586083333.33333
2003-02-01,8644250000
2003-03-01,8645750000
2003-04-01,8652916666.66666
2003-05-01,8649833333.33334
2003-06-01,8686333333.33334
2003-07-01,8701583333.33334
2003-08-01,8819500000
2003-09-01,8816083333.33334
2003-10-01,8872916666.66666
2003-11-01,8920083333.33334
2003-12-01,8922833333.33334
2004-01-01,8997250000
2004-02-01,9008750000
2004-03-01,9076750000
2004-04-01,9097750000
2004-05-01,9174750000
2004-06-01,9163083333.33334
2004-07-01,9253416666.66666
2004-08-01,9277833333.33334
2004-09-01,9344333333.33334
2004-10-01,9.36e+09
2004-11-01,9379166666.66666
2004-12-01,9468916666.66666
2005-01-01,9460166666.66666
2005-02-01,9501833333.33334
2005-03-01,9534833333.33334
2005-04-01,9611750000
2005-05-01,9661750000
2005-06-01,9627333333.33334
2005-07-01,9702916666.66666
2005-08-01,9686250000
2005-09-01,9650750000
2005-10-01,9688583333.33334
2005-11-01,9744333333.33334
2005-12-01,9799500000
2006-01-01,9786250000
2006-02-01,9903500000
2006-03-01,9945166666.66666
2006-04-01,9957500000
2006-05-01,9932666666.66666
2006-06-01,9911166666.66666
2006-07-01,9948250000
2006-08-01,10007416666.6667
2006-09-01,10059333333.3333
2006-10-01,10089833333.3333
2006-11-01,10180916666.6667
2006-12-01,10276666666.6667
2007-01-01,10348166666.6667
2007-02-01,10376583333.3333
2007-03-01,10430333333.3333
2007-04-01,10468166666.6667
2007-05-01,1.0576e+10
2007-06-01,10597583333.3333
2007-07-01,10613500000
2007-08-01,10651416666.6667
2007-09-01,10653333333.3333
2007-10-01,10572166666.6667
2007-11-01,10584250000
2007-12-01,10712166666.6667
2008-01-01,10875250000
2008-02-01,10892833333.3333
2008-03-01,10865083333.3333
2008-04-01,10748916666.6667
2008-05-01,10876083333.3333
2008-06-01,10819666666.6667
2008-07-01,10809333333.3333
2008-08-01,10801333333.3333
2008-09-01,10864166666.6667
2008-10-01,10936333333.3333
2008-11-01,10794750000
2008-12-01,10573416666.6667
2009-01-01,10204166666.6667
2009-02-01,10077083333.3333
2009-03-01,9.96e+09
2009-04-01,9898250000
2009-05-01,9966500000
2009-06-01,9979500000
2009-07-01,10007166666.6667
2009-08-01,10095416666.6667
2009-09-01,10204583333.3333
2009-10-01,10301666666.6667
2009-11-01,10500333333.3333
2009-12-01,10606500000
2010-01-01,10769833333.3333
2010-02-01,10815416666.6667
2010-03-01,1.0853e+10
2010-04-01,10888750000
2010-05-01,10859916666.6667
2010-06-01,10910916666.6667
2010-07-01,10913500000
2010-08-01,10987833333.3333
2010-09-01,11010333333.3333
2010-10-01,1.104e+10
2010-11-01,11061916666.6667
2010-12-01,11096333333.3333
2011-01-01,11192083333.3333
2011-02-01,11238916666.6667
2011-03-01,11195250000
2011-04-01,11171333333.3333
2011-05-01,11151916666.6667
2011-06-01,11272583333.3333
2011-07-01,11350666666.6667
2011-08-01,11430416666.6667
2011-09-01,11474500000
2011-10-01,11477666666.6667
2011-11-01,11529166666.6667
2011-12-01,11658750000
2012-01-01,11740916666.6667
2012-02-01,11867833333.3333
2012-03-01,12005083333.3333
2012-04-01,12190250000
2012-05-01,12193083333.3333
2012-06-01,1.2215e+10
2012-07-01,12253916666.6667
2012-08-01,12306750000
2012-09-01,12368333333.3333
2012-10-01,12485333333.3333
2012-11-01,12525750000
2012-12-01,12574500000
2013-01-01,12572666666.6667
2013-02-01,12638166666.6667
2013-03-01,12714666666.6667
2013-04-01,12801416666.6667
2013-05-01,12847666666.6667
2013-06-01,1.2537e+10
2013-07-01,12798916666.6667
2013-08-01,1.284e+10
2013-09-01,12802083333.3333
2013-10-01,12841166666.6667
2013-11-01,12856833333.3333
2013-12-01,12723416666.6667
2014-01-01,12824916666.6667
2014-02-01,12909083333.3333
2014-03-01,12861416666.6667
2014-04-01,12819666666.6667
2014-05-01,12993416666.6667
2014-06-01,1.306e+10
2014-07-01,13159500000
2014-08-01,13111083333.3333
2014-09-01,13164166666.6667
2014-10-01,13324083333.3333
2014-11-01,13331833333.3333
2014-12-01,13277750000
2015-01-01,13142166666.6667
2015-02-01,13003166666.6667
2015-03-01,12850083333.3333
2015-04-01,12794916666.6667
2015-05-01,12868333333.3333
2015-06-01,12785166666.6667
2015-07-01,12752333333.3333
2015-08-01,12775416666.6667
2015-09-01,12649750000
2015-10-01,12606666666.6667
2015-11-01,12588416666.6667
2015-12-01,12506666666.6667
2016-01-01,12508750000
2016-02-01,12388750000
2016-03-01,12228416666.6667
2016-04-01,12304500000
2016-05-01,12089583333.3333
2016-06-01,11975250000
2016-07-01,12031750000
2016-08-01,11970666666.6667
2016-09-01,12061916666.6667
2016-10-01,12093166666.6667
2016-11-01,12173750000
2016-12-01,12181583333.3333
2017-01-01,12257250000
2017-02-01,12295166666.6667
2017-03-01,12309166666.6667
2017-04-01,12509333333.3333
2017-05-01,12378166666.6667
2017-06-01,12612916666.6667
2017-07-01,12702416666.6667
2017-08-01,12651666666.6667
2017-09-01,12772833333.3333
2017-10-01,12900583333.3333
2017-11-01,12957166666.6667
2017-12-01,12919333333.3333
2018-01-01,1.296e+10
2018-02-01,13061333333.3333
2018-03-01,13090666666.6667
2018-04-01,13100750000
2018-05-01,13139166666.6667
2018-06-01,13056583333.3333
2018-07-01,12991416666.6667
2018-08-01,12901166666.6667
2018-09-01,12848916666.6667
2018-10-01,12802083333.3333
2018-11-01,12734583333.3333
2018-12-01,12738333333.3333
2019-01-01,12776583333.3333
2019-02-01,12735500000
2019-03-01,12792250000
2019-04-01,12794166666.6667
2019-05-01,12944750000
2019-06-01,13113166666.6667
2019-07-01,13262833333.3333
2019-08-01,13150333333.3333
2019-09-01,13201500000
2019-10-01,13150166666.6667
2019-11-01,13243500000
2019-12-01,13304250000
2020-01-01,13410500000
2020-02-01,13422250000
2020-03-01,12862583333.3333
2020-04-01,10638500000
2020-05-01,12263833333.3333
2020-06-01,13002666666.6667
2020-07-01,12773166666.6667
2020-08-01,12750583333.3333
2020-09-01,12795416666.6667
2020-10-01,12944166666.6667
2020-11-01,12965083333.3333
2020-12-01,13102250000
2021-01-01,13284916666.6667
2021-02-01,13530750000
2021-03-01,13843833333.3333
2021-04-01,14160583333.3333
2021-05-01,1.3795e+10
2021-06-01,13646666666.6667
