"Date","CANODCNPI03MLM"
1999-08-01,1791245000
1999-09-01,1673777000
1999-10-01,1741372000
1999-11-01,1717780000
1999-12-01,1268463000
2000-01-01,970117000
2000-02-01,1099352000
2000-03-01,1963282000
2000-04-01,1853916000
2000-05-01,2275734000
2000-06-01,2132134000
2000-07-01,1815615000
2000-08-01,2064780000
2000-09-01,1719671000
2000-10-01,1750392000
2000-11-01,1644902000
2000-12-01,1052191000
2001-01-01,1171015000
2001-02-01,1312753000
2001-03-01,1947339000
2001-04-01,1843449000
2001-05-01,2626982000
2001-06-01,2399256000
2001-07-01,2058542000
2001-08-01,2053896000
2001-09-01,1843642000
2001-10-01,2000179000
2001-11-01,1991994000
2001-12-01,1370145000
2002-01-01,1442290000
2002-02-01,1617661000
2002-03-01,2543192000
2002-04-01,3252886000
2002-05-01,3215679000
2002-06-01,2789674000
2002-07-01,2760392000
2002-08-01,2826094000
2002-09-01,2433344000
2002-10-01,2752108000
2002-11-01,2254182000
2002-12-01,1699368000
2003-01-01,1737237000
2003-02-01,1637222000
2003-03-01,2649921000
2003-04-01,2869753000
2003-05-01,3278123000
2003-06-01,3231775000
2003-07-01,3155311000
2003-08-01,2671740000
2003-09-01,3057465000
2003-10-01,2919850000
2003-11-01,2656049000
2003-12-01,2106972000
2004-01-01,1855506000
2004-02-01,1918442000
2004-03-01,3308349000
2004-04-01,3612441000
2004-05-01,3481989000
2004-06-01,4318517000
2004-07-01,3413046000
2004-08-01,3322562000
2004-09-01,3121148000
2004-10-01,3119440000
2004-11-01,3025066000
2004-12-01,2336942000
2005-01-01,1751259000
2005-02-01,2232280000
2005-03-01,3117600000
2005-04-01,3635355000
2005-05-01,3969630000
2005-06-01,3948536000
2005-07-01,3357822000
2005-08-01,3430117000
2005-09-01,3380926000
2005-10-01,3424770000
2005-11-01,2991807000
2005-12-01,3483015000
2006-01-01,2165290000
2006-02-01,2316309000
2006-03-01,3598450000
2006-04-01,3503612000
2006-05-01,4232351000
2006-06-01,4066643000
2006-07-01,3668879000
2006-08-01,4031447000
2006-09-01,3531439000
2006-10-01,3900442000
2006-11-01,3507081000
2006-12-01,2530814000
2007-01-01,2719824000
2007-02-01,2138039000
2007-03-01,3741448000
2007-04-01,3984274000
2007-05-01,4861148000
2007-06-01,4755427000
2007-07-01,4224528000
2007-08-01,4186443000
2007-09-01,4023853000
2007-10-01,4408380000
2007-11-01,3613655000
2007-12-01,2890457000
2008-01-01,2315797000
2008-02-01,2932970000
2008-03-01,3326345000
2008-04-01,4573650000
2008-05-01,4522807000
2008-06-01,4188113000
2008-07-01,4233463000
2008-08-01,3553798000
2008-09-01,3506580000
2008-10-01,3295536000
2008-11-01,2472696000
2008-12-01,1956663000
2009-01-01,1222589000
2009-02-01,1412887000
2009-03-01,2149084000
2009-04-01,2627445000
2009-05-01,3257290000
2009-06-01,3391123000
2009-07-01,3152397000
2009-08-01,3216595000
2009-09-01,3721552000
2009-10-01,3893383000
2009-11-01,3729876000
2009-12-01,2933862000
2010-01-01,2474888000
2010-02-01,2433018000
2010-03-01,4133736000
2010-04-01,4290214000
2010-05-01,4415371000
2010-06-01,4358504000
