"Date","NBCABIS"
2019-03-01,99.16
2019-04-01,99.15
2019-05-01,99.01
2019-06-01,100.16
2019-07-01,101.58
2019-08-01,101.03
2019-09-01,101.41
2019-10-01,101.63
2019-11-01,101.09
2019-12-01,101.42
2020-01-01,101.85
2020-02-01,100.83
2020-03-01,97.17
2020-04-01,97.15
2020-05-01,97.62
2020-06-01,99.72
2020-07-01,99.69
2020-08-01,101.07
2020-09-01,100.9
2020-10-01,100.67
2020-11-01,101.06
2020-12-01,102.28
2021-01-01,102.77
2021-02-01,103.26
2021-03-01,104.89
2021-04-01,105.29
2021-05-01,108.06
2021-06-01,107.43
2021-07-01,105.28
2021-08-01,104.78
2021-09-01,104.16
2021-10-01,106.42
2021-11-01,105.74
2021-12-01,104.08
2022-01-01,105.31
2022-02-01,104.48
2022-03-01,105.63
2022-04-01,106.44
2022-05-01,105.7
2022-06-01,106.2
2022-07-01,106.07
2022-08-01,106.37
2022-09-01,104.35
2022-10-01,102.03
2022-11-01,103.13
2022-12-01,100.9
2023-01-01,101.01
2023-02-01,101.21
2023-03-01,99.59
2023-04-01,100.57
2023-05-01,100.66
2023-06-01,102.65
2023-07-01,102.94
2023-08-01,101.54
2023-09-01,101.77
2023-10-01,101.05
