"Date","LFUN55FECAM647N"
1990-08-01,23200
1990-09-01,20400.0000000001
1990-10-01,22800
1990-11-01,28600
1990-12-01,30100
1991-01-01,36300
1991-02-01,39300
1991-03-01,40900
1991-04-01,35800
1991-05-01,29500
1991-06-01,35300
1991-07-01,32100
1991-08-01,34100
1991-09-01,28200
1991-10-01,29800
1991-11-01,32500
1991-12-01,33700
1992-01-01,35100
1992-02-01,32800
1992-03-01,38900
1992-04-01,35200
1992-05-01,31500
1992-06-01,31900
1992-07-01,34900
1992-08-01,42400
1992-09-01,34900
1992-10-01,36600
1992-11-01,44900
1992-12-01,40700
1993-01-01,37900
1993-02-01,42400
1993-03-01,40500
1993-04-01,43500
1993-05-01,45500
1993-06-01,43400
1993-07-01,41700
1993-08-01,41700
1993-09-01,44300
1993-10-01,44700
1993-11-01,38100
1993-12-01,37500
1994-01-01,35500
1994-02-01,43000
1994-03-01,47400
1994-04-01,45000
1994-05-01,46400
1994-06-01,44200
1994-07-01,34800
1994-08-01,39700
1994-09-01,34200
1994-10-01,32500
1994-11-01,30900
1994-12-01,26000
1995-01-01,42600
1995-02-01,33500
1995-03-01,35200
1995-04-01,38900
1995-05-01,30800
1995-06-01,36700
1995-07-01,37300
1995-08-01,41900
1995-09-01,36200
1995-10-01,33700
1995-11-01,34900
1995-12-01,34300
1996-01-01,34100
1996-02-01,31900
1996-03-01,32800
1996-04-01,38300
1996-05-01,31200
1996-06-01,33000
1996-07-01,37100
1996-08-01,39700
1996-09-01,36300
1996-10-01,37700
1996-11-01,34600
1996-12-01,31300
1997-01-01,38000
1997-02-01,37300
1997-03-01,37800
1997-04-01,35600
1997-05-01,40300
1997-06-01,32200
1997-07-01,38100
1997-08-01,37100
1997-09-01,37800
1997-10-01,36100
1997-11-01,37700
1997-12-01,29000
1998-01-01,36500
1998-02-01,37400
1998-03-01,38600
1998-04-01,34200
1998-05-01,28300
1998-06-01,31000
1998-07-01,34700
1998-08-01,41000
1998-09-01,33500
1998-10-01,34100
1998-11-01,31500
1998-12-01,32200
1999-01-01,35400
1999-02-01,30400
1999-03-01,34300
1999-04-01,30200
1999-05-01,25700
1999-06-01,20400
1999-07-01,24800
1999-08-01,37500
1999-09-01,29200
1999-10-01,24700
1999-11-01,25000
1999-12-01,24800
2000-01-01,26400
2000-02-01,31400
2000-03-01,26500
2000-04-01,27200
2000-05-01,28000
2000-06-01,31600
2000-07-01,35700
2000-08-01,48300
2000-09-01,35900
2000-10-01,38500
2000-11-01,28300
2000-12-01,25800
2001-01-01,32600
2001-02-01,33500
2001-03-01,30600
2001-04-01,29300
2001-05-01,25900
2001-06-01,31700
2001-07-01,38200
2001-08-01,41300
2001-09-01,34200
2001-10-01,35400
2001-11-01,39500
2001-12-01,39200
2002-01-01,40100
2002-02-01,38000
2002-03-01,40800
2002-04-01,34300
2002-05-01,33000
2002-06-01,33800
2002-07-01,32400
2002-08-01,48200
2002-09-01,37100
2002-10-01,39800
2002-11-01,46700
2002-12-01,46000
2003-01-01,39500
2003-02-01,44200
2003-03-01,48600
2003-04-01,50500
2003-05-01,43500
2003-06-01,37300
2003-07-01,44700
2003-08-01,57600
2003-09-01,36000
2003-10-01,37300
2003-11-01,39600
2003-12-01,37800
2004-01-01,47400
2004-02-01,43600
2004-03-01,46900.0000000001
2004-04-01,43600
2004-05-01,46200
2004-06-01,49200
2004-07-01,52500
2004-08-01,62000
2004-09-01,41500
2004-10-01,42000
2004-11-01,44100
2004-12-01,46800
2005-01-01,47400
2005-02-01,50200.0000000001
2005-03-01,43500
2005-04-01,38500
2005-05-01,47300
2005-06-01,46900
2005-07-01,46100
2005-08-01,59400
2005-09-01,50600
2005-10-01,44200
2005-11-01,42900
2005-12-01,44600
2006-01-01,49199.9999999999
2006-02-01,47000
2006-03-01,48000
2006-04-01,46100
2006-05-01,47700
2006-06-01,40800
2006-07-01,59400
2006-08-01,77000
2006-09-01,46500
2006-10-01,42700
2006-11-01,40900
2006-12-01,44500
2007-01-01,46900
2007-02-01,42100
2007-03-01,46000
2007-04-01,41600
2007-05-01,43800
2007-06-01,49400
2007-07-01,60400
2007-08-01,78500
2007-09-01,53300
2007-10-01,52300
2007-11-01,45800
2007-12-01,47100
2008-01-01,48400
2008-02-01,47200
2008-03-01,52000
2008-04-01,46400
2008-05-01,57900
2008-06-01,48100
2008-07-01,52400
2008-08-01,76400
2008-09-01,54500
2008-10-01,49800
2008-11-01,55600
2008-12-01,60000
2009-01-01,68300
2009-02-01,63600
2009-03-01,69500
2009-04-01,67900
2009-05-01,57900
2009-06-01,56800
2009-07-01,67400
2009-08-01,94000.0000000001
2009-09-01,57700
2009-10-01,66000
2009-11-01,66400
2009-12-01,65200
2010-01-01,65600
2010-02-01,65600
2010-03-01,65700
2010-04-01,66300
2010-05-01,57000
2010-06-01,57100
2010-07-01,76000
2010-08-01,103300
2010-09-01,69900
2010-10-01,74000
2010-11-01,68900
2010-12-01,69700
2011-01-01,81400
2011-02-01,83300
2011-03-01,83700
2011-04-01,87100
2011-05-01,79900
2011-06-01,63800
2011-07-01,70900
2011-08-01,98800
2011-09-01,63700
2011-10-01,74500
2011-11-01,76500
2011-12-01,80800
2012-01-01,91600
2012-02-01,74300
2012-03-01,79200
2012-04-01,77400
2012-05-01,73100
2012-06-01,70400
2012-07-01,82100
2012-08-01,90600
2012-09-01,68800
2012-10-01,69500
2012-11-01,70700
2012-12-01,77300
2013-01-01,81900
2013-02-01,89200
2013-03-01,76900
2013-04-01,75500
2013-05-01,66600
2013-06-01,77700
2013-07-01,92300
2013-08-01,105400
2013-09-01,74100
2013-10-01,75500
2013-11-01,79900
2013-12-01,75400
2014-01-01,86000
2014-02-01,89500
2014-03-01,81400
2014-04-01,78600
2014-05-01,77000
2014-06-01,61200
2014-07-01,83500
2014-08-01,100900
2014-09-01,65700
2014-10-01,78100
2014-11-01,80100
2014-12-01,76400
2015-01-01,80900
2015-02-01,84700
2015-03-01,80700
2015-04-01,79200
2015-05-01,68200
2015-06-01,71100
2015-07-01,86400
2015-08-01,105900
2015-09-01,71000
2015-10-01,74500
2015-11-01,77000
2015-12-01,80100
2016-01-01,82600
2016-02-01,88300
2016-03-01,92700
2016-04-01,89000
2016-05-01,82200
2016-06-01,74500
2016-07-01,98000
2016-08-01,123100
2016-09-01,80100
2016-10-01,76900.0000000001
2016-11-01,75200
2016-12-01,80500
2017-01-01,83400
2017-02-01,88700
2017-03-01,89300
2017-04-01,81100
2017-05-01,74300
2017-06-01,79700
2017-07-01,95600
2017-08-01,113900
2017-09-01,75600
2017-10-01,76000
2017-11-01,67300
2017-12-01,65700
2018-01-01,75800
2018-02-01,73900
2018-03-01,82300
2018-04-01,69700
2018-05-01,64100
2018-06-01,69100
2018-07-01,85600
2018-08-01,116200
2018-09-01,78400
2018-10-01,75100
2018-11-01,78000
2018-12-01,70300
2019-01-01,75600
2019-02-01,82200
2019-03-01,91300
2019-04-01,71600
2019-05-01,68300
2019-06-01,65900
2019-07-01,75000
2019-08-01,96800
2019-09-01,81300
2019-10-01,72300
2019-11-01,74100
2019-12-01,69700
2020-01-01,72800
2020-02-01,86500
2020-03-01,121500
2020-04-01,179300
2020-05-01,157000
2020-06-01,138900
2020-07-01,140000
2020-08-01,160100
2020-09-01,103700
2020-10-01,110800
2020-11-01,103700
2020-12-01,122000
2021-01-01,139500
2021-02-01,138700
2021-03-01,117500
2021-04-01,134900
2021-05-01,131300
2021-06-01,117700
2021-07-01,135000
2021-08-01,155900
2021-09-01,117700
2021-10-01,122100
2021-11-01,111000
2021-12-01,97600
2022-01-01,107200
2022-02-01,86100
2022-03-01,85200
2022-04-01,78000
2022-05-01,66000
2022-06-01,55800
2022-07-01,76900
2022-08-01,109600
2022-09-01,69200
2022-10-01,72900
2022-11-01,64900
2022-12-01,60600
2023-01-01,78500
2023-02-01,66200
2023-03-01,72600
2023-04-01,60200
2023-05-01,56400
2023-06-01,67900
2023-07-01,77800
2023-08-01,111100
2023-09-01,75800
2023-10-01,75500
2023-11-01,72300
