"Date","CANWSCNDW01IXOBSAM"
1975-11-01,137.966657627294
1975-12-01,161.727295032219
1976-01-01,143.183667144462
1976-02-01,160.487609602397
1976-03-01,143.493588501918
1976-04-01,139.774532212451
1976-05-01,145.921305801986
1976-06-01,143.493588501918
1976-07-01,140.136107129483
1976-08-01,125.983031805679
1976-09-01,138.586500342205
1976-10-01,122.625550433244
1976-11-01,155.063985846925
1976-12-01,143.132013584886
1977-01-01,119.474683299113
1977-02-01,120.042872454448
1977-03-01,114.412634460672
1977-04-01,127.790906390837
1977-05-01,133.317837265461
1977-06-01,137.708389829414
1977-07-01,134.609176254859
1977-08-01,129.598780975994
1977-09-01,132.749648110125
1977-10-01,117.925076511835
1977-11-01,119.991218894872
1977-12-01,136.313743720864
1978-01-01,137.605082710262
1978-02-01,145.559730884955
1978-03-01,150.621779723395
1978-04-01,105.32160797531
1978-05-01,103.255465592273
1978-06-01,104.908379498702
1978-07-01,112.604759875515
1978-08-01,112.863027673395
1978-09-01,106.1997184881
1978-10-01,110.228696135022
1978-11-01,121.334211443846
1978-12-01,99.6913699815339
1979-01-01,112.91468123297
1979-02-01,94.3193997856377
1979-03-01,95.0942031792766
1979-04-01,96.9537313240099
1979-05-01,106.303025607252
1979-06-01,98.2967238729839
1979-07-01,93.1830214749674
1979-08-01,105.06334017743
1979-09-01,96.6954635261302
1979-10-01,112.398145637211
1979-11-01,107.387750358347
1979-12-01,101.860819483723
1980-01-01,90.4970363770193
1980-02-01,76.9121502085512
1980-03-01,69.6289983083459
1980-04-01,75.7757718978809
1980-05-01,65.3417528635442
1980-06-01,76.8088430893994
1980-07-01,82.8006560002066
1980-08-01,83.0589237980862
1980-09-01,89.7222329833805
1980-10-01,102.170740841178
1980-11-01,88.1726261961027
1980-12-01,82.9039631193584
1981-01-01,85.8482160151862
1981-02-01,86.0548302534898
1981-03-01,91.2201862110823
1981-04-01,112.91468123297
1981-05-01,106.354679166828
1981-06-01,106.612946964708
1981-07-01,96.7471170857062
1981-08-01,93.1313679153915
1981-09-01,98.5033381112876
1981-10-01,65.5483671018479
1981-11-01,67.7694701636126
1981-12-01,93.6479035111507
1982-01-01,81.4576634512326
1982-02-01,83.7820736321492
1982-03-01,74.5877400276346
1982-04-01,61.7776572528054
1982-05-01,50.7237955035576
1982-06-01,55.3726158653908
1982-07-01,54.7527731504797
1982-08-01,46.8497785353633
1982-09-01,48.0894639651855
1982-10-01,67.8727772827645
1982-11-01,78.1518356383734
1982-12-01,77.4803393638864
1983-01-01,86.7263265279769
1983-02-01,83.8337271917251
1983-03-01,88.3275868748305
1983-04-01,90.6003434961712
1983-05-01,128.100827748292
1983-06-01,100.672787613476
1983-07-01,73.9162437531476
1983-08-01,68.5442735572515
1983-09-01,72.5732512041736
1983-10-01,68.4926199976756
1983-11-01,72.3666369658699
1983-12-01,72.5732512041736
1984-01-01,80.6828600575937
1984-02-01,82.3357739640233
1984-03-01,68.0277379614923
1984-04-01,63.6888389571146
1984-05-01,65.8066348997275
1984-06-01,69.4740376296181
1984-07-01,67.4595488061571
1984-08-01,78.1518356383734
1984-09-01,71.0752979764718
1984-10-01,63.6371853975387
1984-11-01,61.1061609783184
1984-12-01,67.0979738891256
1985-01-01,70.3004945828329
1985-02-01,72.4182905254458
1985-03-01,71.7984478105348
1985-04-01,80.3212851405622
1985-05-01,81.2510492129289
1985-06-01,79.7530959852271
1985-07-01,86.5197122896732
1985-08-01,88.8441224705898
1985-09-01,95.9723136920673
1985-10-01,100.259559136869
1985-11-01,102.583969317786
1985-12-01,98.4516845517117
1986-01-01,90.2387685791397
1986-02-01,100.414519815597
1986-03-01,89.4639651855009
1986-04-01,106.664600524284
1986-05-01,99.8463306602616
1986-06-01,104.133576105063
1986-07-01,103.513733390152
1986-08-01,98.7099523495913
1986-09-01,117.150273118196
1986-10-01,110.745231730782
1986-11-01,106.561293405132
1986-12-01,110.796885290358
1987-01-01,132.284766073942
1987-02-01,119.113108382081
1987-03-01,135.125711850618
1987-04-01,123.348700267307
1987-05-01,133.007915908005
1987-06-01,135.435633208073
1987-07-01,135.848861684681
1987-08-01,134.454215576131
1987-09-01,121.799093480029
1987-10-01,117.666808713955
1987-11-01,123.142086029003
1987-12-01,113.792791745761
1988-01-01,111.106806647813
1988-02-01,111.158460207389
1988-03-01,112.346492077635
1988-04-01,116.065548367102
1988-05-01,122.005707718333
1988-06-01,112.656413435091
1988-07-01,107.232789679619
1988-08-01,120.042872454448
1988-09-01,113.379563269154
1988-10-01,114.774209377704
1988-11-01,121.695786360878
1988-12-01,116.22050904583
1989-01-01,125.621456888648
1989-02-01,120.042872454448
1989-03-01,115.342398533039
1989-04-01,111.571688683996
1989-05-01,105.166647296582
1989-06-01,102.738929996513
1989-07-01,101.757512364571
1989-08-01,102.997197794393
1989-09-01,117.563501594804
1989-10-01,108.420821549865
1989-11-01,108.524128669017
1989-12-01,114.206020222369
1990-01-01,142.784901664536
1990-02-01,132.17784320562
1990-03-01,131.558000490709
1990-04-01,111.498857164994
1990-05-01,110.595952943607
1990-06-01,95.4655922726275
1990-07-01,87.9608466018414
1990-08-01,85.0413874146102
1990-09-01,74.3671793282454
1990-10-01,75.7205025891347
1990-11-01,74.1254406694301
1990-12-01,73.5598341920738
1991-01-01,61.4093673730291
1991-02-01,60.9129766655045
1991-03-01,60.9852916489108
1991-04-01,69.1630832009711
1991-05-01,78.446777463552
1991-06-01,81.8264698666047
1991-07-01,92.9335347822157
1991-08-01,91.7258745593306
1991-09-01,88.7423649582252
1991-10-01,99.0978705820065
1991-11-01,89.4577667583517
1991-12-01,85.5780678986041
1992-01-01,89.6437195728251
1992-02-01,89.78318418368
1992-03-01,91.4639910122806
1992-04-01,86.7309753483387
1992-05-01,87.5031960639988
1992-06-01,87.9520654967135
1992-07-01,94.3906816978525
1992-08-01,83.6865145469337
1992-09-01,90.0109763814099
1992-10-01,84.8890094138612
1992-11-01,88.0512403310993
1992-12-01,86.8673407456191
1993-01-01,74.1233745270471
1993-02-01,77.1130825553016
1993-03-01,79.8393574297189
1993-04-01,84.9866346414597
1993-05-01,75.7778380402639
1993-06-01,76.9162824933173
1993-07-01,89.6989888815713
1993-08-01,83.2934309585609
1993-09-01,80.3383308152223
1993-10-01,83.7748421338086
1993-11-01,84.5780549852142
1993-12-01,83.4706026679064
1994-01-01,77.4906700758016
1994-02-01,74.1688296594739
1994-03-01,78.4312813956792
1994-04-01,82.9039631193584
1994-05-01,83.3858908302018
1994-06-01,87.3146605715466
1994-07-01,84.7340487351334
1994-08-01,78.0790041193714
1994-09-01,80.0113637831067
1994-10-01,77.412673200842
1994-11-01,74.396105321608
1994-12-01,64.5881274293315
1995-01-01,70.6346931132892
1995-02-01,63.5214814240886
1995-03-01,51.0951845969085
1995-04-01,59.2543808675215
1995-05-01,50.3632536577177
1995-06-01,57.8669662573122
1995-07-01,54.2388202326993
1995-08-01,56.1732460388176
1995-09-01,57.9258513152288
1995-10-01,57.1536305995687
1995-11-01,59.1810328129237
1995-12-01,61.6717674556748
1996-01-01,53.1608104443498
1996-02-01,53.3901522488668
1996-03-01,57.1892715556761
1996-04-01,54.765170004778
1996-05-01,66.3293689226359
1996-06-01,71.8511344413022
1996-07-01,67.579901599969
1996-08-01,67.0359896176345
1996-09-01,70.5226048890094
1996-10-01,61.001820787975
1996-11-01,72.4182905254458
1996-12-01,70.933250687638
1997-01-01,69.5179431552577
1997-02-01,76.7830163096114
1997-03-01,73.8000232441018
1997-04-01,73.9813272382133
1997-05-01,77.5784811270807
1997-06-01,74.636294373636
1997-07-01,79.9121889487209
1997-08-01,79.7691085886956
1997-09-01,78.9163083200971
1997-10-01,75.6750474567079
1997-11-01,76.5247485117318
1997-12-01,76.6946887227366
1998-01-01,67.80511111972
1998-02-01,73.4921680290293
1998-03-01,74.6461085499554
1998-04-01,74.9890881855396
1998-05-01,72.4999031495758
1998-06-01,67.7705032348042
1998-07-01,64.3763478350702
1998-08-01,73.3604514521107
1998-09-01,71.9869833029869
1998-10-01,71.2932759978822
1998-11-01,67.8144087604437
1998-12-01,73.3258435671948
1999-01-01,67.7947804078048
1999-02-01,72.0463848964992
1999-03-01,73.2747065432146
