"Date","MAM2A3CAM189S"
1999-10-01,6.61554e+11
1999-11-01,6.64764e+11
1999-12-01,6.68454e+11
2000-01-01,6.71975e+11
2000-02-01,6.76178e+11
2000-03-01,6.81268e+11
2000-04-01,6.86552e+11
2000-05-01,6.86419e+11
2000-06-01,6.91181e+11
2000-07-01,6.94078e+11
2000-08-01,6.95267e+11
2000-09-01,6.97949e+11
2000-10-01,6.99308e+11
2000-11-01,7.00656e+11
2000-12-01,7.06408e+11
2001-01-01,7.09159e+11
2001-02-01,7.15149e+11
2001-03-01,7.20857e+11
2001-04-01,7.25041e+11
2001-05-01,7.29704e+11
2001-06-01,7.31093e+11
2001-07-01,7.35e+11
2001-08-01,7.37327e+11
2001-09-01,7.48379e+11
2001-10-01,7.53707e+11
2001-11-01,7.61733e+11
2001-12-01,7.69034e+11
2002-01-01,7.74781e+11
2002-02-01,7.76618e+11
2002-03-01,7.78788e+11
2002-04-01,7.79692e+11
2002-05-01,7.80379e+11
2002-06-01,7.85526e+11
2002-07-01,7.8848e+11
2002-08-01,7.94315e+11
2002-09-01,7.98582e+11
2002-10-01,8.03139e+11
2002-11-01,8.05593e+11
2002-12-01,8.06851e+11
2003-01-01,8.10307e+11
2003-02-01,8.12798e+11
2003-03-01,8.16345e+11
2003-04-01,8.16794e+11
2003-05-01,8.20255e+11
2003-06-01,8.25538e+11
2003-07-01,8.30676e+11
2003-08-01,8.3477e+11
2003-09-01,8.36579e+11
2003-10-01,8.37443e+11
2003-11-01,8.41418e+11
2003-12-01,8.43936e+11
2004-01-01,8.48817e+11
2004-02-01,8.52547e+11
2004-03-01,8.54747e+11
2004-04-01,8.5916e+11
2004-05-01,8.65183e+11
2004-06-01,8.70548e+11
2004-07-01,8.72313e+11
2004-08-01,8.74426e+11
2004-09-01,8.75456e+11
2004-10-01,8.78555e+11
2004-11-01,8.79076e+11
2004-12-01,8.86002e+11
2005-01-01,8.92041e+11
2005-02-01,8.95616e+11
2005-03-01,8.98218e+11
2005-04-01,9.03023e+11
2005-05-01,9.0745e+11
2005-06-01,9.11649e+11
2005-07-01,9.10869e+11
2005-08-01,9.12455e+11
2005-09-01,9.18169e+11
2005-10-01,9.241e+11
2005-11-01,9.26025e+11
2005-12-01,9.31496e+11
2006-01-01,9.33479e+11
2006-02-01,9.39701e+11
2006-03-01,9.45497e+11
2006-04-01,9.51844e+11
2006-05-01,9.55864e+11
2006-06-01,9.64029e+11
2006-07-01,9.71433e+11
2006-08-01,9.7824e+11
2006-09-01,9.8776e+11
2006-10-01,9.94294e+11
2006-11-01,1.002191e+12
2006-12-01,1.009019e+12
2007-01-01,1.011801e+12
2007-02-01,1.017358e+12
2007-03-01,1.025402e+12
2007-04-01,1.032412e+12
2007-05-01,1.036937e+12
2007-06-01,1.046505e+12
2007-07-01,1.056226e+12
2007-08-01,1.062271e+12
2007-09-01,1.070303e+12
2007-10-01,1.069285e+12
2007-11-01,1.076029e+12
2007-12-01,1.087147e+12
2008-01-01,1.099032e+12
2008-02-01,1.109566e+12
2008-03-01,1.121432e+12
2008-04-01,1.131517e+12
2008-05-01,1.143529e+12
2008-06-01,1.153924e+12
2008-07-01,1.16107e+12
2008-08-01,1.170552e+12
2008-09-01,1.178231e+12
2008-10-01,1.192114e+12
2008-11-01,1.211993e+12
2008-12-01,1.229912e+12
2009-01-01,1.246289e+12
2009-02-01,1.25768e+12
2009-03-01,1.272054e+12
2009-04-01,1.283217e+12
2009-05-01,1.290389e+12
2009-06-01,1.293257e+12
2009-07-01,1.302009e+12
2009-08-01,1.309434e+12
2009-09-01,1.311613e+12
2009-10-01,1.315656e+12
2009-11-01,1.31683e+12
2009-12-01,1.315998e+12
2010-01-01,1.315611e+12
2010-02-01,1.322473e+12
2010-03-01,1.323915e+12
2010-04-01,1.32847e+12
2010-05-01,1.339857e+12
2010-06-01,1.345e+12
2010-07-01,1.351178e+12
2010-08-01,1.354158e+12
2010-09-01,1.360092e+12
2010-10-01,1.365499e+12
