"Date","LFEAMNTTCAM647S"
2016-12-01,1719700
2017-01-01,1723400
2017-02-01,1735200
2017-03-01,1740700
2017-04-01,1749000
2017-05-01,1758300
2017-06-01,1766000
2017-07-01,1784400
2017-08-01,1780000
2017-09-01,1779000
2017-10-01,1788700
2017-11-01,1807700
2017-12-01,1804800
2018-01-01,1807000
2018-02-01,1793500
2018-03-01,1800000
2018-04-01,1798400
2018-05-01,1785800
2018-06-01,1785200
2018-07-01,1771400
2018-08-01,1763000
2018-09-01,1765300
2018-10-01,1775600
2018-11-01,1769900
2018-12-01,1775900
2019-01-01,1758400
2019-02-01,1749000
2019-03-01,1745800
2019-04-01,1759700
2019-05-01,1771100
2019-06-01,1768300
2019-07-01,1760500
2019-08-01,1763800
2019-09-01,1762600
2019-10-01,1737900
2019-11-01,1711000
2019-12-01,1716100
2020-01-01,1734300
2020-02-01,1744100
2020-03-01,1710000
2020-04-01,1441300
2020-05-01,1526100
2020-06-01,1600400
2020-07-01,1646400
2020-08-01,1676700
2020-09-01,1735500
2020-10-01,1735700
2020-11-01,1738000
2020-12-01,1748700
2021-01-01,1741000
2021-02-01,1751600
2021-03-01,1758400
2021-04-01,1751200
2021-05-01,1731800
2021-06-01,1735500
2021-07-01,1715400
2021-08-01,1735400
2021-09-01,1749100
2021-10-01,1756200
2021-11-01,1778400
2021-12-01,1782200
2022-01-01,1783500
2022-02-01,1793500
2022-03-01,1793300
2022-04-01,1791600
2022-05-01,1762700
2022-06-01,1786600
2022-07-01,1793100
2022-08-01,1791000
2022-09-01,1777000
2022-10-01,1786300
2022-11-01,1786400
2022-12-01,1784500
2023-01-01,1791800
2023-02-01,1798600
2023-03-01,1792500
2023-04-01,1795300
2023-05-01,1808200
2023-06-01,1835500
2023-07-01,1840700
2023-08-01,1811200
2023-09-01,1820000
2023-10-01,1801200
2023-11-01,1829600
