"Date","LFEAAGTTCAM647N"
2004-11-01,397000
2004-12-01,389900
2005-01-01,369500
2005-02-01,383600
2005-03-01,400400
2005-04-01,411100
2005-05-01,468600
2005-06-01,487200
2005-07-01,509700
2005-08-01,497100
2005-09-01,452000
2005-10-01,457400
2005-11-01,413700
2005-12-01,410400
2006-01-01,387100
2006-02-01,401300
2006-03-01,406800
2006-04-01,411100
2006-05-01,452500
2006-06-01,466100
2006-07-01,476200
2006-08-01,477100
2006-09-01,455800
2006-10-01,435300
2006-11-01,408600
2006-12-01,398100
2007-01-01,390000
2007-02-01,376200
2007-03-01,378900
2007-04-01,401300
2007-05-01,430600
2007-06-01,444300
2007-07-01,451900
2007-08-01,454700
2007-09-01,431200
2007-10-01,422600
2007-11-01,394800
2007-12-01,374500
2008-01-01,373200
2008-02-01,368600
2008-03-01,377300
2008-04-01,383300
2008-05-01,422900
2008-06-01,433200
2008-07-01,432800
2008-08-01,426900
2008-09-01,418800
2008-10-01,411400
2008-11-01,369700
2008-12-01,364800
2009-01-01,352900
2009-02-01,359500
2009-03-01,359500
2009-04-01,376500
2009-05-01,406400
2009-06-01,427900
2009-07-01,418500
2009-08-01,420000
2009-09-01,401100
2009-10-01,385600
2009-11-01,361500
2009-12-01,351900
2010-01-01,336300
2010-02-01,341400
2010-03-01,349500
2010-04-01,359200
2010-05-01,404100
2010-06-01,409400
2010-07-01,416300
2010-08-01,409500
2010-09-01,386700
2010-10-01,378000
2010-11-01,354900
2010-12-01,340100
2011-01-01,346200
2011-02-01,340400
2011-03-01,345800
2011-04-01,352800
2011-05-01,397700
2011-06-01,412200
2011-07-01,409500
2011-08-01,412100
2011-09-01,397000
2011-10-01,386700
2011-11-01,354500
2011-12-01,341600
2012-01-01,329500
2012-02-01,321600
2012-03-01,330200
2012-04-01,361100
2012-05-01,397300
2012-06-01,393800
2012-07-01,404900
2012-08-01,412800
2012-09-01,399100
2012-10-01,388000
2012-11-01,367500
2012-12-01,369400
2013-01-01,354400
2013-02-01,354600
2013-03-01,359500
2013-04-01,377300
2013-05-01,416800
2013-06-01,427300
2013-07-01,427900
2013-08-01,416200
2013-09-01,414600
2013-10-01,403700
2013-11-01,373200
2013-12-01,345600
2014-01-01,343100
2014-02-01,346800
2014-03-01,354500
2014-04-01,356800
2014-05-01,395900
2014-06-01,402000
2014-07-01,4e+05
2014-08-01,4e+05
2014-09-01,386200
2014-10-01,367900
2014-11-01,351000
2014-12-01,356000
2015-01-01,344500
2015-02-01,338500
2015-03-01,337000
2015-04-01,349200
2015-05-01,380000
2015-06-01,377400
2015-07-01,395100
2015-08-01,388100
2015-09-01,378000
2015-10-01,358400
2015-11-01,352700
2015-12-01,333900
2016-01-01,318200
2016-02-01,322500
2016-03-01,317300
2016-04-01,325200
2016-05-01,369300
2016-06-01,370800
2016-07-01,385800
2016-08-01,376800
2016-09-01,359400
2016-10-01,343700
2016-11-01,332900
2016-12-01,322000
2017-01-01,316800
2017-02-01,317600
2017-03-01,320400
2017-04-01,326700
2017-05-01,359200
2017-06-01,369000
2017-07-01,375500
2017-08-01,372200
2017-09-01,351800
2017-10-01,346000
2017-11-01,331400
2017-12-01,326600
2018-01-01,312300
2018-02-01,311900
2018-03-01,321000
2018-04-01,340500
2018-05-01,374400
2018-06-01,375700
2018-07-01,371900
2018-08-01,373800
2018-09-01,372600
2018-10-01,361600
2018-11-01,347300
2018-12-01,348200
2019-01-01,331700
2019-02-01,331100
2019-03-01,332600
2019-04-01,349800
2019-05-01,381400
2019-06-01,385800
2019-07-01,379100
2019-08-01,377200
2019-09-01,367800
2019-10-01,362400
2019-11-01,353400
2019-12-01,341500
2020-01-01,333100
2020-02-01,332500
2020-03-01,321400
2020-04-01,327800
2020-05-01,363000
2020-06-01,370000
2020-07-01,375600
2020-08-01,370300
2020-09-01,355800
2020-10-01,346500
2020-11-01,349400
2020-12-01,338900
2021-01-01,311500
2021-02-01,308800
2021-03-01,318000
2021-04-01,334900
2021-05-01,356800
2021-06-01,352500
2021-07-01,353900
2021-08-01,333700
2021-09-01,326900
2021-10-01,313900
2021-11-01,303200
2021-12-01,289700
2022-01-01,292100
2022-02-01,289900
2022-03-01,300600
2022-04-01,308900
2022-05-01,350000
2022-06-01,345000
2022-07-01,343900
2022-08-01,347000
2022-09-01,329300
2022-10-01,319300
2022-11-01,304500
2022-12-01,306600
2023-01-01,287100
2023-02-01,290400
2023-03-01,291000
2023-04-01,293600
2023-05-01,337200
2023-06-01,332300
2023-07-01,343400
2023-08-01,325500
2023-09-01,309100
2023-10-01,315600
2023-11-01,296300
