"Date","LRAC55FECAM156S"
1991-08-01,35.3226868620349
1991-09-01,35.5096328009221
1991-10-01,35.5619596541787
1991-11-01,35.0926307122273
1991-12-01,35.0732751523135
1992-01-01,35.6989955540919
1992-02-01,35.2573075339646
1992-03-01,34.892145562325
1992-04-01,34.7629239380968
1992-05-01,34.5679012345679
1992-06-01,34.3400263331139
1992-07-01,35.4886475814413
1992-08-01,36.1976811117507
1992-09-01,35.6050641236435
1992-10-01,36.6946088099934
1992-11-01,37.4681672554013
1992-12-01,36.2568777202924
1993-01-01,36.1083743842365
1993-02-01,36.968652552109
1993-03-01,36.428512837339
1993-04-01,37.0850069677842
1993-05-01,35.8541581319132
1993-06-01,34.9512973725137
1993-07-01,36.2342548666776
1993-08-01,35.3979408400065
1993-09-01,34.4762837782676
1993-10-01,35.4299233153859
1993-11-01,36.3903154805576
1993-12-01,34.850952923929
1994-01-01,35.3649605338107
1994-02-01,36.1404649650463
1994-03-01,36.7467922689622
1994-04-01,38.0821028719779
1994-05-01,37.6630743051617
1994-06-01,37.9422002752368
1994-07-01,36.8459361099879
1994-08-01,37.7120698012603
1994-09-01,36.3658379076526
1994-10-01,36.9253105339571
1994-11-01,37.245103570565
1994-12-01,36.8213307555985
1995-01-01,37.1962015129567
1995-02-01,36.6114506272113
1995-03-01,35.4973485457175
1995-04-01,35.9717427952155
1995-05-01,35.3002485368396
1995-06-01,36.3556267521025
1995-07-01,36.0486516764023
1995-08-01,36.4421002157756
1995-09-01,36.1226445225168
1995-10-01,36.8987796123475
1995-11-01,37.0996015936255
1995-12-01,36.3715968794778
1996-01-01,35.6773937226857
1996-02-01,36.2510911832394
1996-03-01,35.2647431832594
1996-04-01,36.3182897862233
1996-05-01,36.5138339920949
1996-06-01,38.1099005210801
1996-07-01,37.2615481633297
1996-08-01,37.7214392567514
1996-09-01,35.8805031446541
1996-10-01,36.2858264625049
1996-11-01,35.5921568627451
1996-12-01,34.5502977123159
1997-01-01,34.9784904184591
1997-02-01,36.4424654323881
1997-03-01,35.6997971602434
1997-04-01,36.8400560660333
1997-05-01,37.2619140169478
1997-06-01,38.0139643134213
1997-07-01,37.8156467854376
1997-08-01,37.4516777485697
1997-09-01,36.3215553155377
1997-10-01,37.2660762418175
1997-11-01,37.8199707894535
1997-12-01,37.5661781631244
1998-01-01,36.778441280049
1998-02-01,38.6207423247289
1998-03-01,38.3536585365854
1998-04-01,38.8833954514338
1998-05-01,37.8671726755218
1998-06-01,39.4338480169543
1998-07-01,38.904833836858
1998-08-01,38.8093443858327
1998-09-01,38.9043360637259
1998-10-01,39.5216315513234
1998-11-01,39.576632508041
1998-12-01,38.7342338980521
1999-01-01,38.1363501041977
1999-02-01,38.4016028495102
1999-03-01,38.8049755664149
1999-04-01,40.5938400177266
1999-05-01,39.7980988873333
1999-06-01,39.2770553229006
1999-07-01,39.5205630085771
1999-08-01,39.203216374269
1999-09-01,39.3216630196936
1999-10-01,39.1193595342067
1999-11-01,39.7748729121278
1999-12-01,40.9884774259004
2000-01-01,40.8571841572709
2000-02-01,40.9284221148994
2000-03-01,39.8935404977701
2000-04-01,42.1774077795321
2000-05-01,41.3339058251038
2000-06-01,41.4364246448204
2000-07-01,41.2535612535613
2000-08-01,42.0832149957398
2000-09-01,40.8768947442981
2000-10-01,42.2525259662262
2000-11-01,42.1271497039752
2000-12-01,41.7885264341957
2001-01-01,41.4094758205613
2001-02-01,40.9100425710098
2001-03-01,41.9983300862789
2001-04-01,41.8959185087658
2001-05-01,40.9046961325967
2001-06-01,42.2526489610568
2001-07-01,42.0598507156064
2001-08-01,40.9918821201992
2001-09-01,41.0421903661934
2001-10-01,41.9863338069143
2001-11-01,42.6473560121253
2001-12-01,43.1665772532189
2002-01-01,43.0426963298475
2002-02-01,42.3655771398263
2002-03-01,42.3744473041642
2002-04-01,42.1325459317585
2002-05-01,42.4101894186806
2002-06-01,43.1534460338101
2002-07-01,43.5333678220383
2002-08-01,45.0862957238537
2002-09-01,44.5918236575676
2002-10-01,45.7179323548181
2002-11-01,45.9856334625898
2002-12-01,46.9697929200177
2003-01-01,47.1889575192235
2003-02-01,47.7488226059655
2003-03-01,48.2141740163883
2003-04-01,47.6403934752833
2003-05-01,47.8045150086827
2003-06-01,47.5864197530864
2003-07-01,48.2442654203308
2003-08-01,49.1421568627451
2003-09-01,48.2554593143833
2003-10-01,47.8908339411622
2003-11-01,48.718880610576
2003-12-01,49.0251705197078
2004-01-01,49.1043520076942
2004-02-01,48.2911354522057
2004-03-01,47.8107850155094
2004-04-01,48.72191178219
2004-05-01,49.3957345971564
2004-06-01,48.5166617516957
2004-07-01,48.7215658614001
2004-08-01,48.156169515336
