"Date","PIEAFD01CAM661N"
1975-07-01,27.8277239747994
1975-08-01,28.3310678193048
1975-09-01,28.4029740828056
1975-10-01,28.4029740828056
1975-11-01,27.9715365018009
1975-12-01,27.9715365018009
1976-01-01,27.8996302383001
1976-02-01,27.8996302383001
1976-03-01,27.8277239747994
1976-04-01,27.7558177112986
1976-05-01,28.1153490288025
1976-06-01,28.3310678193048
1976-07-01,28.3310678193048
1976-08-01,27.9715365018009
1976-09-01,28.259161555804
1976-10-01,27.8277239747994
1976-11-01,27.7558177112986
1976-12-01,28.1872552923032
1977-01-01,28.4748803463063
1977-02-01,28.8344116638102
1977-03-01,29.3377555083156
1977-04-01,29.9130056163218
1977-05-01,30.3444431973264
1977-06-01,30.3444431973264
1977-07-01,30.2725369338257
1977-08-01,30.2725369338257
1977-09-01,30.3444431973264
1977-10-01,30.2725369338257
1977-11-01,30.5601619878288
1977-12-01,30.7039745148303
1978-01-01,31.0635058323342
1978-02-01,31.4949434133388
1978-03-01,31.7825684673419
1978-04-01,32.2859123118473
1978-05-01,33.1487874738566
1978-06-01,33.4364125278597
1978-07-01,33.4364125278597
1978-08-01,33.652131318362
1978-09-01,33.8678501088644
1978-10-01,34.3711939533698
1978-11-01,34.5150064803713
1978-12-01,34.7307252708736
1979-01-01,35.7374129598845
1979-02-01,36.528381858393
1979-03-01,37.0317257028984
1979-04-01,36.8879131758968
1979-05-01,37.1036319663992
1979-06-01,37.2474444934007
1979-07-01,37.6069758109046
1979-08-01,37.2474444934007
1979-09-01,38.0384133919092
1979-10-01,38.11031965541
1979-11-01,38.2541321824115
1979-12-01,38.5417572364146
1980-01-01,39.0451010809201
1980-02-01,39.7641637159278
1980-03-01,39.3327261349232
1980-04-01,39.4765386619247
1980-05-01,40.2675075604332
1980-06-01,40.1956012969324
1980-07-01,40.6989451414379
1980-08-01,42.1370704114533
1980-09-01,43.1437581004642
1980-10-01,43.8628207354719
1980-11-01,44.3661645799773
1980-12-01,44.2942583164765
1981-01-01,44.5818833704796
1981-02-01,44.5099771069788
1981-03-01,44.2942583164765
1981-04-01,44.4380708434781
1981-05-01,44.5818833704796
1981-06-01,45.2290397419866
1981-07-01,45.5166647959897
1981-08-01,45.6604773229912
1981-09-01,45.5166647959897
1981-10-01,45.6604773229912
1981-11-01,45.3728522689881
1981-12-01,45.3009460054874
1982-01-01,45.5166647959897
1982-02-01,45.8761961134935
1982-03-01,46.1638211674966
1982-04-01,47.0986025930067
1982-05-01,48.0333840185168
1982-06-01,48.2491028090191
1982-07-01,48.3929153360206
1982-08-01,48.2491028090191
1982-09-01,48.0333840185168
1982-10-01,47.7457589645137
