"Date","LFHUTTTTCAM647N"
1976-10-01,683000
1976-11-01,717800
1976-12-01,758300
1977-01-01,894300
1977-02-01,931400
1977-03-01,939000
1977-04-01,922000
1977-05-01,832600
1977-06-01,822000
1977-07-01,883200
1977-08-01,845200
1977-09-01,812800
1977-10-01,798900
1977-11-01,848900
1977-12-01,886400
1978-01-01,990400
1978-02-01,1007800
1978-03-01,1056200
1978-04-01,1012800
1978-05-01,949800
1978-06-01,913200
1978-07-01,941300
1978-08-01,907700
1978-09-01,857800
1978-10-01,809600
1978-11-01,867500
1978-12-01,897100
1979-01-01,1016300
1979-02-01,1001400
1979-03-01,1012000
1979-04-01,976400
1979-05-01,870700
1979-06-01,829900
1979-07-01,811000
1979-08-01,790600
1979-09-01,740900
1979-10-01,769700
1979-11-01,791500
1979-12-01,807800
1980-01-01,971500
1980-02-01,969200
1980-03-01,998400
1980-04-01,967100
1980-05-01,926800
1980-06-01,915200
1980-07-01,888500
1980-08-01,867600
1980-09-01,799300
1980-10-01,794500
1980-11-01,808700
1980-12-01,837000
1981-01-01,972900
1981-02-01,959000
1981-03-01,1017200
1981-04-01,919600
1981-05-01,883900
1981-06-01,880900
1981-07-01,864500
1981-08-01,824000
1981-09-01,921400
1981-10-01,932800
1981-11-01,962900
1981-12-01,1030400
1982-01-01,1143200
1982-02-01,1161500
1982-03-01,1279200
1982-04-01,1276800
1982-05-01,1285700
1982-06-01,1343500
1982-07-01,1446600
1982-08-01,1431700
1982-09-01,1391000
1982-10-01,1456400
1982-11-01,1512100
1982-12-01,1570000
1983-01-01,1680200
1983-02-01,1670700
1983-03-01,1737600
1983-04-01,1649400
1983-05-01,1571500
1983-06-01,1526800
1983-07-01,1481400
1983-08-01,1427500
1983-09-01,1314000
1983-10-01,1292800
1983-11-01,1335900
1983-12-01,1379500
1984-01-01,1501200
1984-02-01,1510300
1984-03-01,1582700
1984-04-01,1530800
1984-05-01,1506600
1984-06-01,1407800
1984-07-01,1381100
1984-08-01,1393800
1984-09-01,1403600
1984-10-01,1356000
1984-11-01,1412300
1984-12-01,1367900
1985-01-01,1471400
1985-02-01,1473800
1985-03-01,1577300
1985-04-01,1476400
1985-05-01,1380100
1985-06-01,1351900
1985-07-01,1327400
1985-08-01,1307000
1985-09-01,1233400
1985-10-01,1252500
1985-11-01,1295300
1985-12-01,1270200
1986-01-01,1391200
1986-02-01,1389100
1986-03-01,1438500
1986-04-01,1349100
1986-05-01,1266700
1986-06-01,1242500
1986-07-01,1255200
1986-08-01,1237300
1986-09-01,1165100
1986-10-01,1151400
1986-11-01,1191400
1986-12-01,1213100
1987-01-01,1362500
1987-02-01,1357700
1987-03-01,1419300
1987-04-01,1299700
1987-05-01,1206900
1987-06-01,1168300
1987-07-01,1177100
1987-08-01,1132600
1987-09-01,1055200
1987-10-01,1032300
1987-11-01,1053700
1987-12-01,1050700
1988-01-01,1178000
1988-02-01,1143000
1988-03-01,1197000
1988-04-01,1110500
1988-05-01,1071000
1988-06-01,1005300
1988-07-01,1084000
1988-08-01,1077000
1988-09-01,991500
1988-10-01,973700
1988-11-01,1009800
1988-12-01,993500
1989-01-01,1140900
1989-02-01,1139600
1989-03-01,1186300
1989-04-01,1144300
1989-05-01,1080400
1989-06-01,1010700
1989-07-01,1066500
1989-08-01,1027500
1989-09-01,937900
1989-10-01,938900
1989-11-01,1019900
1989-12-01,1036900
1990-01-01,1207500
1990-02-01,1173600
1990-03-01,1152600
1990-04-01,1112100
1990-05-01,1112200
1990-06-01,1041500
1990-07-01,1128900
1990-08-01,1155200
1990-09-01,1094500
1990-10-01,1159100
1990-11-01,1260700
1990-12-01,1301000
1991-01-01,1496900
1991-02-01,1558200
1991-03-01,1660300
1991-04-01,1525700
1991-05-01,1482000
1991-06-01,1460200
1991-07-01,1528000
1991-08-01,1499500
1991-09-01,1332700
1991-10-01,1353900
1991-11-01,1427300
1991-12-01,1422900
1992-01-01,1584500
1992-02-01,1599800
1992-03-01,1733700
1992-04-01,1587900
1992-05-01,1582500
1992-06-01,1590600
1992-07-01,1662000
1992-08-01,1653100
1992-09-01,1493400
1992-10-01,1483000
1992-11-01,1670800
1992-12-01,1621400
1993-01-01,1693700
1993-02-01,1663200
1993-03-01,1779100
1993-04-01,1725600
1993-05-01,1692700
1993-06-01,1649400
1993-07-01,1741400
1993-08-01,1655400
1993-09-01,1491700
1993-10-01,1480100
1993-11-01,1550000
1993-12-01,1584900
1994-01-01,1738200
1994-02-01,1693300
1994-03-01,1674600
1994-04-01,1646000
1994-05-01,1568500
1994-06-01,1468000
1994-07-01,1533900
1994-08-01,1515800
1994-09-01,1333400
1994-10-01,1324700
1994-11-01,1338000
1994-12-01,1345300
1995-01-01,1509400
1995-02-01,1478400
1995-03-01,1545000
1995-04-01,1439000
1995-05-01,1412100
1995-06-01,1364500
1995-07-01,1499300
1995-08-01,1429600
1995-09-01,1220000
1995-10-01,1244600
1995-11-01,1274100
1995-12-01,1310100
1996-01-01,1498400
1996-02-01,1492200
1996-03-01,1507800
1996-04-01,1413500
1996-05-01,1390100
1996-06-01,1420800
1996-07-01,1497600
1996-08-01,1424400
1996-09-01,1344300
1996-10-01,1374300
1996-11-01,1410200
1996-12-01,1367000
1997-01-01,1512200
1997-02-01,1510400
1997-03-01,1473400
1997-04-01,1455400
1997-05-01,1435300
1997-06-01,1357300
1997-07-01,1407700
1997-08-01,1368600
1997-09-01,1222100
1997-10-01,1248000
1997-11-01,1282600
1997-12-01,1195900
1998-01-01,1420500
1998-02-01,1370000
1998-03-01,1348500
1998-04-01,1303300
1998-05-01,1293500
1998-06-01,1251500
1998-07-01,1330400
1998-08-01,1265500
1998-09-01,1151300
1998-10-01,1133100
1998-11-01,1175800
1998-12-01,1170700
1999-01-01,1301100
1999-02-01,1288200
1999-03-01,1285800
1999-04-01,1324000
1999-05-01,1270300
1999-06-01,1145700
1999-07-01,1247900
1999-08-01,1222600
1999-09-01,1064000
1999-10-01,1027000
1999-11-01,1021400
1999-12-01,982700
2000-01-01,1128900
2000-02-01,1132700
2000-03-01,1130400
2000-04-01,1111000
2000-05-01,1074700
2000-06-01,1018900
2000-07-01,1143900
2000-08-01,1178500
2000-09-01,1004600
2000-10-01,1014100
2000-11-01,1036700
2000-12-01,1007000
2001-01-01,1181700
2001-02-01,1175500
2001-03-01,1200700
2001-04-01,1180700
2001-05-01,1147200
2001-06-01,1101900
2001-07-01,1196700
2001-08-01,1235800
2001-09-01,1063400
2001-10-01,1081900
2001-11-01,1150400
2001-12-01,1225400
2002-01-01,1402700
2002-02-01,1359900
2002-03-01,1354400
2002-04-01,1305000
2002-05-01,1311600
2002-06-01,1190800
2002-07-01,1320900
2002-08-01,1312500
2002-09-01,1153400
2002-10-01,1150200
2002-11-01,1188100
2002-12-01,1182600
2003-01-01,1335700
2003-02-01,1316100
2003-03-01,1300800
2003-04-01,1319300
2003-05-01,1361900
2003-06-01,1225600
2003-07-01,1361000
2003-08-01,1408300
2003-09-01,1232700
2003-10-01,1173300
2003-11-01,1198700
2003-12-01,1166500
2004-01-01,1327700
2004-02-01,1305600
2004-03-01,1319800
2004-04-01,1268100
2004-05-01,1266900
2004-06-01,1172700
2004-07-01,1277300
2004-08-01,1310300
2004-09-01,1108400
2004-10-01,1110400
2004-11-01,1173100
2004-12-01,1144500
2005-01-01,1264000
2005-02-01,1261500
2005-03-01,1250000
2005-04-01,1198700
2005-05-01,1214100
2005-06-01,1108000
2005-07-01,1225800
2005-08-01,1267200
2005-09-01,1082000
2005-10-01,1060000
2005-11-01,1036500
2005-12-01,1055800
2006-01-01,1252900
2006-02-01,1193000
2006-03-01,1194900
2006-04-01,1166600
2006-05-01,1107300
2006-06-01,1038000
2006-07-01,1228000
2006-08-01,1256400
2006-09-01,1068900
2006-10-01,1018200
2006-11-01,1089600
2006-12-01,1041500
2007-01-01,1200100
2007-02-01,1153500
2007-03-01,1184500
2007-04-01,1141100
2007-05-01,1113800
2007-06-01,1024200
2007-07-01,1130500
2007-08-01,1174700
2007-09-01,1014500
2007-10-01,988300
2007-11-01,1039100
2007-12-01,1026900
2008-01-01,1168600
2008-02-01,1131400
2008-03-01,1183700
2008-04-01,1150900
2008-05-01,1149800
2008-06-01,1050100
2008-07-01,1176700
2008-08-01,1227100
2008-09-01,1053800
2008-10-01,1048100
2008-11-01,1148400
2008-12-01,1187700
2009-01-01,1451100
2009-02-01,1530000
2009-03-01,1630600
2009-04-01,1598500
2009-05-01,1629400
2009-06-01,1521200
2009-07-01,1682400
2009-08-01,1727700
2009-09-01,1430100
2009-10-01,1419700
2009-11-01,1488500
2009-12-01,1472400
2010-01-01,1617000
2010-02-01,1584500
2010-03-01,1628800
2010-04-01,1569600
2010-05-01,1566800
2010-06-01,1410600
2010-07-01,1597000
2010-08-01,1696600
2010-09-01,1399800
2010-10-01,1364100
2010-11-01,1362900
2010-12-01,1347900
2011-01-01,1529400
2011-02-01,1506700
2011-03-01,1552500
2011-04-01,1515600
2011-05-01,1454400
2011-06-01,1364100
2011-07-01,1472200
2011-08-01,1535200
2011-09-01,1278300
2011-10-01,1283400
2011-11-01,1324200
2011-12-01,1294800
2012-01-01,1504000
2012-02-01,1458900
2012-03-01,1453200
2012-04-01,1436700
2012-05-01,1453900
2012-06-01,1329600
2012-07-01,1434300
2012-08-01,1536200
2012-09-01,1286700
2012-10-01,1293000
2012-11-01,1291900
2012-12-01,1261100
2013-01-01,1415500
2013-02-01,1386300
2013-03-01,1459200
2013-04-01,1412500
2013-05-01,1376700
2013-06-01,1303800
2013-07-01,1453000
2013-08-01,1520000
2013-09-01,1218900
2013-10-01,1240600
2013-11-01,1253600
2013-12-01,1310300
2014-01-01,1447400
2014-02-01,1431600
2014-03-01,1433000
2014-04-01,1402900
2014-05-01,1431400
2014-06-01,1312600
2014-07-01,1420400
2014-08-01,1471600
2014-09-01,1218100
2014-10-01,1177400
2014-11-01,1194100
2014-12-01,1178500
2015-01-01,1358200
2015-02-01,1380700
2015-03-01,1412200
2015-04-01,1375400
2015-05-01,1363800
2015-06-01,1261200
2015-07-01,1398600
2015-08-01,1485300
2015-09-01,1238400
2015-10-01,1217500
2015-11-01,1250000
2015-12-01,1295900
2016-01-01,1468000
2016-02-01,1475000
2016-03-01,1496200
2016-04-01,1464000
2016-05-01,1355000
2016-06-01,1277600
2016-07-01,1419900
2016-08-01,1489100
2016-09-01,1242200
2016-10-01,1221100
2016-11-01,1208900
2016-12-01,1243300
2017-01-01,1399100
2017-02-01,1348500
2017-03-01,1398500
2017-04-01,1321400
2017-05-01,1307500
2017-06-01,1225000
2017-07-01,1321000
2017-08-01,1380000
2017-09-01,1123500
2017-10-01,1139800
2017-11-01,1102600
2017-12-01,1092700
2018-01-01,1226900
2018-02-01,1225600
2018-03-01,1226700
2018-04-01,1180500
2018-05-01,1179100
2018-06-01,1146400
2018-07-01,1222300
2018-08-01,1344100
2018-09-01,1069700
2018-10-01,1036700
2018-11-01,1038700
2018-12-01,1029700
2019-01-01,1220700
2019-02-01,1211500
2019-03-01,1256500
2019-04-01,1194300
2019-05-01,1129700
2019-06-01,1092200
2019-07-01,1229200
2019-08-01,1316900
2019-09-01,1039800
2019-10-01,1020600
2019-11-01,1095100
2019-12-01,1038400
2020-01-01,1190200
2020-02-01,1214500
2020-03-01,1743300
2020-04-01,2596200
2020-05-01,2759300
2020-06-01,2408400
2020-07-01,2318000
2020-08-01,2270300
2020-09-01,1712000
2020-10-01,1659200
2020-11-01,1620400
2020-12-01,1654300
2021-01-01,1968000
2021-02-01,1771700
2021-03-01,1663500
2021-04-01,1700200
2021-05-01,1724000
2021-06-01,1544800
2021-07-01,1612700
2021-08-01,1684700
2021-09-01,1334200
2021-10-01,1210100
2021-11-01,1169300
2021-12-01,1119600
2022-01-01,1413400
2022-02-01,1169600
2022-03-01,1171500
2022-04-01,1127800
2022-05-01,1072300
2022-06-01,990500
2022-07-01,1089900
2022-08-01,1259100
2022-09-01,986000
2022-10-01,978200
2022-11-01,975400
2022-12-01,938300
2023-01-01,1136100
2023-02-01,1100800
2023-03-01,1123600
2023-04-01,1093500
2023-05-01,1118000
2023-06-01,1118900
2023-07-01,1283200
2023-08-01,1362700
2023-09-01,1110700
2023-10-01,1136200
2023-11-01,1145200
