"Date","CANODCNPI03MLSAM"
1977-11-01,683981000
1977-12-01,649761000
1978-01-01,639980000
1978-02-01,622093000
1978-03-01,554386000
1978-04-01,622842000
1978-05-01,644342000
1978-06-01,622494000
1978-07-01,642971000
1978-08-01,618689000
1978-09-01,638446000
1978-10-01,678705000
1978-11-01,615669000
1978-12-01,666053000
1979-01-01,591176000
1979-02-01,559339000
1979-03-01,622513000
1979-04-01,615923000
1979-05-01,694154000
1979-06-01,646648000
1979-07-01,685758000
1979-08-01,722288000
1979-09-01,722357000
1979-10-01,659455000
1979-11-01,645442000
1979-12-01,602021000
1980-01-01,584943000
1980-02-01,586637000
1980-03-01,543682000
1980-04-01,500055000
1980-05-01,459856000
1980-06-01,612335000
1980-07-01,579931000
1980-08-01,684262000
1980-09-01,728467000
1980-10-01,728645000
1980-11-01,753365000
1980-12-01,705730000
1981-01-01,779398000
1981-02-01,834834000
1981-03-01,907875000
1981-04-01,935651000
1981-05-01,961270000
1981-06-01,920780000
1981-07-01,850614000
1981-08-01,762268000
1981-09-01,645550000
1981-10-01,575755000
1981-11-01,662711000
1981-12-01,977900000
1982-01-01,626997000
1982-02-01,453058000
1982-03-01,432910000
1982-04-01,434194000
1982-05-01,420067000
1982-06-01,391083000
1982-07-01,405517000
1982-08-01,461205000
1982-09-01,511623000
1982-10-01,583885000
1982-11-01,679972000
1982-12-01,732357000
1983-01-01,752286000
1983-02-01,771167000
1983-03-01,867517000
1983-04-01,1018229000
1983-05-01,665411000
1983-06-01,617248000
1983-07-01,688260000
1983-08-01,659614000
1983-09-01,715406000
1983-10-01,751795000
1983-11-01,677741000
1983-12-01,674489000
1984-01-01,661814000
1984-02-01,710593000
1984-03-01,675977000
1984-04-01,686196000
1984-05-01,724917000
1984-06-01,749684000
1984-07-01,821753000
1984-08-01,652863000
1984-09-01,659680000
1984-10-01,633115000
1984-11-01,770089000
1984-12-01,766478000
1985-01-01,691612000
1985-02-01,706021000
1985-03-01,790453000
1985-04-01,832097000
1985-05-01,921053000
1985-06-01,958904000
1985-07-01,962185000
1985-08-01,1031306000
1985-09-01,1092110000
1985-10-01,1019572000
1985-11-01,961819000
1985-12-01,915918000
1986-01-01,1076930000
1986-02-01,1157504000
1986-03-01,1034592000
1986-04-01,1112941000
1986-05-01,1077220000
1986-06-01,1092171000
1986-07-01,1121679000
1986-08-01,1304951000
1986-09-01,1218545000
1986-10-01,1349530000
1986-11-01,1351329000
1986-12-01,1321425000
1987-01-01,1587150000
1987-02-01,1528410000
1987-03-01,1746346000
1987-04-01,1565277000
1987-05-01,1607876000
1987-06-01,1591050000
1987-07-01,1491767000
1987-08-01,1593314000
1987-09-01,1631260000
1987-10-01,1595261000
1987-11-01,1462173000
1987-12-01,1432630000
1988-01-01,1490961000
1988-02-01,1484252000
1988-03-01,1592766000
1988-04-01,1624688000
1988-05-01,1699063000
1988-06-01,1808960000
1988-07-01,1710290000
1988-08-01,1706376000
1988-09-01,1773142000
1988-10-01,1558883000
1988-11-01,1721963000
1988-12-01,1947309000
1989-01-01,1921499000
1989-02-01,2020154000
1989-03-01,1875011000
1989-04-01,1734111000
1989-05-01,1665020000
1989-06-01,1653538000
1989-07-01,1748865000
1989-08-01,1764945000
1989-09-01,1735099000
1989-10-01,1728478000
1989-11-01,1904047000
1989-12-01,1956229000
1990-01-01,2400224000
1990-02-01,2082460000
1990-03-01,1935066000
1990-04-01,1614422000
1990-05-01,1446607000
1990-06-01,1270285000
1990-07-01,1177048000
1990-08-01,1276348000
1990-09-01,1113041000
1990-10-01,1252311000
1990-11-01,1017036000
1990-12-01,929693000
1991-01-01,917969000
1991-02-01,1110661000
1991-03-01,1071872000
1991-04-01,1372833000
1991-05-01,1429772000
1991-06-01,1441939000
1991-07-01,1583282000
1991-08-01,1486727000
1991-09-01,1617731000
1991-10-01,1585703000
1991-11-01,1744366000
1991-12-01,1273976000
1992-01-01,1384856000
1992-02-01,1538828000
1992-03-01,1518176000
1992-04-01,1362567000
1992-05-01,1417883000
1992-06-01,1399077000
1992-07-01,1364290000
1992-08-01,1394993000
1992-09-01,1404855000
1992-10-01,1544470000
1992-11-01,1410664000
1992-12-01,1420165000
1993-01-01,1326538000
1993-02-01,1326907000
1993-03-01,1296769000
1993-04-01,1369767000
1993-05-01,1.272e+09
1993-06-01,1329247000
1993-07-01,1391409000
1993-08-01,1442357000
1993-09-01,1437760000
1993-10-01,1341245000
1993-11-01,1465524000
1993-12-01,1432997000
1994-01-01,1302471000
1994-02-01,1367979000
1994-03-01,1471389000
1994-04-01,1565624000
1994-05-01,1591524000
1994-06-01,1612896000
1994-07-01,1537182000
1994-08-01,1447622000
1994-09-01,1435018000
1994-10-01,1371881000
1994-11-01,1365332000
1994-12-01,1521262000
1995-01-01,1263193000
1995-02-01,1091965000
1995-03-01,1095307000
1995-04-01,1106321000
1995-05-01,1089007000
1995-06-01,1087878000
1995-07-01,1035209000
1995-08-01,1144895000
1995-09-01,1101898000
1995-10-01,1185767000
1995-11-01,1056489000
1995-12-01,981236000
1996-01-01,1101954000
1996-02-01,1382887000
1996-03-01,1232487000
1996-04-01,1219876000
1996-05-01,1309267000
1996-06-01,1354051000
1996-07-01,1395583000
1996-08-01,1299530000
1996-09-01,1305923000
1996-10-01,1348824000
1996-11-01,1391775000
1996-12-01,1376079000
1997-01-01,1560752000
1997-02-01,1550266000
1997-03-01,1424242000
1997-04-01,1559533000
1997-05-01,1583426000
1997-06-01,1483563000
1997-07-01,1613367000
1997-08-01,1446557000
1997-09-01,1688585000
1997-10-01,1550459000
1997-11-01,1436634000
1997-12-01,1420073000
1998-01-01,1415808000
1998-02-01,1484413000
1998-03-01,1525242000
1998-04-01,1691635000
1998-05-01,1443291000
1998-06-01,1453495000
1998-07-01,1444150000
1998-08-01,1474817000
1998-09-01,1534271000
1998-10-01,1408530000
1998-11-01,1542495000
1998-12-01,1527258000
1999-01-01,1420004000
1999-02-01,1568233000
1999-03-01,1545593000
1999-04-01,1659202000
1999-05-01,1664377000
1999-06-01,1712041000
1999-07-01,1706866000
1999-08-01,1686436000
1999-09-01,1624943000
1999-10-01,1779816000
1999-11-01,1762160000
1999-12-01,1827409000
2000-01-01,1683987000
2000-02-01,1617735000
2000-03-01,1746917000
2000-04-01,1582975000
2000-05-01,1658056000
2000-06-01,1762222000
2000-07-01,1655589000
2000-08-01,1870948000
2000-09-01,1697012000
2000-10-01,1722954000
2000-11-01,1704185000
2000-12-01,1639509000
2001-01-01,1856899000
2001-02-01,1935475000
2001-03-01,1739866000
2001-04-01,1583792000
2001-05-01,1955121000
2001-06-01,1983135000
2001-07-01,1828356000
2001-08-01,1884608000
2001-09-01,1848619000
2001-10-01,1916435000
2001-11-01,2039226000
2001-12-01,2047665000
2002-01-01,2232596000
2002-02-01,2423246000
2002-03-01,2451351000
2002-04-01,2733506000
2002-05-01,2453046000
2002-06-01,2361358000
2002-07-01,2426635000
2002-08-01,2670841000
2002-09-01,2446417000
2002-10-01,2559638000
2002-11-01,2437416000
2002-12-01,2390821000
2003-01-01,2673262000
2003-02-01,2377736000
2003-03-01,2524875000
2003-04-01,2427663000
2003-05-01,2557653000
2003-06-01,2656721000
2003-07-01,2785956000
2003-08-01,2643775000
2003-09-01,2875912000
2003-10-01,2751532000
2003-11-01,2892320000
2003-12-01,2804010000
2004-01-01,2759494000
2004-02-01,2618901000
2004-03-01,3092162000
2004-04-01,3137700000
2004-05-01,2951249000
2004-06-01,3560022000
2004-07-01,3180299000
2004-08-01,3197320000
2004-09-01,2968601000
2004-10-01,3116060000
2004-11-01,3146088000
2004-12-01,3105565000
2005-01-01,2720127000
2005-02-01,3078621000
2005-03-01,2996492000
2005-04-01,3150673000
2005-05-01,3203251000
2005-06-01,3269266000
2005-07-01,3184299000
2005-08-01,3135419000
2005-09-01,3207103000
2005-10-01,3372765000
2005-11-01,3067110000
2005-12-01,4337986000
2006-01-01,3164887000
2006-02-01,3109972000
2006-03-01,3407591000
2006-04-01,3274268000
2006-05-01,3384519000
2006-06-01,3321095000
2006-07-01,3440976000
2006-08-01,3635105000
2006-09-01,3405269000
2006-10-01,3690962000
2006-11-01,3653259000
2006-12-01,3564855000
2007-01-01,3772077000
2007-02-01,3057529000
2007-03-01,3752458000
2007-04-01,3695661000
2007-05-01,3888803000
2007-06-01,4071463000
2007-07-01,3803543000
2007-08-01,3807248000
2007-09-01,4013442000
2007-10-01,4007682000
2007-11-01,3768459000
2007-12-01,3909115000
2008-01-01,3403663000
2008-02-01,3917784000
2008-03-01,3587315000
2008-04-01,4051126000
2008-05-01,3738265000
2008-06-01,3552958000
2008-07-01,3734062000
2008-08-01,3455460000
2008-09-01,3212601000
2008-10-01,2938866000
2008-11-01,2708799000
2008-12-01,2577524000
2009-01-01,1994100000
2009-02-01,2024855000
2009-03-01,2208045000
2009-04-01,2339259000
2009-05-01,2721360000
2009-06-01,2783748000
2009-07-01,2750144000
2009-08-01,3040179000
2009-09-01,3443295000
2009-10-01,3561073000
2009-11-01,3907133000
2009-12-01,3934892000
2010-01-01,3885466000
2010-02-01,3631170000
2010-03-01,4074236000
2010-04-01,3761992000
2010-05-01,3653302000
2010-06-01,3562696000
2010-07-01,3335227000
2010-08-01,3463930000
2010-09-01,3750360000
2010-10-01,3422824000
2010-11-01,3103797000
2010-12-01,3826303000
2011-01-01,3661697000
2011-02-01,3291475000
2011-03-01,3938783000
2011-04-01,3611925000
2011-05-01,3613604000
2011-06-01,3667600000
2011-07-01,3807144000
2011-08-01,3606924000
2011-09-01,3417466000
2011-10-01,3628868000
2011-11-01,3951093000
2011-12-01,4282433000
2012-01-01,4053145000
2012-02-01,4327225000
2012-03-01,4038803000
2012-04-01,3953475000
2012-05-01,3996056000
2012-06-01,4414708000
2012-07-01,4120552000
2012-08-01,4181857000
2012-09-01,4193391000
2012-10-01,3895139000
2012-11-01,3769522000
2012-12-01,3464479000
2013-01-01,3751040000
2013-02-01,3906454000
2013-03-01,3928297000
2013-04-01,4276140000
2013-05-01,4376223000
2013-06-01,3921064000
2013-07-01,3904659000
2013-08-01,3992543000
2013-09-01,4070014000
2013-10-01,4256640000
2013-11-01,4151587000
2013-12-01,3874829000
2014-01-01,4637851000
2014-02-01,4062616000
2014-03-01,3851748000
2014-04-01,3826857000
2014-05-01,4148874000
2014-06-01,4246105000
2014-07-01,4501809000
2014-08-01,4128135000
2014-09-01,4406793000
2014-10-01,4290020000
2014-11-01,4458513000
2014-12-01,4432280000
2015-01-01,4123293000
2015-02-01,4344104000
2015-03-01,4537762000
2015-04-01,4590631000
2015-05-01,4123077000
2015-06-01,4649773000
2015-07-01,4762843000
2015-08-01,4670592000
2015-09-01,4251366000
2015-10-01,4698382000
2015-11-01,4049662000
2015-12-01,4548491000
2016-01-01,3964517000
2016-02-01,4104335000
2016-03-01,4366672000
2016-04-01,4759407000
2016-05-01,4337624000
2016-06-01,4177764000
2016-07-01,4242867000
2016-08-01,4618544000
2016-09-01,4874116000
2016-10-01,5741905000
2016-11-01,5221335000
2016-12-01,4730521000
2017-01-01,4858859000
2017-02-01,5095774000
2017-03-01,4884074000
2017-04-01,4546986000
2017-05-01,5160656000
2017-06-01,5160337000
2017-07-01,5004595000
2017-08-01,4985360000
2017-09-01,4922814000
2017-10-01,5116992000
2017-11-01,4969950000
2017-12-01,4985679000
2018-01-01,5197819000
2018-02-01,5337931000
2018-03-01,5491174000
2018-04-01,5306333000
2018-05-01,5451049000
2018-06-01,5398763000
2018-07-01,5297862000
2018-08-01,4697035000
2018-09-01,5005822000
2018-10-01,5248303000
2018-11-01,5182842000
2018-12-01,5228444000
2019-01-01,5118363000
2019-02-01,4898048000
2019-03-01,4869597000
2019-04-01,5656991000
2019-05-01,5223480000
2019-06-01,4995493000
2019-07-01,5284453000
2019-08-01,5884758000
2019-09-01,5212022000
2019-10-01,5133729000
2019-11-01,4711236000
2019-12-01,5124462000
2020-01-01,5618288000
2020-02-01,5527307000
2020-03-01,4382181000
2020-04-01,3893233000
2020-05-01,5234482000
2020-06-01,5346021000
2020-07-01,5412906000
2020-08-01,5917535000
2020-09-01,6336129000
2020-10-01,6497698000
2020-11-01,6495831000
2020-12-01,6510122000
2021-01-01,7513942000
2021-02-01,6972665000
2021-03-01,7954284000
2021-04-01,7673407000
2021-05-01,6650950000
2021-06-01,6927621000
2021-07-01,7104579000
2021-08-01,6395826000
2021-09-01,7175882000
2021-10-01,7409651000
2021-11-01,7853209000
2021-12-01,7763500000
2022-01-01,7046651000
2022-02-01,7743024000
2022-03-01,7860322000
2022-04-01,7978854000
2022-05-01,7962145000
2022-06-01,8304104000
2022-07-01,7455644000
2022-08-01,8337151000
2022-09-01,7008415000
2022-10-01,6135915000
2022-11-01,7115752000
2022-12-01,6682836000
2023-01-01,6181744000
2023-02-01,6796315000
2023-03-01,6778125000
2023-04-01,6337340000
2023-05-01,7131262000
2023-06-01,6989005000
2023-07-01,7094607000
2023-08-01,6878259000
2023-09-01,7171131000
