"Date","LFEACNTTCAM647S"
1985-02-01,629850.720931312
1985-03-01,631587.161656424
1985-04-01,637920.109141653
1985-05-01,644256.396723541
1985-06-01,644148.743923805
1985-07-01,642493.585059937
1985-08-01,652231.758152314
1985-09-01,648540.007458909
1985-10-01,649916.16085134
1985-11-01,650949.425133795
1985-12-01,661508.28809801
1986-01-01,663044.077123076
1986-02-01,661931.52033504
1986-03-01,664860.63039902
1986-04-01,677854.706987928
1986-05-01,659608.781705249
1986-06-01,659220.339423368
1986-07-01,656746.772471659
1986-08-01,657012.216478776
1986-09-01,655840.650095155
1986-10-01,666489.186542888
1986-11-01,681908.358271692
1986-12-01,676120.839953128
1987-01-01,685600
1987-02-01,694800
1987-03-01,704400
1987-04-01,710300
1987-05-01,718400
1987-06-01,728200
1987-07-01,730600
1987-08-01,734000
1987-09-01,740300
1987-10-01,750800
1987-11-01,750700
1987-12-01,768900
1988-01-01,754300
1988-02-01,765300
1988-03-01,758900
1988-04-01,758000
1988-05-01,752500
1988-06-01,761800
1988-07-01,760100
1988-08-01,772100
1988-09-01,781700
1988-10-01,771000
1988-11-01,776400
1988-12-01,780900
1989-01-01,790500
1989-02-01,789300
1989-03-01,795600
1989-04-01,796300
1989-05-01,806300
1989-06-01,804700
1989-07-01,809200
1989-08-01,817200
1989-09-01,814200
1989-10-01,813400
1989-11-01,819400
1989-12-01,810600
1990-01-01,822400
1990-02-01,825000
1990-03-01,822500
1990-04-01,825700
1990-05-01,824700
1990-06-01,821000
1990-07-01,825600
1990-08-01,817700
1990-09-01,822900
1990-10-01,813800
1990-11-01,785100
1990-12-01,775700
1991-01-01,753200
1991-02-01,748600
1991-03-01,738700
1991-04-01,743000
1991-05-01,748700
1991-06-01,742000
1991-07-01,745300
1991-08-01,736600
1991-09-01,729600
1991-10-01,727500
1991-11-01,727900
1991-12-01,721800
1992-01-01,715800
1992-02-01,715100
1992-03-01,717900
1992-04-01,707300
1992-05-01,703500
1992-06-01,718100
1992-07-01,712100
1992-08-01,710900
1992-09-01,714300
1992-10-01,714900
1992-11-01,709700
1992-12-01,716000
1993-01-01,721300
1993-02-01,716300
1993-03-01,705100
1993-04-01,691000
1993-05-01,696300
1993-06-01,698400
1993-07-01,688200
1993-08-01,683700
1993-09-01,682300
1993-10-01,676500
1993-11-01,680300
1993-12-01,672000
1994-01-01,676000
1994-02-01,689800
1994-03-01,694500
1994-04-01,710300
1994-05-01,723800
1994-06-01,730700
1994-07-01,736200
1994-08-01,738700
1994-09-01,746300
1994-10-01,748600
1994-11-01,753400
1994-12-01,748500
1995-01-01,746500
1995-02-01,737100
1995-03-01,739900
1995-04-01,730100
1995-05-01,722100
1995-06-01,717900
1995-07-01,713900
1995-08-01,717900
1995-09-01,726300
1995-10-01,729700
1995-11-01,716800
1995-12-01,722300
1996-01-01,716700
1996-02-01,711600
1996-03-01,715700
1996-04-01,713400
1996-05-01,698500
1996-06-01,711800
1996-07-01,716700
1996-08-01,720100
1996-09-01,708700
1996-10-01,712300
1996-11-01,706700
1996-12-01,710600
1997-01-01,720600
1997-02-01,721100
1997-03-01,720600
1997-04-01,721000
1997-05-01,714500
1997-06-01,727200
1997-07-01,732700
1997-08-01,732700
1997-09-01,731200
1997-10-01,728600
1997-11-01,727300
1997-12-01,726700
1998-01-01,724500
1998-02-01,727900
1998-03-01,726900
1998-04-01,728000
1998-05-01,727500
1998-06-01,716400
1998-07-01,730900
1998-08-01,743700
1998-09-01,735700
1998-10-01,754000
1998-11-01,760100
1998-12-01,761700
1999-01-01,756800
1999-02-01,755300
1999-03-01,755400
1999-04-01,759400
1999-05-01,762300
1999-06-01,758200
1999-07-01,758500
1999-08-01,761600
1999-09-01,756700
1999-10-01,771400
1999-11-01,791000
1999-12-01,795800
2000-01-01,804100
2000-02-01,810200
2000-03-01,810400
2000-04-01,810500
2000-05-01,802500
2000-06-01,799200
2000-07-01,812400
2000-08-01,805100
2000-09-01,810600
2000-10-01,800300
2000-11-01,811000
2000-12-01,810200
2001-01-01,811400
2001-02-01,825400
2001-03-01,828900
2001-04-01,836100
2001-05-01,830300
2001-06-01,830700
2001-07-01,822100
2001-08-01,814800
2001-09-01,827000
2001-10-01,829600
2001-11-01,819900
2001-12-01,825100
2002-01-01,836100
2002-02-01,844100
2002-03-01,840300
2002-04-01,843600
2002-05-01,863300
2002-06-01,866500
2002-07-01,867800
2002-08-01,873300
2002-09-01,873800
2002-10-01,883200
2002-11-01,873800
2002-12-01,884600
2003-01-01,886700
2003-02-01,890800
2003-03-01,903200
2003-04-01,891000
2003-05-01,893900
2003-06-01,904300
2003-07-01,915500
2003-08-01,926400
2003-09-01,927400
2003-10-01,918200
2003-11-01,925300
2003-12-01,930300
2004-01-01,920700
2004-02-01,920100
2004-03-01,925200
2004-04-01,932000
2004-05-01,946900
2004-06-01,952900
2004-07-01,961800
2004-08-01,968100
2004-09-01,961900
2004-10-01,984500
2004-11-01,985500
2004-12-01,997900
2005-01-01,1001600
2005-02-01,986700
2005-03-01,993500
2005-04-01,1014700
2005-05-01,993600
2005-06-01,1030000
2005-07-01,991900
2005-08-01,1039400
2005-09-01,1046100
2005-10-01,1042200
2005-11-01,1061800
2005-12-01,1055500
2006-01-01,1068300
2006-02-01,1086000
2006-03-01,1097000
2006-04-01,1092000
2006-05-01,1106200
2006-06-01,1088400
2006-07-01,1088400
2006-08-01,1090200
2006-09-01,1107500
2006-10-01,1112900
2006-11-01,1115200
2006-12-01,1134800
2007-01-01,1146600
2007-02-01,1152700
2007-03-01,1147100
2007-04-01,1157800
2007-05-01,1161300
2007-06-01,1161300
2007-07-01,1172700
2007-08-01,1165000
2007-09-01,1159900
2007-10-01,1168700
2007-11-01,1177400
2007-12-01,1188500
2008-01-01,1209900
2008-02-01,1226200
2008-03-01,1235300
2008-04-01,1252000
2008-05-01,1250300
2008-06-01,1251300
2008-07-01,1258500
2008-08-01,1272700
2008-09-01,1268800
2008-10-01,1268400
2008-11-01,1275000
2008-12-01,1249200
2009-01-01,1227100
2009-02-01,1209700
2009-03-01,1205400
2009-04-01,1177600
2009-05-01,1183800
2009-06-01,1194600
2009-07-01,1198600
2009-08-01,1188100
2009-09-01,1200000
2009-10-01,1204700
2009-11-01,1199700
2009-12-01,1208300
2010-01-01,1211100
2010-02-01,1202100
2010-03-01,1216500
2010-04-01,1243000
2010-05-01,1237200
2010-06-01,1243900
2010-07-01,1230000
2010-08-01,1249700
2010-09-01,1249300
2010-10-01,1255600
2010-11-01,1268000
2010-12-01,1267500
2011-01-01,1274700
2011-02-01,1289500
2011-03-01,1290400
2011-04-01,1290700
2011-05-01,1301400
2011-06-01,1297300
2011-07-01,1315700
2011-08-01,1324700
2011-09-01,1326200
2011-10-01,1327200
2011-11-01,1313800
2011-12-01,1304600
2012-01-01,1303900
2012-02-01,1318100
2012-03-01,1315400
2012-04-01,1322600
2012-05-01,1329700
2012-06-01,1336600
2012-07-01,1348500
2012-08-01,1337500
2012-09-01,1341900
2012-10-01,1336500
2012-11-01,1341400
2012-12-01,1359700
2013-01-01,1364500
2013-02-01,1363500
2013-03-01,1367600
2013-04-01,1389600
2013-05-01,1394100
2013-06-01,1386800
2013-07-01,1384200
2013-08-01,1380300
2013-09-01,1370400
2013-10-01,1380000
2013-11-01,1373500
2013-12-01,1371900
2014-01-01,1375100
2014-02-01,1361200
2014-03-01,1373000
2014-04-01,1354700
2014-05-01,1356800
2014-06-01,1373700
2014-07-01,1368100
2014-08-01,1366500
2014-09-01,1382300
2014-10-01,1374300
2014-11-01,1380400
2014-12-01,1382500
2015-01-01,1378800
2015-02-01,1380600
2015-03-01,1376400
2015-04-01,1371200
2015-05-01,1360200
2015-06-01,1361300
2015-07-01,1362000
2015-08-01,1368500
2015-09-01,1368900
2015-10-01,1344900
2015-11-01,1356700
2015-12-01,1354300
2016-01-01,1353900
2016-02-01,1372100
2016-03-01,1364600
2016-04-01,1367900
2016-05-01,1391500
2016-06-01,1375700
2016-07-01,1380600
2016-08-01,1386500
2016-09-01,1378600
2016-10-01,1404800
2016-11-01,1388800
2016-12-01,1381500
2017-01-01,1402100
2017-02-01,1401400
2017-03-01,1392900
2017-04-01,1405900
2017-05-01,1404900
2017-06-01,1412000
2017-07-01,1415400
2017-08-01,1415300
2017-09-01,1415600
2017-10-01,1446100
2017-11-01,1445900
2017-12-01,1464600
2018-01-01,1447700
2018-02-01,1442700
2018-03-01,1456000
2018-04-01,1425800
2018-05-01,1416200
2018-06-01,1430600
2018-07-01,1419800
2018-08-01,1421800
2018-09-01,1441400
2018-10-01,1434600
2018-11-01,1453800
2018-12-01,1443800
2019-01-01,1434400
2019-02-01,1435400
2019-03-01,1433100
2019-04-01,1461300
2019-05-01,1454100
2019-06-01,1456900
2019-07-01,1478300
2019-08-01,1493100
2019-09-01,1508800
2019-10-01,1502800
2019-11-01,1513300
2019-12-01,1521400
2020-01-01,1510500
2020-02-01,1510000
2020-03-01,1472800
2020-04-01,1185800
2020-05-01,1288800
2020-06-01,1393600
2020-07-01,1394100
2020-08-01,1417100
2020-09-01,1426500
2020-10-01,1430000
2020-11-01,1432600
2020-12-01,1439800
2021-01-01,1460600
2021-02-01,1456300
2021-03-01,1458000
2021-04-01,1458600
2021-05-01,1444800
2021-06-01,1424600
2021-07-01,1444200
2021-08-01,1450400
2021-09-01,1449000
2021-10-01,1454300
2021-11-01,1457900
2021-12-01,1476800
2022-01-01,1496500
2022-02-01,1538900
2022-03-01,1538500
2022-04-01,1545200
2022-05-01,1549500
2022-06-01,1554400
2022-07-01,1565700
2022-08-01,1560600
2022-09-01,1545800
2022-10-01,1576900
2022-11-01,1568500
2022-12-01,1595100
2023-01-01,1610900
2023-02-01,1609400
2023-03-01,1590600
2023-04-01,1597600
2023-05-01,1598200
2023-06-01,1584700
2023-07-01,1540000
2023-08-01,1573800
2023-09-01,1556300
2023-10-01,1579300
2023-11-01,1595500
