"Date","LFEACNTTCAM647N"
1991-02-01,653600
1991-03-01,647200
1991-04-01,674900
1991-05-01,761300
1991-06-01,794200
1991-07-01,837000
1991-08-01,831500
1991-09-01,792000
1991-10-01,782500
1991-11-01,742900
1991-12-01,687100
1992-01-01,623800
1992-02-01,619900
1992-03-01,623700
1992-04-01,638200
1992-05-01,711500
1992-06-01,779100
1992-07-01,803400
1992-08-01,805600
1992-09-01,776800
1992-10-01,766100
1992-11-01,726300
1992-12-01,682700
1993-01-01,627600
1993-02-01,618200
1993-03-01,612200
1993-04-01,622300
1993-05-01,701600
1993-06-01,759000
1993-07-01,777600
1993-08-01,769400
1993-09-01,744500
1993-10-01,725100
1993-11-01,696800
1993-12-01,640300
1994-01-01,583000
1994-02-01,593600
1994-03-01,603900
1994-04-01,643100
1994-05-01,744500
1994-06-01,789100
1994-07-01,823200
1994-08-01,823900
1994-09-01,807800
1994-10-01,794100
1994-11-01,770100
1994-12-01,719100
1995-01-01,656900
1995-02-01,643100
1995-03-01,651700
1995-04-01,664400
1995-05-01,740000
1995-06-01,772900
1995-07-01,797700
1995-08-01,801400
1995-09-01,786700
1995-10-01,771900
1995-11-01,733900
1995-12-01,695700
1996-01-01,628100
1996-02-01,620700
1996-03-01,630900
1996-04-01,654800
1996-05-01,711200
1996-06-01,761500
1996-07-01,797700
1996-08-01,803100
1996-09-01,768800
1996-10-01,761400
1996-11-01,720300
1996-12-01,684600
1997-01-01,632200
1997-02-01,634300
1997-03-01,638900
1997-04-01,664100
1997-05-01,724400
1997-06-01,782300
1997-07-01,811100
1997-08-01,813700
1997-09-01,789200
1997-10-01,773700
1997-11-01,742400
1997-12-01,703100
1998-01-01,636800
1998-02-01,641300
1998-03-01,645000
1998-04-01,672400
1998-05-01,734600
1998-06-01,768700
1998-07-01,807200
1998-08-01,822300
1998-09-01,792000
1998-10-01,795400
1998-11-01,776700
1998-12-01,739200
1999-01-01,669500
1999-02-01,672600
1999-03-01,674900
1999-04-01,703300
1999-05-01,766900
1999-06-01,809100
1999-07-01,834200
1999-08-01,832000
1999-09-01,811900
1999-10-01,810400
1999-11-01,808600
1999-12-01,774000
2000-01-01,717100
2000-02-01,729500
2000-03-01,731900
2000-04-01,751800
2000-05-01,819600
2000-06-01,848000
2000-07-01,887100
2000-08-01,876100
2000-09-01,865100
2000-10-01,835800
2000-11-01,830400
2000-12-01,790300
2001-01-01,728900
2001-02-01,747300
2001-03-01,752900
2001-04-01,780300
2001-05-01,842400
2001-06-01,877700
2001-07-01,892500
2001-08-01,886100
2001-09-01,872000
2001-10-01,857600
2001-11-01,832100
2001-12-01,801100
2002-01-01,753800
2002-02-01,764200
2002-03-01,762800
2002-04-01,786200
2002-05-01,873600
2002-06-01,914000
2002-07-01,945100
2002-08-01,947900
2002-09-01,927800
2002-10-01,926100
2002-11-01,888300
2002-12-01,866300
2003-01-01,803700
2003-02-01,807500
2003-03-01,823900
2003-04-01,831300
2003-05-01,901800
2003-06-01,962600
2003-07-01,996200
2003-08-01,1002800
2003-09-01,980300
2003-10-01,961300
2003-11-01,942300
2003-12-01,913000
2004-01-01,836300
2004-02-01,827100
2004-03-01,838500
2004-04-01,870200
2004-05-01,949700
2004-06-01,1007600
2004-07-01,1047000
2004-08-01,1046000
2004-09-01,1013000
2004-10-01,1026000
2004-11-01,1007400
2004-12-01,980200
2005-01-01,914600
2005-02-01,893100
2005-03-01,904500
2005-04-01,952300
2005-05-01,1014700
2005-06-01,1081200
2005-07-01,1080500
2005-08-01,1119000
2005-09-01,1096300
2005-10-01,1083900
2005-11-01,1088900
2005-12-01,1036600
2006-01-01,980900
2006-02-01,991200
2006-03-01,1005900
2006-04-01,1028800
2006-05-01,1125000
2006-06-01,1137100
2006-07-01,1180600
2006-08-01,1170700
2006-09-01,1158500
2006-10-01,1155800
2006-11-01,1147500
2006-12-01,1113100
2007-01-01,1055000
2007-02-01,1057200
2007-03-01,1054100
2007-04-01,1100600
2007-05-01,1179400
2007-06-01,1208100
2007-07-01,1257600
2007-08-01,1246300
2007-09-01,1212600
2007-10-01,1214200
2007-11-01,1214000
2007-12-01,1164400
2008-01-01,1113800
2008-02-01,1129600
2008-03-01,1141600
2008-04-01,1191200
2008-05-01,1263600
2008-06-01,1307200
2008-07-01,1346300
2008-08-01,1356100
2008-09-01,1328200
2008-10-01,1324100
2008-11-01,1309200
2008-12-01,1220900
2009-01-01,1125500
2009-02-01,1106800
2009-03-01,1102300
2009-04-01,1115000
2009-05-01,1195400
2009-06-01,1249800
2009-07-01,1287000
2009-08-01,1273400
2009-09-01,1262800
2009-10-01,1262300
2009-11-01,1235300
2009-12-01,1178500
2010-01-01,1104900
2010-02-01,1097700
2010-03-01,1111100
2010-04-01,1177900
2010-05-01,1246900
2010-06-01,1299900
2010-07-01,1320800
2010-08-01,1338300
2010-09-01,1315000
2010-10-01,1314200
2010-11-01,1303000
2010-12-01,1236100
2011-01-01,1165000
2011-02-01,1184100
2011-03-01,1184500
2011-04-01,1224100
2011-05-01,1328900
2011-06-01,1354400
2011-07-01,1408100
2011-08-01,1413800
2011-09-01,1393900
2011-10-01,1384600
2011-11-01,1347300
2011-12-01,1273000
2012-01-01,1192300
2012-02-01,1213100
2012-03-01,1211200
2012-04-01,1260500
2012-05-01,1352500
2012-06-01,1391800
2012-07-01,1435100
2012-08-01,1426500
2012-09-01,1410700
2012-10-01,1390400
2012-11-01,1374200
2012-12-01,1328700
2013-01-01,1254500
2013-02-01,1261400
2013-03-01,1265900
2013-04-01,1325200
2013-05-01,1414700
2013-06-01,1440800
2013-07-01,1469700
2013-08-01,1468100
2013-09-01,1443300
2013-10-01,1441600
2013-11-01,1401300
2013-12-01,1340500
2014-01-01,1265700
2014-02-01,1261600
2014-03-01,1273800
2014-04-01,1288100
2014-05-01,1374300
2014-06-01,1438200
2014-07-01,1451900
2014-08-01,1452500
2014-09-01,1453600
2014-10-01,1435900
2014-11-01,1409300
2014-12-01,1353800
2015-01-01,1269900
2015-02-01,1276000
2015-03-01,1273200
2015-04-01,1302200
2015-05-01,1373000
2015-06-01,1424300
2015-07-01,1443700
2015-08-01,1453200
2015-09-01,1438600
2015-10-01,1406800
2015-11-01,1388400
2015-12-01,1329000
2016-01-01,1245100
2016-02-01,1269300
2016-03-01,1265700
2016-04-01,1297700
2016-05-01,1414900
2016-06-01,1433200
2016-07-01,1461000
2016-08-01,1469600
2016-09-01,1447300
2016-10-01,1464500
2016-11-01,1423800
2016-12-01,1359700
2017-01-01,1293800
2017-02-01,1299900
2017-03-01,1296600
2017-04-01,1335500
2017-05-01,1423900
2017-06-01,1466700
2017-07-01,1496500
2017-08-01,1498100
2017-09-01,1484400
2017-10-01,1503300
2017-11-01,1481500
2017-12-01,1443900
2018-01-01,1338500
2018-02-01,1340800
2018-03-01,1361300
2018-04-01,1365800
2018-05-01,1431800
2018-06-01,1482200
2018-07-01,1494800
2018-08-01,1506400
2018-09-01,1509700
2018-10-01,1487700
2018-11-01,1487600
2018-12-01,1423000
2019-01-01,1324400
2019-02-01,1332700
2019-03-01,1342800
2019-04-01,1403100
2019-05-01,1467200
2019-06-01,1506900
2019-07-01,1556600
2019-08-01,1577900
2019-09-01,1581400
2019-10-01,1560200
2019-11-01,1538600
2019-12-01,1495300
2020-01-01,1400200
2020-02-01,1407300
2020-03-01,1379900
2020-04-01,1129900
2020-05-01,1298000
2020-06-01,1453400
2020-07-01,1477800
2020-08-01,1502700
2020-09-01,1498200
2020-10-01,1480100
2020-11-01,1453900
2020-12-01,1410600
2021-01-01,1348300
2021-02-01,1348400
2021-03-01,1368000
2021-04-01,1403300
2021-05-01,1454000
2021-06-01,1483700
2021-07-01,1533900
2021-08-01,1539300
2021-09-01,1518700
2021-10-01,1500400
2021-11-01,1475900
2021-12-01,1444000
2022-01-01,1385200
2022-02-01,1432900
2022-03-01,1452200
2022-04-01,1491100
2022-05-01,1577000
2022-06-01,1612200
2022-07-01,1656800
2022-08-01,1647900
2022-09-01,1613000
2022-10-01,1620800
2022-11-01,1584600
2022-12-01,1561000
2023-01-01,1504200
2023-02-01,1506900
2023-03-01,1507300
2023-04-01,1543800
2023-05-01,1624000
2023-06-01,1637900
2023-07-01,1629700
2023-08-01,1654200
2023-09-01,1608800
2023-10-01,1617600
2023-11-01,1611100
