"Date","LFWA24MACAM647S"
2013-09-01,2286500
2013-10-01,2286100
2013-11-01,2285500
2013-12-01,2284800
2014-01-01,2283500
2014-02-01,2282400
2014-03-01,2281800
2014-04-01,2281000
2014-05-01,2280200
2014-06-01,2279100
2014-07-01,2278700
2014-08-01,2277500
2014-09-01,2276000
2014-10-01,2274800
2014-11-01,2273200
2014-12-01,2271800
2015-01-01,2269300
2015-02-01,2267100
2015-03-01,2265000
2015-04-01,2263200
2015-05-01,2261400
2015-06-01,2259500
2015-07-01,2257800
2015-08-01,2256000
2015-09-01,2253800
2015-10-01,2252000
2015-11-01,2250300
2015-12-01,2248900
2016-01-01,2247200
2016-02-01,2245900
2016-03-01,2245100
2016-04-01,2244700
2016-05-01,2244200
2016-06-01,2244400
2016-07-01,2246000
2016-08-01,2248300
2016-09-01,2250000
2016-10-01,2251500
2016-11-01,2252800
2016-12-01,2254100
2017-01-01,2256200
2017-02-01,2257700
2017-03-01,2259600
2017-04-01,2261500
2017-05-01,2263800
2017-06-01,2265700
2017-07-01,2267700
2017-08-01,2270600
2017-09-01,2272900
2017-10-01,2274900
2017-11-01,2276900
2017-12-01,2278900
2018-01-01,2281900
2018-02-01,2284000
2018-03-01,2286300
2018-04-01,2289300
2018-05-01,2291600
2018-06-01,2294000
2018-07-01,2297000
2018-08-01,2299200
2018-09-01,2301300
2018-10-01,2303400
2018-11-01,2305300
2018-12-01,2307100
2019-01-01,2309300
2019-02-01,2310800
2019-03-01,2312600
2019-04-01,2315000
2019-05-01,2317200
2019-06-01,2319500
2019-07-01,2321100
2019-08-01,2321200
2019-09-01,2321100
2019-10-01,2320900
2019-11-01,2320600
2019-12-01,2319900
2020-01-01,2318700
2020-02-01,2318000
2020-03-01,2316900
2020-04-01,2315600
2020-05-01,2314200
2020-06-01,2313000
2020-07-01,2312500
2020-08-01,2312600
2020-09-01,2312600
2020-10-01,2312700
2020-11-01,2312600
2020-12-01,2310900
2021-01-01,2308300
2021-02-01,2306300
2021-03-01,2304100
2021-04-01,2301700
2021-05-01,2299200
2021-06-01,2295700
2021-07-01,2294400
2021-08-01,2293200
2021-09-01,2292800
2021-10-01,2292800
2021-11-01,2292700
2021-12-01,2294500
2022-01-01,2295200
2022-02-01,2295700
2022-03-01,2296800
2022-04-01,2297600
2022-05-01,2298700
2022-06-01,2300000
2022-07-01,2301500
2022-08-01,2304100
2022-09-01,2307500
2022-10-01,2311300
2022-11-01,2314400
2022-12-01,2319000
2023-01-01,2326800
2023-02-01,2333000
2023-03-01,2342800
2023-04-01,2351800
2023-05-01,2362800
2023-06-01,2374000
2023-07-01,2385500
2023-08-01,2400300
2023-09-01,2413800
2023-10-01,2431300
2023-11-01,2441000
