"Date","LFACTTMACAM657S"
1975-01-01,-0.512081933109298
1975-02-01,0.0804246421103426
1975-03-01,0.144648023143684
1975-04-01,0.208634248114267
1975-05-01,0.832799487508008
1975-06-01,0.428843710292249
1975-07-01,-0.173968053139333
1975-08-01,0.126742712294043
1975-09-01,-0.0316455696202532
1975-10-01,0.269072491294714
1975-11-01,0.189423835832676
1975-12-01,0.315109500551442
1976-01-01,2.15643160043977
1976-02-01,0.135295112464062
1976-03-01,0.0337780780273602
1976-04-01,0.491151597010115
1976-05-01,-0.294778000091641
1976-06-01,0.186887254901961
1976-07-01,0.634537170117122
1976-08-01,-0.515064497014449
1976-09-01,0.0733070649683863
1976-10-01,0.372371272471996
1976-11-01,0.287365060057777
1976-12-01,0.394184265983414
1977-01-01,0.140443075250306
1977-02-01,0.268428037157679
