"Date","LFHUTTFECAM647N"
1980-09-01,393800
1980-10-01,378700
1980-11-01,359000
1980-12-01,348000
1981-01-01,397700
1981-02-01,394700
1981-03-01,412300
1981-04-01,382100
1981-05-01,382900
1981-06-01,404500
1981-07-01,395800
1981-08-01,402400
1981-09-01,452800
1981-10-01,440400
1981-11-01,441300
1981-12-01,413600
1982-01-01,439800
1982-02-01,453800
1982-03-01,494200
1982-04-01,493400
1982-05-01,519000
1982-06-01,554900
1982-07-01,592800
1982-08-01,606300
1982-09-01,582200
1982-10-01,591200
1982-11-01,600800
1982-12-01,589900
1983-01-01,630700
1983-02-01,627500
1983-03-01,655700
1983-04-01,617900
1983-05-01,620600
1983-06-01,622000
1983-07-01,602600
1983-08-01,614400
1983-09-01,584600
1983-10-01,561700
1983-11-01,547300
1983-12-01,541100
1984-01-01,582000
1984-02-01,590700
1984-03-01,613300
1984-04-01,595800
1984-05-01,620300
1984-06-01,606500
1984-07-01,605400
1984-08-01,626400
1984-09-01,647400
1984-10-01,619100
1984-11-01,602100
1984-12-01,558600
1985-01-01,567100
1985-02-01,585100
1985-03-01,619800
1985-04-01,604500
1985-05-01,591400
1985-06-01,598600
1985-07-01,597400
1985-08-01,608500
1985-09-01,592800
1985-10-01,566600
1985-11-01,570400
1985-12-01,525100
1986-01-01,575000
1986-02-01,567000
1986-03-01,594300
1986-04-01,561800
1986-05-01,548000
1986-06-01,556400
1986-07-01,565900
1986-08-01,578100
1986-09-01,547300
1986-10-01,537800
1986-11-01,528000
1986-12-01,506700
1987-01-01,570800
1987-02-01,560500
1987-03-01,594600
1987-04-01,551500
1987-05-01,540400
1987-06-01,553200
1987-07-01,558500
1987-08-01,557000
1987-09-01,523500
1987-10-01,496500
1987-11-01,492100
1987-12-01,458200
1988-01-01,513400
1988-02-01,488300
1988-03-01,517500
1988-04-01,473000
1988-05-01,486300
1988-06-01,482400
1988-07-01,531100
1988-08-01,564200
1988-09-01,500100
1988-10-01,460800
1988-11-01,477400
1988-12-01,426900
1989-01-01,493900
1989-02-01,480300
1989-03-01,503800
1989-04-01,485200
1989-05-01,492500
1989-06-01,469800
1989-07-01,504500
1989-08-01,522300
1989-09-01,465100
1989-10-01,451300
1989-11-01,455200
1989-12-01,440600
1990-01-01,502100
1990-02-01,491500
1990-03-01,486200
1990-04-01,466700
1990-05-01,494900
1990-06-01,482300
1990-07-01,528500
1990-08-01,557900
1990-09-01,518500
1990-10-01,540100
1990-11-01,544600
1990-12-01,523700
1991-01-01,605200
1991-02-01,603000
1991-03-01,663900
1991-04-01,599800
1991-05-01,613500
1991-06-01,632400
1991-07-01,680600
1991-08-01,688500
1991-09-01,603500
1991-10-01,602400
1991-11-01,601200
1991-12-01,561900
1992-01-01,623600
1992-02-01,610400
1992-03-01,669000
1992-04-01,609800
1992-05-01,633300
1992-06-01,649400
1992-07-01,717300
1992-08-01,728900
1992-09-01,653100
1992-10-01,623600
1992-11-01,694900
1992-12-01,645100
1993-01-01,672100
1993-02-01,650400
1993-03-01,706600
1993-04-01,7e+05
1993-05-01,718600
1993-06-01,702500
1993-07-01,771900
1993-08-01,772700
1993-09-01,664500
1993-10-01,655600
1993-11-01,658700
1993-12-01,644000
1994-01-01,694000
1994-02-01,653900
1994-03-01,666200
1994-04-01,655600
1994-05-01,671800
1994-06-01,645300
1994-07-01,683800
1994-08-01,720000
1994-09-01,608200
1994-10-01,600200
1994-11-01,570200
1994-12-01,541700
1995-01-01,625900
1995-02-01,609700
1995-03-01,638600
1995-04-01,578400
1995-05-01,597100
1995-06-01,605700
1995-07-01,677200
1995-08-01,688600
1995-09-01,574600
1995-10-01,557300
1995-11-01,570600
1995-12-01,538700
1996-01-01,609100
1996-02-01,600800
1996-03-01,614000
1996-04-01,573400
1996-05-01,584100
1996-06-01,640200
1996-07-01,701400
1996-08-01,706800
1996-09-01,653300
1996-10-01,636100
1996-11-01,613100
1996-12-01,564000
1997-01-01,629700
1997-02-01,612700
1997-03-01,608500
1997-04-01,595300
1997-05-01,627300
1997-06-01,648700
1997-07-01,662400
1997-08-01,674900
1997-09-01,591100
1997-10-01,592700
1997-11-01,583900
1997-12-01,498000
1998-01-01,609100
1998-02-01,582500
1998-03-01,567300
1998-04-01,539500
1998-05-01,573100
1998-06-01,569200
1998-07-01,600500
1998-08-01,615300
1998-09-01,549000
1998-10-01,506500
1998-11-01,505800
1998-12-01,480000
1999-01-01,542200
1999-02-01,531100
1999-03-01,524800
1999-04-01,553800
1999-05-01,564700
1999-06-01,530200
1999-07-01,584500
1999-08-01,594600
1999-09-01,493200
1999-10-01,463900
1999-11-01,448600
1999-12-01,408700
2000-01-01,465700
2000-02-01,479200
2000-03-01,477000
2000-04-01,463700
2000-05-01,476300
2000-06-01,459300
2000-07-01,551000
2000-08-01,594800
2000-09-01,493000
2000-10-01,484700
2000-11-01,471900
2000-12-01,428700
2001-01-01,497300
2001-02-01,482700
2001-03-01,478700
2001-04-01,483700
2001-05-01,491900
2001-06-01,495300
2001-07-01,568300
2001-08-01,617500
2001-09-01,511600
2001-10-01,489900
2001-11-01,500500
2001-12-01,483700
2002-01-01,528300
2002-02-01,527400
2002-03-01,534100
2002-04-01,532000
2002-05-01,561300
2002-06-01,540200
2002-07-01,618800
2002-08-01,651400
2002-09-01,547300
2002-10-01,522700
2002-11-01,516000
2002-12-01,472700
2003-01-01,547900
2003-02-01,528100
2003-03-01,531900
2003-04-01,560500
2003-05-01,593800
2003-06-01,553000
2003-07-01,629300
2003-08-01,693800
2003-09-01,595900
2003-10-01,533400
2003-11-01,525000
2003-12-01,479200
2004-01-01,550100
2004-02-01,523100
2004-03-01,523400
2004-04-01,527700
2004-05-01,545400
2004-06-01,534300
2004-07-01,617200
2004-08-01,679600
2004-09-01,537200
2004-10-01,526000
2004-11-01,538500
2004-12-01,476400
2005-01-01,524000
2005-02-01,515900
2005-03-01,503700
2005-04-01,487500
2005-05-01,542400
2005-06-01,507200
2005-07-01,564000
2005-08-01,641500
2005-09-01,531400
2005-10-01,514000
2005-11-01,460600
2005-12-01,465200
2006-01-01,520100
2006-02-01,496200
2006-03-01,498000
2006-04-01,505400
2006-05-01,504100
2006-06-01,485000
2006-07-01,597400
2006-08-01,642900
2006-09-01,491600
2006-10-01,466500
2006-11-01,475200
2006-12-01,428000
2007-01-01,487000
2007-02-01,466100
2007-03-01,474900
2007-04-01,456900
2007-05-01,492600
2007-06-01,468100
2007-07-01,550200
2007-08-01,609100
2007-09-01,498500
2007-10-01,440400
2007-11-01,461100
2007-12-01,423200
2008-01-01,470300
2008-02-01,469300
2008-03-01,472400
2008-04-01,453500
2008-05-01,496800
2008-06-01,452500
2008-07-01,545100
2008-08-01,633900
2008-09-01,480200
2008-10-01,462500
2008-11-01,479000
2008-12-01,480400
2009-01-01,544900
2009-02-01,550900
2009-03-01,584100
2009-04-01,576000
2009-05-01,635900
2009-06-01,620600
2009-07-01,734400
2009-08-01,825200
2009-09-01,605200
2009-10-01,591300
2009-11-01,603400
2009-12-01,547800
2010-01-01,618000
2010-02-01,607400
2010-03-01,614900
2010-04-01,619300
2010-05-01,635700
2010-06-01,615200
2010-07-01,727000
2010-08-01,845700
2010-09-01,661000
2010-10-01,632300
2010-11-01,592100
2010-12-01,549500
2011-01-01,631800
2011-02-01,619300
2011-03-01,619600
2011-04-01,628400
2011-05-01,638500
2011-06-01,614900
2011-07-01,695400
2011-08-01,792600
2011-09-01,614600
2011-10-01,602800
2011-11-01,602000
2011-12-01,528100
2012-01-01,628400
2012-02-01,612500
2012-03-01,598200
2012-04-01,603700
2012-05-01,647000
2012-06-01,610000
2012-07-01,670700
2012-08-01,779000
2012-09-01,604700
2012-10-01,578100
2012-11-01,568400
2012-12-01,538900
2013-01-01,588600
2013-02-01,602500
2013-03-01,615500
2013-04-01,587500
2013-05-01,596700
2013-06-01,586800
2013-07-01,690700
2013-08-01,766800
2013-09-01,579200
2013-10-01,559200
2013-11-01,536300
2013-12-01,528500
2014-01-01,590100
2014-02-01,582500
2014-03-01,573900
2014-04-01,576000
2014-05-01,629000
2014-06-01,586300
2014-07-01,657300
2014-08-01,744000
2014-09-01,553400
2014-10-01,527800
2014-11-01,528200
2014-12-01,494200
2015-01-01,551200
2015-02-01,540400
2015-03-01,565500
2015-04-01,552300
2015-05-01,574600
2015-06-01,559400
2015-07-01,639300
2015-08-01,734800
2015-09-01,562700
2015-10-01,536900
2015-11-01,526100
2015-12-01,513400
2016-01-01,573800
2016-02-01,557200
2016-03-01,570000
2016-04-01,567600
2016-05-01,579000
2016-06-01,552100
2016-07-01,656300
2016-08-01,719500
2016-09-01,555800
2016-10-01,531100
2016-11-01,505300
2016-12-01,515700
2017-01-01,546400
2017-02-01,533800
2017-03-01,543700
2017-04-01,523600
2017-05-01,557900
2017-06-01,552700
2017-07-01,634600
2017-08-01,711600
2017-09-01,516900
2017-10-01,520900
2017-11-01,493000
2017-12-01,468400
2018-01-01,505900
2018-02-01,503200
2018-03-01,499200
2018-04-01,471400
2018-05-01,538200
2018-06-01,533200
2018-07-01,580500
2018-08-01,701500
2018-09-01,518200
2018-10-01,475200
2018-11-01,461500
2018-12-01,448600
2019-01-01,487500
2019-02-01,477500
2019-03-01,512800
2019-04-01,482300
2019-05-01,484000
2019-06-01,480800
2019-07-01,582700
2019-08-01,660000
2019-09-01,497400
2019-10-01,471600
2019-11-01,486200
2019-12-01,433900
2020-01-01,500400
2020-02-01,502900
2020-03-01,843600
2020-04-01,1166300
2020-05-01,1298900
2020-06-01,1164400
2020-07-01,1108300
2020-08-01,1148500
2020-09-01,795600
2020-10-01,753900
2020-11-01,725500
2020-12-01,730800
2021-01-01,889700
2021-02-01,800700
2021-03-01,726100
2021-04-01,751200
2021-05-01,818700
2021-06-01,702000
2021-07-01,772400
2021-08-01,864600
2021-09-01,626700
2021-10-01,572000
2021-11-01,506200
2021-12-01,495700
2022-01-01,634100
2022-02-01,482500
2022-03-01,536700
2022-04-01,482500
2022-05-01,481700
2022-06-01,459600
2022-07-01,539300
2022-08-01,672200
2022-09-01,475400
2022-10-01,481700
2022-11-01,437600
2022-12-01,410800
2023-01-01,469600
2023-02-01,478500
2023-03-01,484700
2023-04-01,455400
2023-05-01,521400
2023-06-01,531500
2023-07-01,667500
2023-08-01,731200
2023-09-01,527000
2023-10-01,522300
2023-11-01,512700
