"Date","CANPRCNTO01GYSAM"
1977-03-01,3.39356278845285
1977-04-01,2.65588914549656
1977-05-01,3.19041986989945
1977-06-01,2.64554894411388
1977-07-01,6.02934985264932
1977-08-01,7.47692026446485
1977-09-01,9.11892333815482
1977-10-01,9.11268744944312
1977-11-01,5.34239030659078
1977-12-01,2.26200556429175
1978-01-01,-1.7956301303718
1978-02-01,-1.15584722714912
1978-03-01,-2.22312988680127
1978-04-01,-2.54968128983877
1978-05-01,-5.27235737413681
1978-06-01,-6.25728169134155
1978-07-01,-8.04050029779631
1978-08-01,-7.41318214032602
1978-09-01,-6.09474958215665
1978-10-01,-8.06649368424055
1978-11-01,-5.85279423724876
1978-12-01,-5.13662171753015
1979-01-01,-0.0522417872837463
1979-02-01,-3.11630828124532
1979-03-01,-3.86405681207852
1979-04-01,-6.0082280166928
1979-05-01,-2.85247587646328
1979-06-01,0.330413168025706
1979-07-01,2.46422403158155
1979-08-01,2.24433557868952
1979-09-01,3.51060238745514
1979-10-01,5.97047329570128
1979-11-01,6.51281893067598
1979-12-01,11.1661834845226
1980-01-01,10.5522076005411
1980-02-01,8.81617533569994
1980-03-01,8.03252739067012
1980-04-01,11.1314040998835
1980-05-01,9.57155311994024
1980-06-01,4.31143875762887
1980-07-01,5.18616621015561
1980-08-01,5.58500284490762
1980-09-01,6.37395867303074
1980-10-01,7.99894635174288
1980-11-01,8.36519522650909
1980-12-01,6.86744622977483
1981-01-01,3.59328067638226
1981-02-01,5.39275481546624
1981-03-01,5.97580946361362
1981-04-01,6.22520684574405
1981-05-01,7.47371412333049
1981-06-01,9.7436640115858
1981-07-01,8.97956847707892
1981-08-01,8.73276986783139
1981-09-01,8.01538418661688
1981-10-01,3.17615176151763
1981-11-01,3.5790655404683
1981-12-01,0.346365783258993
1982-01-01,3.41494845360826
1982-02-01,4.62962962962963
1982-03-01,5.25659446417436
1982-04-01,3.33431139801011
1982-05-01,1.23744050766791
1982-06-01,0.187389479796248
1982-07-01,-2.32381052410461
1982-08-01,-3.77442157706653
1982-09-01,-6.13566581520758
1982-10-01,-6.36688379911748
1982-11-01,-8.39462207426907
1982-12-01,-5.50441922493595
1983-01-01,-5.32191069574247
1983-02-01,-5.31230705906565
1983-03-01,-4.81893576469373
1983-04-01,-5.02336147035289
1983-05-01,-1.20142081069789
1983-06-01,0.263435194942068
1983-07-01,-0.139788703997437
1983-08-01,-1.06804011927351
1983-09-01,0.0247395475411622
1983-10-01,1.15013464991023
1983-11-01,1.36909121640658
1983-12-01,-0.738854913246792
1984-01-01,-3.66876885111053
1984-02-01,-5.59676148558697
1984-03-01,-4.02651873900692
1984-04-01,-5.47658522001467
1984-05-01,-8.48842127524583
1984-06-01,-9.08302679978982
1984-07-01,-5.57514738740676
1984-08-01,-2.83044717229286
1984-09-01,-3.2950423216445
1984-10-01,-3.87708691552496
1984-11-01,-3.56547354379726
1984-12-01,-3.05269027042098
1985-01-01,0.0683137879995595
1985-02-01,2.40884105102597
1985-03-01,1.63814249866073
1985-04-01,2.29455402840875
1985-05-01,5.79484068521247
1985-06-01,7.67563506054388
1985-07-01,5.07754590033069
1985-08-01,5.12365000140994
1985-09-01,7.90303788115603
1985-10-01,9.47201384881708
1985-11-01,11.7662315207055
1985-12-01,12.0920201294033
1986-01-01,17.4877688019115
1986-02-01,16.1786196043166
1986-03-01,12.3002663115846
1986-04-01,10.0264223071734
1986-05-01,5.03235671572509
1986-06-01,1.23460103599131
1986-07-01,1.65233198578291
1986-08-01,-0.83422746781119
1986-09-01,-3.75559652357122
1986-10-01,-3.49998682233878
1986-11-01,-6.41759488448847
1986-12-01,-6.23909697280654
1987-01-01,-10.1830331202789
1987-02-01,-8.75160252533806
1987-03-01,-5.01951484610446
1987-04-01,0.60547224280206
1987-05-01,4.24790724275982
1987-06-01,8.62960311779209
1987-07-01,9.72348262424595
1987-08-01,11.8369444669859
