"Date","LRUN55FECAM156N"
1991-07-01,7.59763313609467
1991-08-01,7.94871794871795
1991-09-01,6.43835616438356
1991-10-01,6.8207827878233
1991-11-01,7.58991125642223
1991-12-01,7.97444391859915
1992-01-01,8.18181818181818
1992-02-01,7.82629444046767
1992-03-01,9.30844699688921
1992-04-01,8.34716623191842
1992-05-01,7.43801652892562
1992-06-01,7.46548092674936
1992-07-01,8.27602561062366
1992-08-01,9.62761126248865
1992-09-01,7.86036036036036
1992-10-01,8.10990471969865
1992-11-01,9.87898789878988
1992-12-01,9.1998191681736
1993-01-01,8.7711177968063
1993-02-01,9.54739923440666
1993-03-01,9.14427636035222
1993-04-01,9.60264900662252
1993-05-01,10.2917891879665
1993-06-01,9.93362325474937
1993-07-01,9.63493530499076
1993-08-01,9.74526758588455
1993-09-01,10.1932811780948
1993-10-01,10.1868732907931
1993-11-01,8.64141528691313
1993-12-01,8.84433962264151
1994-01-01,8.26927556487305
1994-02-01,9.77717144156435
1994-03-01,10.3403141361257
1994-04-01,9.6051227321238
1994-05-01,9.89128117672138
1994-06-01,9.3209616195698
1994-07-01,7.70081876521354
1994-08-01,8.51748551812916
1994-09-01,7.38820479585224
1994-10-01,7.08215297450425
1994-11-01,6.84840425531915
1994-12-01,5.8361391694725
1995-01-01,9.24278585376438
1995-02-01,7.442790491002
1995-03-01,7.79450841452613
1995-04-01,8.75534548728337
1995-05-01,6.94945848375451
1995-06-01,8.09618354290757
1995-07-01,8.41606498194946
1995-08-01,9.198682766191
1995-09-01,7.78997202496234
1995-10-01,7.30385782401387
1995-11-01,7.67370272647318
1995-12-01,7.6836917562724
1996-01-01,7.5492583573168
1996-02-01,7.02333773667988
1996-03-01,7.18038528896672
1996-04-01,8.31704668838219
1996-05-01,6.71689989235737
1996-06-01,6.96055684454756
1996-07-01,8.06171229900043
1996-08-01,8.43424686636924
1996-09-01,7.77801585601029
1996-10-01,8.13903281519862
1996-11-01,7.5529360401659
1996-12-01,7.00380398299396
1997-01-01,8.39964633068081
1997-02-01,8.01116838487973
1997-03-01,7.99154334038055
1997-04-01,7.50263435194942
1997-05-01,8.45750262329486
1997-06-01,6.77609427609428
1997-07-01,8.08573853989813
1997-08-01,7.78757346767422
1997-09-01,7.875
1997-10-01,7.40360951599672
1997-11-01,7.58246178600161
1997-12-01,5.88474025974026
1998-01-01,7.4856439704676
1998-02-01,7.29898516783763
1998-03-01,7.51557632398754
1998-04-01,6.75755779490219
1998-05-01,5.74036511156187
1998-06-01,6.10116118874237
1998-07-01,6.87946074544013
1998-08-01,8.04552590266876
1998-09-01,6.3627730294397
1998-10-01,6.4327485380117
1998-11-01,5.9243934549558
1998-12-01,6.1415220293725
1999-01-01,6.83397683397683
1999-02-01,5.79599618684461
