"Date","INTGSTCAM193N"
1961-08-01,2.26
1961-09-01,2.59
1961-10-01,2.5
1961-11-01,2.5
1961-12-01,2.99
1962-01-01,3.07
1962-02-01,3.21
1962-03-01,3.12
1962-04-01,3.07
1962-05-01,3.52
1962-06-01,5.45
1962-07-01,5.47
1962-08-01,4.95
1962-09-01,4.99
1962-10-01,4.16
1962-11-01,3.71
1962-12-01,3.91
1963-01-01,3.65
1963-02-01,3.68
1963-03-01,3.62
1963-04-01,3.66
1963-05-01,3.19
1963-06-01,3.24
1963-07-01,3.43
1963-08-01,3.71
1963-09-01,3.56
1963-10-01,3.59
1963-11-01,3.63
1963-12-01,3.78
1964-01-01,3.77
1964-02-01,3.88
1964-03-01,3.88
1964-04-01,3.7
1964-05-01,3.58
1964-06-01,3.59
1964-07-01,3.67
1964-08-01,3.8
1964-09-01,3.73
1964-10-01,3.7
1964-11-01,3.87
1964-12-01,3.82
1965-01-01,3.74
1965-02-01,3.74
1965-03-01,3.62
1965-04-01,3.77
1965-05-01,3.9
1965-06-01,3.93
1965-07-01,4.05
1965-08-01,4.08
1965-09-01,4.13
1965-10-01,4.15
1965-11-01,4.16
1965-12-01,4.54
1966-01-01,4.63
1966-02-01,4.69
1966-03-01,5.06
1966-04-01,5.08
1966-05-01,5.11
1966-06-01,5
1966-07-01,5.02
1966-08-01,5.04
1966-09-01,5.01
1966-10-01,5.19
1966-11-01,5.15
1966-12-01,4.96
1967-01-01,4.68
1967-02-01,4.58
1967-03-01,4.13
1967-04-01,4
1967-05-01,4.24
1967-06-01,4.28
1967-07-01,4.32
1967-08-01,4.34
1967-09-01,4.76
1967-10-01,4.95
1967-11-01,5.46
1967-12-01,5.95
1968-01-01,6.29
1968-02-01,6.8
1968-03-01,6.98
1968-04-01,6.99
1968-05-01,6.95
1968-06-01,6.56
1968-07-01,6.03
1968-08-01,5.48
1968-09-01,5.66
1968-10-01,5.57
1968-11-01,5.66
1968-12-01,6.24
1969-01-01,6.38
1969-02-01,6.43
1969-03-01,6.58
1969-04-01,6.8
1969-05-01,6.74
1969-06-01,7.13
1969-07-01,7.62
1969-08-01,7.69
1969-09-01,7.77
1969-10-01,7.6
1969-11-01,7.76
1969-12-01,7.81
1970-01-01,7.78
1970-02-01,7.6
1970-03-01,7
1970-04-01,6.78
1970-05-01,6.34
1970-06-01,5.94
1970-07-01,5.7
1970-08-01,5.51
1970-09-01,5.39
1970-10-01,5.01
1970-11-01,4.4
1970-12-01,4.44
1971-01-01,4.68
1971-02-01,4.06
1971-03-01,3.16
1971-04-01,3
1971-05-01,3.03
1971-06-01,3.37
1971-07-01,3.68
1971-08-01,3.79
1971-09-01,4.06
1971-10-01,3.47
1971-11-01,3.24
1971-12-01,3.21
1972-01-01,3.36
1972-02-01,3.45
1972-03-01,3.57
1972-04-01,3.64
1972-05-01,3.73
1972-06-01,3.5
1972-07-01,3.46
1972-08-01,3.5
1972-09-01,3.62
1972-10-01,3.57
1972-11-01,3.68
1972-12-01,3.65
1973-01-01,3.9
1973-02-01,3.99
1973-03-01,4.46
1973-04-01,4.9
1973-05-01,5.18
1973-06-01,5.48
1973-07-01,5.74
1973-08-01,6.18
1973-09-01,6.5
1973-10-01,6.53
1973-11-01,6.43
1973-12-01,6.35
1974-01-01,6.22
1974-02-01,6.07
1974-03-01,6.51
1974-04-01,7.64
1974-05-01,8.63
1974-06-01,8.75
1974-07-01,9.1
1974-08-01,9.11
1974-09-01,8.94
1974-10-01,8.31
1974-11-01,7.49
1974-12-01,7.12
1975-01-01,6.4
1975-02-01,6.26
1975-03-01,6.33
1975-04-01,6.85
1975-05-01,6.87
1975-06-01,6.99
1975-07-01,7.44
1975-08-01,7.87
1975-09-01,8.41
1975-10-01,8.16
1975-11-01,8.52
1975-12-01,8.64
1976-01-01,8.59
1976-02-01,8.79
1976-03-01,9.07
1976-04-01,8.99
1976-05-01,8.94
1976-06-01,8.98
1976-07-01,9.07
1976-08-01,9.13
1976-09-01,9.11
1976-10-01,9.01
1976-11-01,8.59
1976-12-01,8.14
1977-01-01,8.04
1977-02-01,7.65
1977-03-01,7.54
1977-04-01,7.58
1977-05-01,7.05
1977-06-01,7.07
1977-07-01,7.14
1977-08-01,7.14
1977-09-01,7.1
1977-10-01,7.24
1977-11-01,7.26
1977-12-01,7.17
1978-01-01,7.13
1978-02-01,7.3
1978-03-01,7.73
1978-04-01,8.19
1978-05-01,8.2
1978-06-01,8.26
1978-07-01,8.66
1978-08-01,8.8
1978-09-01,9.17
1978-10-01,9.85
1978-11-01,10.36
1978-12-01,10.46
1979-01-01,10.85
1979-02-01,10.82
1979-03-01,10.92
1979-04-01,10.82
1979-05-01,10.84
1979-06-01,10.78
1979-07-01,11.24
1979-08-01,11.45
1979-09-01,11.64
1979-10-01,13.61
1979-11-01,13.62
1979-12-01,13.66
1980-01-01,13.5
1980-02-01,13.55
1980-03-01,15.24
1980-04-01,15.15
1980-05-01,11.58
1980-06-01,10.38
1980-07-01,10.06
1980-08-01,10.49
1980-09-01,10.95
1980-10-01,11.91
1980-11-01,13.7
1980-12-01,17.01
1981-01-01,16.86
1981-02-01,16.83
1981-03-01,16.44
1981-04-01,17.35
1981-05-01,18.43
1981-06-01,18.83
1981-07-01,20.29
1981-08-01,20.82
1981-09-01,19.35
1981-10-01,17.96
1981-11-01,15.07
1981-12-01,14.41
1982-01-01,14.34
1982-02-01,14.58
1982-03-01,15.07
1982-04-01,14.98
1982-05-01,15.18
1982-06-01,16.33
1982-07-01,15.25
1982-08-01,13.7
1982-09-01,12.73
1982-10-01,11.21
1982-11-01,10.72
1982-12-01,9.8
1983-01-01,9.58
1983-02-01,9.23
1983-03-01,9.17
1983-04-01,9.12
1983-05-01,9.25
1983-06-01,9.17
1983-07-01,9.24
1983-08-01,9.29
1983-09-01,9.24
1983-10-01,9.24
1983-11-01,9.48
1983-12-01,9.71
1984-01-01,9.73
1984-02-01,9.82
1984-03-01,10.53
1984-04-01,10.59
1984-05-01,11.29
1984-06-01,12.11
1984-07-01,12.73
1984-08-01,12.13
1984-09-01,12.02
1984-10-01,11.42
1984-11-01,10.5
1984-12-01,9.84
1985-01-01,9.5
1985-02-01,11.27
1985-03-01,10.4
1985-04-01,9.77
1985-05-01,9.51
1985-06-01,9.33
1985-07-01,9.06
1985-08-01,8.95
1985-09-01,8.75
1985-10-01,8.53
1985-11-01,8.85
1985-12-01,9.24
1986-01-01,10.55
1986-02-01,11.55
1986-03-01,10.19
1986-04-01,8.72
1986-05-01,8.33
1986-06-01,8.59
1986-07-01,8.26
1986-08-01,8.33
1986-09-01,8.35
1986-10-01,8.3
1986-11-01,8.24
1986-12-01,8.24
1987-01-01,7.24
1987-02-01,7.28
1987-03-01,6.8
1987-04-01,8.08
1987-05-01,8.19
1987-06-01,8.29
1987-07-01,8.97
1987-08-01,8.99
1987-09-01,9.35
1987-10-01,7.84
1987-11-01,8.31
1987-12-01,8.41
1988-01-01,8.37
1988-02-01,8.32
1988-03-01,8.53
1988-04-01,8.87
1988-05-01,8.92
1988-06-01,9.19
1988-07-01,9.29
1988-08-01,9.98
1988-09-01,10.33
1988-10-01,10.29
1988-11-01,10.76
1988-12-01,10.94
1989-01-01,11.18
1989-02-01,11.61
1989-03-01,12.14
1989-04-01,12.37
1989-05-01,12.17
1989-06-01,12.08
1989-07-01,12.11
1989-08-01,12.16
1989-09-01,12.23
1989-10-01,12.17
1989-11-01,12.21
1989-12-01,12.22
1990-01-01,12.34
1990-02-01,13.16
1990-03-01,13.26
1990-04-01,13.55
1990-05-01,13.67
1990-06-01,13.58
1990-07-01,13.23
1990-08-01,12.67
1990-09-01,12.4
1990-10-01,12.36
1990-11-01,12.01
1990-12-01,11.47
1991-01-01,10.48
1991-02-01,9.72
1991-03-01,9.67
1991-04-01,9.24
1991-05-01,8.81
1991-06-01,8.65
1991-07-01,8.66
1991-08-01,8.53
1991-09-01,8.34
1991-10-01,7.79
1991-11-01,7.41
1991-12-01,7.42
1992-01-01,7.04
1992-02-01,7.25
1992-03-01,7.24
1992-04-01,6.72
1992-05-01,6.08
1992-06-01,5.6
1992-07-01,5.17
1992-08-01,4.82
1992-09-01,7.37
1992-10-01,6.05
1992-11-01,8.57
1992-12-01,7.11
1993-01-01,6.56
1993-02-01,5.84
1993-03-01,5.11
1993-04-01,5.34
1993-05-01,4.85
1993-06-01,4.54
1993-07-01,4.16
1993-08-01,4.74
1993-09-01,4.65
1993-10-01,4.38
1993-11-01,4.09
1993-12-01,3.86
1994-01-01,3.63
1994-02-01,3.85
1994-03-01,5.39
1994-04-01,5.82
1994-05-01,6.33
1994-06-01,6.67
1994-07-01,5.79
1994-08-01,5.35
1994-09-01,5.29
1994-10-01,5.37
1994-11-01,5.79
1994-12-01,7.18
1995-01-01,7.98
1995-02-01,7.77
1995-03-01,8.22
1995-04-01,7.92
1995-05-01,7.39
1995-06-01,6.72
1995-07-01,6.62
1995-08-01,6.34
1995-09-01,6.46
1995-10-01,5.93
1995-11-01,5.82
1995-12-01,5.54
1996-01-01,5.12
1996-02-01,5.18
1996-03-01,5.02
1996-04-01,4.73
1996-05-01,4.64
1996-06-01,4.69
1996-07-01,4.43
1996-08-01,4.03
1996-09-01,3.96
1996-10-01,3.19
1996-11-01,2.69
1996-12-01,2.8
1997-01-01,2.84
1997-02-01,2.86
1997-03-01,3.19
1997-04-01,3.14
1997-05-01,3
1997-06-01,2.86
1997-07-01,3.32
1997-08-01,3.13
1997-09-01,3.1
1997-10-01,3.63
1997-11-01,3.57
1997-12-01,4.46
1998-01-01,4.183
1998-02-01,4.571
1998-03-01,4.565
1998-04-01,4.825
1998-05-01,4.75
1998-06-01,4.882
1998-07-01,4.926
1998-08-01,4.876
1998-09-01,4.936
1998-10-01,4.744
1998-11-01,4.815
1998-12-01,4.697
1999-01-01,4.658
1999-02-01,4.835
1999-03-01,4.749
1999-04-01,4.601
1999-05-01,4.42
1999-06-01,4.622
1999-07-01,4.636
1999-08-01,4.834
1999-09-01,4.687
1999-10-01,4.85
1999-11-01,4.815
1999-12-01,4.93
2000-01-01,5.076
2000-02-01,5.051
2000-03-01,5.277
2000-04-01,5.449
2000-05-01,5.751
2000-06-01,5.551
2000-07-01,5.625
2000-08-01,5.622
2000-09-01,5.564
2000-10-01,5.619
2000-11-01,5.736
2000-12-01,5.557
2001-01-01,5.142
2001-02-01,4.804
2001-03-01,4.604
2001-04-01,4.41
2001-05-01,4.401
2001-06-01,4.242
2001-07-01,4.029
2001-08-01,3.805
2001-09-01,3.039
2001-10-01,2.54
2001-11-01,2.207
2001-12-01,2
2002-01-01,1.97
2002-02-01,2.07
2002-03-01,2.34
2002-04-01,2.41
2002-05-01,2.622
2002-06-01,2.738
2002-07-01,2.849
2002-08-01,2.996
2002-09-01,2.826
2002-10-01,2.805
2002-11-01,2.734
2002-12-01,2.669
2003-01-01,2.813
2003-02-01,2.861
2003-03-01,3.142
2003-04-01,3.241
2003-05-01,3.197
2003-06-01,3.127
2003-07-01,2.808
2003-08-01,2.7
2003-09-01,2.597
2003-10-01,2.651
2003-11-01,2.714
2003-12-01,2.59
2004-01-01,2.26
2004-02-01,2.133
2004-03-01,1.99
2004-04-01,1.944
2004-05-01,2.018
2004-06-01,2.042
2004-07-01,2.084
2004-08-01,2.14
2004-09-01,2.412
2004-10-01,2.583
2004-11-01,2.556
2004-12-01,2.477
2005-01-01,2.437
2005-02-01,2.464
2005-03-01,2.546
2005-04-01,2.461
2005-05-01,2.451
2005-06-01,2.473
2005-07-01,2.581
2005-08-01,2.758
2005-09-01,2.813
2005-10-01,3.025
2005-11-01,3.304
2005-12-01,3.4
2006-01-01,3.49
2006-02-01,3.71
2006-03-01,3.79
2006-04-01,3.97
2006-05-01,4.18
2006-06-01,4.3
2006-07-01,4.16
2006-08-01,4.13
2006-09-01,4.17
2006-10-01,4.17
2006-11-01,4.18
2006-12-01,4.16
2007-01-01,4.16
2007-02-01,4.18
2007-03-01,4.17
2007-04-01,4.17
2007-05-01,4.29
2007-06-01,4.42
2007-07-01,4.56
2007-08-01,4.01
2007-09-01,4.11
2007-10-01,3.97
2007-11-01,3.92
2007-12-01,3.86
2008-01-01,3.46
2008-02-01,3.24
2008-03-01,2.03
2008-04-01,2.7
2008-05-01,2.73
2008-06-01,2.69
2008-07-01,2.42
2008-08-01,2.52
2008-09-01,1.88
2008-10-01,2.22
2008-11-01,1.84
2008-12-01,0.95
2009-01-01,0.93
2009-02-01,0.8
2009-03-01,0.42
2009-04-01,0.25
2009-05-01,0.2
2009-06-01,0.24
2009-07-01,0.24
2009-08-01,0.24
2009-09-01,0.22
2009-10-01,0.23
2009-11-01,0.23
2009-12-01,0.2
2010-01-01,0.18
2010-02-01,0.17
2010-03-01,0.29
2010-04-01,0.4
2010-05-01,0.43
2010-06-01,0.58
2010-07-01,0.64
2010-08-01,0.69
2010-09-01,0.89
2010-10-01,0.92
2010-11-01,0.98
2010-12-01,1
2011-01-01,0.99
2011-02-01,0.97
2011-03-01,0.92
2011-04-01,0.98
2011-05-01,0.96
2011-06-01,0.92
2011-07-01,0.93
2011-08-01,0.93
2011-09-01,0.87
2011-10-01,0.87
2011-11-01,0.89
2011-12-01,0.83
2012-01-01,0.88
2012-02-01,0.94
2012-03-01,0.93
2012-04-01,1.04
2012-05-01,1.01
2012-06-01,0.9
2012-07-01,0.97
2012-08-01,1.03
2012-09-01,1
2012-10-01,1
2012-11-01,0.99
2012-12-01,0.98
2013-01-01,0.93
2013-02-01,0.96
2013-03-01,0.98
2013-04-01,0.99
2013-05-01,1
2013-06-01,1.02
2013-07-01,1.01
2013-08-01,1
2013-09-01,0.99
2013-10-01,0.92
2013-11-01,0.94
2013-12-01,0.89
2014-01-01,0.89
2014-02-01,0.87
2014-03-01,0.88
2014-04-01,0.94
2014-05-01,0.92
2014-06-01,0.93
2014-07-01,0.95
2014-08-01,0.94
2014-09-01,0.92
2014-10-01,0.88
2014-11-01,0.9
2014-12-01,0.91
2015-01-01,0.59
2015-02-01,0.47
2015-03-01,0.53
2015-04-01,0.65
2015-05-01,0.67
2015-06-01,0.58
2015-07-01,0.43
2015-08-01,0.38
2015-09-01,0.41
2015-10-01,0.39
2015-11-01,0.44
2015-12-01,0.5
2016-01-01,0.48
2016-02-01,0.46
2016-03-01,0.46
2016-04-01,0.54
2016-05-01,0.55
2016-06-01,0.49
2016-07-01,0.5
2016-08-01,0.51
2016-09-01,0.53
2016-10-01,0.5
2016-11-01,0.51
2016-12-01,0.47
2017-01-01,0.46
2017-02-01,0.48
2017-03-01,0.51
2017-04-01,0.55
