"Date","LFACTTMACAM657N"
1974-11-01,-0.0323676970383557
1974-12-01,-0.744698073498462
1975-01-01,-1.59843418691894
1975-02-01,0
1975-03-01,0.712746560583458
1975-04-01,0.460829493087558
1975-05-01,3.94823066841416
1975-06-01,2.6635145784082
1975-07-01,1.96499846484495
1975-08-01,-0.421559771153267
1975-09-01,-4.32416087087995
1975-10-01,-0.237041719342604
1975-11-01,-0.427688895929035
1975-12-01,-0.715876551065861
1976-01-01,1.27703893606794
1976-02-01,0.183523976774724
1976-03-01,0.53061288947144
1976-04-01,0.925242306665201
1976-05-01,1.9953928526958
1976-06-01,2.72394323210743
1976-07-01,2.65319765282626
1976-08-01,-1.14470123442497
1976-09-01,-4.00380617771922
1976-10-01,-0.0914982844071674
1976-11-01,-0.460963138212623
1976-12-01,-0.39562663886035
