"Date","LFEMTTFECAM647N"
1975-06-01,3462000
1975-07-01,3488000
1975-08-01,3479000
1975-09-01,3434000
1975-10-01,3453000
1975-11-01,3462000
1975-12-01,3478000
1976-01-01,3446000
1976-02-01,3480900
1976-03-01,3534400
1976-04-01,3542200
1976-05-01,3620900
1976-06-01,3693700
1976-07-01,3743600
1976-08-01,3735100
1976-09-01,3629800
1976-10-01,3659600
1976-11-01,3661500
1976-12-01,3671100
1977-01-01,3581000
1977-02-01,3622100
1977-03-01,3653900
1977-04-01,3658800
1977-05-01,3749600
1977-06-01,3796800
1977-07-01,3852300
1977-08-01,3831400
1977-09-01,3736700
1977-10-01,3761700
1977-11-01,3748700
1977-12-01,3758400
1978-01-01,3678900
1978-02-01,3737400
1978-03-01,3786200
1978-04-01,3809100
1978-05-01,3883900
1978-06-01,3956400
1978-07-01,4044000
1978-08-01,4034400
1978-09-01,3948300
1978-10-01,3994400
1978-11-01,3986300
1978-12-01,3991600
1979-01-01,3917900
1979-02-01,3979900
1979-03-01,4027700
1979-04-01,4037900
1979-05-01,4114900
1979-06-01,4181600
1979-07-01,4276500
1979-08-01,4282200
1979-09-01,4165200
1979-10-01,4226200
1979-11-01,4235600
1979-12-01,4233100
1980-01-01,4175900
1980-02-01,4192000
1980-03-01,4248300
1980-04-01,4279300
1980-05-01,4337400
1980-06-01,4423600
1980-07-01,4463400
1980-08-01,4454600
1980-09-01,4378400
1980-10-01,4420000
1980-11-01,4411000
1980-12-01,4393600
1981-01-01,4342200
1981-02-01,4420700
1981-03-01,4449300
1981-04-01,4468700
1981-05-01,4599500
1981-06-01,4699500
1981-07-01,4705400
1981-08-01,4697400
1981-09-01,4586400
1981-10-01,4595400
1981-11-01,4576200
1981-12-01,4538700
1982-01-01,4460800
1982-02-01,4475100
1982-03-01,4504700
1982-04-01,4490600
1982-05-01,4557000
1982-06-01,4600400
1982-07-01,4613000
1982-08-01,4575100
1982-09-01,4464800
1982-10-01,4484400
1982-11-01,4469500
1982-12-01,4460000
1983-01-01,4384000
1983-02-01,4427200
1983-03-01,4485700
1983-04-01,4518000
1983-05-01,4614700
1983-06-01,4707000
1983-07-01,4748600
1983-08-01,4741200
1983-09-01,4650500
1983-10-01,4674200
1983-11-01,4658500
1983-12-01,4658500
1984-01-01,4553400
1984-02-01,4616200
1984-03-01,4656700
1984-04-01,4656200
1984-05-01,4769200
1984-06-01,4828700
1984-07-01,4881400
1984-08-01,4859300
1984-09-01,4769900
1984-10-01,4784200
1984-11-01,4805200
1984-12-01,4813300
1985-01-01,4755500
1985-02-01,4798700
1985-03-01,4839100
1985-04-01,4860100
1985-05-01,4961700
1985-06-01,5014900
1985-07-01,5071100
1985-08-01,5067900
1985-09-01,4984300
1985-10-01,5027800
1985-11-01,5029700
1985-12-01,5050800
1986-01-01,4972700
1986-02-01,5018800
1986-03-01,5043700
1986-04-01,5081700
1986-05-01,5161800
1986-06-01,5260500
1986-07-01,5268400
1986-08-01,5247200
1986-09-01,5136500
1986-10-01,5165700
1986-11-01,5152300
1986-12-01,5149000
1987-01-01,5073500
1987-02-01,5124400
1987-03-01,5170200
1987-04-01,5209100
1987-05-01,5323300
1987-06-01,5401400
1987-07-01,5430600
1987-08-01,5427100
1987-09-01,5335900
1987-10-01,5393200
1987-11-01,5385900
1987-12-01,5418300
1988-01-01,5318200
1988-02-01,5393400
1988-03-01,5423800
1988-04-01,5463800
1988-05-01,5560500
1988-06-01,5630900
1988-07-01,5643200
1988-08-01,5613000
1988-09-01,5543400
1988-10-01,5605200
1988-11-01,5577300
1988-12-01,5603900
1989-01-01,5561200
1989-02-01,5586100
1989-03-01,5622000
1989-04-01,5631700
1989-05-01,5721800
1989-06-01,5783600
1989-07-01,5798200
1989-08-01,5794700
1989-09-01,5703200
1989-10-01,5744600
1989-11-01,5741000
1989-12-01,5762200
1990-01-01,5676300
1990-02-01,5725200
1990-03-01,5728700
1990-04-01,5770100
1990-05-01,5845800
1990-06-01,5931300
1990-07-01,5934800
1990-08-01,5908900
1990-09-01,5809000
1990-10-01,5820300
1990-11-01,5787300
1990-12-01,5771900
1991-01-01,5658300
1991-02-01,5689200
1991-03-01,5701800
1991-04-01,5738200
1991-05-01,5844100
1991-06-01,5903600
1991-07-01,5901100
1991-08-01,5891200
1991-09-01,5792000
1991-10-01,5816800
1991-11-01,5773900
1991-12-01,5775300
1992-01-01,5668600
1992-02-01,5723700
1992-03-01,5692800
1992-04-01,5720800
1992-05-01,5803400
1992-06-01,5875600
1992-07-01,5859000
1992-08-01,5842600
1992-09-01,5750800
1992-10-01,5787600
1992-11-01,5758700
1992-12-01,5757900
1993-01-01,5644200
1993-02-01,5691600
1993-03-01,5710900
1993-04-01,5708300
1993-05-01,5810800
1993-06-01,5908000
1993-07-01,5882300
1993-08-01,5865500
1993-09-01,5840500
1993-10-01,5848700
1993-11-01,5849100
1993-12-01,5824700
1994-01-01,5709100
1994-02-01,5767100
1994-03-01,5790600
1994-04-01,5800600
1994-05-01,5926900
1994-06-01,6015800
1994-07-01,6017900
1994-08-01,5997600
1994-09-01,5979700
1994-10-01,5985500
1994-11-01,5996700
1994-12-01,6014800
1995-01-01,5912800
1995-02-01,5934000
1995-03-01,5953600
1995-04-01,5957500
1995-05-01,6070500
1995-06-01,6140600
1995-07-01,6121400
1995-08-01,6101600
1995-09-01,6064200
1995-10-01,6083900
1995-11-01,6028700
1995-12-01,6046200
1996-01-01,5954500
1996-02-01,6009800
1996-03-01,6011900
1996-04-01,6038700
1996-05-01,6160100
1996-06-01,6204300
1996-07-01,6190200
1996-08-01,6178600
1996-09-01,6109000
1996-10-01,6112400
1996-11-01,6113700
1996-12-01,6128800
1997-01-01,6039900
1997-02-01,6085100
1997-03-01,6118100
1997-04-01,6156400
1997-05-01,6255500
1997-06-01,6347200
1997-07-01,6334500
1997-08-01,6349200
1997-09-01,6270400
1997-10-01,6274000
1997-11-01,6277600
1997-12-01,6302300
1998-01-01,6177500
1998-02-01,6251700
1998-03-01,6291200
1998-04-01,6343300
1998-05-01,6439900
1998-06-01,6515900
1998-07-01,6525700
1998-08-01,6535700
1998-09-01,6492600
1998-10-01,6523100
1998-11-01,6525000
1998-12-01,6541900
1999-01-01,6435500
1999-02-01,6468600
1999-03-01,6483200
1999-04-01,6517500
1999-05-01,6640100
1999-06-01,6714200
1999-07-01,6713200
1999-08-01,6706000
1999-09-01,6644300
1999-10-01,6659400
1999-11-01,6654700
1999-12-01,6686200
2000-01-01,6590900
2000-02-01,6651300
2000-03-01,6678900
2000-04-01,6703200
2000-05-01,6833400
2000-06-01,6917200
2000-07-01,6861800
2000-08-01,6858300
2000-09-01,6814900
2000-10-01,6842400
2000-11-01,6846800
2000-12-01,6869900
2001-01-01,6760600
2001-02-01,6775300
2001-03-01,6821000
2001-04-01,6852200
2001-05-01,6979500
2001-06-01,7009900
2001-07-01,6978100
2001-08-01,6958000
2001-09-01,6911400
2001-10-01,6931200
2001-11-01,6946400
2001-12-01,6960900
2002-01-01,6904400
2002-02-01,6907300
2002-03-01,6953700
2002-04-01,6997100
2002-05-01,7125900
2002-06-01,7216200
2002-07-01,7187900
2002-08-01,7222200
2002-09-01,7174800
2002-10-01,7211500
2002-11-01,7231900
2002-12-01,7277700
2003-01-01,7146100
2003-02-01,7202900
2003-03-01,7220600
2003-04-01,7207600
2003-05-01,7331700
2003-06-01,7434600
2003-07-01,7378000
2003-08-01,7370000
2003-09-01,7314400
2003-10-01,7378200
2003-11-01,7397700
2003-12-01,7457500
2004-01-01,7303400
2004-02-01,7350300
2004-03-01,7354100
2004-04-01,7377600
2004-05-01,7525600
2004-06-01,7609900
2004-07-01,7518800
2004-08-01,7470200
2004-09-01,7441100
2004-10-01,7465900
2004-11-01,7486500
2004-12-01,7517500
2005-01-01,7397500
2005-02-01,7447600
2005-03-01,7441200
2005-04-01,7481400
2005-05-01,7590000
2005-06-01,7668400
2005-07-01,7605300
2005-08-01,7588100
2005-09-01,7524700
2005-10-01,7577700
2005-11-01,7607200
2005-12-01,7605900
2006-01-01,7546900
2006-02-01,7565400
2006-03-01,7588800
2006-04-01,7622000
2006-05-01,7789400
2006-06-01,7842300
2006-07-01,7768500
2006-08-01,7716100
2006-09-01,7691500
2006-10-01,7744000
2006-11-01,7743100
2006-12-01,7796100
2007-01-01,7725100
2007-02-01,7769200
2007-03-01,7810200
2007-04-01,7817200
2007-05-01,7931800
2007-06-01,8006100
2007-07-01,7962900
2007-08-01,7955100
2007-09-01,7908600
2007-10-01,7985300
2007-11-01,7964300
2007-12-01,7977300
2008-01-01,7883400
2008-02-01,7942500
2008-03-01,7931900
2008-04-01,7962200
2008-05-01,8110300
2008-06-01,8176000
2008-07-01,8062300
2008-08-01,8034600
2008-09-01,8011100
2008-10-01,8080400
2008-11-01,8037000
2008-12-01,8060000
2009-01-01,7903200
2009-02-01,7951800
2009-03-01,7954400
2009-04-01,7982500
2009-05-01,8097000
2009-06-01,8141100
2009-07-01,7999200
2009-08-01,7996900
2009-09-01,8015000
2009-10-01,8007400
2009-11-01,8050500
2009-12-01,8055800
2010-01-01,7971500
2010-02-01,7994700
2010-03-01,8007600
2010-04-01,8041900
2010-05-01,8176700
2010-06-01,8272700
2010-07-01,8148100
2010-08-01,8115300
2010-09-01,8086200
2010-10-01,8116800
2010-11-01,8123500
2010-12-01,8144900
2011-01-01,8088600
2011-02-01,8115400
2011-03-01,8092400
2011-04-01,8140000
2011-05-01,8257300
2011-06-01,8327700
2011-07-01,8226500
2011-08-01,8197900
2011-09-01,8154100
2011-10-01,8165200
2011-11-01,8181600
2011-12-01,8221300
2012-01-01,8133600
2012-02-01,8153100
2012-03-01,8194000
2012-04-01,8270600
2012-05-01,8346200
2012-06-01,8407900
2012-07-01,8318400
2012-08-01,8323900
2012-09-01,8311200
2012-10-01,8351900
2012-11-01,8379700
2012-12-01,8398000
2013-01-01,8325100
2013-02-01,8361000
2013-03-01,8332900
2013-04-01,8370500
2013-05-01,8496200
2013-06-01,8559300
2013-07-01,8427700
2013-08-01,8442200
2013-09-01,8422600
2013-10-01,8444800
2013-11-01,8443400
2013-12-01,8431700
2014-01-01,8323100
2014-02-01,8349000
2014-03-01,8360300
2014-04-01,8387000
2014-05-01,8509900
2014-06-01,8598600
2014-07-01,8495400
2014-08-01,8422600
2014-09-01,8440600
2014-10-01,8457600
2014-11-01,8459600
2014-12-01,8441800
2015-01-01,8367900
2015-02-01,8407700
2015-03-01,8440100
2015-04-01,8445800
2015-05-01,8559500
2015-06-01,8601100
2015-07-01,8494200
2015-08-01,8483100
2015-09-01,8490200
2015-10-01,8520500
2015-11-01,8520200
2015-12-01,8526800
2016-01-01,8421300
2016-02-01,8450700
2016-03-01,8484900
2016-04-01,8515100
2016-05-01,8641700
2016-06-01,8717600
2016-07-01,8572300
2016-08-01,8554600
2016-09-01,8571200
2016-10-01,8621700
2016-11-01,8609700
2016-12-01,8627700
2017-01-01,8596200
2017-02-01,8601600
2017-03-01,8620000
2017-04-01,8636400
2017-05-01,8795200
2017-06-01,8892700
2017-07-01,8781700
2017-08-01,8728900
2017-09-01,8741500
2017-10-01,8769300
2017-11-01,8788800
2017-12-01,8832300
2018-01-01,8712400
2018-02-01,8733400
2018-03-01,8757400
2018-04-01,8804500
2018-05-01,8912000
2018-06-01,8987700
2018-07-01,8934300
2018-08-01,8902800
2018-09-01,8904400
2018-10-01,8961600
2018-11-01,8965200
2018-12-01,8999500
2019-01-01,8912400
2019-02-01,8977000
2019-03-01,8940600
2019-04-01,9034200
2019-05-01,9164300
2019-06-01,9237200
2019-07-01,9074000
2019-08-01,9080000
2019-09-01,9120400
2019-10-01,9153000
2019-11-01,9125100
2019-12-01,9158200
2020-01-01,9043600
2020-02-01,9048500
2020-03-01,8345000
2020-04-01,7488100
2020-05-01,7689100
2020-06-01,8297700
2020-07-01,8404800
2020-08-01,8506200
2020-09-01,8750400
2020-10-01,8830600
2020-11-01,8848300
2020-12-01,8792500
2021-01-01,8527500
2021-02-01,8701300
2021-03-01,8836600
2021-04-01,8775800
2021-05-01,8845700
2021-06-01,9104500
2021-07-01,9001300
2021-08-01,9011500
2021-09-01,9131800
2021-10-01,9171900
2021-11-01,9249700
2021-12-01,9271300
2022-01-01,9043900
2022-02-01,9293700
2022-03-01,9284300
2022-04-01,9343100
2022-05-01,9535100
2022-06-01,9563800
2022-07-01,9402200
2022-08-01,9325400
2022-09-01,9359900
2022-10-01,9433300
2022-11-01,9453000
2022-12-01,9485000
2023-01-01,9459500
2023-02-01,9514100
2023-03-01,9537000
2023-04-01,9565100
2023-05-01,9679600
2023-06-01,9726200
2023-07-01,9574400
2023-08-01,9555100
2023-09-01,9598100
2023-10-01,9616300
2023-11-01,9629300
