"Date","CANSLMNTO02MLSAM"
1985-04-01,20262893000
1985-05-01,20732041000
1985-06-01,20661998000
1985-07-01,20793890000
1985-08-01,21081141000
1985-09-01,21271399000
1985-10-01,21154723000
1985-11-01,21522522000
1985-12-01,21486182000
1986-01-01,21244103000
1986-02-01,21205979000
1986-03-01,21104796000
1986-04-01,21384972000
1986-05-01,21054909000
1986-06-01,20792039000
1986-07-01,21269165000
1986-08-01,20716752000
1986-09-01,20884463000
1986-10-01,21199592000
1986-11-01,20999629000
1986-12-01,21473027000
1987-01-01,21795195000
1987-02-01,22112668000
1987-03-01,21929551000
1987-04-01,22083554000
1987-05-01,22116177000
1987-06-01,22243251000
1987-07-01,22581714000
1987-08-01,22675882000
1987-09-01,23069703000
1987-10-01,23431974000
1987-11-01,23892247000
1987-12-01,24095116000
1988-01-01,24859460000
1988-02-01,24492321000
1988-03-01,24678823000
1988-04-01,24506655000
1988-05-01,24692928000
1988-06-01,24969752000
1988-07-01,24291204000
1988-08-01,24859337000
1988-09-01,25173273000
1988-10-01,24889148000
1988-11-01,24876957000
1988-12-01,25400662000
1989-01-01,25934647000
1989-02-01,26162483000
1989-03-01,25715067000
1989-04-01,25941891000
1989-05-01,25769683000
1989-06-01,25565841000
1989-07-01,25640971000
1989-08-01,25393813000
1989-09-01,25701773000
1989-10-01,25493682000
1989-11-01,25789524000
1989-12-01,25876984000
1990-01-01,24742483000
1990-02-01,25412868000
1990-03-01,25615103000
1990-04-01,25067318000
1990-05-01,25325242000
1990-06-01,25242104000
1990-07-01,25312462000
1990-08-01,24519178000
1990-09-01,24556669000
1990-10-01,25113333000
1990-11-01,24331315000
1990-12-01,23957103000
1991-01-01,23606994000
1991-02-01,22959047000
1991-03-01,22828929000
1991-04-01,23402358000
1991-05-01,23574835000
1991-06-01,23588012000
1991-07-01,23727529000
1991-08-01,23504543000
1991-09-01,23684086000
1991-10-01,23366740000
1991-11-01,23306096000
1991-12-01,22954750000
1992-01-01,22442286000
1992-02-01,22849293000
1992-03-01,22774067000
1992-04-01,23079929000
1992-05-01,23121861000
1992-06-01,23599825000
1992-07-01,23340012000
1992-08-01,23485737000
1992-09-01,23490141000
1992-10-01,24093241000
1992-11-01,23922194000
1992-12-01,24319544000
1993-01-01,24241579000
1993-02-01,24701404000
1993-03-01,25275823000
1993-04-01,25063947000
1993-05-01,24887270000
1993-06-01,25026215000
1993-07-01,24906836000
1993-08-01,25565480000
1993-09-01,26324156000
1993-10-01,26066988000
1993-11-01,26152970000
1993-12-01,25730287000
1994-01-01,26155881000
1994-02-01,26116488000
1994-03-01,27494286000
1994-04-01,27802324000
1994-05-01,28539814000
1994-06-01,28966828000
1994-07-01,29025987000
1994-08-01,29898969000
1994-09-01,29782583000
1994-10-01,30233666000
1994-11-01,31195021000
1994-12-01,31728937000
1995-01-01,33247478000
1995-02-01,32420744000
1995-03-01,32366933000
1995-04-01,32089682000
1995-05-01,32459683000
1995-06-01,32311648000
1995-07-01,31604624000
1995-08-01,33195220000
1995-09-01,32722848000
1995-10-01,32367181000
1995-11-01,32478154000
1995-12-01,32515209000
1996-01-01,32777959000
1996-02-01,32438916000
1996-03-01,31731444000
1996-04-01,32659296000
1996-05-01,33364647000
1996-06-01,33452496000
1996-07-01,34215402000
1996-08-01,33893053000
1996-09-01,34298573000
1996-10-01,33170816000
1996-11-01,34185020000
1996-12-01,33897396000
1997-01-01,34774786000
1997-02-01,34653594000
1997-03-01,34298272000
1997-04-01,35239523000
1997-05-01,35353916000
1997-06-01,35114636000
1997-07-01,37137153000
1997-08-01,35396652000
1997-09-01,35914509000
1997-10-01,35914716000
1997-11-01,36145390000
1997-12-01,36576243000
1998-01-01,35534990000
1998-02-01,36715689000
1998-03-01,37025948000
1998-04-01,36831519000
1998-05-01,36476173000
1998-06-01,35215340000
1998-07-01,34329096000
1998-08-01,36592456000
1998-09-01,37063529000
1998-10-01,37962707000
1998-11-01,38323434000
1998-12-01,39069852000
1999-01-01,39646617000
1999-02-01,40229965000
1999-03-01,41156909000
1999-04-01,41099412000
1999-05-01,41339728000
1999-06-01,42123601000
1999-07-01,42403946000
1999-08-01,43744944000
1999-09-01,44438382000
1999-10-01,43707737000
1999-11-01,44808176000
1999-12-01,45846717000
2000-01-01,45696304000
2000-02-01,44934878000
2000-03-01,46647255000
2000-04-01,45141028000
2000-05-01,46457359000
2000-06-01,46621151000
2000-07-01,46490226000
2000-08-01,47339860000
2000-09-01,47081598000
2000-10-01,48597710000
2000-11-01,48329742000
2000-12-01,47963067000
2001-01-01,46959022000
2001-02-01,45346404000
2001-03-01,46159925000
2001-04-01,46185549000
2001-05-01,46615350000
2001-06-01,45883633000
2001-07-01,44999332000
2001-08-01,45214012000
2001-09-01,44493312000
2001-10-01,43293981000
2001-11-01,44437237000
2001-12-01,43684249000
2002-01-01,44257510000
2002-02-01,45475577000
2002-03-01,45893826000
2002-04-01,46535501000
2002-05-01,46552268000
2002-06-01,46938130000
2002-07-01,47136243000
2002-08-01,47552491000
2002-09-01,47477762000
2002-10-01,47472354000
2002-11-01,47692856000
2002-12-01,46821862000
2003-01-01,47212218000
2003-02-01,47576270000
2003-03-01,47408051000
2003-04-01,46751896000
2003-05-01,46363310000
2003-06-01,45209409000
2003-07-01,47451074000
2003-08-01,45518209000
2003-09-01,47731568000
2003-10-01,47226830000
2003-11-01,47764515000
2003-12-01,47420626000
2004-01-01,46639276000
2004-02-01,47416422000
2004-03-01,48457942000
2004-04-01,48947281000
2004-05-01,48906244000
2004-06-01,49422153000
2004-07-01,48975281000
2004-08-01,49303448000
2004-09-01,48838818000
2004-10-01,49115458000
2004-11-01,48390186000
2004-12-01,48150096000
2005-01-01,50298055000
2005-02-01,50052820000
2005-03-01,49069365000
2005-04-01,49039366000
2005-05-01,49100599000
2005-06-01,49104947000
2005-07-01,48733079000
2005-08-01,49994900000
2005-09-01,50754434000
2005-10-01,51149287000
2005-11-01,50429674000
2005-12-01,51479374000
2006-01-01,51602375000
2006-02-01,50342334000
2006-03-01,50712770000
2006-04-01,50384787000
2006-05-01,49642261000
2006-06-01,50510484000
2006-07-01,50509441000
2006-08-01,50858555000
2006-09-01,49735120000
2006-10-01,48965049000
2006-11-01,49904524000
2006-12-01,52359211000
2007-01-01,50304656000
2007-02-01,50223539000
2007-03-01,51344226000
2007-04-01,51476096000
2007-05-01,50506863000
2007-06-01,49753115000
2007-07-01,49636878000
2007-08-01,49305453000
2007-09-01,49089583000
2007-10-01,48914131000
2007-11-01,49381506000
2007-12-01,47737007000
2008-01-01,47787268000
2008-02-01,49226164000
2008-03-01,48552256000
2008-04-01,49332227000
2008-05-01,50864857000
2008-06-01,51957807000
2008-07-01,53050865000
2008-08-01,51164661000
2008-09-01,50728621000
2008-10-01,49877370000
2008-11-01,46869272000
2008-12-01,42558295000
2009-01-01,40378652000
2009-02-01,41405749000
2009-03-01,40060221000
2009-04-01,40389237000
2009-05-01,38330989000
2009-06-01,39364411000
2009-07-01,41323112000
2009-08-01,40713277000
2009-09-01,41287592000
2009-10-01,41186339000
2009-11-01,41869136000
2009-12-01,42421898000
2010-01-01,42775960000
2010-02-01,42986053000
2010-03-01,43357497000
2010-04-01,44038070000
2010-05-01,44514114000
2010-06-01,44463616000
2010-07-01,43920561000
2010-08-01,44325444000
2010-09-01,44364481000
2010-10-01,44928022000
2010-11-01,44269005000
2010-12-01,45331876000
2011-01-01,46818278000
2011-02-01,46040313000
2011-03-01,46594317000
2011-04-01,46322386000
2011-05-01,45826976000
2011-06-01,45596870000
2011-07-01,46987370000
2011-08-01,47613957000
2011-09-01,48552172000
2011-10-01,48792486000
2011-11-01,49109749000
2011-12-01,50027282000
2012-01-01,49184846000
2012-02-01,48357583000
2012-03-01,49100194000
2012-04-01,49415133000
2012-05-01,49626335000
2012-06-01,49072294000
2012-07-01,48424822000
2012-08-01,48558612000
2012-09-01,48624728000
2012-10-01,48120898000
2012-11-01,48790328000
2012-12-01,48059952000
2013-01-01,48045046000
2013-02-01,49403521000
2013-03-01,48913585000
2013-04-01,48592838000
2013-05-01,48630684000
2013-06-01,48366567000
2013-07-01,48370751000
2013-08-01,49112762000
2013-09-01,49233449000
2013-10-01,49910095000
2013-11-01,50194482000
2013-12-01,49321729000
2014-01-01,49261369000
2014-02-01,50885303000
2014-03-01,50833450000
2014-04-01,50666459000
2014-05-01,51629535000
2014-06-01,51737811000
2014-07-01,52872583000
2014-08-01,51267591000
2014-09-01,52419754000
2014-10-01,52249133000
2014-11-01,51122010000
2014-12-01,51664724000
2015-01-01,49919276000
2015-02-01,49466083000
2015-03-01,51094891000
2015-04-01,49772709000
2015-05-01,50110921000
2015-06-01,50994045000
2015-07-01,51941932000
2015-08-01,51685639000
2015-09-01,50961614000
2015-10-01,50403254000
2015-11-01,50680418000
2015-12-01,51016895000
2016-01-01,52597720000
2016-02-01,50253521000
2016-03-01,49713462000
2016-04-01,50519854000
2016-05-01,49956404000
2016-06-01,50641735000
2016-07-01,51017207000
2016-08-01,51431189000
2016-09-01,51569390000
2016-10-01,51675932000
2016-11-01,52305723000
2016-12-01,53579456000
2017-01-01,54032136000
2017-02-01,53687197000
2017-03-01,53601321000
2017-04-01,54438129000
2017-05-01,54836442000
2017-06-01,53915536000
2017-07-01,52856223000
2017-08-01,53705502000
2017-09-01,54102624000
2017-10-01,54080161000
2017-11-01,55878883000
2017-12-01,55945528000
2018-01-01,55354794000
2018-02-01,56757293000
2018-03-01,56831025000
2018-04-01,56544914000
2018-05-01,57230618000
2018-06-01,58708188000
2018-07-01,58491500000
2018-08-01,58103699000
2018-09-01,57920744000
2018-10-01,58502466000
2018-11-01,57567728000
2018-12-01,56805420000
2019-01-01,57468840000
2019-02-01,56938888000
2019-03-01,57852115000
2019-04-01,58175422000
2019-05-01,59681521000
2019-06-01,57672510000
2019-07-01,56942984000
2019-08-01,57909595000
2019-09-01,57831637000
2019-10-01,57377602000
2019-11-01,57094153000
2019-12-01,57156983000
2020-01-01,56169727000
2020-02-01,56739956000
2020-03-01,49793731000
2020-04-01,36134787000
2020-05-01,40696923000
2020-06-01,49425854000
2020-07-01,52907384000
2020-08-01,52780408000
2020-09-01,54284321000
2020-10-01,54604160000
2020-11-01,54186695000
2020-12-01,55337026000
2021-01-01,57193452000
2021-02-01,56838593000
2021-03-01,59150112000
2021-04-01,58030799000
2021-05-01,58418608000
2021-06-01,60308678000
2021-07-01,59932311000
2021-08-01,61031016000
2021-09-01,59812039000
2021-10-01,62305364000
2021-11-01,64415537000
2021-12-01,65543250000
2022-01-01,65304061000
2022-02-01,69451573000
2022-03-01,71637547000
2022-04-01,73483943000
2022-05-01,72714691000
2022-06-01,72507961000
2022-07-01,71867225000
2022-08-01,70648232000
2022-09-01,70487398000
2022-10-01,72056971000
2022-11-01,72276514000
2022-12-01,71178917000
2023-01-01,74327106000
2023-02-01,71540302000
2023-03-01,71997731000
2023-04-01,71213701000
2023-05-01,72335753000
2023-06-01,70735895000
2023-07-01,71797372000
2023-08-01,72505521000
2023-09-01,72787195000
