"Date","LFUN25FECAM647S"
1990-07-01,327600
1990-08-01,345200
1990-09-01,360300
1990-10-01,370100
1990-11-01,381500
1990-12-01,382500
1991-01-01,397800
1991-02-01,416300
1991-03-01,420300
1991-04-01,414800
1991-05-01,411500
1991-06-01,426500
1991-07-01,433300
1991-08-01,432700
1991-09-01,415900
1991-10-01,427900
1991-11-01,425700
1991-12-01,421500
1992-01-01,409500
1992-02-01,411500
1992-03-01,429000
1992-04-01,417100
1992-05-01,420300
1992-06-01,434500
1992-07-01,439500
1992-08-01,436300
1992-09-01,442400
1992-10-01,445100
1992-11-01,493700
1992-12-01,476300
1993-01-01,465400
1993-02-01,461500
1993-03-01,468700
1993-04-01,499500
1993-05-01,492400
1993-06-01,482300
1993-07-01,490200
1993-08-01,466900
1993-09-01,470200
1993-10-01,468400
1993-11-01,468900
1993-12-01,487900
1994-01-01,468300
1994-02-01,447200
1994-03-01,437700
1994-04-01,455700
1994-05-01,454800
1994-06-01,436200
1994-07-01,432500
1994-08-01,442900
1994-09-01,438800
1994-10-01,428300
1994-11-01,411900
1994-12-01,413400
1995-01-01,419200
1995-02-01,430000
1995-03-01,429200
1995-04-01,403000
1995-05-01,408200
1995-06-01,409600
1995-07-01,410000
1995-08-01,415500
1995-09-01,398900
1995-10-01,403000
1995-11-01,405500
1995-12-01,399400
1996-01-01,407600
1996-02-01,415300
1996-03-01,424800
1996-04-01,411000
1996-05-01,403000
1996-06-01,432400
1996-07-01,437200
1996-08-01,427400
1996-09-01,450200
1996-10-01,443400
1996-11-01,435300
1996-12-01,437400
1997-01-01,414800
1997-02-01,407200
1997-03-01,398300
1997-04-01,409900
1997-05-01,406500
1997-06-01,403300
1997-07-01,380500
1997-08-01,382900
1997-09-01,381500
1997-10-01,402700
1997-11-01,401500
1997-12-01,373800
1998-01-01,392100
1998-02-01,387300
1998-03-01,375000
1998-04-01,364700
1998-05-01,361700
1998-06-01,360800
1998-07-01,355800
1998-08-01,356700
1998-09-01,368600
1998-10-01,339800
1998-11-01,344800
1998-12-01,352700
1999-01-01,354100
1999-02-01,355700
1999-03-01,351400
1999-04-01,365900
1999-05-01,360900
1999-06-01,344500
1999-07-01,341000
1999-08-01,327200
1999-09-01,315800
1999-10-01,306700
1999-11-01,304600
1999-12-01,302400
2000-01-01,306300
2000-02-01,310600
2000-03-01,312700
2000-04-01,301900
2000-05-01,296200
2000-06-01,290600
2000-07-01,309500
2000-08-01,313800
2000-09-01,320800
2000-10-01,326900
2000-11-01,323200
2000-12-01,318200
2001-01-01,322300
2001-02-01,317100
2001-03-01,323400
2001-04-01,321500
2001-05-01,330700
2001-06-01,327500
2001-07-01,329300
2001-08-01,343800
2001-09-01,336700
2001-10-01,336900
2001-11-01,320800
2001-12-01,344100
2002-01-01,337600
2002-02-01,346700
2002-03-01,351700
2002-04-01,360800
2002-05-01,350000
2002-06-01,364200
2002-07-01,361300
2002-08-01,341500
2002-09-01,348000
2002-10-01,346600
2002-11-01,343900
2002-12-01,345700
2003-01-01,352700
2003-02-01,348300
2003-03-01,347800
2003-04-01,360400
2003-05-01,374200
2003-06-01,357000
2003-07-01,350300
2003-08-01,353800
2003-09-01,376200
2003-10-01,355300
2003-11-01,356100
2003-12-01,353000
2004-01-01,343800
2004-02-01,326700
2004-03-01,328200
2004-04-01,326200
2004-05-01,314400
2004-06-01,327700
2004-07-01,333600
2004-08-01,337300
2004-09-01,332100
2004-10-01,343800
2004-11-01,358500
2004-12-01,340400
2005-01-01,329100
2005-02-01,342700
2005-03-01,332500
2005-04-01,317100
2005-05-01,332000
2005-06-01,323000
2005-07-01,309300
2005-08-01,324900
2005-09-01,325900
2005-10-01,330300
2005-11-01,295300
2005-12-01,321100
2006-01-01,323600
2006-02-01,314500
2006-03-01,310500
2006-04-01,323000
2006-05-01,305400
2006-06-01,320600
2006-07-01,310200
2006-08-01,293700
2006-09-01,286000
2006-10-01,298800
2006-11-01,304600
2006-12-01,295200
2007-01-01,301700
2007-02-01,304200
2007-03-01,303300
2007-04-01,297900
2007-05-01,293700
2007-06-01,282900
2007-07-01,285600
2007-08-01,281100
2007-09-01,287000
2007-10-01,261100
2007-11-01,280700
2007-12-01,274800
2008-01-01,274900
2008-02-01,284300
2008-03-01,291800
2008-04-01,278500
2008-05-01,286100
2008-06-01,267400
2008-07-01,293400
2008-08-01,303100
2008-09-01,281400
2008-10-01,281400
2008-11-01,289000
2008-12-01,324600
2009-01-01,332400
2009-02-01,339900
2009-03-01,356800
2009-04-01,362900
2009-05-01,384600
2009-06-01,392600
2009-07-01,383000
2009-08-01,382000
2009-09-01,377500
2009-10-01,382400
2009-11-01,379400
2009-12-01,376800
2010-01-01,382500
2010-02-01,389700
2010-03-01,382100
2010-04-01,384900
2010-05-01,366400
2010-06-01,386100
2010-07-01,397700
2010-08-01,390700
2010-09-01,397100
2010-10-01,401800
2010-11-01,394000
2010-12-01,387600
2011-01-01,385400
2011-02-01,379900
2011-03-01,371800
2011-04-01,366900
2011-05-01,361000
2011-06-01,374000
2011-07-01,358100
2011-08-01,368500
2011-09-01,375100
2011-10-01,377300
2011-11-01,385300
2011-12-01,349600
2012-01-01,368600
2012-02-01,374500
2012-03-01,349600
2012-04-01,369100
2012-05-01,373500
2012-06-01,351300
2012-07-01,340500
2012-08-01,344800
2012-09-01,346800
2012-10-01,353500
2012-11-01,351900
2012-12-01,356000
2013-01-01,348400
2013-02-01,355700
2013-03-01,368100
2013-04-01,351100
2013-05-01,344700
2013-06-01,340200
2013-07-01,352300
2013-08-01,345700
2013-09-01,353500
2013-10-01,340000
2013-11-01,333200
2013-12-01,363200
2014-01-01,347700
2014-02-01,342000
2014-03-01,343300
2014-04-01,348500
2014-05-01,353400
2014-06-01,351200
2014-07-01,342800
2014-08-01,336400
2014-09-01,319600
2014-10-01,320600
2014-11-01,320600
2014-12-01,310200
2015-01-01,324900
2015-02-01,321300
2015-03-01,335000
2015-04-01,325100
2015-05-01,319200
2015-06-01,323500
2015-07-01,324000
2015-08-01,333400
2015-09-01,338300
2015-10-01,339800
2015-11-01,343600
2015-12-01,341300
2016-01-01,344000
2016-02-01,336100
2016-03-01,335000
2016-04-01,347100
2016-05-01,332800
2016-06-01,332300
2016-07-01,319100
2016-08-01,313700
2016-09-01,324600
2016-10-01,316900
2016-11-01,321100
2016-12-01,337000
2017-01-01,322800
2017-02-01,317900
2017-03-01,316700
2017-04-01,313800
2017-05-01,323000
2017-06-01,311100
2017-07-01,330700
2017-08-01,321700
2017-09-01,317300
2017-10-01,323500
2017-11-01,321800
2017-12-01,310500
2018-01-01,306100
2018-02-01,316000
2018-03-01,295700
2018-04-01,288200
2018-05-01,299000
2018-06-01,310000
2018-07-01,299100
2018-08-01,304800
2018-09-01,304800
2018-10-01,298700
2018-11-01,279300
2018-12-01,290500
2019-01-01,280900
2019-02-01,277900
2019-03-01,292600
2019-04-01,297400
2019-05-01,251600
2019-06-01,265700
2019-07-01,283700
2019-08-01,278100
2019-09-01,274900
2019-10-01,287900
2019-11-01,297700
2019-12-01,283200
2020-01-01,298000
2020-02-01,294200
2020-03-01,462400
2020-04-01,698100
2020-05-01,702300
2020-06-01,607800
2020-07-01,501000
2020-08-01,459700
2020-09-01,436400
2020-10-01,435100
2020-11-01,436600
2020-12-01,437400
2021-01-01,489100
2021-02-01,425100
2021-03-01,404500
2021-04-01,432600
2021-05-01,401200
2021-06-01,359000
2021-07-01,372600
2021-08-01,365100
2021-09-01,362800
2021-10-01,334100
2021-11-01,295700
2021-12-01,311200
2022-01-01,351900
2022-02-01,266300
2022-03-01,302400
2022-04-01,286200
2022-05-01,273200
2022-06-01,270700
2022-07-01,262600
2022-08-01,294700
2022-09-01,268300
2022-10-01,273100
2022-11-01,267600
2022-12-01,268100
2023-01-01,258500
2023-02-01,279700
2023-03-01,272900
2023-04-01,271200
2023-05-01,285000
2023-06-01,288000
2023-07-01,329600
2023-08-01,302800
2023-09-01,296300
2023-10-01,302800
2023-11-01,307000
