"Date","LRUN55TTCAM156N"
1991-06-01,8.51732336956522
1991-07-01,7.53442452585087
1991-08-01,7.97625193598348
1991-09-01,6.86022610483042
1991-10-01,7.12026668946064
1991-11-01,7.60340632603406
1991-12-01,8.15063649222065
1992-01-01,9.04179950407368
1992-02-01,9.13516862883951
1992-03-01,10.7870695713282
1992-04-01,9.52045133991537
1992-05-01,8.60645049117622
1992-06-01,8.75818119187048
1992-07-01,8.64175977653631
1992-08-01,9.12068965517241
1992-09-01,8.49489795918368
1992-10-01,8.99008569988237
1992-11-01,10.3523673366412
1992-12-01,9.98628493056746
1993-01-01,9.6945435558263
1993-02-01,10.5362505362505
1993-03-01,10.550576184379
1993-04-01,10.0803693570451
1993-05-01,10.617326647069
1993-06-01,9.75062559323496
1993-07-01,9.18189730200174
1993-08-01,9.78782851654588
1993-09-01,9.5734514811919
1993-10-01,9.66052884195829
1993-11-01,9.70214248388784
1993-12-01,10.3079935908848
1994-01-01,10.2006089915816
1994-02-01,11.2116991643454
1994-03-01,11.2676056338028
1994-04-01,11.1316010058676
1994-05-01,10.0602611315701
1994-06-01,8.87278180454886
1994-07-01,8.60307375289774
1994-08-01,8.65588210383671
1994-09-01,7.58329818641923
1994-10-01,7.3637827302771
1994-11-01,7.48310955272385
1994-12-01,7.82623685571453
1995-01-01,10.266678026753
1995-02-01,9.10102739726027
1995-03-01,9.16609822646658
1995-04-01,9.25396412789186
1995-05-01,7.84279627858447
1995-06-01,7.98348245010324
1995-07-01,8.17019055077004
1995-08-01,8.16748513827862
1995-09-01,6.99132525981276
1995-10-01,7.291844759788
1995-11-01,7.91993788284014
1995-12-01,7.70776894171109
1996-01-01,8.64294435723007
1996-02-01,8.27657556685921
1996-03-01,8.06036700394444
1996-04-01,8.21894303363075
1996-05-01,6.6541545811295
1996-06-01,6.83832135094466
1996-07-01,7.05474822575194
1996-08-01,7.3523233341736
1996-09-01,7.58928571428571
1996-10-01,7.95435475750965
1996-11-01,8.46605196982397
1996-12-01,8.61426393359309
1997-01-01,9.19305413687436
1997-02-01,8.79057026645638
1997-03-01,8.3931074284772
1997-04-01,8.00593031875463
1997-05-01,7.72238514173998
1997-06-01,6.50834819257578
1997-07-01,7.42805607936378
1997-08-01,7.09593706917525
1997-09-01,7.10417845308333
1997-10-01,7.00024055809478
1997-11-01,7.736
1997-12-01,6.38401559454191
1998-01-01,7.63196600751757
1998-02-01,7.7143996808935
1998-03-01,7.98818929055941
