"Date","LFHU24FECAM647N"
2015-06-01,166400
2015-07-01,180600
2015-08-01,174800
2015-09-01,153600
2015-10-01,134000
2015-11-01,122700
2015-12-01,109500
2016-01-01,135000
2016-02-01,134100
2016-03-01,134800
2016-04-01,133800
2016-05-01,177200
2016-06-01,151900
2016-07-01,187700
2016-08-01,161400
2016-09-01,154900
2016-10-01,146200
2016-11-01,126200
2016-12-01,115200
2017-01-01,126100
2017-02-01,123600
2017-03-01,124800
2017-04-01,127400
2017-05-01,162600
2017-06-01,158600
2017-07-01,146400
2017-08-01,146800
2017-09-01,127700
2017-10-01,126100
2017-11-01,117400
2017-12-01,97600
2018-01-01,113500
2018-02-01,112200
2018-03-01,110600
2018-04-01,124600
2018-05-01,176200
2018-06-01,157300
2018-07-01,143800
2018-08-01,158600
2018-09-01,141600
2018-10-01,107800
2018-11-01,112700
2018-12-01,98400
2019-01-01,119800
2019-02-01,108600
2019-03-01,114900
2019-04-01,121000
2019-05-01,161000
2019-06-01,151200
2019-07-01,168100
2019-08-01,164800
2019-09-01,143100
2019-10-01,121400
2019-11-01,126900
2019-12-01,104300
2020-01-01,116900
2020-02-01,109700
2020-03-01,238600
2020-04-01,301400
2020-05-01,425700
2020-06-01,401700
2020-07-01,363100
2020-08-01,321700
2020-09-01,243100
2020-10-01,212300
2020-11-01,198300
2020-12-01,196600
2021-01-01,237000
2021-02-01,215700
2021-03-01,176800
2021-04-01,179800
2021-05-01,266900
2021-06-01,208000
2021-07-01,185600
2021-08-01,165900
2021-09-01,137000
2021-10-01,114000
2021-11-01,96100
2021-12-01,101600
2022-01-01,154400
2022-02-01,111800
2022-03-01,122800
2022-04-01,112400
2022-05-01,136200
2022-06-01,125600
2022-07-01,150900
2022-08-01,135100
2022-09-01,133600
2022-10-01,139900
2022-11-01,113400
2022-12-01,99600
2023-01-01,120600
2023-02-01,120200
2023-03-01,116200
2023-04-01,121400
2023-05-01,173700
2023-06-01,172100
2023-07-01,200200
2023-08-01,174100
2023-09-01,147700
2023-10-01,145800
2023-11-01,145500
