"Date","LFWATTFECAM647N"
1986-11-01,10266700
1986-12-01,10276700
1987-01-01,10289000
1987-02-01,10301600
1987-03-01,10312500
1987-04-01,10323600
1987-05-01,10335100
1987-06-01,10349700
1987-07-01,10361000
1987-08-01,10372000
1987-09-01,10385700
1987-10-01,10396200
1987-11-01,10406500
1987-12-01,10416200
1988-01-01,10428100
1988-02-01,10439300
1988-03-01,10449400
1988-04-01,10460300
1988-05-01,10474400
1988-06-01,10485800
1988-07-01,10497400
1988-08-01,10512400
1988-09-01,10524200
1988-10-01,10535500
1988-11-01,10546700
1988-12-01,10557400
1989-01-01,10572600
1989-02-01,10583300
1989-03-01,10595000
1989-04-01,10607100
1989-05-01,10623200
1989-06-01,10635900
1989-07-01,10648600
1989-08-01,10664100
1989-09-01,10676600
1989-10-01,10691900
1989-11-01,10703600
1989-12-01,10714600
1990-01-01,10727500
1990-02-01,10738100
1990-03-01,10749900
1990-04-01,10766500
1990-05-01,10780000
1990-06-01,10793900
1990-07-01,10812500
1990-08-01,10827700
1990-09-01,10842100
1990-10-01,10858600
1990-11-01,10872300
1990-12-01,10885500
1991-01-01,10901300
1991-02-01,10914300
1991-03-01,10928100
1991-04-01,10945800
1991-05-01,10960000
1991-06-01,10974300
1991-07-01,10986400
1991-08-01,10994100
1991-09-01,11004500
1991-10-01,11012600
1991-11-01,11023100
1991-12-01,11034500
1992-01-01,11045900
1992-02-01,11053700
1992-03-01,11066600
1992-04-01,11076800
1992-05-01,11087400
1992-06-01,11100500
1992-07-01,11113200
1992-08-01,11125800
1992-09-01,11141200
1992-10-01,11153000
1992-11-01,11164400
1992-12-01,11175900
1993-01-01,11189200
1993-02-01,11201900
1993-03-01,11214200
1993-04-01,11225900
1993-05-01,11237700
1993-06-01,11254200
1993-07-01,11266000
1993-08-01,11280600
1993-09-01,11292100
1993-10-01,11303000
1993-11-01,11313000
1993-12-01,11323200
1994-01-01,11334200
1994-02-01,11346300
1994-03-01,11358200
1994-04-01,11370500
1994-05-01,11386300
1994-06-01,11398700
1994-07-01,11411400
1994-08-01,11426900
1994-09-01,11438300
1994-10-01,11448900
1994-11-01,11459200
1994-12-01,11469100
1995-01-01,11483400
1995-02-01,11494100
1995-03-01,11505500
1995-04-01,11517800
1995-05-01,11533100
1995-06-01,11545200
1995-07-01,11557800
1995-08-01,11573200
1995-09-01,11584600
1995-10-01,11596400
1995-11-01,11608000
1995-12-01,11618800
1996-01-01,11635600
1996-02-01,11647400
1996-03-01,11659200
1996-04-01,11670800
1996-05-01,11685800
1996-06-01,11697300
1996-07-01,11712400
1996-08-01,11724100
1996-09-01,11738000
1996-10-01,11748900
1996-11-01,11759100
1996-12-01,11769100
1997-01-01,11780200
1997-02-01,11789800
1997-03-01,11800600
1997-04-01,11814700
1997-05-01,11826300
1997-06-01,11840400
1997-07-01,11851000
1997-08-01,11862000
1997-09-01,11875800
1997-10-01,11886200
1997-11-01,11895900
1997-12-01,11904500
1998-01-01,11914600
1998-02-01,11924400
1998-03-01,11933400
1998-04-01,11943200
1998-05-01,11953500
1998-06-01,11966200
1998-07-01,11976200
1998-08-01,11985900
1998-09-01,11998400
1998-10-01,12008700
1998-11-01,12018500
1998-12-01,12027600
1999-01-01,12038400
1999-02-01,12049200
1999-03-01,12060000
1999-04-01,12071200
1999-05-01,12083200
1999-06-01,12098100
1999-07-01,12109300
1999-08-01,12122600
1999-09-01,12134400
1999-10-01,12146000
1999-11-01,12157300
1999-12-01,12167700
2000-01-01,12178500
2000-02-01,12190600
2000-03-01,12202200
2000-04-01,12214400
2000-05-01,12230300
2000-06-01,12243500
2000-07-01,12255900
2000-08-01,12271000
2000-09-01,12284000
2000-10-01,12296900
2000-11-01,12309500
2000-12-01,12321300
2001-01-01,12331100
2001-02-01,12342900
2001-03-01,12356000
2001-04-01,12373500
2001-05-01,12388000
2001-06-01,12402900
2001-07-01,12420600
2001-08-01,12434700
2001-09-01,12448300
2001-10-01,12461600
2001-11-01,12474300
2001-12-01,12486100
2002-01-01,12502700
2002-02-01,12515400
2002-03-01,12529500
2002-04-01,12547900
2002-05-01,12562900
2002-06-01,12578300
2002-07-01,12596100
2002-08-01,12607500
2002-09-01,12621300
2002-10-01,12632600
2002-11-01,12643400
2002-12-01,12653500
2003-01-01,12664800
2003-02-01,12675300
2003-03-01,12687700
2003-04-01,12703300
2003-05-01,12716000
2003-06-01,12732900
2003-07-01,12747100
2003-08-01,12760200
2003-09-01,12776700
2003-10-01,12789900
2003-11-01,12802100
2003-12-01,12813200
2004-01-01,12825700
2004-02-01,12839300
2004-03-01,12852700
2004-04-01,12866700
2004-05-01,12881100
2004-06-01,12900000
2004-07-01,12915000
2004-08-01,12932500
2004-09-01,12946600
2004-10-01,12959700
2004-11-01,12971900
2004-12-01,12983500
2005-01-01,12996200
2005-02-01,13010400
2005-03-01,13024300
2005-04-01,13038500
2005-05-01,13057400
2005-06-01,13073700
2005-07-01,13090700
2005-08-01,13110300
2005-09-01,13125000
2005-10-01,13138800
2005-11-01,13152700
2005-12-01,13164900
2006-01-01,13182100
2006-02-01,13194700
2006-03-01,13209000
2006-04-01,13223800
2006-05-01,13242900
2006-06-01,13258700
2006-07-01,13275800
2006-08-01,13295600
2006-09-01,13310900
2006-10-01,13325300
2006-11-01,13339500
2006-12-01,13352700
2007-01-01,13368100
2007-02-01,13379100
2007-03-01,13391900
2007-04-01,13408500
2007-05-01,13423000
2007-06-01,13438300
2007-07-01,13457500
2007-08-01,13473500
2007-09-01,13488900
2007-10-01,13503800
2007-11-01,13518000
2007-12-01,13531000
2008-01-01,13546600
2008-02-01,13559100
2008-03-01,13573100
2008-04-01,13590800
2008-05-01,13606200
2008-06-01,13627000
2008-07-01,13644200
2008-08-01,13660400
2008-09-01,13679300
2008-10-01,13694400
2008-11-01,13708700
2008-12-01,13722000
2009-01-01,13736100
2009-02-01,13751200
2009-03-01,13765800
2009-04-01,13781400
2009-05-01,13797400
2009-06-01,13818200
2009-07-01,13834800
2009-08-01,13851400
2009-09-01,13870900
2009-10-01,13885800
2009-11-01,13899300
2009-12-01,13911600
2010-01-01,13925200
2010-02-01,13939700
2010-03-01,13954400
2010-04-01,13969800
2010-05-01,13986000
2010-06-01,14007000
2010-07-01,14024400
2010-08-01,14044000
2010-09-01,14058600
2010-10-01,14072100
2010-11-01,14084500
2010-12-01,14096000
2011-01-01,14106600
2011-02-01,14118100
2011-03-01,14129700
2011-04-01,14142500
2011-05-01,14158600
2011-06-01,14173300
2011-07-01,14185600
2011-08-01,14202200
2011-09-01,14214900
2011-10-01,14227300
2011-11-01,14238600
2011-12-01,14250200
2012-01-01,14261400
2012-02-01,14273200
2012-03-01,14284700
2012-04-01,14300800
2012-05-01,14314300
2012-06-01,14328700
2012-07-01,14345300
2012-08-01,14357400
2012-09-01,14369300
2012-10-01,14381600
2012-11-01,14393200
2012-12-01,14404000
2013-01-01,14414500
2013-02-01,14423200
2013-03-01,14434900
2013-04-01,14450500
2013-05-01,14464300
2013-06-01,14478400
2013-07-01,14494100
2013-08-01,14506300
2013-09-01,14520300
2013-10-01,14531900
2013-11-01,14542300
2013-12-01,14552000
2014-01-01,14561000
2014-02-01,14569700
2014-03-01,14581200
2014-04-01,14596300
2014-05-01,14608800
2014-06-01,14624700
2014-07-01,14636800
2014-08-01,14647500
2014-09-01,14659100
2014-10-01,14667100
2014-11-01,14675000
2014-12-01,14682300
2015-01-01,14687000
2015-02-01,14693000
2015-03-01,14700700
2015-04-01,14709000
2015-05-01,14718100
2015-06-01,14732000
2015-07-01,14742700
2015-08-01,14753200
2015-09-01,14766500
2015-10-01,14776900
2015-11-01,14786200
2015-12-01,14795700
2016-01-01,14808000
2016-02-01,14823400
2016-03-01,14836200
2016-04-01,14849700
2016-05-01,14867900
2016-06-01,14883800
2016-07-01,14900300
2016-08-01,14920400
2016-09-01,14935200
2016-10-01,14948800
2016-11-01,14961300
2016-12-01,14973500
2017-01-01,14990500
2017-02-01,15003700
2017-03-01,15019400
2017-04-01,15035500
2017-05-01,15055700
2017-06-01,15073300
2017-07-01,15091600
2017-08-01,15113700
2017-09-01,15130700
2017-10-01,15146500
2017-11-01,15162200
2017-12-01,15177500
2018-01-01,15198500
2018-02-01,15213600
2018-03-01,15231700
2018-04-01,15254900
2018-05-01,15273800
2018-06-01,15293600
2018-07-01,15319000
2018-08-01,15338300
2018-09-01,15357400
2018-10-01,15376200
2018-11-01,15393800
2018-12-01,15410200
2019-01-01,15430500
2019-02-01,15444200
2019-03-01,15460600
2019-04-01,15483600
2019-05-01,15503500
2019-06-01,15525300
2019-07-01,15551300
2019-08-01,15570000
2019-09-01,15592600
2019-10-01,15609700
2019-11-01,15624900
2019-12-01,15637700
2020-01-01,15650900
2020-02-01,15663600
2020-03-01,15678600
2020-04-01,15686400
2020-05-01,15694000
2020-06-01,15707800
2020-07-01,15720300
2020-08-01,15731800
2020-09-01,15746300
2020-10-01,15758300
2020-11-01,15769400
2020-12-01,15777300
2021-01-01,15784300
2021-02-01,15797200
2021-03-01,15807000
2021-04-01,15816300
2021-05-01,15823600
2021-06-01,15833100
2021-07-01,15849700
2021-08-01,15871200
2021-09-01,15889300
2021-10-01,15909300
2021-11-01,15928000
2021-12-01,15950300
2022-01-01,15968400
2022-02-01,15989800
2022-03-01,16008400
2022-04-01,16026300
2022-05-01,16047300
2022-06-01,16066600
2022-07-01,16084800
2022-08-01,16109200
2022-09-01,16130400
2022-10-01,16155200
2022-11-01,16172700
2022-12-01,16193000
2023-01-01,16223100
2023-02-01,16252300
2023-03-01,16290900
2023-04-01,16325200
2023-05-01,16364000
2023-06-01,16403300
2023-07-01,16441700
2023-08-01,16489900
2023-09-01,16527700
2023-10-01,16565100
2023-11-01,16602000
