"Date","LFUN55TTCAM647N"
1990-09-01,59500
1990-10-01,64300
1990-11-01,81200
1990-12-01,91000
1991-01-01,97900
1991-02-01,105800
1991-03-01,115000
1991-04-01,107400
1991-05-01,99500
1991-06-01,100300
1991-07-01,87000
1991-08-01,92700
1991-09-01,80100
1991-10-01,83300
1991-11-01,87500
1991-12-01,92200
1992-01-01,102100
1992-02-01,103200
1992-03-01,122800
1992-04-01,108000
1992-05-01,99000
1992-06-01,101700
1992-07-01,99000
1992-08-01,105800
1992-09-01,99900
1992-10-01,107000
1992-11-01,123100
1992-12-01,116500
1993-01-01,111400
1993-02-01,122800
1993-03-01,123600
1993-04-01,117900
1993-05-01,122800
1993-06-01,113000
1993-07-01,105500
1993-08-01,112100
1993-09-01,110200
1993-10-01,110700
1993-11-01,111400
1993-12-01,115800
1994-01-01,113900
1994-02-01,128800
1994-03-01,132000
1994-04-01,132800
1994-05-01,120200
1994-06-01,106500
1994-07-01,100200
1994-08-01,102200
1994-09-01,89900
1994-10-01,86900
1994-11-01,87500
1994-12-01,90800
1995-01-01,120500
1995-02-01,106300
1995-03-01,107500
1995-04-01,106800
1995-05-01,90200
1995-06-01,92800
1995-07-01,93900
1995-08-01,94800
1995-09-01,81400
1995-10-01,85300
1995-11-01,91800
1995-12-01,88200
1996-01-01,99100
1996-02-01,96000
1996-03-01,94000.0000000001
1996-04-01,95800
1996-05-01,78000
1996-06-01,81800
1996-07-01,83500
1996-08-01,87500
1996-09-01,90100
1996-10-01,94800
1996-11-01,101000
1996-12-01,101700
1997-01-01,108000
1997-02-01,105900
1997-03-01,101800
1997-04-01,97200
1997-05-01,94800
1997-06-01,80300
1997-07-01,90600
1997-08-01,87500
1997-09-01,87900
1997-10-01,87300
1997-11-01,96700
1997-12-01,78600
1998-01-01,93400
1998-02-01,96700
1998-03-01,100100
1998-04-01,94700
1998-05-01,73800
1998-06-01,74200
1998-07-01,83100
1998-08-01,92500
1998-09-01,77100
1998-10-01,81700
1998-11-01,87100
1998-12-01,89600
1999-01-01,90200
1999-02-01,94300
1999-03-01,102200
1999-04-01,95200
1999-05-01,79800
1999-06-01,66400
1999-07-01,71800
1999-08-01,87700
1999-09-01,69100
1999-10-01,63900
1999-11-01,66200
1999-12-01,65000
2000-01-01,75100
2000-02-01,82500
2000-03-01,78100
2000-04-01,79700
2000-05-01,69000
2000-06-01,75300
2000-07-01,70900
2000-08-01,94400
2000-09-01,81400
2000-10-01,80200
2000-11-01,71400
2000-12-01,66700
2001-01-01,93100
2001-02-01,90300
2001-03-01,91200
2001-04-01,82500
2001-05-01,76400
2001-06-01,79100
2001-07-01,79000
2001-08-01,89900
2001-09-01,75900
2001-10-01,78300
2001-11-01,93100
2001-12-01,99100
2002-01-01,115900
2002-02-01,108400
2002-03-01,107700
2002-04-01,99600
2002-05-01,95000
2002-06-01,85100
2002-07-01,87700
2002-08-01,103800
2002-09-01,93300
2002-10-01,96200
2002-11-01,109600
2002-12-01,116700
2003-01-01,120400
2003-02-01,129700
2003-03-01,127800
2003-04-01,130300
2003-05-01,111300
2003-06-01,102600
2003-07-01,101000
2003-08-01,119900
2003-09-01,1e+05
2003-10-01,101000
2003-11-01,108000
2003-12-01,109500
2004-01-01,124000
2004-02-01,123100
2004-03-01,129000
2004-04-01,117200
2004-05-01,110000
2004-06-01,112700
2004-07-01,107500
2004-08-01,123800
2004-09-01,93000
2004-10-01,95000
2004-11-01,107400
2004-12-01,119200
2005-01-01,119300
2005-02-01,122300
2005-03-01,117700
2005-04-01,110200
2005-05-01,105600
2005-06-01,97100
2005-07-01,102500
2005-08-01,116800
2005-09-01,104600
2005-10-01,99500
2005-11-01,105300
2005-12-01,103000
2006-01-01,120900
2006-02-01,113100
2006-03-01,131100
2006-04-01,118800
2006-05-01,109900
2006-06-01,99800
2006-07-01,122800
2006-08-01,139500
2006-09-01,100400
2006-10-01,96900
2006-11-01,105200
2006-12-01,114700
2007-01-01,131300
2007-02-01,123700
2007-03-01,130700
2007-04-01,121100
2007-05-01,104900
2007-06-01,113200
2007-07-01,119100
2007-08-01,134600
2007-09-01,99400
2007-10-01,107400
2007-11-01,104000
2007-12-01,112300
2008-01-01,130500
2008-02-01,124500
2008-03-01,142900
2008-04-01,121600
2008-05-01,131800
2008-06-01,116900
2008-07-01,121700
2008-08-01,146300
2008-09-01,122200
2008-10-01,124800
2008-11-01,134300
2008-12-01,150700
2009-01-01,169900
2009-02-01,187200
2009-03-01,202000
2009-04-01,189600
2009-05-01,168800
2009-06-01,156400
2009-07-01,176200
2009-08-01,202300
2009-09-01,158000
2009-10-01,167700
2009-11-01,168100
2009-12-01,183500
2010-01-01,191800
2010-02-01,184900
2010-03-01,195500
2010-04-01,182400
2010-05-01,164100
2010-06-01,155700
2010-07-01,180700
2010-08-01,212100
2010-09-01,166700
2010-10-01,172300
2010-11-01,168900
2010-12-01,181700
2011-01-01,195900
2011-02-01,208900
2011-03-01,220900
2011-04-01,221300
2011-05-01,186900
2011-06-01,161300
2011-07-01,163300
2011-08-01,201700
2011-09-01,151600
2011-10-01,152500
2011-11-01,165900
2011-12-01,190600
2012-01-01,213400
2012-02-01,194500
2012-03-01,193100
2012-04-01,189700
2012-05-01,165600
2012-06-01,164600
2012-07-01,167500
2012-08-01,189500
2012-09-01,154300
2012-10-01,172600
2012-11-01,172900
2012-12-01,179800
2013-01-01,206000
2013-02-01,210000
2013-03-01,201200
2013-04-01,202800
2013-05-01,173800
2013-06-01,172300
2013-07-01,193500
2013-08-01,208500
2013-09-01,168600
2013-10-01,176000
2013-11-01,184400
2013-12-01,196700
2014-01-01,214900
2014-02-01,216700
2014-03-01,218000
2014-04-01,211900
2014-05-01,194000
2014-06-01,158000
2014-07-01,184300
2014-08-01,199800
2014-09-01,157100
2014-10-01,177800
2014-11-01,176300
2014-12-01,183300
2015-01-01,215300
2015-02-01,218400
2015-03-01,211600
2015-04-01,208800
2015-05-01,191000
2015-06-01,171900
2015-07-01,195000
2015-08-01,216700
2015-09-01,163400
2015-10-01,158600
2015-11-01,190600
2015-12-01,197900
2016-01-01,230700
2016-02-01,241100
2016-03-01,238300
2016-04-01,242300
2016-05-01,187400
2016-06-01,179900
2016-07-01,206200
2016-08-01,235700
2016-09-01,177200
2016-10-01,187900
2016-11-01,185900
2016-12-01,220400
2017-01-01,229700
2017-02-01,228900
2017-03-01,230000
2017-04-01,216300
2017-05-01,198100
2017-06-01,176700
2017-07-01,183800
2017-08-01,211900
2017-09-01,162100
2017-10-01,172900
2017-11-01,173800
2017-12-01,176700
2018-01-01,206400
2018-02-01,198300
2018-03-01,203100
2018-04-01,192700
2018-05-01,161400
2018-06-01,159800
2018-07-01,177200
2018-08-01,212800
2018-09-01,165200
2018-10-01,162200
2018-11-01,191500
2018-12-01,170400
2019-01-01,202500
2019-02-01,217000
2019-03-01,226700
2019-04-01,207900
2019-05-01,174800
2019-06-01,158700
2019-07-01,168500
2019-08-01,197400
2019-09-01,164800
2019-10-01,161300
2019-11-01,167900
2019-12-01,172500
2020-01-01,184700
2020-02-01,213700
2020-03-01,269200
2020-04-01,442600
2020-05-01,362700
2020-06-01,306200
2020-07-01,306000
2020-08-01,320200
2020-09-01,237800
2020-10-01,250600
2020-11-01,237400
2020-12-01,271000
2021-01-01,312100
2021-02-01,294800
2021-03-01,274200
2021-04-01,297500
2021-05-01,282700
2021-06-01,254400
2021-07-01,268400
2021-08-01,288200
2021-09-01,227000
2021-10-01,233600
2021-11-01,216500
2021-12-01,204500
2022-01-01,241200
2022-02-01,211500
2022-03-01,209000
2022-04-01,201600
2022-05-01,155300
2022-06-01,137100
2022-07-01,161500
2022-08-01,2e+05
2022-09-01,139000
2022-10-01,143800
2022-11-01,138500
2022-12-01,138600
2023-01-01,179700
2023-02-01,155100
2023-03-01,178400
2023-04-01,155900
2023-05-01,143900
2023-06-01,142500
2023-07-01,157700
2023-08-01,199200
2023-09-01,154100
2023-10-01,159200
2023-11-01,149800
