"Date","LFEMTTTTCAM647N"
1968-05-01,7537000
1968-06-01,7817000
1968-07-01,7964000
1968-08-01,7989000
1968-09-01,7790000
1968-10-01,7785000
1968-11-01,7776000
1968-12-01,7670000
1969-01-01,7444000
1969-02-01,7499000
1969-03-01,7512000
1969-04-01,7670000
1969-05-01,7886000
1969-06-01,8070000
1969-07-01,8215000
1969-08-01,8188000
1969-09-01,7924000
1969-10-01,7899000
1969-11-01,7858000
1969-12-01,7813000
1970-01-01,7511000
1970-02-01,7553000
1970-03-01,7552000
1970-04-01,7685000
1970-05-01,7960000
1970-06-01,8183000
1970-07-01,8306000
1970-08-01,8283000
1970-09-01,8052000
1970-10-01,8053000
1970-11-01,8011000
1970-12-01,7882000
1971-01-01,7659000
1971-02-01,7707000
1971-03-01,7697000
1971-04-01,7748000
1971-05-01,8083000
1971-06-01,8333000
1971-07-01,8546000
1971-08-01,8511000
1971-09-01,8236000
1971-10-01,8296000
1971-11-01,8225000
1971-12-01,8201000
1972-01-01,7895000
1972-02-01,7949000
1972-03-01,8010000
1972-04-01,8082000
1972-05-01,8327000
1972-06-01,8593000
1972-07-01,8797000
1972-08-01,8757000
1972-09-01,8428000
1972-10-01,8437000
1972-11-01,8441000
1972-12-01,8418000
1973-01-01,8163000
1973-02-01,8293000
1973-03-01,8376000
1973-04-01,8516000
1973-05-01,8808000
1973-06-01,9112000
1973-07-01,9188000
1973-08-01,9197000
1973-09-01,8823000
1973-10-01,8908000
1973-11-01,8894000
1973-12-01,8856000
1974-01-01,8608000
1974-02-01,8679000
1974-03-01,8714000
1974-04-01,8858000
1974-05-01,9115000
1974-06-01,9388000
1974-07-01,9615000
1974-08-01,9645000
1974-09-01,9229000
1974-10-01,9267000
1974-11-01,9225000
1974-12-01,9159000
1975-01-01,8771000
1975-02-01,8823000
1975-03-01,8870000
1975-04-01,8969000
1975-05-01,9324000
1975-06-01,9602000
1975-07-01,9753000
1975-08-01,9734000
1975-09-01,9426000
1975-10-01,9435000
1975-11-01,9387000
1975-12-01,9317000
1976-01-01,9271400
1976-02-01,9324500
1976-03-01,9428400
1976-04-01,9503000
1976-05-01,9766400
1976-06-01,10030900
1976-07-01,10221800
1976-08-01,10206600
1976-09-01,9864000
1976-10-01,9844100
1976-11-01,9789700
1976-12-01,9719100
1977-01-01,9485700
1977-02-01,9534700
1977-03-01,9591300
1977-04-01,9649100
1977-05-01,9996200
1977-06-01,10183000
1977-07-01,10373300
1977-08-01,10369500
1977-09-01,10004400
1977-10-01,10025500
1977-11-01,9939600
1977-12-01,9853500
1978-01-01,9625000
1978-02-01,9728800
1978-03-01,9828700
1978-04-01,9877500
1978-05-01,10224000
1978-06-01,10481700
1978-07-01,10723900
1978-08-01,10732100
1978-09-01,10371100
1978-10-01,10433800
1978-11-01,10350300
1978-12-01,10266500
1979-01-01,10075500
1979-02-01,10145400
1979-03-01,10264200
1979-04-01,10343800
1979-05-01,10684200
1979-06-01,10923100
1979-07-01,11199300
1979-08-01,11204000
1979-09-01,10819800
1979-10-01,10866100
1979-11-01,10798400
1979-12-01,10699100
1980-01-01,10508800
1980-02-01,10551000
1980-03-01,10629600
1980-04-01,10705000
1980-05-01,10952900
1980-06-01,11274800
1980-07-01,11425700
1980-08-01,11442200
1980-09-01,11123300
1980-10-01,11142100
1980-11-01,11083300
1980-12-01,10970000
1981-01-01,10806400
1981-02-01,10929700
1981-03-01,10984900
1981-04-01,11071500
1981-05-01,11405100
1981-06-01,11717000
1981-07-01,11835700
1981-08-01,11836600
1981-09-01,11399900
1981-10-01,11360500
1981-11-01,11247100
1981-12-01,11065900
1982-01-01,10801500
1982-02-01,10823400
1982-03-01,10858100
1982-04-01,10834800
1982-05-01,11078700
1982-06-01,11260800
1982-07-01,11355300
1982-08-01,11242800
1982-09-01,10879000
1982-10-01,10852600
1982-11-01,10721900
1982-12-01,10615100
1983-01-01,10400100
1983-02-01,10484000
1983-03-01,10600500
1983-04-01,10692200
1983-05-01,11058400
1983-06-01,11336400
1983-07-01,11535900
1983-08-01,11540900
1983-09-01,11245200
1983-10-01,11229200
1983-11-01,11114900
1983-12-01,11026300
1984-01-01,10756200
1984-02-01,10863800
1984-03-01,10926700
1984-04-01,10988600
1984-05-01,11346300
1984-06-01,11619700
1984-07-01,11839900
1984-08-01,11774600
1984-09-01,11439700
1984-10-01,11446400
1984-11-01,11337600
1984-12-01,11281300
1985-01-01,11106500
1985-02-01,11164500
1985-03-01,11248200
1985-04-01,11359700
1985-05-01,11717200
1985-06-01,11925300
1985-07-01,12155700
1985-08-01,12139300
1985-09-01,11794800
1985-10-01,11811200
1985-11-01,11764000
1985-12-01,11709600
1986-01-01,11523400
1986-02-01,11579200
1986-03-01,11645300
1986-04-01,11791800
1986-05-01,12080700
1986-06-01,12373400
1986-07-01,12480700
1986-08-01,12452300
1986-09-01,12102200
1986-10-01,12116300
1986-11-01,12026000
1986-12-01,11930800
1987-01-01,11714400
1987-02-01,11794000
1987-03-01,11881900
1987-04-01,12011100
1987-05-01,12383700
1987-06-01,12666000
1987-07-01,12799400
1987-08-01,12808800
1987-09-01,12489800
1987-10-01,12550000
1987-11-01,12464400
1987-12-01,12432900
1988-01-01,12199500
1988-02-01,12302600
1988-03-01,12362000
1988-04-01,12440600
1988-05-01,12809200
1988-06-01,13025300
1988-07-01,13157200
1988-08-01,13127200
1988-09-01,12806400
1988-10-01,12842200
1988-11-01,12743400
1988-12-01,12699400
1989-01-01,12551900
1989-02-01,12595300
1989-03-01,12678100
1989-04-01,12711900
1989-05-01,13076300
1989-06-01,13301500
1989-07-01,13424400
1989-08-01,13448100
1989-09-01,13114400
1989-10-01,13121000
1989-11-01,13004300
1989-12-01,12926700
1990-01-01,12717800
1990-02-01,12787500
1990-03-01,12815800
1990-04-01,12924100
1990-05-01,13202100
1990-06-01,13448600
1990-07-01,13568000
1990-08-01,13515800
1990-09-01,13186600
1990-10-01,13138500
1990-11-01,12935700
1990-12-01,12796200
1991-01-01,12508900
1991-02-01,12504200
1991-03-01,12507400
1991-04-01,12626700
1991-05-01,12969700
1991-06-01,13189300
1991-07-01,13309400
1991-08-01,13281100
1991-09-01,12969700
1991-10-01,12966800
1991-11-01,12782400
1991-12-01,12672700
1992-01-01,12396800
1992-02-01,12432800
1992-03-01,12424600
1992-04-01,12490100
1992-05-01,12814600
1992-06-01,13067200
1992-07-01,13153900
1992-08-01,13097200
1992-09-01,12815300
1992-10-01,12819500
1992-11-01,12671300
1992-12-01,12587800
1993-01-01,12346300
1993-02-01,12425700
1993-03-01,12465500
1993-04-01,12496800
1993-05-01,12829300
1993-06-01,13123500
1993-07-01,13202900
1993-08-01,13177600
1993-09-01,12954700
1993-10-01,12926800
1993-11-01,12844700
1993-12-01,12719200
1994-01-01,12440500
1994-02-01,12555200
1994-03-01,12620100
1994-04-01,12683000
1994-05-01,13124400
1994-06-01,13378500
1994-07-01,13507400
1994-08-01,13494100
1994-09-01,13290100
1994-10-01,13261500
1994-11-01,13227100
1994-12-01,13123000
1995-01-01,12894400
1995-02-01,12925900
1995-03-01,12985100
1995-04-01,13005600
1995-05-01,13372400
1995-06-01,13605700
1995-07-01,13678500
1995-08-01,13676700
1995-09-01,13445300
1995-10-01,13431300
1995-11-01,13283500
1995-12-01,13240200
1996-01-01,12997900
1996-02-01,13067600
1996-03-01,13086300
1996-04-01,13179800
1996-05-01,13521000
1996-06-01,13717200
1996-07-01,13841400
1996-08-01,13839000
1996-09-01,13531600
1996-10-01,13486800
1996-11-01,13403900
1996-12-01,13369100
1997-01-01,13147700
1997-02-01,13215300
1997-03-01,13289600
1997-04-01,13355900
1997-05-01,13732900
1997-06-01,14040700
1997-07-01,14117300
1997-08-01,14172500
1997-09-01,13923800
1997-10-01,13901500
1997-11-01,13820200
1997-12-01,13780600
1998-01-01,13474600
1998-02-01,13597200
1998-03-01,13654900
1998-04-01,13766500
1998-05-01,14091500
1998-06-01,14341200
1998-07-01,14441000
1998-08-01,14468400
1998-09-01,14235500
1998-10-01,14224500
1998-11-01,14162400
1998-12-01,14106400
1999-01-01,13881500
1999-02-01,13952600
1999-03-01,13988300
1999-04-01,14102300
1999-05-01,14454500
1999-06-01,14698700
1999-07-01,14804600
1999-08-01,14776000
1999-09-01,14556500
1999-10-01,14575200
1999-11-01,14517400
1999-12-01,14516200
2000-01-01,14257000
2000-02-01,14363700
2000-03-01,14418000
2000-04-01,14493100
2000-05-01,14874900
2000-06-01,15056300
2000-07-01,15112900
2000-08-01,15097000
2000-09-01,14883900
2000-10-01,14896300
2000-11-01,14846200
2000-12-01,14822200
2001-01-01,14526000
2001-02-01,14572400
2001-03-01,14619100
2001-04-01,14724300
2001-05-01,15080900
2001-06-01,15230600
2001-07-01,15297800
2001-08-01,15273100
2001-09-01,15029500
2001-10-01,15023000
2001-11-01,14951400
2001-12-01,14859500
2002-01-01,14659900
2002-02-01,14732800
2002-03-01,14846700
2002-04-01,14968300
2002-05-01,15352000
2002-06-01,15597900
2002-07-01,15688900
2002-08-01,15740100
2002-09-01,15498900
2002-10-01,15496300
2002-11-01,15464600
2002-12-01,15449500
2003-01-01,15179300
2003-02-01,15291400
2003-03-01,15339600
2003-04-01,15386700
2003-05-01,15700700
2003-06-01,15984700
2003-07-01,16002900
2003-08-01,15971900
2003-09-01,15750100
2003-10-01,15801800
2003-11-01,15772600
2003-12-01,15748400
2004-01-01,15452400
2004-02-01,15513400
2004-03-01,15538000
2004-04-01,15663000
2004-05-01,16016300
2004-06-01,16273700
2004-07-01,16287800
2004-08-01,16224400
2004-09-01,16023100
2004-10-01,16049300
2004-11-01,15993700
2004-12-01,15945200
2005-01-01,15658400
2005-02-01,15742100
2005-03-01,15754400
2005-04-01,15850300
2005-05-01,16242500
2005-06-01,16446200
2005-07-01,16482800
2005-08-01,16460900
2005-09-01,16200500
2005-10-01,16266600
2005-11-01,16222300
2005-12-01,16155200
2006-01-01,15921300
2006-02-01,15992800
2006-03-01,16056800
2006-04-01,16152900
2006-05-01,16619200
2006-06-01,16775400
2006-07-01,16778500
2006-08-01,16711000
2006-09-01,16482500
2006-10-01,16537700
2006-11-01,16469100
2006-12-01,16467800
2007-01-01,16264200
2007-02-01,16338900
2007-03-01,16379600
2007-04-01,16467100
2007-05-01,16853900
2007-06-01,17071800
2007-07-01,17138000
2007-08-01,17097300
2007-09-01,16841400
2007-10-01,16926100
2007-11-01,16883000
2007-12-01,16820600
2008-01-01,16586600
2008-02-01,16678700
2008-03-01,16692300
2008-04-01,16772300
2008-05-01,17145200
2008-06-01,17371600
2008-07-01,17306200
2008-08-01,17290600
2008-09-01,17092800
2008-10-01,17151000
2008-11-01,16984800
2008-12-01,16889900
2009-01-01,16470400
2009-02-01,16489500
2009-03-01,16449100
2009-04-01,16536400
2009-05-01,16890300
2009-06-01,17078000
2009-07-01,16995300
2009-08-01,16974800
2009-09-01,16810400
2009-10-01,16824700
2009-11-01,16827000
2009-12-01,16719400
2010-01-01,16470500
2010-02-01,16531300
2010-03-01,16554600
2010-04-01,16731900
2010-05-01,17089600
2010-06-01,17386500
2010-07-01,17322700
2010-08-01,17297700
2010-09-01,17122500
2010-10-01,17105700
2010-11-01,17090000
2010-12-01,17035300
2011-01-01,16824300
2011-02-01,16885400
2011-03-01,16873000
2011-04-01,17028100
2011-05-01,17395100
2011-06-01,17611800
2011-07-01,17580800
2011-08-01,17551000
2011-09-01,17360100
2011-10-01,17336200
2011-11-01,17274100
2011-12-01,17211500
2012-01-01,16938200
2012-02-01,17000100
2012-03-01,17083300
2012-04-01,17299800
2012-05-01,17630800
2012-06-01,17791300
2012-07-01,17764700
2012-08-01,17782400
2012-09-01,17622900
2012-10-01,17625000
2012-11-01,17598300
2012-12-01,17571100
2013-01-01,17317800
2013-02-01,17419000
2013-03-01,17356200
2013-04-01,17495000
2013-05-01,17911000
2013-06-01,18053300
2013-07-01,17979200
2013-08-01,17984700
2013-09-01,17831200
2013-10-01,17819300
2013-11-01,17752700
2013-12-01,17626700
2014-01-01,17377700
2014-02-01,17427200
2014-03-01,17465500
2014-04-01,17538400
2014-05-01,17902600
2014-06-01,18129900
2014-07-01,18086000
2014-08-01,18028000
2014-09-01,17898100
2014-10-01,17917800
2014-11-01,17842400
2014-12-01,17784300
2015-01-01,17511600
2015-02-01,17579100
2015-03-01,17605800
2015-04-01,17676400
2015-05-01,18062800
2015-06-01,18246600
2015-07-01,18173100
2015-08-01,18183600
2015-09-01,18021900
2015-10-01,18040900
2015-11-01,17933600
2015-12-01,17835800
2016-01-01,17550500
2016-02-01,17634600
2016-03-01,17645700
2016-04-01,17745500
2016-05-01,18192300
2016-06-01,18343500
2016-07-01,18248400
2016-08-01,18251800
2016-09-01,18127700
2016-10-01,18169900
2016-11-01,18120100
2016-12-01,18074300
2017-01-01,17905300
2017-02-01,17952500
2017-03-01,17988300
2017-04-01,18069300
2017-05-01,18526000
2017-06-01,18734600
2017-07-01,18695800
2017-08-01,18673200
2017-09-01,18502900
2017-10-01,18554300
2017-11-01,18570200
2017-12-01,18567200
2018-01-01,18263600
2018-02-01,18286500
2018-03-01,18364100
2018-04-01,18456700
2018-05-01,18830400
2018-06-01,19030600
2018-07-01,19027000
2018-08-01,18944300
2018-09-01,18829900
2018-10-01,18877000
2018-11-01,18898600
2018-12-01,18870900
2019-01-01,18627900
2019-02-01,18724100
2019-03-01,18725400
2019-04-01,18930400
2019-05-01,19315500
2019-06-01,19474100
2019-07-01,19375900
2019-08-01,19396100
2019-09-01,19280700
2019-10-01,19285600
2019-11-01,19169600
2019-12-01,19148400
2020-01-01,18869400
2020-02-01,18925700
2020-03-01,17786900
2020-04-01,15922100
2020-05-01,16548800
2020-06-01,17774600
2020-07-01,18062500
2020-08-01,18274700
2020-09-01,18572000
2020-10-01,18661600
2020-11-01,18635200
2020-12-01,18491500
2021-01-01,17995300
2021-02-01,18335500
2021-03-01,18593500
2021-04-01,18494500
2021-05-01,18779600
2021-06-01,19227200
2021-07-01,19211700
2021-08-01,19217100
2021-09-01,19272200
2021-10-01,19342300
2021-11-01,19421400
2021-12-01,19416700
2022-01-01,18912700
2022-02-01,19350000
2022-03-01,19395600
2022-04-01,19522600
2022-05-01,19960900
2022-06-01,20053500
2022-07-01,19960300
2022-08-01,19878700
2022-09-01,19755600
2022-10-01,19864700
2022-11-01,19836400
2022-12-01,19824600
2023-01-01,19699200
2023-02-01,19776600
2023-03-01,19848600
2023-04-01,19942500
2023-05-01,20333600
2023-06-01,20518000
2023-07-01,20397500
2023-08-01,20373100
2023-09-01,20280400
2023-10-01,20337000
2023-11-01,20306800
