"Date","CANXTIMVA01CXMLM"
1998-11-01,17157459299.0408
1998-12-01,15934893630.1602
1999-01-01,15364684361.6807
1999-02-01,16719498636.0738
1999-03-01,19073718802.7356
1999-04-01,17999164307.9445
1999-05-01,17951649072.9093
1999-06-01,18790332311.3288
1999-07-01,15514833658.9906
1999-08-01,17943875449.1018
1999-09-01,18844857140.7533
1999-10-01,19306187836.1813
1999-11-01,19970316639.6043
1999-12-01,18305270294.791
2000-01-01,17904733222.2087
2000-02-01,19533065141.3775
2000-03-01,22173384052.9391
2000-04-01,19758090688.9212
2000-05-01,21468368929.5867
2000-06-01,21271806644.3724
2000-07-01,17332436828.7452
2000-08-01,20543218418.6952
2000-09-01,20252628320.1285
2000-10-01,21212002467.4607
2000-11-01,20843260213.6459
2000-12-01,18039684720.6737
2001-01-01,18976454749.3124
2001-02-01,17721252841.7834
2001-03-01,20516695331.9208
2001-04-01,19297091408.6247
2001-05-01,20074691347.8135
2001-06-01,19928173363.787
2001-07-01,16601794348.5059
2001-08-01,19177251345.5232
2001-09-01,16908536188.3742
2001-10-01,19209885790.2457
2001-11-01,17959176403.5407
2001-12-01,15294775853.5824
2002-01-01,16363987926.0063
2002-02-01,16680698417.0182
2002-03-01,18595889950.4263
2002-04-01,19285195659.1228
2002-05-01,19745366586.7019
2002-06-01,19387747334.7289
2002-07-01,17286753501.5466
2002-08-01,19303453984.4228
2002-09-01,18657564099.4258
2002-10-01,20457271695.8417
2002-11-01,19035055476.5368
2002-12-01,17526273329.3511
2003-01-01,18031642694.2675
2003-02-01,18406882833.0777
2003-03-01,20924974741.7994
2003-04-01,20895154972.3139
2003-05-01,21341443263.0479
2003-06-01,21026840295.1619
2003-07-01,18258181066.9535
2003-08-01,18320929065.334
2003-09-01,20750922540.1401
2003-10-01,22003582249.8287
2003-11-01,20526632913.6187
2003-12-01,19972584079.2016
2004-01-01,18615919200.4302
2004-02-01,20250205283.2996
2004-03-01,23853929760.7986
2004-04-01,22508980526.6956
2004-05-01,23202463369.743
2004-06-01,23398141042.9985
2004-07-01,21244610113.3834
2004-08-01,23346030402.3782
2004-09-01,23842666250.112
2004-10-01,24942213671.3139
2004-11-01,25094019825.4535
2004-12-01,23558253619.4665
2005-01-01,22862446460.4128
2005-02-01,23663151945.6539
2005-03-01,27580291213.1545
2005-04-01,25973511058.3895
2005-05-01,26669656292.0754
2005-06-01,27346655689.5358
2005-07-01,22871801668.3934
2005-08-01,27429833781.1236
2005-09-01,27876981694.4403
2005-10-01,28075212896.5746
2005-11-01,27830970884.6469
