"Date","LRIN25MACAM156S"
2010-06-01,9.25158092110817
2010-07-01,9.14797381757241
2010-08-01,8.87595604017351
2010-09-01,9.11864439371622
2010-10-01,9.66160123830961
2010-11-01,9.44707253023043
2010-12-01,9.41523612013703
2011-01-01,9.22486356685741
2011-02-01,9.21206535074347
2011-03-01,8.956677915937
2011-04-01,8.83211462391274
2011-05-01,9.01212070150554
2011-06-01,9.07093968995124
2011-07-01,9.2726761041127
2011-08-01,9.01882731392718
2011-09-01,9.22129750023755
2011-10-01,9.19379715191251
2011-11-01,9.35708665603792
2011-12-01,9.41479215422488
2012-01-01,9.24861481844566
2012-02-01,9.21468044594414
2012-03-01,9.12437813706888
2012-04-01,8.86130367963589
2012-05-01,8.5984296610127
2012-06-01,8.9473037775828
2012-07-01,8.83783137251268
2012-08-01,8.77331819695194
2012-09-01,8.6561674853301
2012-10-01,8.75288895348664
2012-11-01,8.73778938225652
2012-12-01,8.57575672655337
2013-01-01,8.98256835489764
2013-02-01,8.95014717667692
2013-03-01,9.10229043872423
2013-04-01,8.92342139020702
2013-05-01,8.8792718155966
2013-06-01,8.95145742643051
2013-07-01,8.9386249116583
2013-08-01,9.29234972322859
2013-09-01,9.1522267271585
2013-10-01,9.15322982421909
2013-11-01,8.99508016482952
2013-12-01,9.15335480575906
2014-01-01,8.89295457653731
2014-02-01,9.04257320376768
2014-03-01,9.30365730709652
2014-04-01,9.37362245600429
2014-05-01,9.53687907997204
2014-06-01,9.49990148284631
2014-07-01,9.37192751473183
2014-08-01,9.29854371752272
2014-09-01,9.24497586451668
2014-10-01,9.36696341989319
2014-11-01,9.39542219765608
2014-12-01,9.03110302077861
2015-01-01,9.29687471286238
2015-02-01,9.14641545691914
2015-03-01,9.25687823506661
2015-04-01,9.31219246926383
2015-05-01,9.20597695131932
2015-06-01,9.02944128634224
2015-07-01,9.00245036724879
2015-08-01,8.75250260892676
2015-09-01,8.71186429985696
2015-10-01,8.48092442952829
2015-11-01,8.78230594981502
2015-12-01,8.74236445414354
2016-01-01,8.83228249702654
2016-02-01,8.63547928650326
2016-03-01,8.63384329159564
2016-04-01,8.91316156305291
2016-05-01,9.04210896171451
2016-06-01,9.1594035310568
2016-07-01,9.29368192021913
2016-08-01,8.96412182202177
2016-09-01,9.29784968154988
2016-10-01,9.27453499451869
2016-11-01,8.90021956208013
2016-12-01,9.08450362628026
2017-01-01,8.79543515752704
2017-02-01,9.12049786122246
2017-03-01,8.56834522088079
2017-04-01,8.66589596141398
2017-05-01,8.66547952490314
2017-06-01,8.70349531935272
2017-07-01,8.49140459491259
2017-08-01,8.59986171998531
2017-09-01,8.76893141264075
2017-10-01,8.73870528148951
2017-11-01,8.83738511974999
2017-12-01,8.70287623129876
2018-01-01,8.80982287634937
2018-02-01,8.89726435063994
2018-03-01,8.91287393111906
2018-04-01,8.83927944986219
2018-05-01,9.2030036014965
2018-06-01,8.97450665039081
2018-07-01,9.01088592772902
2018-08-01,9.12492432203581
2018-09-01,9.00461546771497
2018-10-01,8.83935198247674
2018-11-01,8.85484995978564
2018-12-01,8.78059577457152
2019-01-01,8.63241628061117
2019-02-01,8.7118640918391
2019-03-01,8.56864382563094
2019-04-01,8.58374356715824
2019-05-01,8.51022221412608
2019-06-01,8.54964327404264
2019-07-01,8.50635427299239
2019-08-01,8.26237949321183
2019-09-01,8.5416973466596
2019-10-01,8.95271906179755
2019-11-01,8.8780282733955
2019-12-01,8.94745925919148
2020-01-01,8.9983780826475
2020-02-01,8.75407293652294
2020-03-01,9.86175834439773
2020-04-01,13.8163205520256
2020-05-01,12.3038915469742
2020-06-01,9.83004675920223
2020-07-01,9.25622290233684
2020-08-01,9.11468049292915
2020-09-01,8.63112009256449
2020-10-01,8.30808361661774
2020-11-01,8.53790382287137
2020-12-01,8.49588557452371
2021-01-01,8.69451080707355
2021-02-01,8.60889248703987
2021-03-01,8.33592401287128
2021-04-01,8.56902648131119
2021-05-01,8.51657675715694
2021-06-01,8.49438345868034
2021-07-01,8.32433797620617
2021-08-01,8.46193736099498
2021-09-01,8.18488776920809
2021-10-01,8.05902447081324
2021-11-01,7.94792859001545
2021-12-01,7.80574687986515
2022-01-01,8.26434222858857
2022-02-01,7.94780673198919
2022-03-01,7.81388052973168
2022-04-01,7.85962432381988
2022-05-01,7.72809846526879
2022-06-01,8.04415343312544
2022-07-01,8.01187646457367
2022-08-01,7.85397436158471
2022-09-01,8.18901887415396
2022-10-01,8.21797067482486
2022-11-01,7.97067600297976
2022-12-01,8.26265327293249
2023-01-01,7.66767733301262
2023-02-01,8.03077478499548
2023-03-01,8.01125677112535
2023-04-01,7.99425563487302
2023-05-01,7.9679882764662
2023-06-01,7.69192310442578
2023-07-01,8.0698602004099
2023-08-01,8.296914873376
2023-09-01,7.80431248159849
2023-10-01,7.82604182676701
2023-11-01,7.93895670989464
