"Date","CANLOCOCINOSTSAM"
1996-02-01,98.6346258697423
1996-03-01,98.8339554118858
1996-04-01,98.9825066048669
1996-05-01,99.1002907430557
1996-06-01,99.2030948302993
1996-07-01,99.2901820768214
1996-08-01,99.3329911959649
1996-09-01,99.3381439763092
1996-10-01,99.3403209417964
1996-11-01,99.397787078708
1996-12-01,99.548538993339
1997-01-01,99.8019937127798
1997-02-01,100.123953127175
1997-03-01,100.502246623841
1997-04-01,100.919378728246
1997-05-01,101.321134537571
1997-06-01,101.677344673305
1997-07-01,101.948840025
1997-08-01,102.057707168135
1997-09-01,101.99870786777
1997-10-01,101.827378052467
1997-11-01,101.660231646533
1997-12-01,101.540878196398
1998-01-01,101.448111641371
1998-02-01,101.300633355949
1998-03-01,101.051079364446
1998-04-01,100.692899860453
1998-05-01,100.274637327949
1998-06-01,99.8340114832732
1998-07-01,99.4244494198304
1998-08-01,99.143289902826
1998-09-01,99.0369532497493
1998-10-01,99.1178307201561
1998-11-01,99.3686883020024
1998-12-01,99.753184548922
1999-01-01,100.194761062565
1999-02-01,100.546005035226
1999-03-01,100.747964086228
1999-04-01,100.802032923353
1999-05-01,100.752628066438
1999-06-01,100.64234120454
1999-07-01,100.512803025777
1999-08-01,100.409989517144
1999-09-01,100.354872261447
1999-10-01,100.348329542268
1999-11-01,100.37270238202
1999-12-01,100.419925629811
2000-01-01,100.487511666809
2000-02-01,100.572958560646
2000-03-01,100.668700283939
2000-04-01,100.753894901711
2000-05-01,100.785532457856
2000-06-01,100.736199467329
2000-07-01,100.58989857776
2000-08-01,100.343731344511
2000-09-01,100.012074727099
2000-10-01,99.6424834185111
2000-11-01,99.3377671757592
2000-12-01,99.1387950655023
2001-01-01,99.0446990496659
2001-02-01,99.0255090058868
2001-03-01,99.0421849951242
2001-04-01,99.0463794620669
2001-05-01,98.9776367128107
2001-06-01,98.8229299807856
2001-07-01,98.6200106353063
2001-08-01,98.4669350178041
2001-09-01,98.4245517535192
2001-10-01,98.5259205610936
2001-11-01,98.7777885189237
2001-12-01,99.1748283224827
2002-01-01,99.6800022395188
2002-02-01,100.194513939166
2002-03-01,100.621591561802
2002-04-01,100.898273154942
2002-05-01,101.008345136794
2002-06-01,100.954077719929
2002-07-01,100.768566050428
2002-08-01,100.523427550727
2002-09-01,100.27572125224
2002-10-01,100.046065561659
2002-11-01,99.8724176335284
2002-12-01,99.7576768467387
2003-01-01,99.686145714535
2003-02-01,99.6236646286717
2003-03-01,99.6066017224044
2003-04-01,99.6351388174468
2003-05-01,99.6543897781649
2003-06-01,99.6597585430354
2003-07-01,99.7006956045588
2003-08-01,99.7918561740962
2003-09-01,99.9284141600511
2003-10-01,100.070080513295
2003-11-01,100.186955746958
2003-12-01,100.253919461443
2004-01-01,100.276347456791
2004-02-01,100.227567580878
2004-03-01,100.127454832898
2004-04-01,99.9883427225686
2004-05-01,99.8462048461156
2004-06-01,99.7695691579972
2004-07-01,99.7811526408573
2004-08-01,99.8459795129176
2004-09-01,99.9425636167555
2004-10-01,100.050582369428
2004-11-01,100.176248421322
2004-12-01,100.305850850361
2005-01-01,100.414487492366
2005-02-01,100.467676520994
2005-03-01,100.463594444551
2005-04-01,100.389219374269
2005-05-01,100.254396165931
2005-06-01,100.047813625309
2005-07-01,99.785876124605
2005-08-01,99.5130773844042
2005-09-01,99.3437463909156
2005-10-01,99.3936967631699
2005-11-01,99.6447321382032
2005-12-01,99.9946940754384
2006-01-01,100.375567054075
2006-02-01,100.681642184685
2006-03-01,100.888083350339
2006-04-01,101.001567907503
2006-05-01,101.029481524155
2006-06-01,101.013146489722
2006-07-01,100.961538344117
2006-08-01,100.925315443742
2006-09-01,100.938245398957
2006-10-01,101.007952451329
2006-11-01,101.119743557456
2006-12-01,101.265104162365
2007-01-01,101.404003384678
2007-02-01,101.496886642373
2007-03-01,101.558067527221
2007-04-01,101.606757414983
2007-05-01,101.662976476888
2007-06-01,101.739270787357
2007-07-01,101.833729152794
2007-08-01,101.924259262698
2007-09-01,101.975525130404
2007-10-01,101.960990453421
2007-11-01,101.874847782437
2007-12-01,101.695841059691
2008-01-01,101.43171884302
2008-02-01,101.066340087543
2008-03-01,100.577081470302
2008-04-01,99.9786007914144
2008-05-01,99.3234623490354
2008-06-01,98.7071139914717
2008-07-01,98.1910503497959
2008-08-01,97.7335422983258
2008-09-01,97.2587706095337
2008-10-01,96.7355439950999
2008-11-01,96.2753662378212
2008-12-01,95.9694013577117
2009-01-01,95.8812029896734
2009-02-01,96.0126300008313
2009-03-01,96.3589057860162
2009-04-01,96.8818617686516
2009-05-01,97.5083589752327
2009-06-01,98.1592280575057
2009-07-01,98.7905675447576
2009-08-01,99.3750469044479
2009-09-01,99.8653899254392
2009-10-01,100.24952679263
2009-11-01,100.559475730062
2009-12-01,100.838294904764
2010-01-01,101.059343186744
2010-02-01,101.148242254729
2010-03-01,101.117262066429
2010-04-01,100.974966712766
2010-05-01,100.770961195228
2010-06-01,100.530603365936
2010-07-01,100.31197625131
2010-08-01,100.170861174919
2010-09-01,100.135331003164
2010-10-01,100.210239599547
2010-11-01,100.367105378981
2010-12-01,100.55719486235
2011-01-01,100.743782843338
2011-02-01,100.861707474025
2011-03-01,100.880279883749
2011-04-01,100.80860982574
2011-05-01,100.635145878466
2011-06-01,100.375932146154
2011-07-01,100.065058432114
2011-08-01,99.7468487412627
2011-09-01,99.4794789577277
2011-10-01,99.287876676892
2011-11-01,99.1865886466098
2011-12-01,99.1589678445356
2012-01-01,99.2138970926739
2012-02-01,99.3183403570956
2012-03-01,99.4357346630137
2012-04-01,99.5321231283236
2012-05-01,99.6133524357289
2012-06-01,99.6700429951847
2012-07-01,99.7328167835432
2012-08-01,99.8086741203465
2012-09-01,99.8931563250622
2012-10-01,99.9502722063571
2012-11-01,99.9758360665226
2012-12-01,99.9811857247423
2013-01-01,99.9816928975486
2013-02-01,99.969310768451
2013-03-01,99.9660407362465
2013-04-01,100.000217554516
2013-05-01,100.102018893651
2013-06-01,100.247665834671
2013-07-01,100.405362507644
2013-08-01,100.552016874021
2013-09-01,100.651755366847
2013-10-01,100.666393061031
2013-11-01,100.614310641084
2013-12-01,100.545212413734
2014-01-01,100.523094783102
2014-02-01,100.558362699842
2014-03-01,100.617167711303
2014-04-01,100.657795756983
2014-05-01,100.660116373311
2014-06-01,100.634612877296
2014-07-01,100.593361847792
2014-08-01,100.545507256119
2014-09-01,100.487746354995
2014-10-01,100.432524643966
2014-11-01,100.404806414154
2014-12-01,100.401322467582
2015-01-01,100.377267561171
2015-02-01,100.310104746653
2015-03-01,100.224566220677
2015-04-01,100.09116733737
2015-05-01,99.9463354694911
2015-06-01,99.774513356659
2015-07-01,99.5621057289266
2015-08-01,99.3338611919613
2015-09-01,99.1273436130674
2015-10-01,98.9453313485508
2015-11-01,98.7555832108004
2015-12-01,98.5442427697636
2016-01-01,98.3974474476756
2016-02-01,98.4021919988487
2016-03-01,98.554481578114
2016-04-01,98.7878351408181
2016-05-01,99.0364143696544
2016-06-01,99.2358177563202
2016-07-01,99.3680033923085
2016-08-01,99.4245615569364
2016-09-01,99.4376133068936
2016-10-01,99.4429879931316
2016-11-01,99.4889850966572
2016-12-01,99.5743944650999
2017-01-01,99.6954342352523
2017-02-01,99.8453968000093
2017-03-01,99.9820772665791
2017-04-01,100.093876688125
2017-05-01,100.195591687878
2017-06-01,100.294497858659
2017-07-01,100.408907699432
2017-08-01,100.545275433081
2017-09-01,100.703753703134
2017-10-01,100.937640193167
2017-11-01,101.253065566577
2017-12-01,101.626258603159
2018-01-01,102.015871245595
2018-02-01,102.397970236099
