"Date","LFUN25MACAM647N"
2017-06-01,356600
2017-07-01,349500
2017-08-01,354900
2017-09-01,340700
2017-10-01,334700
2017-11-01,322900
2017-12-01,340000
2018-01-01,377400
2018-02-01,376700
2018-03-01,383900
2018-04-01,370500
2018-05-01,328000
2018-06-01,306700
2018-07-01,319800
2018-08-01,346000
2018-09-01,289400
2018-10-01,286100
2018-11-01,283300
2018-12-01,315400
2019-01-01,398900
2019-02-01,383500
2019-03-01,382700
2019-04-01,378500
2019-05-01,315000
2019-06-01,315300
2019-07-01,309800
2019-08-01,324300
2019-09-01,262600
2019-10-01,275500
2019-11-01,328500
2019-12-01,325600
2020-01-01,383000
2020-02-01,369300
2020-03-01,474300
2020-04-01,795800
2020-05-01,776100
2020-06-01,597400
2020-07-01,574500
2020-08-01,527600
2020-09-01,471200
2020-10-01,469100
2020-11-01,464300
2020-12-01,492900
2021-01-01,583700
2021-02-01,518300
2021-03-01,504500
2021-04-01,483100
2021-05-01,456000
2021-06-01,431700
2021-07-01,426500
2021-08-01,427200
2021-09-01,370600
2021-10-01,343300
2021-11-01,337000
2021-12-01,314100
2022-01-01,396000
2022-02-01,341000
2022-03-01,319600
2022-04-01,309000
2022-05-01,297600
2022-06-01,256200
2022-07-01,260600
2022-08-01,307500
2022-09-01,263100
2022-10-01,251100
2022-11-01,282400
2022-12-01,292200
2023-01-01,357500
2023-02-01,336600
2023-03-01,345800
2023-04-01,346700
2023-05-01,292600
2023-06-01,292800
2023-07-01,314900
2023-08-01,312700
2023-09-01,306600
2023-10-01,330300
2023-11-01,346400
