"Date","LRIN25TTCAM156S"
2010-07-01,13.3181579377119
2010-08-01,13.0219466912748
2010-09-01,13.3986207065058
2010-10-01,13.7839097532357
2010-11-01,13.7070455216987
2010-12-01,13.816709753188
2011-01-01,13.4619994235161
2011-02-01,13.4820953340356
2011-03-01,13.4617978888249
2011-04-01,13.319549765372
2011-05-01,13.6722763936702
2011-06-01,13.4512309040327
2011-07-01,13.6175833803404
2011-08-01,13.2601797151929
2011-09-01,13.4730125494594
2011-10-01,13.4725408471406
2011-11-01,13.5943719523654
2011-12-01,13.7460327336709
2012-01-01,13.5119177012393
2012-02-01,13.546027584397
2012-03-01,13.6110897201555
2012-04-01,13.2212220604435
2012-05-01,13.0803853507357
2012-06-01,13.3287897457257
2012-07-01,13.2391231064862
2012-08-01,13.0909330475278
2012-09-01,13.0240683295736
2012-10-01,13.0107543443914
2012-11-01,12.9212826470828
2012-12-01,12.8723971411508
2013-01-01,13.1576815377678
2013-02-01,13.1007362701909
2013-03-01,13.2496449952223
2013-04-01,13.204948399909
2013-05-01,13.1481836712955
2013-06-01,13.1630762213586
2013-07-01,13.0430671764011
2013-08-01,13.1081714672463
2013-09-01,13.1380313136885
2013-10-01,13.197002069593
2013-11-01,13.2001571701288
2013-12-01,13.2561362103489
2014-01-01,13.3345408915068
2014-02-01,13.4738565227118
2014-03-01,13.5301817586534
2014-04-01,13.751246617236
2014-05-01,13.736344494526
2014-06-01,13.8617292612449
2014-07-01,13.6843597438428
2014-08-01,13.7457586704199
2014-09-01,13.7362187833242
2014-10-01,13.6567699497718
2014-11-01,13.6247959012375
2014-12-01,13.6392715569381
2015-01-01,13.6883708044655
2015-02-01,13.6120972852835
2015-03-01,13.5306954156044
2015-04-01,13.5811032812841
2015-05-01,13.5175637538871
2015-06-01,13.4415568369069
2015-07-01,13.3373287244515
2015-08-01,13.2115018561061
2015-09-01,13.2005977440761
2015-10-01,13.3147643116623
2015-11-01,13.2884615945828
2015-12-01,13.2645963380706
2016-01-01,13.2504606207795
2016-02-01,13.384222483507
2016-03-01,13.2662237276762
2016-04-01,13.2464978492012
2016-05-01,13.2804402400985
2016-06-01,13.4312136581581
2016-07-01,13.6191943658558
2016-08-01,13.5387841138834
2016-09-01,13.7740625302446
2016-10-01,13.6988514130638
2016-11-01,13.4245890299893
2016-12-01,13.2508471304762
2017-01-01,12.9220051022857
2017-02-01,13.0660585565708
2017-03-01,12.7755355018985
2017-04-01,12.8704039145109
2017-05-01,12.8148415480732
2017-06-01,12.7502818747587
2017-07-01,12.601466937713
2017-08-01,12.771994153241
2017-09-01,12.9906161618547
2017-10-01,12.9858238544488
2017-11-01,13.1631523257207
2017-12-01,13.0391943215425
2018-01-01,13.2179107776984
2018-02-01,13.0884442947098
2018-03-01,13.0115632242608
2018-04-01,12.9905072420902
2018-05-01,13.1090762826993
2018-06-01,12.8822815532336
2018-07-01,12.7433279070954
2018-08-01,12.7015078773679
2018-09-01,12.7053200866667
2018-10-01,12.5916405976559
2018-11-01,12.6579396062947
2018-12-01,12.3875022553269
2019-01-01,12.4414391114399
2019-02-01,12.3394420505591
2019-03-01,12.4841130092894
2019-04-01,12.2931707386014
2019-05-01,12.3866161947408
2019-06-01,12.3390511191339
2019-07-01,12.3945257125897
2019-08-01,12.426897869629
2019-09-01,12.3849118621712
2019-10-01,12.5969298224414
2019-11-01,12.526555316623
2019-12-01,12.5072952681758
2020-01-01,12.4790017047876
2020-02-01,12.5661438830982
2020-03-01,14.1525363610597
2020-04-01,17.9737951988692
2020-05-01,16.427010449794
2020-06-01,13.8627328668638
2020-07-01,13.2740266142177
2020-08-01,13.0531805424276
2020-09-01,12.4059941744358
2020-10-01,12.1077276750317
2020-11-01,12.2195020735762
2020-12-01,12.3505223929665
2021-01-01,12.4512322990109
2021-02-01,12.3329951554307
2021-03-01,12.1147207017514
2021-04-01,12.3322486990104
2021-05-01,12.4223490282557
2021-06-01,12.3565106201477
2021-07-01,12.081982455489
2021-08-01,12.0841805196061
2021-09-01,11.7059526714114
2021-10-01,11.7099024198546
2021-11-01,11.5419178741471
2021-12-01,11.4189341588283
2022-01-01,11.7522005153113
2022-02-01,11.435379963924
2022-03-01,11.3800095634442
2022-04-01,11.2944405563932
2022-05-01,11.0962310493328
2022-06-01,11.3550287482834
2022-07-01,11.5936648899184
2022-08-01,11.3689993021958
2022-09-01,11.625107740436
2022-10-01,11.4721320777301
2022-11-01,11.3765040558934
2022-12-01,11.514203106239
2023-01-01,11.0473992376971
2023-02-01,11.2064924893919
2023-03-01,11.1906540572309
2023-04-01,11.3251195600939
2023-05-01,11.1670478750699
2023-06-01,11.0244451833522
2023-07-01,11.2143240379881
2023-08-01,11.3524729789004
2023-09-01,11.1967423092511
2023-10-01,11.1701931203908
2023-11-01,11.2274311062477
