"Date","LFUNTTMACAM647S"
1972-02-01,307753.328285299
1972-03-01,321490.246569026
1972-04-01,319517.896662274
1972-05-01,333054.843735782
1972-06-01,341280.124548999
1972-07-01,352674.716049532
1972-08-01,359889.926442974
1972-09-01,352680.74761961
1972-10-01,359776.681982185
1972-11-01,342453.426527086
1972-12-01,352376.071795494
1973-01-01,321687.546351843
1973-02-01,307692.572947511
1973-03-01,296852.537119936
1973-04-01,286806.286482293
1973-05-01,276961.052327807
1973-06-01,285684.715908114
1973-07-01,281818.122553875
1973-08-01,285277.438893094
1973-09-01,295646.468937172
1973-10-01,291964.663399937
1973-11-01,305134.186069741
1973-12-01,296247.378542839
1974-01-01,291399.879032427
1974-02-01,291685.045088383
1974-03-01,284427.165261253
1974-04-01,284691.928753952
1974-05-01,293900.935608657
1974-06-01,263214.769527328
1974-07-01,282974.57990146
1974-08-01,287701.918228643
1974-09-01,291419.33058346
1974-10-01,302210.02483471
1974-11-01,315473.417392116
1974-12-01,341826.598806084
1975-01-01,380824.556879728
1975-02-01,367851.438855716
1975-03-01,383684.462900058
1975-04-01,382442.763722759
1975-05-01,391850.423788661
1975-06-01,393302.373904409
1975-07-01,388124.411546502
1975-08-01,409685.162382736
1975-09-01,408626.04643019
1975-10-01,406995.92621547
1975-11-01,404248.643880004
1975-12-01,398837.105643788
1976-01-01,419000
1976-02-01,416200
1976-03-01,396000
1976-04-01,402000
1976-05-01,402200
1976-06-01,413500
1976-07-01,441900
1976-08-01,411600
1976-09-01,398500
1976-10-01,450000
1976-11-01,441100
1976-12-01,451400
1977-01-01,458500
1977-02-01,477000
1977-03-01,477800
1977-04-01,474400
1977-05-01,477400
1977-06-01,482600
1977-07-01,499900
1977-08-01,500900
1977-09-01,515400
1977-10-01,504300
1977-11-01,522100
1977-12-01,527700
1978-01-01,511000
1978-02-01,516600
1978-03-01,531700
1978-04-01,534200
1978-05-01,531300
1978-06-01,526500
1978-07-01,517400
1978-08-01,529900
1978-09-01,525600
1978-10-01,509700
1978-11-01,523700
1978-12-01,511600
1979-01-01,517200
1979-02-01,510100
1979-03-01,502100
1979-04-01,509500
1979-05-01,482900
1979-06-01,458300
1979-07-01,442500
1979-08-01,435400
1979-09-01,433000
1979-10-01,448300
1979-11-01,452200
1979-12-01,465500
1980-01-01,482600
1980-02-01,496900
1980-03-01,502000
1980-04-01,509100
1980-05-01,515300
1980-06-01,514900
1980-07-01,508900
1980-08-01,505500
1980-09-01,489400
1980-10-01,485300
1980-11-01,483100
1980-12-01,490000
1981-01-01,499100
1981-02-01,503600
1981-03-01,506900
1981-04-01,482800
1981-05-01,492100
1981-06-01,495600
1981-07-01,490800
1981-08-01,473500
1981-09-01,558900
1981-10-01,568800
1981-11-01,559700
1981-12-01,618400
1982-01-01,621000
1982-02-01,636700
1982-03-01,664900
1982-04-01,707100
1982-05-01,752100
1982-06-01,824800
1982-07-01,886200
1982-08-01,906300
1982-09-01,953500
1982-10-01,994300
1982-11-01,976000
1982-12-01,982800
1983-01-01,940200
1983-02-01,941200
1983-03-01,923900
1983-04-01,930400
1983-05-01,942600
1983-06-01,950600
1983-07-01,904800
1983-08-01,890400
1983-09-01,854100
1983-10-01,838200
1983-11-01,847500
1983-12-01,843800
1984-01-01,836300
1984-02-01,829200
1984-03-01,835600
1984-04-01,856800
1984-05-01,878300
1984-06-01,847400
1984-07-01,826600
1984-08-01,843300
1984-09-01,884500
1984-10-01,833700
1984-11-01,835100
1984-12-01,813500
1985-01-01,804800
1985-02-01,796500
1985-03-01,827400
1985-04-01,795200
1985-05-01,782200
1985-06-01,801800
1985-07-01,771300
1985-08-01,768700
1985-09-01,748200
1985-10-01,780100
1985-11-01,755000
1985-12-01,751300
1986-01-01,731100
1986-02-01,733500
1986-03-01,730700
1986-04-01,715800
1986-05-01,712500
1986-06-01,723700
1986-07-01,720700
1986-08-01,728700
1986-09-01,724300
1986-10-01,700500
1986-11-01,698100
1986-12-01,711300
1987-01-01,710200
1987-02-01,709200
1987-03-01,693600
1987-04-01,678000
1987-05-01,659700
1987-06-01,655200
1987-07-01,642200
1987-08-01,640300
1987-09-01,625400
1987-10-01,613400
1987-11-01,597200
1987-12-01,596300
1988-01-01,598700
1988-02-01,577200
1988-03-01,577100
1988-04-01,574500
1988-05-01,580900
1988-06-01,560500
1988-07-01,566400
1988-08-01,560900
1988-09-01,580700
1988-10-01,590300
1988-11-01,576000
1988-12-01,569400
1989-01-01,570000
1989-02-01,579200
1989-03-01,584200
1989-04-01,594100
1989-05-01,582400
1989-06-01,579300
1989-07-01,570800
1989-08-01,553600
1989-09-01,560000
1989-10-01,553500
1989-11-01,580100
1989-12-01,597000
1990-01-01,628300
1990-02-01,599700
1990-03-01,574700
1990-04-01,595500
1990-05-01,609900
1990-06-01,596500
1990-07-01,630700
1990-08-01,653400
1990-09-01,685100
1990-10-01,704600
1990-11-01,738500
1990-12-01,776600
1991-01-01,801100
1991-02-01,842900
1991-03-01,869200
1991-04-01,857400
1991-05-01,855300
1991-06-01,875300
1991-07-01,873900
1991-08-01,884300
1991-09-01,863400
1991-10-01,857100
1991-11-01,855400
1991-12-01,859300
1992-01-01,870600
1992-02-01,877200
1992-03-01,914200
1992-04-01,902400
1992-05-01,934000
1992-06-01,984000
1992-07-01,961600
1992-08-01,1009600
1992-09-01,996500
1992-10-01,982100
1992-11-01,1025600
1992-12-01,975100
1993-01-01,934000
1993-02-01,907300
1993-03-01,930000
1993-04-01,947600
1993-05-01,957000
1993-06-01,986500
1993-07-01,973100
1993-08-01,940300
1993-09-01,981100
1993-10-01,939300
1993-11-01,943900
1993-12-01,941300
1994-01-01,960200
1994-02-01,935500
1994-03-01,883200
1994-04-01,910800
1994-05-01,882900
1994-06-01,859600
1994-07-01,843500
1994-08-01,850000
1994-09-01,861400
1994-10-01,822800
1994-11-01,821100
1994-12-01,808400
1995-01-01,787500
1995-02-01,780900
1995-03-01,802400
1995-04-01,789000
1995-05-01,799900
1995-06-01,795500
1995-07-01,806600
1995-08-01,794800
1995-09-01,766500
1995-10-01,778300
1995-11-01,758800
1995-12-01,781000
1996-01-01,795000
1996-02-01,802400
1996-03-01,805000
1996-04-01,779800
1996-05-01,785500
1996-06-01,822900
1996-07-01,809200
1996-08-01,775900
1996-09-01,813800
1996-10-01,826000
1996-11-01,827600
1996-12-01,815300
1997-01-01,792100
1997-02-01,805600
1997-03-01,786700
1997-04-01,794000
1997-05-01,785800
1997-06-01,744300
1997-07-01,746000
1997-08-01,747400
1997-09-01,742600
1997-10-01,734000
1997-11-01,732100
1997-12-01,715100
1998-01-01,730400
1998-02-01,712300
1998-03-01,695900
1998-04-01,700900
1998-05-01,698600
1998-06-01,718600
1998-07-01,727200
1998-08-01,699300
1998-09-01,709700
1998-10-01,705400
1998-11-01,708000
1998-12-01,709700
1999-01-01,682600
1999-02-01,684400
1999-03-01,680600
1999-04-01,703600
1999-05-01,681700
1999-06-01,653800
1999-07-01,656700
1999-08-01,658600
1999-09-01,673700
1999-10-01,637500
1999-11-01,610900
1999-12-01,591200
2000-01-01,598000
2000-02-01,591500
2000-03-01,588900
2000-04-01,588300
2000-05-01,579700
2000-06-01,598900
2000-07-01,579400
2000-08-01,613500
2000-09-01,604700
2000-10-01,604200
2000-11-01,613300
2000-12-01,594100
2001-01-01,601300
2001-02-01,626300
2001-03-01,650300
2001-04-01,646200
2001-05-01,640900
2001-06-01,657200
2001-07-01,631100
2001-08-01,650200
2001-09-01,642800
2001-10-01,667400
2001-11-01,689600
2001-12-01,764000
2002-01-01,775500
2002-02-01,753500
2002-03-01,738900
2002-04-01,716200
2002-05-01,729000
2002-06-01,700800
2002-07-01,712200
2002-08-01,696100
2002-09-01,712100
2002-10-01,717400
2002-11-01,708600
2002-12-01,721300
2003-01-01,700200
2003-02-01,711200
2003-03-01,690300
2003-04-01,703700
2003-05-01,740100
2003-06-01,723300
2003-07-01,743400
2003-08-01,759300
2003-09-01,741300
2003-10-01,730500
2003-11-01,711200
2003-12-01,700900
2004-01-01,695100
2004-02-01,701600
2004-03-01,706400
2004-04-01,686100
2004-05-01,681500
2004-06-01,692500
2004-07-01,662900
2004-08-01,650300
2004-09-01,659900
2004-10-01,663300
2004-11-01,672100
2004-12-01,686500
2005-01-01,663900
2005-02-01,670000
2005-03-01,661300
2005-04-01,656700
2005-05-01,668600
2005-06-01,652000
2005-07-01,661800
2005-08-01,650400
2005-09-01,632900
2005-10-01,620700
2005-11-01,611000
2005-12-01,612100
2006-01-01,647500
2006-02-01,627800
2006-03-01,614900
2006-04-01,608400
2006-05-01,595200
2006-06-01,602600
2006-07-01,627200
2006-08-01,640500
2006-09-01,659100
2006-10-01,624800
2006-11-01,651200
2006-12-01,637400
2007-01-01,632100
2007-02-01,624800
2007-03-01,627600
2007-04-01,630400
2007-05-01,607700
2007-06-01,607700
2007-07-01,588400
2007-08-01,593500
2007-09-01,585100
2007-10-01,617100
2007-11-01,615000
2007-12-01,630300
2008-01-01,622000
2008-02-01,608200
2008-03-01,632700
2008-04-01,642500
2008-05-01,626100
2008-06-01,641800
2008-07-01,636100
2008-08-01,626800
2008-09-01,662900
2008-10-01,667400
2008-11-01,707600
2008-12-01,722500
2009-01-01,814500
2009-02-01,902600
2009-03-01,919900
2009-04-01,937700
2009-05-01,958900
2009-06-01,970000
2009-07-01,965800
2009-08-01,962000
2009-09-01,946000
2009-10-01,934000
2009-11-01,933400
2009-12-01,941100
2010-01-01,903700
2010-02-01,906500
2010-03-01,895200
2010-04-01,870900
2010-05-01,884100
2010-06-01,853900
2010-07-01,877500
2010-08-01,871900
2010-09-01,852600
2010-10-01,824800
2010-11-01,820600
2010-12-01,819200
2011-01-01,815800
2011-02-01,821700
2011-03-01,824800
2011-04-01,812900
2011-05-01,807600
2011-06-01,802000
2011-07-01,772000
2011-08-01,760500
2011-09-01,766600
2011-10-01,765100
2011-11-01,774400
2011-12-01,793000
2012-01-01,799000
2012-02-01,781700
2012-03-01,759700
2012-04-01,767700
2012-05-01,783400
2012-06-01,769700
2012-07-01,771500
2012-08-01,780900
2012-09-01,784200
2012-10-01,799600
2012-11-01,782300
2012-12-01,754300
2013-01-01,742400
2013-02-01,718300
2013-03-01,751700
2013-04-01,761300
2013-05-01,753200
2013-06-01,767300
2013-07-01,769900
2013-08-01,777700
2013-09-01,751300
2013-10-01,773100
2013-11-01,773300
2013-12-01,800700
2014-01-01,773000
2014-02-01,773300
2014-03-01,764800
2014-04-01,760800
2014-05-01,772300
2014-06-01,772500
2014-07-01,772100
2014-08-01,754300
2014-09-01,769800
2014-10-01,735100
2014-11-01,722200
2014-12-01,708500
2015-01-01,732300
2015-02-01,761400
2015-03-01,741300
2015-04-01,757600
2015-05-01,756100
2015-06-01,747900
2015-07-01,768100
2015-08-01,781300
2015-09-01,780700
2015-10-01,766500
2015-11-01,789600
2015-12-01,813500
2016-01-01,811800
2016-02-01,825400
2016-03-01,812600
2016-04-01,818100
2016-05-01,781300
2016-06-01,773900
2016-07-01,769900
2016-08-01,776400
2016-09-01,788100
2016-10-01,778000
2016-11-01,771000
2016-12-01,767300
2017-01-01,761700
2017-02-01,734500
2017-03-01,752200
2017-04-01,723400
2017-05-01,750100
2017-06-01,719700
2017-07-01,685700
2017-08-01,674400
2017-09-01,698300
2017-10-01,698600
2017-11-01,671600
2017-12-01,667900
2018-01-01,637800
2018-02-01,654000
2018-03-01,642900
2018-04-01,646500
2018-05-01,634000
2018-06-01,652300
2018-07-01,655100
2018-08-01,652100
2018-09-01,633100
2018-10-01,631100
2018-11-01,635600
2018-12-01,627500
2019-01-01,645700
2019-02-01,664900
2019-03-01,663000
2019-04-01,648400
2019-05-01,632900
2019-06-01,649100
2019-07-01,654800
2019-08-01,671100
2019-09-01,627600
2019-10-01,627000
2019-11-01,664400
2019-12-01,637700
2020-01-01,604000
2020-02-01,647200
2020-03-01,798000
2020-04-01,1306400
2020-05-01,1438400
2020-06-01,1309100
2020-07-01,1237800
2020-08-01,1163500
2020-09-01,1048300
2020-10-01,1018600
2020-11-01,962800
2020-12-01,963000
2021-01-01,957900
2021-02-01,884100
2021-03-01,835100
2021-04-01,872400
2021-05-01,872800
2021-06-01,890100
2021-07-01,851000
2021-08-01,826700
2021-09-01,818100
2021-10-01,730000
2021-11-01,717200
2021-12-01,663400
2022-01-01,691600
2022-02-01,626100
2022-03-01,562400
2022-04-01,593200
2022-05-01,596000
2022-06-01,556800
2022-07-01,540100
2022-08-01,595100
2022-09-01,584700
2022-10-01,563100
2022-11-01,583500
2022-12-01,567700
2023-01-01,568700
2023-02-01,569900
2023-03-01,572900
2023-04-01,584800
2023-05-01,596400
2023-06-01,616300
2023-07-01,597000
2023-08-01,634300
2023-09-01,654900
2023-10-01,670300
2023-11-01,678600
