"Date","LFWA64MACAM647S"
1990-12-01,9227000
1991-01-01,9235800
1991-02-01,9243500
1991-03-01,9251800
1991-04-01,9261900
1991-05-01,9270600
1991-06-01,9278900
1991-07-01,9288800
1991-08-01,9295800
1991-09-01,9306100
1991-10-01,9314400
1991-11-01,9325300
1991-12-01,9337100
1992-01-01,9349100
1992-02-01,9357300
1992-03-01,9370600
1992-04-01,9381000
1992-05-01,9391900
1992-06-01,9404500
1992-07-01,9412100
1992-08-01,9419100
1992-09-01,9427500
1992-10-01,9434100
1992-11-01,9440000
1992-12-01,9446000
1993-01-01,9452900
1993-02-01,9459400
1993-03-01,9466500
1993-04-01,9473200
1993-05-01,9479800
1993-06-01,9489300
1993-07-01,9497000
1993-08-01,9505900
1993-09-01,9513600
1993-10-01,9520800
1993-11-01,9527100
1993-12-01,9534000
1994-01-01,9541800
1994-02-01,9550600
1994-03-01,9559200
1994-04-01,9568100
1994-05-01,9579100
1994-06-01,9587700
1994-07-01,9596900
1994-08-01,9607900
1994-09-01,9616000
1994-10-01,9624200
1994-11-01,9632300
1994-12-01,9639600
1995-01-01,9650900
1995-02-01,9659400
1995-03-01,9668800
1995-04-01,9678700
1995-05-01,9690900
1995-06-01,9700600
1995-07-01,9709800
1995-08-01,9721200
1995-09-01,9729700
1995-10-01,9738900
1995-11-01,9747300
1995-12-01,9755500
1996-01-01,9769600
1996-02-01,9778200
1996-03-01,9787000
1996-04-01,9795500
1996-05-01,9806400
1996-06-01,9815000
1996-07-01,9825900
1996-08-01,9834600
1996-09-01,9844900
1996-10-01,9853000
1996-11-01,9861500
1996-12-01,9869000
1997-01-01,9878200
1997-02-01,9886300
1997-03-01,9895100
1997-04-01,9906700
1997-05-01,9915900
1997-06-01,9926800
1997-07-01,9935800
1997-08-01,9944900
1997-09-01,9956200
1997-10-01,9965500
1997-11-01,9974100
1997-12-01,9981900
1998-01-01,9991300
1998-02-01,10001300
1998-03-01,10010200
1998-04-01,10019600
1998-05-01,10028900
1998-06-01,10040200
1998-07-01,10046800
1998-08-01,10053000
1998-09-01,10061500
1998-10-01,10068700
1998-11-01,10075700
1998-12-01,10082500
1999-01-01,10090900
1999-02-01,10100100
1999-03-01,10109300
1999-04-01,10118600
1999-05-01,10128200
1999-06-01,10139900
1999-07-01,10149300
1999-08-01,10160100
1999-09-01,10169800
1999-10-01,10179900
1999-11-01,10189700
1999-12-01,10199400
2000-01-01,10209800
2000-02-01,10221400
2000-03-01,10232600
2000-04-01,10243900
2000-05-01,10258600
2000-06-01,10270500
2000-07-01,10281600
2000-08-01,10294700
2000-09-01,10306100
2000-10-01,10317700
2000-11-01,10329100
2000-12-01,10340300
2001-01-01,10342200
2001-02-01,10353400
2001-03-01,10365900
2001-04-01,10382000
2001-05-01,10395200
2001-06-01,10408800
2001-07-01,10423400
2001-08-01,10435000
2001-09-01,10446300
2001-10-01,10456900
2001-11-01,10467400
2001-12-01,10477400
2002-01-01,10491100
2002-02-01,10502000
2002-03-01,10514500
2002-04-01,10530200
2002-05-01,10543100
2002-06-01,10556100
2002-07-01,10569500
2002-08-01,10578000
2002-09-01,10587800
2002-10-01,10595900
2002-11-01,10604000
2002-12-01,10611600
2003-01-01,10620500
2003-02-01,10628900
2003-03-01,10638800
2003-04-01,10651200
2003-05-01,10661000
2003-06-01,10674000
2003-07-01,10683900
2003-08-01,10693300
2003-09-01,10705100
2003-10-01,10714400
2003-11-01,10723500
2003-12-01,10731700
2004-01-01,10741100
2004-02-01,10751300
2004-03-01,10761600
2004-04-01,10772100
2004-05-01,10783200
2004-06-01,10797200
2004-07-01,10808300
2004-08-01,10821400
2004-09-01,10831200
2004-10-01,10841000
2004-11-01,10849600
2004-12-01,10858300
2005-01-01,10868000
2005-02-01,10879300
2005-03-01,10890300
2005-04-01,10901300
2005-05-01,10916000
2005-06-01,10928500
2005-07-01,10940700
2005-08-01,10954500
2005-09-01,10964700
2005-10-01,10974400
2005-11-01,10983600
2005-12-01,10992000
2006-01-01,11002800
2006-02-01,11011500
2006-03-01,11021200
2006-04-01,11031400
2006-05-01,11044800
2006-06-01,11056000
2006-07-01,11067100
2006-08-01,11080000
2006-09-01,11089500
2006-10-01,11098600
2006-11-01,11107200
2006-12-01,11115300
2007-01-01,11123600
2007-02-01,11130300
2007-03-01,11138600
2007-04-01,11148900
2007-05-01,11158000
2007-06-01,11168300
2007-07-01,11180600
2007-08-01,11190600
2007-09-01,11199700
2007-10-01,11208900
2007-11-01,11217700
2007-12-01,11225800
2008-01-01,11233900
2008-02-01,11241400
2008-03-01,11250800
2008-04-01,11262100
2008-05-01,11272600
2008-06-01,11286300
2008-07-01,11297500
2008-08-01,11307800
2008-09-01,11318800
2008-10-01,11328800
2008-11-01,11337900
2008-12-01,11346300
2009-01-01,11354300
2009-02-01,11364000
2009-03-01,11373900
2009-04-01,11383900
2009-05-01,11394800
2009-06-01,11408700
2009-07-01,11420300
2009-08-01,11430600
2009-09-01,11442000
2009-10-01,11451100
2009-11-01,11459300
2009-12-01,11466300
2010-01-01,11473100
2010-02-01,11481200
2010-03-01,11490400
2010-04-01,11500100
2010-05-01,11510300
2010-06-01,11523500
2010-07-01,11534600
2010-08-01,11545600
2010-09-01,11553400
2010-10-01,11560700
2010-11-01,11567200
2010-12-01,11572400
2011-01-01,11576600
2011-02-01,11581400
2011-03-01,11587200
2011-04-01,11593700
2011-05-01,11601200
2011-06-01,11608300
2011-07-01,11616100
2011-08-01,11624200
2011-09-01,11630200
2011-10-01,11635800
2011-11-01,11640700
2011-12-01,11646200
2012-01-01,11649600
2012-02-01,11653600
2012-03-01,11658400
2012-04-01,11666500
2012-05-01,11673100
2012-06-01,11680800
2012-07-01,11689400
2012-08-01,11694000
2012-09-01,11698600
2012-10-01,11703600
2012-11-01,11708300
2012-12-01,11712900
2013-01-01,11715100
2013-02-01,11718100
2013-03-01,11723900
2013-04-01,11731400
2013-05-01,11738700
2013-06-01,11746200
2013-07-01,11754400
2013-08-01,11759700
2013-09-01,11765400
2013-10-01,11770600
2013-11-01,11775100
2013-12-01,11778900
2014-01-01,11781000
2014-02-01,11784000
2014-03-01,11789600
2014-04-01,11796900
2014-05-01,11803700
2014-06-01,11811300
2014-07-01,11817300
2014-08-01,11821100
2014-09-01,11824300
2014-10-01,11826100
2014-11-01,11827700
2014-12-01,11829000
2015-01-01,11827100
2015-02-01,11826700
2015-03-01,11827900
2015-04-01,11829700
2015-05-01,11832200
2015-06-01,11836800
2015-07-01,11840400
2015-08-01,11842900
2015-09-01,11846200
2015-10-01,11848700
2015-11-01,11850900
2015-12-01,11853500
2016-01-01,11857100
2016-02-01,11863800
2016-03-01,11870200
2016-04-01,11877300
2016-05-01,11886400
2016-06-01,11895800
2016-07-01,11902700
2016-08-01,11910400
2016-09-01,11916100
2016-10-01,11920900
2016-11-01,11925000
2016-12-01,11929000
2017-01-01,11934700
2017-02-01,11940200
2017-03-01,11947800
2017-04-01,11955600
2017-05-01,11965100
2017-06-01,11973400
2017-07-01,11983500
2017-08-01,11995600
2017-09-01,12004900
2017-10-01,12013500
2017-11-01,12022100
2017-12-01,12030800
2018-01-01,12043300
2018-02-01,12052700
2018-03-01,12064300
2018-04-01,12079300
2018-05-01,12091100
2018-06-01,12103400
2018-07-01,12118400
2018-08-01,12129000
2018-09-01,12139600
2018-10-01,12150100
2018-11-01,12160000
2018-12-01,12169100
2019-01-01,12179300
2019-02-01,12186700
2019-03-01,12196400
2019-04-01,12210000
2019-05-01,12222400
2019-06-01,12236000
2019-07-01,12249900
2019-08-01,12257900
2019-09-01,12267900
2019-10-01,12275300
2019-11-01,12281200
2019-12-01,12285000
2020-01-01,12287900
2020-02-01,12292400
2020-03-01,12296700
2020-04-01,12296300
2020-05-01,12295300
2020-06-01,12298200
2020-07-01,12300700
2020-08-01,12302500
2020-09-01,12305000
2020-10-01,12307500
2020-11-01,12309800
2020-12-01,12308500
2021-01-01,12304600
2021-02-01,12306600
2021-03-01,12306900
2021-04-01,12306900
2021-05-01,12306100
2021-06-01,12303600
2021-07-01,12309000
2021-08-01,12315800
2021-09-01,12322500
2021-10-01,12331400
2021-11-01,12339600
2021-12-01,12352000
2022-01-01,12359300
2022-02-01,12368500
2022-03-01,12377600
2022-04-01,12385400
2022-05-01,12394500
2022-06-01,12405400
2022-07-01,12414400
2022-08-01,12426300
2022-09-01,12438300
2022-10-01,12454600
2022-11-01,12464500
2022-12-01,12477600
2023-01-01,12497900
2023-02-01,12520500
2023-03-01,12552800
2023-04-01,12581000
2023-05-01,12612700
2023-06-01,12646000
2023-07-01,12678400
2023-08-01,12719200
2023-09-01,12753200
2023-10-01,12790300
2023-11-01,12821300
