"Date","LFUNTTFECAM647S"
2004-03-01,544600
2004-04-01,544800
2004-05-01,526200
2004-06-01,547600
2004-07-01,547900
2004-08-01,551200
2004-09-01,531900
2004-10-01,550500
2004-11-01,568600
2004-12-01,542700
2005-01-01,528200
2005-02-01,537300
2005-03-01,523000
2005-04-01,504300
2005-05-01,539800
2005-06-01,523900
2005-07-01,496700
2005-08-01,512000
2005-09-01,526800
2005-10-01,540100
2005-11-01,485900
2005-12-01,529300
2006-01-01,528100
2006-02-01,519000
2006-03-01,517600
2006-04-01,525000
2006-05-01,499200
2006-06-01,503600
2006-07-01,520300
2006-08-01,508600
2006-09-01,485900
2006-10-01,493000
2006-11-01,502500
2006-12-01,484400
2007-01-01,496400
2007-02-01,487500
2007-03-01,491400
2007-04-01,486400
2007-05-01,485700
2007-06-01,486400
2007-07-01,487600
2007-08-01,475200
2007-09-01,493900
2007-10-01,466500
2007-11-01,489300
2007-12-01,479700
2008-01-01,482100
2008-02-01,493400
2008-03-01,488800
2008-04-01,477700
2008-05-01,487800
2008-06-01,465900
2008-07-01,479200
2008-08-01,491200
2008-09-01,484600
2008-10-01,496500
2008-11-01,513300
2008-12-01,559100
2009-01-01,556900
2009-02-01,576900
2009-03-01,599400
2009-04-01,600800
2009-05-01,623000
2009-06-01,639500
2009-07-01,644000
2009-08-01,640700
2009-09-01,611200
2009-10-01,632300
2009-11-01,646200
2009-12-01,638900
2010-01-01,633600
2010-02-01,632800
2010-03-01,631100
2010-04-01,640200
2010-05-01,616200
2010-06-01,631300
2010-07-01,642700
2010-08-01,653700
2010-09-01,669200
2010-10-01,670900
2010-11-01,634800
2010-12-01,636300
2011-01-01,645900
2011-02-01,641300
2011-03-01,636000
2011-04-01,642600
2011-05-01,634800
2011-06-01,631100
2011-07-01,612200
2011-08-01,614700
2011-09-01,623100
2011-10-01,635900
2011-11-01,648700
2011-12-01,609100
2012-01-01,641200
2012-02-01,634000
2012-03-01,614400
2012-04-01,627300
2012-05-01,639400
2012-06-01,623300
2012-07-01,603300
2012-08-01,611300
2012-09-01,612300
2012-10-01,607500
2012-11-01,614100
2012-12-01,614500
2013-01-01,602500
2013-02-01,621800
2013-03-01,632300
2013-04-01,608100
2013-05-01,584600
2013-06-01,600800
2013-07-01,619400
2013-08-01,601100
2013-09-01,598100
2013-10-01,599300
2013-11-01,584300
2013-12-01,611900
2014-01-01,604200
2014-02-01,603700
2014-03-01,587600
2014-04-01,596400
2014-05-01,614500
2014-06-01,594000
2014-07-01,584600
2014-08-01,583600
2014-09-01,570600
2014-10-01,565500
2014-11-01,578500
2014-12-01,567400
2015-01-01,564400
2015-02-01,560600
2015-03-01,576000
2015-04-01,573600
2015-05-01,556300
2015-06-01,567800
2015-07-01,564400
2015-08-01,573900
2015-09-01,580500
2015-10-01,575000
2015-11-01,577700
2015-12-01,579800
2016-01-01,587500
2016-02-01,580700
2016-03-01,580500
2016-04-01,589100
2016-05-01,575700
2016-06-01,559900
2016-07-01,572800
2016-08-01,555000
2016-09-01,570900
2016-10-01,566600
2016-11-01,555200
2016-12-01,581700
2017-01-01,563600
2017-02-01,557400
2017-03-01,553700
2017-04-01,544900
2017-05-01,552800
2017-06-01,557700
2017-07-01,553000
2017-08-01,544100
2017-09-01,531900
2017-10-01,556700
2017-11-01,542400
2017-12-01,527400
2018-01-01,521900
2018-02-01,526700
2018-03-01,507200
2018-04-01,504500
2018-05-01,525400
2018-06-01,535600
2018-07-01,513300
2018-08-01,535800
2018-09-01,531500
2018-10-01,508500
2018-11-01,508900
2018-12-01,508100
2019-01-01,503000
2019-02-01,498000
2019-03-01,519000
2019-04-01,515300
2019-05-01,469700
2019-06-01,482100
2019-07-01,512500
2019-08-01,503300
2019-09-01,518000
2019-10-01,516800
2019-11-01,536900
2019-12-01,506500
2020-01-01,514300
2020-02-01,523300
2020-03-01,849800
2020-04-01,1233700
2020-05-01,1252800
2020-06-01,1164200
2020-07-01,965400
2020-08-01,879800
2020-09-01,821900
2020-10-01,824700
2020-11-01,801000
2020-12-01,854100
2021-01-01,912200
2021-02-01,835300
2021-03-01,724300
2021-04-01,786900
2021-05-01,789000
2021-06-01,715700
2021-07-01,682700
2021-08-01,652100
2021-09-01,649700
2021-10-01,620000
2021-11-01,557700
2021-12-01,572300
2022-01-01,646300
2022-02-01,499800
2022-03-01,533800
2022-04-01,502500
2022-05-01,479500
2022-06-01,469200
2022-07-01,471400
2022-08-01,508700
2022-09-01,488500
2022-10-01,522800
2022-11-01,484700
2022-12-01,475700
2023-01-01,477300
2023-02-01,496500
2023-03-01,480000
2023-04-01,473300
2023-05-01,496600
2023-06-01,530800
2023-07-01,569800
2023-08-01,546700
2023-09-01,534200
2023-10-01,559100
2023-11-01,561800
