"Date","LFHU24TTCAM647N"
1995-11-01,329300
1995-12-01,322600
1996-01-01,370500
1996-02-01,379700
1996-03-01,366100
1996-04-01,343900
1996-05-01,395800
1996-06-01,412500
1996-07-01,460300
1996-08-01,376200
1996-09-01,349100
1996-10-01,352600
1996-11-01,376800
1996-12-01,323300
1997-01-01,387100
1997-02-01,386200
1997-03-01,380600
1997-04-01,381000
1997-05-01,434200
1997-06-01,466500
1997-07-01,496200
1997-08-01,416900
1997-09-01,353700
1997-10-01,349300
1997-11-01,357300
1997-12-01,320100
1998-01-01,388800
1998-02-01,364800
1998-03-01,366800
1998-04-01,366100
1998-05-01,413100
1998-06-01,429900
1998-07-01,461000
1998-08-01,373800
1998-09-01,335500
1998-10-01,321100
1998-11-01,335000
1998-12-01,310700
1999-01-01,355300
1999-02-01,352400
1999-03-01,350000
1999-04-01,388100
1999-05-01,434800
1999-06-01,380000
1999-07-01,450200
1999-08-01,349700
1999-09-01,336500
1999-10-01,320700
1999-11-01,304700
1999-12-01,280600
2000-01-01,313200
2000-02-01,330500
2000-03-01,329500
2000-04-01,331500
2000-05-01,370800
2000-06-01,330500
2000-07-01,416200
2000-08-01,356500
2000-09-01,310700
2000-10-01,310000
2000-11-01,304500
2000-12-01,280000
2001-01-01,312600
2001-02-01,338100
2001-03-01,331800
2001-04-01,342700
2001-05-01,362900
2001-06-01,341600
2001-07-01,412000
2001-08-01,355800
2001-09-01,330000
2001-10-01,318600
2001-11-01,344400
2001-12-01,324400
2002-01-01,372200
2002-02-01,374000
2002-03-01,375200
2002-04-01,364000
2002-05-01,441800
2002-06-01,374700
2002-07-01,454500
2002-08-01,401000
2002-09-01,346400
2002-10-01,350900
2002-11-01,357000
2002-12-01,314800
2003-01-01,370600
2003-02-01,365100
2003-03-01,344100
2003-04-01,372900
2003-05-01,449200
2003-06-01,394000
2003-07-01,481300
2003-08-01,421800
2003-09-01,383200
2003-10-01,357700
2003-11-01,350500
2003-12-01,333400
2004-01-01,383600
2004-02-01,384100
2004-03-01,383500
2004-04-01,380200
2004-05-01,455600
2004-06-01,373300
2004-07-01,463500
2004-08-01,401900
2004-09-01,358200
2004-10-01,351700
2004-11-01,338300
2004-12-01,304600
2005-01-01,354300
2005-02-01,343200
2005-03-01,347100
2005-04-01,336900
2005-05-01,419500
2005-06-01,366200
2005-07-01,447600
2005-08-01,365500
2005-09-01,340600
2005-10-01,320800
2005-11-01,288300
2005-12-01,282600
2006-01-01,346600
2006-02-01,321100
2006-03-01,327400
2006-04-01,330800
2006-05-01,364300
2006-06-01,323300
2006-07-01,432600
2006-08-01,376700
2006-09-01,355200
2006-10-01,306300
2006-11-01,314600
2006-12-01,271100
2007-01-01,336700
2007-02-01,308800
2007-03-01,315700
2007-04-01,323800
2007-05-01,377700
2007-06-01,318400
2007-07-01,378200
2007-08-01,333900
2007-09-01,335200
2007-10-01,310900
2007-11-01,316000
2007-12-01,282400
2008-01-01,333100
2008-02-01,323500
2008-03-01,314300
2008-04-01,350000
2008-05-01,403100
2008-06-01,353000
2008-07-01,386400
2008-08-01,340600
2008-09-01,321100
2008-10-01,326400
2008-11-01,341900
2008-12-01,312200
2009-01-01,381800
2009-02-01,410800
2009-03-01,428300
2009-04-01,429600
2009-05-01,524600
2009-06-01,467300
2009-07-01,551300
2009-08-01,489900
2009-09-01,411500
2009-10-01,400400
2009-11-01,424100
2009-12-01,392800
2010-01-01,429500
2010-02-01,415400
2010-03-01,442700
2010-04-01,435000
2010-05-01,506500
2010-06-01,427700
2010-07-01,487000
2010-08-01,456100
2010-09-01,414100
2010-10-01,390000
2010-11-01,362800
2010-12-01,332400
2011-01-01,398100
2011-02-01,383200
2011-03-01,410200
2011-04-01,411100
2011-05-01,476300
2011-06-01,427300
2011-07-01,494000
2011-08-01,418000
2011-09-01,392300
2011-10-01,379600
2011-11-01,368000
2011-12-01,330600
2012-01-01,394900
2012-02-01,399200
2012-03-01,382300
2012-04-01,388100
2012-05-01,476500
2012-06-01,429800
2012-07-01,460700
2012-08-01,461400
2012-09-01,418600
2012-10-01,382700
2012-11-01,367700
2012-12-01,331500
2013-01-01,363300
2013-02-01,359500
2013-03-01,387900
2013-04-01,399200
2013-05-01,442500
2013-06-01,406300
2013-07-01,458200
2013-08-01,439900
2013-09-01,336600
2013-10-01,358900
2013-11-01,343500
2013-12-01,326700
2014-01-01,374200
2014-02-01,369200
2014-03-01,368100
2014-04-01,375900
2014-05-01,458700
2014-06-01,407500
2014-07-01,430400
2014-08-01,418000
2014-09-01,385700
2014-10-01,334500
2014-11-01,340100
2014-12-01,318100
2015-01-01,354400
2015-02-01,368600
2015-03-01,364200
2015-04-01,382200
2015-05-01,431100
2015-06-01,376400
2015-07-01,431600
2015-08-01,400700
2015-09-01,344200
2015-10-01,330600
2015-11-01,3e+05
2015-12-01,302000
2016-01-01,345300
2016-02-01,351400
2016-03-01,363900
2016-04-01,361900
2016-05-01,411100
2016-06-01,371200
2016-07-01,436600
2016-08-01,369500
2016-09-01,348000
2016-10-01,323600
2016-11-01,305600
2016-12-01,273000
2017-01-01,354600
2017-02-01,327600
2017-03-01,340800
2017-04-01,320600
2017-05-01,379800
2017-06-01,343500
2017-07-01,368700
2017-08-01,338600
2017-09-01,285300
2017-10-01,286400
2017-11-01,271700
2017-12-01,244200
2018-01-01,294900
2018-02-01,300400
2018-03-01,301400
2018-04-01,309400
2018-05-01,367600
2018-06-01,349700
2018-07-01,352200
2018-08-01,337300
2018-09-01,298000
2018-10-01,278000
2018-11-01,268800
2018-12-01,240400
2019-01-01,299400
2019-02-01,290400
2019-03-01,310200
2019-04-01,290100
2019-05-01,354300
2019-06-01,331300
2019-07-01,389000
2019-08-01,373000
2019-09-01,323900
2019-10-01,289400
2019-11-01,294400
2019-12-01,255600
2020-01-01,281800
2020-02-01,293900
2020-03-01,473600
2020-04-01,620600
2020-05-01,856400
2020-06-01,835600
2020-07-01,789400
2020-08-01,710200
2020-09-01,512400
2020-10-01,475800
2020-11-01,446600
2020-12-01,430200
2021-01-01,515900
2021-02-01,461100
2021-03-01,403300
2021-04-01,436200
2021-05-01,520300
2021-06-01,433900
2021-07-01,421800
2021-08-01,372500
2021-09-01,317400
2021-10-01,245100
2021-11-01,264100
2021-12-01,255400
2022-01-01,358000
2022-02-01,288400
2022-03-01,275000
2022-04-01,291300
2022-05-01,316400
2022-06-01,295500
2022-07-01,333100
2022-08-01,300500
2022-09-01,290900
2022-10-01,285800
2022-11-01,267800
2022-12-01,227300
2023-01-01,291700
2023-02-01,284800
2023-03-01,277500
2023-04-01,286700
2023-05-01,368700
2023-06-01,369500
2023-07-01,396400
2023-08-01,376700
2023-09-01,318600
2023-10-01,318700
2023-11-01,319900
