"Date","LFAC55MACAM647N"
2013-09-01,1588200
2013-10-01,1595500
2013-11-01,1580500
2013-12-01,1570600
2014-01-01,1562300
2014-02-01,1586900
2014-03-01,1605600
2014-04-01,1618000
2014-05-01,1635000
2014-06-01,1651700
2014-07-01,1635800
2014-08-01,1614300
2014-09-01,1628700
2014-10-01,1638000
2014-11-01,1608900
2014-12-01,1601600
2015-01-01,1614700
2015-02-01,1643000
2015-03-01,1646400
2015-04-01,1663000
2015-05-01,1682500
2015-06-01,1693700
2015-07-01,1695900
2015-08-01,1691200
2015-09-01,1697700
2015-10-01,1678900
2015-11-01,1680100
2015-12-01,1688400
2016-01-01,1678900
2016-02-01,1709100
2016-03-01,1700300
2016-04-01,1723000
2016-05-01,1730100
2016-06-01,1727800
2016-07-01,1724000
2016-08-01,1741400
2016-09-01,1754600
2016-10-01,1760000
2016-11-01,1730100
2016-12-01,1742300
2017-01-01,1734900
2017-02-01,1743000
2017-03-01,1738700
2017-04-01,1745800
2017-05-01,1762500
2017-06-01,1753200
2017-07-01,1740500
2017-08-01,1771200
2017-09-01,1779200
2017-10-01,1786600
2017-11-01,1779700
2017-12-01,1772600
2018-01-01,1748800
2018-02-01,1759200
2018-03-01,1788200
2018-04-01,1784800
2018-05-01,1808300
2018-06-01,1829100
2018-07-01,1819700
2018-08-01,1825700
2018-09-01,1837700
2018-10-01,1825700
2018-11-01,1846900
2018-12-01,1830600
2019-01-01,1821100
2019-02-01,1835200
2019-03-01,1842600
2019-04-01,1861000
2019-05-01,1874900
2019-06-01,1874500
2019-07-01,1867800
2019-08-01,1873800
2019-09-01,1873200
2019-10-01,1865800
2019-11-01,1851300
2019-12-01,1842500
2020-01-01,1843600
2020-02-01,1858100
2020-03-01,1833000
2020-04-01,1770800
2020-05-01,1813700
2020-06-01,1837600
2020-07-01,1856600
2020-08-01,1872700
2020-09-01,1883800
2020-10-01,1900100
2020-11-01,1867300
2020-12-01,1881400
2021-01-01,1867700
2021-02-01,1866000
2021-03-01,1900900
2021-04-01,1884000
2021-05-01,1902600
2021-06-01,1920200
2021-07-01,1907000
2021-08-01,1912600
2021-09-01,1907400
2021-10-01,1903100
2021-11-01,1879700
2021-12-01,1849700
2022-01-01,1844100
2022-02-01,1845600
2022-03-01,1856100
2022-04-01,1862600
2022-05-01,1856600
2022-06-01,1826800
2022-07-01,1846700
2022-08-01,1843400
2022-09-01,1851000
2022-10-01,1843500
2022-11-01,1832400
2022-12-01,1829100
2023-01-01,1839000
2023-02-01,1836300
2023-03-01,1856700
2023-04-01,1852900
2023-05-01,1854600
2023-06-01,1833700
2023-07-01,1833200
2023-08-01,1843100
2023-09-01,1852900
2023-10-01,1872900
2023-11-01,1863800
