"Date","MAM2A3CAM189N"
1993-06-01,5.72142e+11
1993-07-01,5.73017e+11
1993-08-01,5.73328e+11
1993-09-01,5.74514e+11
1993-10-01,5.74863e+11
1993-11-01,5.78126e+11
1993-12-01,5.80813e+11
1994-01-01,5.78108e+11
1994-02-01,5.76215e+11
1994-03-01,5.73378e+11
1994-04-01,5.74432e+11
1994-05-01,5.73772e+11
1994-06-01,5.77192e+11
1994-07-01,5.80149e+11
1994-08-01,5.8106e+11
1994-09-01,5.82939e+11
1994-10-01,5.85266e+11
1994-11-01,5.88022e+11
1994-12-01,5.90682e+11
1995-01-01,5.8942e+11
1995-02-01,5.8789e+11
1995-03-01,5.90249e+11
1995-04-01,5.95217e+11
1995-05-01,5.96865e+11
1995-06-01,6.02976e+11
1995-07-01,6.05769e+11
1995-08-01,6.07393e+11
1995-09-01,6.10011e+11
1995-10-01,6.1181e+11
1995-11-01,6.14534e+11
1995-12-01,6.18067e+11
1996-01-01,6.16784e+11
1996-02-01,6.19207e+11
1996-03-01,6.21357e+11
1996-04-01,6.24411e+11
1996-05-01,6.27095e+11
1996-06-01,6.31216e+11
1996-07-01,6.30087e+11
1996-08-01,6.3115e+11
1996-09-01,6.32093e+11
1996-10-01,6.3512e+11
1996-11-01,6.36318e+11
1996-12-01,6.39608e+11
1997-01-01,6.37331e+11
1997-02-01,6.35892e+11
1997-03-01,6.35522e+11
1997-04-01,6.36085e+11
1997-05-01,6.35849e+11
1997-06-01,6.36431e+11
1997-07-01,6.33488e+11
1997-08-01,6.32656e+11
1997-09-01,6.30468e+11
1997-10-01,6.3023e+11
1997-11-01,6.31332e+11
1997-12-01,6.3243e+11
1998-01-01,6.27241e+11
1998-02-01,6.22099e+11
1998-03-01,6.18355e+11
1998-04-01,6.20629e+11
1998-05-01,6.21022e+11
1998-06-01,6.21829e+11
1998-07-01,6.23117e+11
1998-08-01,6.26362e+11
1998-09-01,6.27705e+11
1998-10-01,6.31499e+11
1998-11-01,6.3362e+11
1998-12-01,6.38981e+11
1999-01-01,6.38595e+11
1999-02-01,6.38085e+11
1999-03-01,6.39794e+11
1999-04-01,6.44683e+11
1999-05-01,6.47888e+11
1999-06-01,6.50179e+11
1999-07-01,6.53203e+11
1999-08-01,6.56427e+11
1999-09-01,6.58211e+11
1999-10-01,6.615e+11
1999-11-01,6.66161e+11
1999-12-01,6.73911e+11
2000-01-01,6.72109e+11
2000-02-01,6.74172e+11
2000-03-01,6.79139e+11
2000-04-01,6.85899e+11
2000-05-01,6.86014e+11
2000-06-01,6.91232e+11
2000-07-01,6.93637e+11
2000-08-01,6.94764e+11
2000-09-01,6.96602e+11
2000-10-01,6.9875e+11
2000-11-01,7.02313e+11
2000-12-01,7.12777e+11
2001-01-01,7.09333e+11
2001-02-01,7.1349e+11
2001-03-01,7.18753e+11
2001-04-01,7.24101e+11
2001-05-01,7.28991e+11
2001-06-01,7.30915e+11
2001-07-01,7.34482e+11
2001-08-01,7.36853e+11
2001-09-01,7.46777e+11
2001-10-01,7.53137e+11
2001-11-01,7.63788e+11
2001-12-01,7.76214e+11
2002-01-01,7.73501e+11
2002-02-01,7.74048e+11
2002-03-01,7.75249e+11
2002-04-01,7.78602e+11
2002-05-01,7.80402e+11
2002-06-01,7.86614e+11
2002-07-01,7.89834e+11
2002-08-01,7.94913e+11
2002-09-01,7.9763e+11
2002-10-01,8.02527e+11
2002-11-01,8.06916e+11
2002-12-01,8.12813e+11
2003-01-01,8.09253e+11
2003-02-01,8.09729e+11
2003-03-01,8.11846e+11
2003-04-01,8.15551e+11
2003-05-01,8.20326e+11
2003-06-01,8.27358e+11
2003-07-01,8.32847e+11
2003-08-01,8.3528e+11
2003-09-01,8.35672e+11
2003-10-01,8.36638e+11
2003-11-01,8.4238e+11
2003-12-01,8.50406e+11
2004-01-01,8.48247e+11
2004-02-01,8.48896e+11
2004-03-01,8.49208e+11
2004-04-01,8.57817e+11
2004-05-01,8.65076e+11
2004-06-01,8.73034e+11
2004-07-01,8.75306e+11
2004-08-01,8.74755e+11
2004-09-01,8.74615e+11
2004-10-01,8.77364e+11
2004-11-01,8.79639e+11
2004-12-01,8.93155e+11
2005-01-01,8.91764e+11
2005-02-01,8.9169e+11
2005-03-01,8.92144e+11
2005-04-01,9.01766e+11
2005-05-01,9.07095e+11
2005-06-01,9.14574e+11
2005-07-01,9.14247e+11
2005-08-01,9.12435e+11
2005-09-01,9.17125e+11
2005-10-01,9.2255e+11
2005-11-01,9.26353e+11
2005-12-01,9.39465e+11
2006-01-01,9.34027e+11
2006-02-01,9.36846e+11
2006-03-01,9.39821e+11
2006-04-01,9.51067e+11
2006-05-01,9.54844e+11
2006-06-01,9.65735e+11
2006-07-01,9.73779e+11
2006-08-01,9.77634e+11
2006-09-01,9.86279e+11
2006-10-01,9.92764e+11
2006-11-01,1.003169e+12
2006-12-01,1.018115e+12
2007-01-01,1.012513e+12
2007-02-01,1.014074e+12
2007-03-01,1.019362e+12
2007-04-01,1.031448e+12
2007-05-01,1.035745e+12
2007-06-01,1.048484e+12
2007-07-01,1.058392e+12
2007-08-01,1.06142e+12
2007-09-01,1.068737e+12
2007-10-01,1.067761e+12
2007-11-01,1.077388e+12
2007-12-01,1.097214e+12
2008-01-01,1.100114e+12
2008-02-01,1.105789e+12
2008-03-01,1.114988e+12
2008-04-01,1.129927e+12
2008-05-01,1.141855e+12
2008-06-01,1.156102e+12
2008-07-01,1.162995e+12
2008-08-01,1.169747e+12
2008-09-01,1.17691e+12
2008-10-01,1.190706e+12
2008-11-01,1.213973e+12
2008-12-01,1.241424e+12
2009-01-01,1.247928e+12
2009-02-01,1.253232e+12
2009-03-01,1.264402e+12
2009-04-01,1.280394e+12
2009-05-01,1.28809e+12
2009-06-01,1.295912e+12
2009-07-01,1.303971e+12
2009-08-01,1.308729e+12
2009-09-01,1.310582e+12
2009-10-01,1.314358e+12
2009-11-01,1.319562e+12
2009-12-01,1.328538e+12
2010-01-01,1.317837e+12
2010-02-01,1.317531e+12
2010-03-01,1.31532e+12
2010-04-01,1.324532e+12
2010-05-01,1.336872e+12
2010-06-01,1.347877e+12
2010-07-01,1.353234e+12
2010-08-01,1.353749e+12
2010-09-01,1.359583e+12
2010-10-01,1.364665e+12
2010-11-01,1.364167e+12
2010-12-01,1.378059e+12
2011-01-01,1.369866e+12
2011-02-01,1.366003e+12
2011-03-01,1.367841e+12
2011-04-01,1.376298e+12
2011-05-01,1.381612e+12
2011-06-01,1.395347e+12
2011-07-01,1.400052e+12
2011-08-01,1.403407e+12
2011-09-01,1.420068e+12
2011-10-01,1.43275e+12
2011-11-01,1.439113e+12
2011-12-01,1.455431e+12
2012-01-01,1.451088e+12
2012-02-01,1.445352e+12
2012-03-01,1.444292e+12
2012-04-01,1.45738e+12
2012-05-01,1.467821e+12
2012-06-01,1.486768e+12
2012-07-01,1.494408e+12
2012-08-01,1.496933e+12
2012-09-01,1.497188e+12
2012-10-01,1.50091e+12
2012-11-01,1.51041e+12
2012-12-01,1.525531e+12
2013-01-01,1.519867e+12
2013-02-01,1.524652e+12
2013-03-01,1.539701e+12
2013-04-01,1.547986e+12
2013-05-01,1.549813e+12
2013-06-01,1.562299e+12
2013-07-01,1.565758e+12
2013-08-01,1.573731e+12
2013-09-01,1.577918e+12
2013-10-01,1.584362e+12
2013-11-01,1.597131e+12
2013-12-01,1.616114e+12
2014-01-01,1.613044e+12
2014-02-01,1.606177e+12
2014-03-01,1.607518e+12
2014-04-01,1.614014e+12
2014-05-01,1.621767e+12
2014-06-01,1.630993e+12
2014-07-01,1.63503e+12
2014-08-01,1.644479e+12
2014-09-01,1.65283e+12
2014-10-01,1.66221e+12
2014-11-01,1.667634e+12
2014-12-01,1.683642e+12
2015-01-01,1.676637e+12
2015-02-01,1.676713e+12
2015-03-01,1.678156e+12
2015-04-01,1.688279e+12
2015-05-01,1.692071e+12
2015-06-01,1.701957e+12
2015-07-01,1.718158e+12
2015-08-01,1.728504e+12
2015-09-01,1.739503e+12
2015-10-01,1.743574e+12
2015-11-01,1.756011e+12
2015-12-01,1.771989e+12
2016-01-01,1.772201e+12
2016-02-01,1.775111e+12
2016-03-01,1.775534e+12
2016-04-01,1.790759e+12
2016-05-01,1.801658e+12
2016-06-01,1.817229e+12
2016-07-01,1.838927e+12
2016-08-01,1.845897e+12
2016-09-01,1.860403e+12
2016-10-01,1.874548e+12
2016-11-01,1.88912e+12
2016-12-01,1.906685e+12
2017-01-01,1.909674e+12
2017-02-01,1.899278e+12
2017-03-01,1.907069e+12
2017-04-01,1.927518e+12
