"Date","LFWA64FECAM647N"
2013-12-01,11761400
2014-01-01,11762900
2014-02-01,11765400
2014-03-01,11770500
2014-04-01,11777300
2014-05-01,11783000
2014-06-01,11789800
2014-07-01,11795500
2014-08-01,11798900
2014-09-01,11801600
2014-10-01,11802900
2014-11-01,11804300
2014-12-01,11805500
2015-01-01,11803900
2015-02-01,11803400
2015-03-01,11805100
2015-04-01,11807100
2015-05-01,11809600
2015-06-01,11814400
2015-07-01,11818400
2015-08-01,11821000
2015-09-01,11824600
2015-10-01,11827400
2015-11-01,11829700
2015-12-01,11832100
2016-01-01,11835800
2016-02-01,11842500
2016-03-01,11848700
2016-04-01,11855200
2016-05-01,11863900
2016-06-01,11872000
2016-07-01,11879600
2016-08-01,11888200
2016-09-01,11894200
2016-10-01,11899400
2016-11-01,11903700
2016-12-01,11908000
2017-01-01,11914200
2017-02-01,11920500
2017-03-01,11928700
2017-04-01,11936800
2017-05-01,11946700
2017-06-01,11955600
2017-07-01,11964700
2017-08-01,11974900
2017-09-01,11982500
2017-10-01,11989300
2017-11-01,11996300
2017-12-01,12003300
2018-01-01,12013400
2018-02-01,12021300
2018-03-01,12031400
2018-04-01,12044300
2018-05-01,12054300
2018-06-01,12064800
2018-07-01,12077900
2018-08-01,12087000
2018-09-01,12096100
2018-10-01,12104900
2018-11-01,12113000
2018-12-01,12120300
2019-01-01,12128000
2019-02-01,12133600
2019-03-01,12141400
2019-04-01,12153000
2019-05-01,12163400
2019-06-01,12175300
2019-07-01,12188300
2019-08-01,12196400
2019-09-01,12206100
2019-10-01,12213400
2019-11-01,12218900
2019-12-01,12222600
2020-01-01,12225200
2020-02-01,12229500
2020-03-01,12233400
2020-04-01,12232400
2020-05-01,12230900
2020-06-01,12233000
2020-07-01,12235400
2020-08-01,12236400
2020-09-01,12237700
2020-10-01,12239300
2020-11-01,12240700
2020-12-01,12238900
2021-01-01,12234900
2021-02-01,12237100
2021-03-01,12237900
2021-04-01,12238800
2021-05-01,12238300
2021-06-01,12236600
2021-07-01,12242800
2021-08-01,12250700
2021-09-01,12258300
2021-10-01,12268200
2021-11-01,12277300
2021-12-01,12289600
2022-01-01,12296300
2022-02-01,12305600
2022-03-01,12313500
2022-04-01,12320800
2022-05-01,12328300
2022-06-01,12337700
2022-07-01,12345900
2022-08-01,12356900
2022-09-01,12367100
2022-10-01,12381500
2022-11-01,12389200
2022-12-01,12399500
2023-01-01,12416700
2023-02-01,12437100
2023-03-01,12465600
2023-04-01,12489700
2023-05-01,12516000
2023-06-01,12543700
2023-07-01,12570600
2023-08-01,12604400
2023-09-01,12631300
2023-10-01,12658300
2023-11-01,12684800
