"Date","LFUN25MACAM647S"
2004-05-01,387800
2004-06-01,406100
2004-07-01,377000
2004-08-01,359400
2004-09-01,376100
2004-10-01,377500
2004-11-01,391000
2004-12-01,395600
2005-01-01,382700
2005-02-01,386300
2005-03-01,384500
2005-04-01,386700
2005-05-01,382700
2005-06-01,370400
2005-07-01,370500
2005-08-01,377600
2005-09-01,359300
2005-10-01,361400
2005-11-01,358500
2005-12-01,356800
2006-01-01,379400
2006-02-01,378500
2006-03-01,356300
2006-04-01,348400
2006-05-01,348700
2006-06-01,334900
2006-07-01,354300
2006-08-01,357600
2006-09-01,370700
2006-10-01,360900
2006-11-01,373600
2006-12-01,367800
2007-01-01,355100
2007-02-01,360000
2007-03-01,360000
2007-04-01,362000
2007-05-01,356900
2007-06-01,355000
2007-07-01,339500
2007-08-01,345500
2007-09-01,338800
2007-10-01,357000
2007-11-01,350400
2007-12-01,364100
2008-01-01,359800
2008-02-01,346600
2008-03-01,361300
2008-04-01,360600
2008-05-01,340700
2008-06-01,357600
2008-07-01,365200
2008-08-01,354900
2008-09-01,373900
2008-10-01,366000
2008-11-01,397800
2008-12-01,415800
2009-01-01,477500
2009-02-01,520000
2009-03-01,535900
2009-04-01,546700
2009-05-01,554300
2009-06-01,569700
2009-07-01,551300
2009-08-01,553300
2009-09-01,549600
2009-10-01,540100
2009-11-01,535400
2009-12-01,536100
2010-01-01,512100
2010-02-01,521300
2010-03-01,500400
2010-04-01,495400
2010-05-01,515300
2010-06-01,491800
2010-07-01,500500
2010-08-01,494500
2010-09-01,481700
2010-10-01,459300
2010-11-01,455000
2010-12-01,456200
2011-01-01,451700
2011-02-01,455800
2011-03-01,451700
2011-04-01,449900
2011-05-01,437400
2011-06-01,434400
2011-07-01,420400
2011-08-01,414900
2011-09-01,414700
2011-10-01,424100
2011-11-01,428900
2011-12-01,435100
2012-01-01,434200
2012-02-01,417700
2012-03-01,430600
2012-04-01,431400
2012-05-01,430400
2012-06-01,410900
2012-07-01,429800
2012-08-01,425600
2012-09-01,412500
2012-10-01,418500
2012-11-01,420200
2012-12-01,400500
2013-01-01,407400
2013-02-01,389100
2013-03-01,402000
2013-04-01,398800
2013-05-01,407900
2013-06-01,413900
2013-07-01,405900
2013-08-01,405400
2013-09-01,407200
2013-10-01,412600
2013-11-01,411200
2013-12-01,433500
2014-01-01,421400
2014-02-01,429000
2014-03-01,404300
2014-04-01,404700
2014-05-01,407700
2014-06-01,420600
2014-07-01,421700
2014-08-01,404400
2014-09-01,393900
2014-10-01,388500
2014-11-01,378400
2014-12-01,365700
2015-01-01,382500
2015-02-01,399700
2015-03-01,400100
2015-04-01,400500
2015-05-01,403700
2015-06-01,410200
2015-07-01,406900
2015-08-01,416200
2015-09-01,424500
2015-10-01,430900
2015-11-01,442800
2015-12-01,452000
2016-01-01,448500
2016-02-01,454300
2016-03-01,448200
2016-04-01,439900
2016-05-01,428100
2016-06-01,410800
2016-07-01,411900
2016-08-01,427300
2016-09-01,423100
2016-10-01,420900
2016-11-01,425000
2016-12-01,416600
2017-01-01,397400
2017-02-01,391100
2017-03-01,404100
2017-04-01,396800
2017-05-01,391900
2017-06-01,388800
2017-07-01,378300
2017-08-01,360500
2017-09-01,393100
2017-10-01,379800
2017-11-01,354200
2017-12-01,348600
2018-01-01,330100
2018-02-01,334000
2018-03-01,332700
2018-04-01,332200
2018-05-01,337800
2018-06-01,330600
2018-07-01,340900
2018-08-01,354600
2018-09-01,335000
2018-10-01,325400
2018-11-01,311800
2018-12-01,324400
2019-01-01,345900
2019-02-01,342200
2019-03-01,335800
2019-04-01,340500
2019-05-01,321900
2019-06-01,336100
2019-07-01,328800
2019-08-01,335800
2019-09-01,302600
2019-10-01,314700
2019-11-01,351500
2019-12-01,328300
2020-01-01,328900
2020-02-01,330900
2020-03-01,419100
2020-04-01,720400
2020-05-01,783800
2020-06-01,645200
2020-07-01,608800
2020-08-01,558900
2020-09-01,545500
2020-10-01,536600
2020-11-01,497100
2020-12-01,499200
2021-01-01,499800
2021-02-01,462700
2021-03-01,449900
2021-04-01,439500
2021-05-01,456400
2021-06-01,463600
2021-07-01,451700
2021-08-01,428800
2021-09-01,429200
2021-10-01,392100
2021-11-01,359900
2021-12-01,317900
2022-01-01,338700
2022-02-01,305800
2022-03-01,286600
2022-04-01,282700
2022-05-01,305900
2022-06-01,273600
2022-07-01,276300
2022-08-01,313700
2022-09-01,303400
2022-10-01,285800
2022-11-01,301700
2022-12-01,295800
2023-01-01,300400
2023-02-01,302300
2023-03-01,310600
2023-04-01,317200
2023-05-01,301500
2023-06-01,311100
2023-07-01,328600
2023-08-01,319400
2023-09-01,350500
2023-10-01,361200
2023-11-01,368300
