"Date","LFHUADFECAM647N"
2004-01-01,400300
2004-02-01,367000
2004-03-01,369800
2004-04-01,364100
2004-05-01,350500
2004-06-01,368000
2004-07-01,412300
2004-08-01,499200
2004-09-01,373600
2004-10-01,372900
2004-11-01,394000
2004-12-01,361500
2005-01-01,383400
2005-02-01,390500
2005-03-01,373200
2005-04-01,350900
2005-05-01,357100
2005-06-01,355300
2005-07-01,383000
2005-08-01,485500
2005-09-01,375300
2005-10-01,363400
2005-11-01,336000
2005-12-01,347700
2006-01-01,381300
2006-02-01,360800
2006-03-01,359600
2006-04-01,363200
2006-05-01,333200
2006-06-01,343200
2006-07-01,402500
2006-08-01,473100
2006-09-01,331300
2006-10-01,329600
2006-11-01,342800
2006-12-01,320700
2007-01-01,353600
2007-02-01,343700
2007-03-01,353000
2007-04-01,322300
2007-05-01,318400
2007-06-01,316600
2007-07-01,377400
2007-08-01,459000
2007-09-01,337200
2007-10-01,302400
2007-11-01,322400
2007-12-01,307300
2008-01-01,328000
2008-02-01,331800
2008-03-01,351600
2008-04-01,313200
2008-05-01,329100
2008-06-01,305000
2008-07-01,380000
2008-08-01,487900
2008-09-01,334600
2008-10-01,314700
2008-11-01,334800
2008-12-01,351500
2009-01-01,403300
2009-02-01,404300
2009-03-01,432100
2009-04-01,418400
2009-05-01,425700
2009-06-01,433600
2009-07-01,497600
2009-08-01,614300
2009-09-01,429600
2009-10-01,429100
2009-11-01,433900
2009-12-01,403300
2010-01-01,452300
2010-02-01,456800
2010-03-01,454000
2010-04-01,444800
2010-05-01,414500
2010-06-01,427900
2010-07-01,524100
2010-08-01,644400
2010-09-01,465800
2010-10-01,460300
2010-11-01,447900
2010-12-01,422800
2011-01-01,471800
2011-02-01,469100
2011-03-01,460200
2011-04-01,453000
2011-05-01,422800
2011-06-01,428300
2011-07-01,476000
2011-08-01,605200
2011-09-01,434600
2011-10-01,439500
2011-11-01,445800
2011-12-01,4e+05
2012-01-01,465400
2012-02-01,454000
2012-03-01,441500
2012-04-01,440400
2012-05-01,436200
2012-06-01,409900
2012-07-01,463000
2012-08-01,561600
2012-09-01,418700
2012-10-01,419700
2012-11-01,412600
2012-12-01,410800
2013-01-01,441000
2013-02-01,450100
2013-03-01,456800
2013-04-01,421900
2013-05-01,401400
2013-06-01,401900
2013-07-01,487000
2013-08-01,577800
2013-09-01,423900
2013-10-01,401900
2013-11-01,397200
2013-12-01,403500
2014-01-01,440800
2014-02-01,429500
2014-03-01,433300
2014-04-01,420000
2014-05-01,426100
2014-06-01,406200
2014-07-01,471500
2014-08-01,558900
2014-09-01,384500
2014-10-01,385600
2014-11-01,382500
2014-12-01,363000
2015-01-01,412600
2015-02-01,404400
2015-03-01,425700
2015-04-01,404000
2015-05-01,385000
2015-06-01,393000
2015-07-01,458700
2015-08-01,560000
2015-09-01,409100
2015-10-01,402900
2015-11-01,403400
2015-12-01,403900
2016-01-01,438800
2016-02-01,423100
2016-03-01,435200
2016-04-01,433800
2016-05-01,401800
2016-06-01,400200
2016-07-01,468600
2016-08-01,558100
2016-09-01,400900
2016-10-01,384900
2016-11-01,379100
2016-12-01,400500
2017-01-01,420300
2017-02-01,410200
2017-03-01,418900
2017-04-01,396200
2017-05-01,395300
2017-06-01,394100
2017-07-01,488200
2017-08-01,564800
2017-09-01,389200
2017-10-01,394800
2017-11-01,375600
2017-12-01,370800
2018-01-01,392400
2018-02-01,391000
2018-03-01,388600
2018-04-01,346800
2018-05-01,362000
2018-06-01,375900
2018-07-01,436700
2018-08-01,542900
2018-09-01,376600
2018-10-01,367400
2018-11-01,348800
2018-12-01,350200
2019-01-01,367700
2019-02-01,368900
2019-03-01,397900
2019-04-01,361300
2019-05-01,323000
2019-06-01,329600
2019-07-01,414600
2019-08-01,495200
2019-09-01,354300
2019-10-01,350200
2019-11-01,359300
2019-12-01,329600
2020-01-01,383500
2020-02-01,393200
2020-03-01,605000
2020-04-01,864900
2020-05-01,873200
2020-06-01,762700
2020-07-01,745200
2020-08-01,826800
2020-09-01,552500
2020-10-01,541600
2020-11-01,527200
2020-12-01,534200
2021-01-01,652700
2021-02-01,585000
2021-03-01,549300
2021-04-01,571400
2021-05-01,551800
2021-06-01,494000
2021-07-01,586800
2021-08-01,698700
2021-09-01,489700
2021-10-01,458000
2021-11-01,410100
2021-12-01,394100
2022-01-01,479700
2022-02-01,370700
2022-03-01,413900
2022-04-01,370100
2022-05-01,345500
2022-06-01,334000
2022-07-01,388400
2022-08-01,537100
2022-09-01,341800
2022-10-01,341800
2022-11-01,324200
2022-12-01,311200
2023-01-01,349000
2023-02-01,358300
2023-03-01,368500
2023-04-01,334000
2023-05-01,347700
2023-06-01,359400
2023-07-01,467300
2023-08-01,557100
2023-09-01,379300
2023-10-01,376500
2023-11-01,367200
