"Date","CANSLRTTO01MLSAM"
2016-09-01,4.4881e+10
2016-10-01,4.4935e+10
2016-11-01,4.5371e+10
2016-12-01,4.5648e+10
2017-01-01,4.6436e+10
2017-02-01,4.6181e+10
2017-03-01,4.6607e+10
2017-04-01,4.7183e+10
2017-05-01,4.7336e+10
2017-06-01,4.7531e+10
2017-07-01,4.7446e+10
2017-08-01,4.7261e+10
2017-09-01,4.6864e+10
2017-10-01,4.819e+10
2017-11-01,4.7412e+10
2017-12-01,4.7243e+10
2018-01-01,4.7375e+10
2018-02-01,4.6973e+10
2018-03-01,4.7016e+10
2018-04-01,4.7046e+10
2018-05-01,4.8414e+10
2018-06-01,4.8042e+10
2018-07-01,4.7697e+10
2018-08-01,4.7828e+10
2018-09-01,4.8114e+10
2018-10-01,4.8163e+10
2018-11-01,4.7748e+10
2018-12-01,4.8088e+10
2019-01-01,4.7761e+10
2019-02-01,4.7386e+10
2019-03-01,4.7625e+10
2019-04-01,4.7686e+10
2019-05-01,4.7935e+10
2019-06-01,4.7881e+10
2019-07-01,4.8003e+10
2019-08-01,4.8021e+10
2019-09-01,4.7872e+10
2019-10-01,4.7191e+10
2019-11-01,4.7387e+10
2019-12-01,4.8439e+10
2020-01-01,4.7827e+10
2020-02-01,4.7922e+10
2020-03-01,4.3408e+10
2020-04-01,3.3478e+10
2020-05-01,4.1e+10
2020-06-01,4.9513e+10
2020-07-01,4.9402e+10
2020-08-01,4.9294e+10
2020-09-01,5.0716e+10
2020-10-01,5.1119e+10
2020-11-01,5.1099e+10
2020-12-01,4.8885e+10
2021-01-01,4.7913e+10
2021-02-01,5.0998e+10
2021-03-01,5.3517e+10
2021-04-01,5.0497e+10
2021-05-01,4.9347e+10
2021-06-01,5.1298e+10
2021-07-01,5.11e+10
2021-08-01,5.1629e+10
2021-09-01,5.1062e+10
2021-10-01,5.1564e+10
2021-11-01,5.1642e+10
2021-12-01,5.0563e+10
2022-01-01,5.1908e+10
2022-02-01,5.1647e+10
2022-03-01,5.1373e+10
2022-04-01,5.1871e+10
