"Date","LFUNTTTTCAM647S"
1968-12-01,361000
1969-01-01,352000
1969-02-01,354000
1969-03-01,347000
1969-04-01,354000
1969-05-01,364000
1969-06-01,363000
1969-07-01,348000
1969-08-01,367000
1969-09-01,357000
1969-10-01,387000
1969-11-01,379000
1969-12-01,373000
1970-01-01,367000
1970-02-01,403000
1970-03-01,428000
1970-04-01,449000
1970-05-01,488000
1970-06-01,511000
1970-07-01,537000
1970-08-01,515000
1970-09-01,508000
1970-10-01,510000
1970-11-01,518000
1970-12-01,529000
1971-01-01,529000
1971-02-01,542000
1971-03-01,529000
1971-04-01,564000
1971-05-01,520000
1971-06-01,528000
1971-07-01,530000
1971-08-01,515000
1971-09-01,541000
1971-10-01,551000
1971-11-01,545000
1971-12-01,521000
1972-01-01,531000
1972-02-01,509000
1972-03-01,542000
1972-04-01,514000
1972-05-01,538000
1972-06-01,560000
1972-07-01,566000
1972-08-01,573000
1972-09-01,575000
1972-10-01,591000
1972-11-01,577000
1972-12-01,582000
1973-01-01,557000
1973-02-01,536000
1973-03-01,512000
1973-04-01,506000
1973-05-01,490000
1973-06-01,502000
1973-07-01,486000
1973-08-01,494000
1973-09-01,523000
1973-10-01,533000
1973-11-01,518000
1973-12-01,508000
1974-01-01,506000
1974-02-01,5e+05
1974-03-01,496000
1974-04-01,495000
1974-05-01,513000
1974-06-01,478000
1974-07-01,492000
1974-08-01,510000
1974-09-01,524000
1974-10-01,526000
1974-11-01,543000
1974-12-01,589000
1975-01-01,673000
1975-02-01,653000
1975-03-01,650000
1975-04-01,643000
1975-05-01,692000
1975-06-01,702000
1975-07-01,693000
1975-08-01,714000
1975-09-01,695000
1975-10-01,726000
1975-11-01,732000
1975-12-01,715000
1976-01-01,733000
1976-02-01,730000
1976-03-01,691500
1976-04-01,713100
1976-05-01,720000
1976-06-01,721300
1976-07-01,779900
1976-08-01,743600
1976-09-01,736700
1976-10-01,782600
1976-11-01,780500
1976-12-01,794800
1977-01-01,811800
1977-02-01,842000
1977-03-01,836000
1977-04-01,849000
1977-05-01,837800
1977-06-01,842000
1977-07-01,872900
1977-08-01,882800
1977-09-01,902000
1977-10-01,913400
1977-11-01,925400
1977-12-01,926600
1978-01-01,905100
1978-02-01,913800
1978-03-01,941200
1978-04-01,931600
1978-05-01,953900
1978-06-01,938500
1978-07-01,933400
1978-08-01,948000
1978-09-01,947200
1978-10-01,924800
1978-11-01,945700
1978-12-01,937800
1979-01-01,938200
1979-02-01,917300
1979-03-01,904900
1979-04-01,914100
1979-05-01,871800
1979-06-01,850700
1979-07-01,834900
1979-08-01,821700
1979-09-01,812500
1979-10-01,843200
1979-11-01,836800
1979-12-01,848100
1980-01-01,877500
1980-02-01,894000
1980-03-01,901000
1980-04-01,908300
1980-05-01,923900
1980-06-01,918300
1980-07-01,905600
1980-08-01,907900
1980-09-01,876200
1980-10-01,873100
1980-11-01,857700
1980-12-01,874100
1981-01-01,892300
1981-02-01,899800
1981-03-01,902400
1981-04-01,868300
1981-05-01,877200
1981-06-01,887900
1981-07-01,879400
1981-08-01,861200
1981-09-01,1003900
1981-10-01,1020400
1981-11-01,1019500
1981-12-01,1071700
1982-01-01,1059700
1982-02-01,1092800
1982-03-01,1139700
1982-04-01,1204800
1982-05-01,1271400
1982-06-01,1364300
1982-07-01,1465200
1982-08-01,1478100
1982-09-01,1527000
1982-10-01,1602100
1982-11-01,1600400
1982-12-01,1624400
1983-01-01,1572900
1983-02-01,1573600
1983-03-01,1554700
1983-04-01,1553700
1983-05-01,1556500
1983-06-01,1557300
1983-07-01,1492900
1983-08-01,1472800
1983-09-01,1432000
1983-10-01,1419200
1983-11-01,1415900
1983-12-01,1429100
1984-01-01,1423300
1984-02-01,1425400
1984-03-01,1424700
1984-04-01,1456000
1984-05-01,1494000
1984-06-01,1442900
1984-07-01,1427100
1984-08-01,1441100
1984-09-01,1527900
1984-10-01,1455600
1984-11-01,1462300
1984-12-01,1425900
1985-01-01,1364700
1985-02-01,1386000
1985-03-01,1421400
1985-04-01,1404400
1985-05-01,1371800
1985-06-01,1391300
1985-07-01,1358400
1985-08-01,1348100
1985-09-01,1331700
1985-10-01,1355400
1985-11-01,1350200
1985-12-01,1326100
1986-01-01,1300200
1986-02-01,1303800
1986-03-01,1298600
1986-04-01,1284200
1986-05-01,1259500
1986-06-01,1272900
1986-07-01,1271300
1986-08-01,1277500
1986-09-01,1265300
1986-10-01,1253500
1986-11-01,1250800
1986-12-01,1266900
1987-01-01,1274300
1987-02-01,1275300
1987-03-01,1259300
1987-04-01,1237100
1987-05-01,1201100
1987-06-01,1203800
1987-07-01,1179200
1987-08-01,1167000
1987-09-01,1146100
1987-10-01,1129700
1987-11-01,1113200
1987-12-01,1097100
1988-01-01,1106500
1988-02-01,1068400
1988-03-01,1067800
1988-04-01,1056200
1988-05-01,1067400
1988-06-01,1043900
1988-07-01,1069600
1988-08-01,1077600
1988-09-01,1084000
1988-10-01,1077900
1988-11-01,1076800
1988-12-01,1035100
1989-01-01,1049600
1989-02-01,1060800
1989-03-01,1059100
1989-04-01,1089800
1989-05-01,1077400
1989-06-01,1051300
1989-07-01,1046100
1989-08-01,1029700
1989-09-01,1032600
1989-10-01,1014000
1989-11-01,1055200
1989-12-01,1083200
1990-01-01,1119100
1990-02-01,1093600
1990-03-01,1033800
1990-04-01,1076800
1990-05-01,1105200
1990-06-01,1080800
1990-07-01,1128500
1990-08-01,1161800
1990-09-01,1218100
1990-10-01,1260100
1990-11-01,1306300
1990-12-01,1355000
1991-01-01,1397600
1991-02-01,1451800
1991-03-01,1499500
1991-04-01,1475400
1991-05-01,1467200
1991-06-01,1510400
1991-07-01,1510700
1991-08-01,1511700
1991-09-01,1477900
1991-10-01,1479600
1991-11-01,1480900
1991-12-01,1475900
1992-01-01,1489800
1992-02-01,1496700
1992-03-01,1554300
1992-04-01,1530000
1992-05-01,1564800
1992-06-01,1633200
1992-07-01,1621600
1992-08-01,1677800
1992-09-01,1668100
1992-10-01,1634200
1992-11-01,1748900
1992-12-01,1682700
1993-01-01,1604100
1993-02-01,1570000
1993-03-01,1609600
1993-04-01,1668200
1993-05-01,1675700
1993-06-01,1689700
1993-07-01,1681200
1993-08-01,1622800
1993-09-01,1664500
1993-10-01,1628200
1993-11-01,1631400
1993-12-01,1647700
1994-01-01,1656800
1994-02-01,1602600
1994-03-01,1529800
1994-04-01,1587000
1994-05-01,1553400
1994-06-01,1501900
1994-07-01,1466300
1994-08-01,1486000
1994-09-01,1487900
1994-10-01,1457400
1994-11-01,1417500
1994-12-01,1407400
1995-01-01,1402600
1995-02-01,1400400
1995-03-01,1429100
1995-04-01,1387700
1995-05-01,1394700
1995-06-01,1394700
1995-07-01,1418300
1995-08-01,1403800
1995-09-01,1356900
1995-10-01,1369600
1995-11-01,1357000
1995-12-01,1379700
1996-01-01,1395100
1996-02-01,1410800
1996-03-01,1413100
1996-04-01,1376700
1996-05-01,1368000
1996-06-01,1453300
1996-07-01,1451200
1996-08-01,1402900
1996-09-01,1475200
1996-10-01,1479300
1996-11-01,1471300
1996-12-01,1453100
1997-01-01,1416000
1997-02-01,1423700
1997-03-01,1398200
1997-04-01,1415300
1997-05-01,1408000
1997-06-01,1376200
1997-07-01,1344400
1997-08-01,1344800
1997-09-01,1339300
1997-10-01,1347400
1997-11-01,1346300
1997-12-01,1283100
1998-01-01,1337900
1998-02-01,1302600
1998-03-01,1273400
1998-04-01,1260900
1998-05-01,1264300
1998-06-01,1278200
1998-07-01,1269600
1998-08-01,1239700
1998-09-01,1264700
1998-10-01,1233100
1998-11-01,1240200
1998-12-01,1259000
1999-01-01,1226000
1999-02-01,1223300
1999-03-01,1219000
1999-04-01,1275900
1999-05-01,1238800
1999-06-01,1180300
1999-07-01,1179300
1999-08-01,1158900
1999-09-01,1171300
1999-10-01,1125600
1999-11-01,1084100
1999-12-01,1059800
2000-01-01,1068100
2000-02-01,1081100
2000-03-01,1082300
2000-04-01,1064500
2000-05-01,1047500
2000-06-01,1061000
2000-07-01,1068000
2000-08-01,1113100
2000-09-01,1104100
2000-10-01,1120400
2000-11-01,1110700
2000-12-01,1083200
2001-01-01,1100100
2001-02-01,1120500
2001-03-01,1144600
2001-04-01,1144700
2001-05-01,1130600
2001-06-01,1162600
2001-07-01,1137700
2001-08-01,1163900
2001-09-01,1158700
2001-10-01,1182900
2001-11-01,1209400
2001-12-01,1310400
2002-01-01,1307900
2002-02-01,1296200
2002-03-01,1291700
2002-04-01,1264800
2002-05-01,1281300
2002-06-01,1259000
2002-07-01,1268600
2002-08-01,1235000
2002-09-01,1259900
2002-10-01,1267400
2002-11-01,1256200
2002-12-01,1268000
2003-01-01,1252800
2003-02-01,1257500
2003-03-01,1242700
2003-04-01,1283600
2003-05-01,1324700
2003-06-01,1285500
2003-07-01,1306100
2003-08-01,1328400
2003-09-01,1335400
2003-10-01,1289600
2003-11-01,1267000
2003-12-01,1253300
2004-01-01,1250200
2004-02-01,1248500
2004-03-01,1250900
2004-04-01,1230900
2004-05-01,1207700
2004-06-01,1240100
2004-07-01,1210700
2004-08-01,1201400
2004-09-01,1191800
2004-10-01,1213800
2004-11-01,1240800
2004-12-01,1229200
2005-01-01,1192100
2005-02-01,1207300
2005-03-01,1184300
2005-04-01,1161000
2005-05-01,1208400
2005-06-01,1175900
2005-07-01,1158500
2005-08-01,1162400
2005-09-01,1159700
2005-10-01,1160800
2005-11-01,1096900
2005-12-01,1141300
2006-01-01,1175600
2006-02-01,1146900
2006-03-01,1132500
2006-04-01,1133400
2006-05-01,1094500
2006-06-01,1106100
2006-07-01,1147500
2006-08-01,1149000
2006-09-01,1145000
2006-10-01,1117800
2006-11-01,1153700
2006-12-01,1121800
2007-01-01,1128500
2007-02-01,1112300
2007-03-01,1118900
2007-04-01,1116900
2007-05-01,1093400
2007-06-01,1094100
2007-07-01,1076100
2007-08-01,1068700
2007-09-01,1079000
2007-10-01,1083700
2007-11-01,1104300
2007-12-01,1110000
2008-01-01,1104100
2008-02-01,1101700
2008-03-01,1121500
2008-04-01,1120200
2008-05-01,1113900
2008-06-01,1107800
2008-07-01,1115300
2008-08-01,1118000
2008-09-01,1147500
2008-10-01,1163900
2008-11-01,1220800
2008-12-01,1281600
2009-01-01,1371400
2009-02-01,1479500
2009-03-01,1519300
2009-04-01,1538400
2009-05-01,1581900
2009-06-01,1609500
2009-07-01,1609900
2009-08-01,1602700
2009-09-01,1557200
2009-10-01,1566300
2009-11-01,1579700
2009-12-01,1580000
2010-01-01,1537400
2010-02-01,1539300
2010-03-01,1526300
2010-04-01,1511100
2010-05-01,1500300
2010-06-01,1485200
2010-07-01,1520200
2010-08-01,1525500
2010-09-01,1521800
2010-10-01,1495700
2010-11-01,1455400
2010-12-01,1455500
2011-01-01,1461700
2011-02-01,1463100
2011-03-01,1460700
2011-04-01,1455500
2011-05-01,1442400
2011-06-01,1433100
2011-07-01,1384200
2011-08-01,1375200
2011-09-01,1389700
2011-10-01,1401000
2011-11-01,1423100
2011-12-01,1402000
2012-01-01,1440300
2012-02-01,1415700
2012-03-01,1374100
2012-04-01,1395000
2012-05-01,1422900
2012-06-01,1393000
2012-07-01,1374800
2012-08-01,1392200
2012-09-01,1396500
2012-10-01,1407200
2012-11-01,1396400
2012-12-01,1368800
2013-01-01,1344900
2013-02-01,1340100
2013-03-01,1384000
2013-04-01,1369400
2013-05-01,1337800
2013-06-01,1368100
2013-07-01,1389300
2013-08-01,1378900
2013-09-01,1349500
2013-10-01,1372500
2013-11-01,1357600
2013-12-01,1412600
2014-01-01,1377300
2014-02-01,1376900
2014-03-01,1352500
2014-04-01,1357200
2014-05-01,1386800
2014-06-01,1366400
2014-07-01,1356700
2014-08-01,1337900
2014-09-01,1340400
2014-10-01,1300600
2014-11-01,1300700
2014-12-01,1275900
2015-01-01,1296800
2015-02-01,1322000
2015-03-01,1317300
2015-04-01,1331200
2015-05-01,1312400
2015-06-01,1315700
2015-07-01,1332500
2015-08-01,1355200
2015-09-01,1361200
2015-10-01,1341500
2015-11-01,1367200
2015-12-01,1393300
2016-01-01,1399300
2016-02-01,1406100
2016-03-01,1393100
2016-04-01,1407200
2016-05-01,1357000
2016-06-01,1333700
2016-07-01,1342800
2016-08-01,1331400
2016-09-01,1359000
2016-10-01,1344500
2016-11-01,1326200
2016-12-01,1349000
2017-01-01,1325300
2017-02-01,1291900
2017-03-01,1305900
2017-04-01,1268400
2017-05-01,1302900
2017-06-01,1277400
2017-07-01,1238800
2017-08-01,1218500
2017-09-01,1230200
2017-10-01,1255300
2017-11-01,1214000
2017-12-01,1195400
2018-01-01,1159700
2018-02-01,1180700
2018-03-01,1150100
2018-04-01,1151000
2018-05-01,1159400
2018-06-01,1187900
2018-07-01,1168300
2018-08-01,1187900
2018-09-01,1164600
2018-10-01,1139600
2018-11-01,1144400
2018-12-01,1135600
2019-01-01,1148700
2019-02-01,1162900
2019-03-01,1182000
2019-04-01,1163700
2019-05-01,1102600
2019-06-01,1131200
2019-07-01,1167300
2019-08-01,1174400
2019-09-01,1145700
2019-10-01,1143800
2019-11-01,1201400
2019-12-01,1144200
2020-01-01,1118300
2020-02-01,1170500
2020-03-01,1647800
2020-04-01,2540100
2020-05-01,2691100
2020-06-01,2473300
2020-07-01,2203300
2020-08-01,2043300
2020-09-01,1870200
2020-10-01,1843300
2020-11-01,1763800
2020-12-01,1817100
2021-01-01,1870100
2021-02-01,1719400
2021-03-01,1559500
2021-04-01,1659200
2021-05-01,1661800
2021-06-01,1605800
2021-07-01,1533700
2021-08-01,1478800
2021-09-01,1467800
2021-10-01,1349900
2021-11-01,1274900
2021-12-01,1235700
2022-01-01,1338000
2022-02-01,1125900
2022-03-01,1096300
2022-04-01,1095700
2022-05-01,1075500
2022-06-01,1026000
2022-07-01,1011500
2022-08-01,1103800
2022-09-01,1073200
2022-10-01,1085800
2022-11-01,1068200
2022-12-01,1043400
2023-01-01,1046000
2023-02-01,1066400
2023-03-01,1053000
2023-04-01,1058200
2023-05-01,1093000
2023-06-01,1147100
2023-07-01,1166800
2023-08-01,1181000
2023-09-01,1189100
2023-10-01,1229400
2023-11-01,1240400
