"Date","LFWATTTTCAM647S"
2010-10-01,27690700
2010-11-01,27714900
2010-12-01,27737100
2011-01-01,27758200
2011-02-01,27781000
2011-03-01,27804100
2011-04-01,27829500
2011-05-01,27861400
2011-06-01,27890500
2011-07-01,27918000
2011-08-01,27952100
2011-09-01,27978600
2011-10-01,28004300
2011-11-01,28028300
2011-12-01,28053100
2012-01-01,28077100
2012-02-01,28102200
2012-03-01,28126300
2012-04-01,28160300
2012-05-01,28188300
2012-06-01,28218500
2012-07-01,28254000
2012-08-01,28279300
2012-09-01,28304200
2012-10-01,28329700
2012-11-01,28354000
2012-12-01,28376900
2013-01-01,28399400
2013-02-01,28417600
2013-03-01,28442300
2013-04-01,28475000
2013-05-01,28503800
2013-06-01,28533400
2013-07-01,28566900
2013-08-01,28592400
2013-09-01,28622000
2013-10-01,28646500
2013-11-01,28668600
2013-12-01,28689200
2014-01-01,28708400
2014-02-01,28726500
2014-03-01,28750600
2014-04-01,28782000
2014-05-01,28808400
2014-06-01,28841300
2014-07-01,28866500
2014-08-01,28888900
2014-09-01,28913000
2014-10-01,28930200
2014-11-01,28946700
2014-12-01,28962000
2015-01-01,28972000
2015-02-01,28984800
2015-03-01,29000300
2015-04-01,29017200
2015-05-01,29035900
2015-06-01,29063900
2015-07-01,29085400
2015-08-01,29106600
2015-09-01,29133200
2015-10-01,29153700
2015-11-01,29172600
2015-12-01,29192000
2016-01-01,29216700
2016-02-01,29247400
2016-03-01,29273600
2016-04-01,29301300
2016-05-01,29337900
2016-06-01,29371100
2016-07-01,29403200
2016-08-01,29442200
2016-09-01,29471200
2016-10-01,29498000
2016-11-01,29522600
2016-12-01,29546400
2017-01-01,29579400
2017-02-01,29605000
2017-03-01,29635700
2017-04-01,29667200
2017-05-01,29706800
2017-06-01,29741100
2017-07-01,29778300
2017-08-01,29823900
2017-09-01,29859200
2017-10-01,29892200
2017-11-01,29924900
2017-12-01,29956900
2018-01-01,30000900
2018-02-01,30032300
2018-03-01,30069600
2018-04-01,30117600
2018-05-01,30156600
2018-06-01,30197300
2018-07-01,30249400
2018-08-01,30289000
2018-09-01,30328200
2018-10-01,30366800
2018-11-01,30403200
2018-12-01,30437300
2019-01-01,30479600
2019-02-01,30508000
2019-03-01,30542400
2019-04-01,30589400
2019-05-01,30630400
2019-06-01,30675000
2019-07-01,30727000
2019-08-01,30763900
2019-09-01,30808600
2019-10-01,30842500
2019-11-01,30872800
2019-12-01,30898000
2020-01-01,30924200
2020-02-01,30949100
2020-03-01,30978600
2020-04-01,30994300
2020-05-01,31009300
2020-06-01,31036900
2020-07-01,31061500
2020-08-01,31084800
2020-09-01,31114500
2020-10-01,31138900
2020-11-01,31161600
2020-12-01,31177400
2021-01-01,31191100
2021-02-01,31216300
2021-03-01,31234800
2021-04-01,31252000
2021-05-01,31266100
2021-06-01,31283500
2021-07-01,31315400
2021-08-01,31356800
2021-09-01,31391600
2021-10-01,31430000
2021-11-01,31466200
2021-12-01,31510100
2022-01-01,31546700
2022-02-01,31588800
2022-03-01,31626800
2022-04-01,31662900
2022-05-01,31705700
2022-06-01,31745300
2022-07-01,31782400
2022-08-01,31831900
2022-09-01,31875600
2022-10-01,31927000
2022-11-01,31964300
2022-12-01,32007300
2023-01-01,32070400
2023-02-01,32130500
2023-03-01,32211300
2023-04-01,32283300
2023-05-01,32365800
2023-06-01,32449400
2023-07-01,32531300
2023-08-01,32634200
2023-09-01,32716300
2023-10-01,32800900
2023-11-01,32878600
