"Date","LRUN55TTCAM156S"
1991-06-01,7.95276957805174
1991-07-01,8.13289496452674
1991-08-01,7.53562374333421
1991-09-01,6.75699300699301
1991-10-01,7.94285228335743
1991-11-01,7.98650168728909
1991-12-01,8.01956844588102
1992-01-01,9.33899332929048
1992-02-01,9.464022859122
1992-03-01,11.7358360599277
1992-04-01,9.32809773123909
1992-05-01,8.42372288313506
1992-06-01,8.04821840099273
1992-07-01,9.08612062154332
1992-08-01,7.85414995096728
1992-09-01,6.93472677353644
1992-10-01,8.68096605303158
1992-11-01,10.1484525706617
1992-12-01,9.36943053551727
1993-01-01,10.0908087923279
1993-02-01,10.3375705025676
1993-03-01,11.3380400067238
1993-04-01,9.77201457750657
1993-05-01,10.4604691572546
1993-06-01,9.29965556831228
1993-07-01,9.93285078922124
1993-08-01,10.2561845232855
1993-09-01,8.29409634190511
1993-10-01,9.47672383619181
1993-11-01,9.72198238646175
1993-12-01,9.90611564446784
1994-01-01,10.2979842243646
1994-02-01,10.8885464817668
1994-03-01,11.1319308406439
1994-04-01,10.7308970099668
1994-05-01,10.3727441389779
1994-06-01,9.10010963987518
1994-07-01,8.81670533642691
1994-08-01,8.9506696050178
1994-09-01,7.40034662045061
1994-10-01,7.99764031687174
1994-11-01,8.02364864864865
1994-12-01,7.99661876584954
1995-01-01,9.60935513939496
1995-02-01,8.09213906490837
1995-03-01,8.36564142327906
1995-04-01,8.51615132147176
1995-05-01,8.27344434706398
1995-06-01,8.89655172413793
1995-07-01,8.75292486350637
1995-08-01,8.33476986726426
1995-09-01,7.38963531669866
1995-10-01,8.01189464740866
1995-11-01,8.40357598978289
1995-12-01,7.69825586390583
1996-01-01,8.02768166089965
1996-02-01,7.57445343432605
1996-03-01,7.49654934437543
1996-04-01,7.62100926879506
1996-05-01,7.20480893087162
1996-06-01,8.03102326745059
1996-07-01,7.57103111036169
1996-08-01,7.5721961047683
1996-09-01,7.84431137724551
1996-10-01,8.09692671394799
1996-11-01,8.05771177860277
1996-12-01,7.69684210526316
1997-01-01,8.58325589254034
1997-02-01,8.39108910891089
1997-03-01,7.62101779064957
1997-04-01,7.76199804113614
1997-05-01,8.71335504885994
1997-06-01,8.37231811582514
1997-07-01,8.94625750933593
1997-08-01,7.29344729344729
1997-09-01,7.55395683453237
1997-10-01,7.23503790934022
1997-11-01,7.33537766300839
1997-12-01,5.86092447178823
1998-01-01,6.80802664716874
1998-02-01,6.38348740835193
1998-03-01,6.08653923058466
1998-04-01,7.45003996802558
1998-05-01,6.93515908175594
1998-06-01,7.30377045292862
1998-07-01,7.41002671695741
1998-08-01,7.18271119842829
1998-09-01,6.01105660671183
1998-10-01,6.6054479512308
1998-11-01,6.57092116438885
1998-12-01,6.58938851719309
1999-01-01,6.23702222564024
1999-02-01,5.94227504244482
1999-03-01,6.15928116120114
1999-04-01,7.15343601895735
1999-05-01,6.95885910550288
1999-06-01,6.12828032182871
1999-07-01,6.33251286641307
1999-08-01,6.32996132103541
1999-09-01,5.18347255369928
1999-10-01,5.37674007512705
1999-11-01,5.34861509073544
1999-12-01,5.14786418400876
2000-01-01,4.4582760367663
2000-02-01,4.26471653030193
2000-03-01,3.74468708779129
2000-04-01,5.44727636181909
2000-05-01,5.67244810918396
2000-06-01,6.46029609690444
2000-07-01,5.34378339864624
2000-08-01,6.18123204148854
2000-09-01,6.31795892260678
2000-10-01,6.51461254097789
2000-11-01,5.67913248992076
2000-12-01,5.05283784729512
2001-01-01,5.8950746476908
2001-02-01,5.31795160382667
2001-03-01,5.55971418849949
2001-04-01,5.91438615840629
2001-05-01,5.18395803133844
2001-06-01,5.4897448047113
2001-07-01,5.8839297681276
2001-08-01,5.32015703262488
2001-09-01,5.27098256521152
2001-10-01,5.31601499732191
2001-11-01,6.35795907520595
2001-12-01,6.5163235872558
2002-01-01,7.74942878903275
2002-02-01,6.49983958934873
2002-03-01,6.59277660997516
2002-04-01,6.26582278481013
2002-05-01,6.15588179698822
2002-06-01,5.45295732468181
2002-07-01,5.99802737023795
2002-08-01,6.118245699055
2002-09-01,6.07928450568044
2002-10-01,6.07457059069962
2002-11-01,6.38584568516022
2002-12-01,6.53875137673178
2003-01-01,6.45732229517557
2003-02-01,6.54237480816234
2003-03-01,6.73992673992675
2003-04-01,7.29939218201083
2003-05-01,6.37846291331546
2003-06-01,6.48744723394801
2003-07-01,5.94289508632139
2003-08-01,6.50720304430552
2003-09-01,5.82085488701334
2003-10-01,5.838184884923
2003-11-01,5.79397986107372
2003-12-01,5.4842847979474
2004-01-01,6.0531914893617
2004-02-01,6.20547728352066
2004-03-01,6.30415138468081
2004-04-01,6.24308519045361
2004-05-01,6.27728123051341
2004-06-01,6.4950018317894
2004-07-01,5.99675001310479
2004-08-01,5.71413552015981
2004-09-01,5.43742562988256
2004-10-01,5.53446860894542
2004-11-01,5.5358230160341
