"Date","CANLOCOSPORIXOBM"
1975-06-01,7.35953300613527
1975-07-01,7.33428733008204
1975-08-01,7.24523006952964
1975-09-01,6.80914937240028
1975-10-01,6.49225337243933
1975-11-01,6.84011368225562
1975-12-01,6.64993423861708
1976-01-01,7.24892625967003
1976-02-01,7.4926655906259
1976-03-01,7.35116427374193
1976-04-01,7.49712891456902
1976-05-01,7.50340546386402
1976-06-01,7.36134623148716
1976-07-01,7.32312902022426
1976-08-01,7.31078513994409
1976-09-01,7.1747932385524
1976-10-01,6.90106594985374
1976-11-01,6.41672556258949
1976-12-01,7.05428349208838
1977-01-01,6.95023225266458
1977-02-01,7.03615123856949
1977-03-01,7.12813755545956
1977-04-01,6.93760941463797
1977-05-01,6.84276378084684
1977-06-01,7.19180966108552
1977-07-01,7.20777999206946
1977-08-01,6.99695767519404
1977-09-01,6.97443183716864
1977-10-01,6.76842154141938
1977-11-01,7.09584819630861
1977-12-01,7.38952096387805
1978-01-01,6.96306430900103
1978-02-01,7.01355566110748
1978-03-01,7.41511533711433
1978-04-01,7.54232006949302
1978-05-01,7.87190864691719
1978-06-01,7.8537763933983
1978-07-01,8.32542420319933
1978-08-01,8.59336311865927
1978-09-01,8.95914646368461
1978-10-01,8.47919966092686
1978-11-01,8.85551366088048
1978-12-01,9.12889225239608
1979-01-01,9.4524832382717
1979-02-01,9.66142259035862
1979-03-01,10.2263817663453
1979-04-01,10.3514943156257
1979-05-01,10.5980929634826
1979-06-01,11.2867001605809
1979-07-01,10.8661016183792
1979-08-01,11.8229266886838
1979-09-01,12.2175821604661
1979-10-01,11.0137400056849
1979-11-01,11.8530541252998
1979-12-01,12.6449454280191
1980-01-01,14.1410655616375
1980-02-01,15.2909293924817
1980-03-01,12.5362216463424
1980-04-01,13.0407864702238
1980-05-01,13.7507339349251
1980-06-01,14.375738765834
1980-07-01,15.3244043220551
1980-08-01,15.4682767797838
1980-09-01,15.7613916318604
1980-10-01,15.6226798924409
1980-11-01,16.753016681034
1980-12-01,15.8217859839656
1981-01-01,15.5286013924525
1981-02-01,15.1998496882676
1981-03-01,16.270768476868
1981-04-01,16.0849128782994
1981-05-01,16.5367546881029
1981-06-01,16.4663875965622
1981-07-01,15.7185716177812
1981-08-01,15.1802529065799
1981-09-01,13.1348649702122
1981-10-01,12.8503280688389
1981-11-01,14.0322023010876
1981-12-01,13.6287596602922
1982-01-01,12.4618096674783
1982-02-01,11.6558309985635
1982-03-01,11.073436963424
1982-04-01,10.7968503578243
1982-05-01,10.6260584775637
1982-06-01,9.53198619600838
1982-07-01,9.84651105512455
1982-08-01,11.2512027873458
1982-09-01,11.1723274845386
1982-10-01,12.3720550125598
1982-11-01,12.8202703716595
1982-12-01,13.6555396039509
1983-01-01,14.1673573292399
1983-02-01,14.5781226108795
1983-03-01,15.0362409699779
1983-04-01,16.3246770613684
1983-05-01,16.8814767232716
1983-06-01,17.0650309204321
1983-07-01,17.2787822936452
1983-08-01,17.3169297654715
1983-09-01,17.4319300964432
1983-10-01,16.4660388993792
1983-11-01,17.7200237090838
1983-12-01,17.7999451034401
1984-01-01,17.2178300260471
1984-02-01,16.8757580894695
1984-03-01,16.6126311951358
1984-04-01,16.2028422656088
1984-05-01,15.5501508783653
1984-06-01,15.4887104347109
1984-07-01,14.9241696953438
1984-08-01,16.6594263571018
1984-09-01,16.6862063007605
1984-10-01,16.4115026599493
1984-11-01,16.5180645190911
1984-12-01,16.7397661880778
1985-01-01,18.0977324977696
1985-02-01,18.0972443217134
1985-03-01,18.221589737191
1985-04-01,18.378503469566
1985-05-01,19.0828717793384
1985-06-01,18.9168221807673
1985-07-01,19.3777998567668
1985-08-01,19.6663816454636
1985-09-01,18.357163201963
1985-10-01,18.6541834624898
1985-11-01,19.925812349657
1985-12-01,20.2286209834225
1986-01-01,19.826642870796
1986-02-01,19.9163975257145
1986-03-01,21.2514195607613
1986-04-01,21.4720053987622
1986-05-01,21.772442891683
1986-06-01,21.5181031663622
1986-07-01,20.470826046773
1986-08-01,21.1184961945805
1986-09-01,20.7774703495521
1986-10-01,21.1930476523178
1986-11-01,21.2482115466772
1986-12-01,21.3833665748295
1987-01-01,23.3546912295161
1987-02-01,24.4013406941759
1987-03-01,26.0788531024199
1987-04-01,25.9203353630028
1987-05-01,25.7006561376777
1987-06-01,26.0838743418559
1987-07-01,28.1074338345642
1987-08-01,27.8511414050183
1987-09-01,27.2149085248151
1987-10-01,21.0562188776867
1987-11-01,20.7707753636374
1987-12-01,22.0380106662981
1988-01-01,21.3208800396259
1988-02-01,22.3503038634427
1988-03-01,23.1101847647575
1988-04-01,23.2913678210732
1988-05-01,22.6598772225595
1988-06-01,24.000687630845
1988-07-01,23.549124778788
1988-08-01,22.9151235605562
1988-09-01,22.9004085394313
1988-10-01,23.6801651801803
1988-11-01,22.9769127013937
1988-12-01,23.6415992717343
1989-01-01,25.2222436025254
1989-02-01,24.9117636307327
1989-03-01,24.9543046870655
1989-04-01,25.3004215109665
1989-05-01,25.8554776869544
1989-06-01,26.2283744545141
1989-07-01,27.692135489545
1989-08-01,27.9669088697928
1989-09-01,27.4989572501322
1989-10-01,27.328793024801
1989-11-01,27.4968650670338
1989-12-01,27.6850918064473
1990-01-01,25.8349742925908
1990-02-01,25.7115354897891
1990-03-01,25.3823653489846
