"Date","CANLFFEMMDSMEI"
1977-07-01,4100.1
1977-08-01,4122.2
1977-09-01,4133.8
1977-10-01,4155.1
1977-11-01,4161.2
1977-12-01,4180.2
1978-01-01,4184
1978-02-01,4212.4
1978-03-01,4241
1978-04-01,4253.6
1978-05-01,4282.8
1978-06-01,4293.9
1978-07-01,4338.1
1978-08-01,4357.2
1978-09-01,4378.6
1978-10-01,4390.2
1978-11-01,4417
1978-12-01,4446.2
1979-01-01,4447
1979-02-01,4466.8
1979-03-01,4475.7
1979-04-01,4492.6
1979-05-01,4478.5
1979-06-01,4496.6
1979-07-01,4540
1979-08-01,4568.6
1979-09-01,4552.1
1979-10-01,4616.6
1979-11-01,4627.8
1979-12-01,4640.3
1980-01-01,4689.9
1980-02-01,4670.7
1980-03-01,4691.8
1980-04-01,4728.4
1980-05-01,4719.6
1980-06-01,4738.9
1980-07-01,4735.6
1980-08-01,4747.5
1980-09-01,4783.8
1980-10-01,4799.3
1980-11-01,4793.3
1980-12-01,4806.2
1981-01-01,4850.4
1981-02-01,4898.5
1981-03-01,4893.4
1981-04-01,4904.4
1981-05-01,4955.3
1981-06-01,5000.4
1981-07-01,4971.7
1981-08-01,4971.6
1981-09-01,5048.2
1981-10-01,5039.4
1981-11-01,5043.6
1981-12-01,5020.3
1982-01-01,5013.9
1982-02-01,5013.9
1982-03-01,5029
1982-04-01,5038.6
1982-05-01,5044.2
1982-06-01,5047.1
1982-07-01,5073.8
1982-08-01,5067.2
1982-09-01,5052
1982-10-01,5084.3
1982-11-01,5102.3
1982-12-01,5128.4
1983-01-01,5129.6
1983-02-01,5142.2
1983-03-01,5166.6
1983-04-01,5191.2
1983-05-01,5184.5
1983-06-01,5220.7
1983-07-01,5220.6
1983-08-01,5240.5
1983-09-01,5238.8
1983-10-01,5246.4
1983-11-01,5237.3
1983-12-01,5270
1984-01-01,5252
1984-02-01,5294.8
1984-03-01,5295.8
1984-04-01,5304.6
1984-05-01,5341.3
1984-06-01,5332.8
1984-07-01,5356.5
1984-08-01,5366
1984-09-01,5418
1984-10-01,5417.2
1984-11-01,5443.4
1984-12-01,5441.3
1985-01-01,5432.7
1985-02-01,5466.9
1985-03-01,5478.6
1985-04-01,5508.1
1985-05-01,5503.9
1985-06-01,5505.1
1985-07-01,5530.7
1985-08-01,5549.3
1985-09-01,5580.6
1985-10-01,5598.7
1985-11-01,5625.8
1985-12-01,5631.4
1986-01-01,5643.1
1986-02-01,5656.5
1986-03-01,5650
1986-04-01,5676.1
1986-05-01,5649.4
1986-06-01,5700.6
1986-07-01,5696.4
1986-08-01,5701.1
1986-09-01,5702.5
1986-10-01,5721
1986-11-01,5722.5
1986-12-01,5721.9
1987-01-01,5749.8
1987-02-01,5767.4
1987-03-01,5789.7
1987-04-01,5810.1
1987-05-01,5823
1987-06-01,5856.8
1987-07-01,5854.5
1987-08-01,5857.9
1987-09-01,5878.5
1987-10-01,5903.2
1987-11-01,5917.1
1987-12-01,5934.8
1988-01-01,5934.7
1988-02-01,5960.5
1988-03-01,5970.8
1988-04-01,5986.2
1988-05-01,5997
1988-06-01,6019.5
1988-07-01,6040.4
1988-08-01,6064.4
1988-09-01,6064.2
1988-10-01,6077.5
1988-11-01,6094.3
1988-12-01,6085.1
1989-01-01,6153.5
1989-02-01,6142
1989-03-01,6157.3
1989-04-01,6168.7
1989-05-01,6170.7
1989-06-01,6158.6
1989-07-01,6171.2
1989-08-01,6200.4
1989-09-01,6189.2
1989-10-01,6205.3
1989-11-01,6230.4
1989-12-01,6257.3
1990-01-01,6282.1
1990-02-01,6294.9
1990-03-01,6253.7
1990-04-01,6293.4
1990-05-01,6301.1
1990-06-01,6315.1
1990-07-01,6324.3
1990-08-01,6338.3
1990-09-01,6344.5
1990-10-01,6367.9
1990-11-01,6366.9
1990-12-01,6358.9
1991-01-01,6371.9
1991-02-01,6373.9
1991-03-01,6401.9
1991-04-01,6402.2
1991-05-01,6419.7
1991-06-01,6434.9
1991-07-01,6433.1
1991-08-01,6434.9
1991-09-01,6420.2
1991-10-01,6427.3
1991-11-01,6406.9
1991-12-01,6400.4
1992-01-01,6406.1
1992-02-01,6421.2
1992-03-01,6403.2
1992-04-01,6399.7
1992-05-01,6402
1992-06-01,6418.4
1992-07-01,6421.8
1992-08-01,6415.4
1992-09-01,6423.2
1992-10-01,6420.3
1992-11-01,6486.8
1992-12-01,6474.4
1993-01-01,6433.2
1993-02-01,6430.4
1993-03-01,6462.8
1993-04-01,6484.5
1993-05-01,6498.6
1993-06-01,6502.1
1993-07-01,6498.3
1993-08-01,6494.9
1993-09-01,6516.5
1993-10-01,6515.9
1993-11-01,6540
1993-12-01,6539.1
1994-01-01,6523.2
1994-02-01,6512.8
1994-03-01,6509.3
1994-04-01,6534.1
1994-05-01,6551.9
1994-06-01,6549.1
1994-07-01,6552.9
1994-08-01,6573.8
1994-09-01,6592
1994-10-01,6598.7
1994-11-01,6596.3
1994-12-01,6620.6
1995-01-01,6633.3
1995-02-01,6633.2
1995-03-01,6654.9
1995-04-01,6613.5
1995-05-01,6621.5
1995-06-01,6633.1
1995-07-01,6643.8
1995-08-01,6645.3
1995-09-01,6649.6
1995-10-01,6659.1
1995-11-01,6637.4
1995-12-01,6656.9
1996-01-01,6665.3
1996-02-01,6697.9
1996-03-01,6690.7
1996-04-01,6685.2
1996-05-01,6695.5
1996-06-01,6735.8
1996-07-01,6741.4
1996-08-01,6734.5
1996-09-01,6765.6
1996-10-01,6754.8
1996-11-01,6760.3
1996-12-01,6760.5
1997-01-01,6784.5
1997-02-01,6780.2
1997-03-01,6797.5
1997-04-01,6825.9
1997-05-01,6827.4
1997-06-01,6856.2
1997-07-01,6844.7
1997-08-01,6873.1
1997-09-01,6865.1
1997-10-01,6878.9
1997-11-01,6897.8
1997-12-01,6864.8
1998-01-01,6909.4
1998-02-01,6928
1998-03-01,6942.5
1998-04-01,6949.9
1998-05-01,6952.7
1998-06-01,6957
1998-07-01,6983.3
1998-08-01,7002
1998-09-01,7048.7
1998-10-01,7044.8
1998-11-01,7064.7
1998-12-01,7085
1999-01-01,7105
1999-02-01,7093.8
1999-03-01,7091.7
1999-04-01,7136.4
1999-05-01,7142.1
1999-06-01,7124.8
1999-07-01,7156.5
1999-08-01,7154.8
1999-09-01,7147
1999-10-01,7142.6
1999-11-01,7135.7
1999-12-01,7146.3
2000-01-01,7188.2
2000-02-01,7226.8
2000-03-01,7237.4
2000-04-01,7229.3
2000-05-01,7247.2
2000-06-01,7268.5
2000-07-01,7277.7
2000-08-01,7306.6
2000-09-01,7324
2000-10-01,7354
2000-11-01,7354
2000-12-01,7351.3
2001-01-01,7353.8
2001-02-01,7353.9
2001-03-01,7381.7
2001-04-01,7390.8
2001-05-01,7410.4
2001-06-01,7399.9
2001-07-01,7421.2
2001-08-01,7420
2001-09-01,7446.5
2001-10-01,7452
2001-11-01,7486.6
2001-12-01,7501
2002-01-01,7532.2
2002-02-01,7530
2002-03-01,7566.6
2002-04-01,7585.9
2002-05-01,7618.3
2002-06-01,7656.4
2002-07-01,7671.1
2002-08-01,7716.3
2002-09-01,7735.3
2002-10-01,7746.8
2002-11-01,7765.7
2002-12-01,7785.6
2003-01-01,7796.9
2003-02-01,7824.3
2003-03-01,7824.3
2003-04-01,7829.5
2003-05-01,7855.6
2003-06-01,7859.8
2003-07-01,7879.9
2003-08-01,7907
2003-09-01,7931
2003-10-01,7933.1
2003-11-01,7944.8
2003-12-01,7978.8
2004-01-01,7965.7
2004-02-01,7981.3
2004-03-01,7962.3
2004-04-01,7974.9
2004-05-01,7989.2
2004-06-01,8012.1
2004-07-01,8002.4
2004-08-01,7992.9
2004-09-01,8001.3
2004-10-01,8010.9
2004-11-01,8050.4
2004-12-01,8031.1
2005-01-01,8032.3
2005-02-01,8053.8
2005-03-01,8015.7
2005-04-01,8034.9
2005-05-01,8047.6
2005-06-01,8048.6
2005-07-01,8040.9
2005-08-01,8071.5
2005-09-01,8081.6
2005-10-01,8100.2
2005-11-01,8090.3
2005-12-01,8113.4
2006-01-01,8107.4
2006-02-01,8128.1
2006-03-01,8140.1
2006-04-01,8183.3
2006-05-01,8209.8
2006-06-01,8219.2
2006-07-01,8258
2006-08-01,8235.6
2006-09-01,8231.5
2006-10-01,8233.6
2006-11-01,8265
2006-12-01,8297.7
2007-01-01,8324.9
2007-02-01,8353.8
2007-03-01,8399.1
2007-04-01,8381.3
2007-05-01,8367.3
2007-06-01,8399.5
2007-07-01,8429.1
2007-08-01,8444.5
2007-09-01,8454.8
2007-10-01,8452.4
2007-11-01,8487.2
2007-12-01,8464.3
2008-01-01,8474.5
2008-02-01,8530.8
2008-03-01,8515.2
2008-04-01,8535.9
2008-05-01,8574.8
2008-06-01,8546.3
2008-07-01,8566.8
2008-08-01,8560.8
2008-09-01,8578.4
2008-10-01,8587
2008-11-01,8585.9
2008-12-01,8625.3
2009-01-01,8589.4
2009-02-01,8632.9
2009-03-01,8639.6
2009-04-01,8635.3
2009-05-01,8645.6
2009-06-01,8644.9
2009-07-01,8646.7
2009-08-01,8676.3
2009-09-01,8672.5
2009-10-01,8647.6
2009-11-01,8751.5
2009-12-01,8714.4
2010-01-01,8720.8
2010-02-01,8734.6
2010-03-01,8733.5
2010-04-01,8759.4
2010-05-01,8759.9
2010-06-01,8766.5
2010-07-01,8789.8
2010-08-01,8793
2010-09-01,8774.7
2010-10-01,8798.6
2010-11-01,8761.5
2010-12-01,8767.5
2011-01-01,8839.1
2011-02-01,8842.3
2011-03-01,8816.1
2011-04-01,8835.8
2011-05-01,8834.6
2011-06-01,8851.1
2011-07-01,8836.4
2011-08-01,8845.2
2011-09-01,8848.2
2011-10-01,8838.5
2011-11-01,8877
2011-12-01,8866.5
2012-01-01,8892.1
2012-02-01,8866.9
2012-03-01,8877.1
2012-04-01,8919.8
