"Date","LRINTTMACAM156S"
2010-08-01,27.9404394066023
2010-09-01,28.0614474830038
2010-10-01,28.363421538074
2010-11-01,28.1932263799786
2010-12-01,28.1542705391244
2011-01-01,28.0818313406778
2011-02-01,28.0827858847698
2011-03-01,28.0177429197763
2011-04-01,28.067507412445
2011-05-01,28.274423326246
2011-06-01,28.1131675766355
2011-07-01,28.1954232230942
2011-08-01,28.3104001264481
2011-09-01,28.2557972616321
2011-10-01,28.3147240123581
2011-11-01,28.4316649666466
2011-12-01,28.4862307615632
2012-01-01,28.5553671620237
2012-02-01,28.6364564302322
2012-03-01,28.5907870913819
2012-04-01,28.3246288438154
2012-05-01,28.2473902824667
2012-06-01,28.4667197175203
2012-07-01,28.47784796655
2012-08-01,28.335292089596
2012-09-01,28.2778056777352
2012-10-01,28.2784062279178
2012-11-01,28.3943308358312
2012-12-01,28.4015995260492
2013-01-01,28.4678120069203
2013-02-01,28.4987920317555
2013-03-01,28.5761696774956
2013-04-01,28.4797368712362
2013-05-01,28.3480485737711
2013-06-01,28.5162493903021
2013-07-01,28.5302632864938
2013-08-01,28.5886893409442
2013-09-01,28.7093300221093
2013-10-01,28.6534936995751
2013-11-01,28.6310298912092
2013-12-01,28.6813441158785
2014-01-01,28.6891888705044
2014-02-01,28.8030063057276
2014-03-01,28.7798651126288
2014-04-01,29.0164116777808
2014-05-01,29.0959321345664
2014-06-01,28.9939065535205
2014-07-01,29.0189524159838
2014-08-01,29.0991116236406
2014-09-01,28.9821783158478
2014-10-01,29.0224032711031
2014-11-01,29.1680940573084
2014-12-01,29.0382237762718
2015-01-01,29.1164980603087
2015-02-01,28.9653703288745
2015-03-01,29.1123160273606
2015-04-01,29.0780479782752
2015-05-01,28.9865227160641
2015-06-01,28.9027922194959
2015-07-01,28.9294801660444
2015-08-01,28.8148516455968
2015-09-01,28.9435826150459
2015-10-01,28.9539203580425
2015-11-01,29.1484644002834
2015-12-01,29.1696391499028
2016-01-01,29.2671102740721
2016-02-01,29.0543351815266
2016-03-01,29.3259479516295
2016-04-01,29.3056514947156
2016-05-01,29.4726081722177
2016-06-01,29.6159883687044
2016-07-01,29.6526538226393
2016-08-01,29.5141087106136
2016-09-01,29.4708847171117
2016-10-01,29.5152023004962
2016-11-01,29.4922698932575
2016-12-01,29.4919437828498
2017-01-01,29.2590100935431
2017-02-01,29.4453878657986
2017-03-01,29.31652996275
2017-04-01,29.4809482223432
2017-05-01,29.2813134447236
2017-06-01,29.4121163826652
2017-07-01,29.4205841198704
2017-08-01,29.3791720907044
2017-09-01,29.4833249662587
2017-10-01,29.3200883232465
2017-11-01,29.3095221145628
2017-12-01,29.2730061400484
2018-01-01,29.5056679775915
2018-02-01,29.702742660237
2018-03-01,29.641152336441
2018-04-01,29.7399387364571
2018-05-01,29.8172530546637
2018-06-01,29.6418950475166
2018-07-01,29.7208869117716
2018-08-01,30.0254533709514
2018-09-01,29.8917972359029
2018-10-01,29.9192290759009
2018-11-01,29.6557388036181
2018-12-01,29.7262024776443
2019-01-01,29.4607278286111
2019-02-01,29.505897950539
2019-03-01,29.5107259495005
2019-04-01,29.3126173391672
2019-05-01,29.3852217605689
2019-06-01,29.5049746585028
2019-07-01,29.4609920175911
2019-08-01,29.2915352596205
2019-09-01,29.619232126506
2019-10-01,29.7119688957456
2019-11-01,29.7992899570088
2019-12-01,29.82005189719
2020-01-01,29.9423498379873
2020-02-01,29.7958766036664
2020-03-01,31.6975883252329
2020-04-01,34.9715847866342
2020-05-01,33.4055517267658
2020-06-01,31.2269082031064
2020-07-01,30.8118469787477
2020-08-01,30.58106244058
2020-09-01,30.1858741993554
2020-10-01,30.1180340272935
2020-11-01,30.3003504947029
2020-12-01,30.2872976213129
2021-01-01,30.3286708044237
2021-02-01,30.2772542626423
2021-03-01,30.0332668502755
2021-04-01,30.3534269205263
2021-05-01,30.4552942721402
2021-06-01,30.1415641952694
2021-07-01,30.1097762513658
2021-08-01,30.2366907268835
2021-09-01,30.0655181890916
2021-10-01,30.268533476751
2021-11-01,30.0515526509899
2021-12-01,30.1218263990671
2022-01-01,30.4955978889675
2022-02-01,30.2365312042498
2022-03-01,30.4796882091891
2022-04-01,30.2952082057478
2022-05-01,30.3594514303444
2022-06-01,30.7827689114802
2022-07-01,30.7294153303582
2022-08-01,30.5526328414745
2022-09-01,30.6863834308115
2022-10-01,30.6336211674459
2022-11-01,30.5866247138453
2022-12-01,30.5884384291764
2023-01-01,30.2118254804635
2023-02-01,30.5366852024775
2023-03-01,30.4961963779136
2023-04-01,30.4799272408327
2023-05-01,30.4073910685912
2023-06-01,30.2204913155108
2023-07-01,30.3751564698354
2023-08-01,30.4158012420405
2023-09-01,30.3338396280856
2023-10-01,30.1492502782052
2023-11-01,30.2491543935391
